headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【D1ピックアップマッチ】今季最多の78得点を挙げた神戸Sが9連勝を果たす｜リーグワン（DAZN News）,https://news.yahoo.co.jp/articles/396b5bfe3b22e4a4d52716485ea0755f1cb29463,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260228-00010014-dazn-000-1-view.jpg?exp=10800,2026-02-28T23:45:44+09:00,2026-02-28T23:45:44+09:00,DAZN News,dazn,DAZN News,834,ハットトリックを決め、プレーヤー・オブ・ザ・マッチに輝いたティエナン・コストリー©JRLO 【D1ピックアップマッチ】NTTジャパンラグビー リーグワン ディビジョン1の第10節で浦安D-Rocksとコベルコ神戸スティーラーズが 駒沢オリンピック公園総合運動場陸上競技場で対戦した。 強い風が吹く、 駒沢オリンピック公園総合運動場陸上競技場でのゲームは、いま絶好調のコベルコ神戸スティーラーズが前後半に6トライずつを奪う攻撃力で浦安D-Rocksを寄せ付けず、連勝を『9』に伸ばした。 キックオフから10分間は一進一退の攻防が続いたが、次第に風上に立つ神戸Sがゲームの主導権を掌握していく。キックを巧みに使いながら敵陣に攻め込んでいき、前半12分に15番の上ノ坊駿介が先制トライ。ブリン・ガットランドのコンバージョンキックも成功し、7点を先行した。その後は前半14分、前半22分、前半24分と攻勢を緩めることなく連続トライを重ねる。意気消沈気味の浦安DRに対して容赦なく襲い掛かり、前半34分と前半36分にトライを奪い、38点のリードを手にした。 前半終了間際にイズラエル・フォラウにトライを決められ、浦安DRに5点を返されたが、風下に立った後半も神戸Sのペースは変わらない。後半10分と後半12分にまたしても連続トライを挙げ、さらに突き放すと、後半22分に古巣対戦となった浦安DRの山中亮平にトライを決められるが、その直後の後半25分にすぐにトライを奪い返し、後半30分、後半32分、後半34分にも連続トライ。今季最多の78得点を奪い、まざまざと力の差を見せつけた。 59点差を付けた大勝にデイブ・レニー ヘッドコーチは「普段のパフォーマンスを考えればエラーが多かった」と勝利してもなお課題を指摘し、緩まない姿勢を示したが、「ビジターのゲームで勝ち点5を取れたことはハッピー。そして、最後まで容赦なく攻め続けたことが一番良かった」と選手たちのパフォーマンスを称えた。,[],[]
前年度王者の意地。2点のビハインドをセットプレー3発でひっくり返した鹿島が浦和を破って首位に浮上｜Jリーグ（DAZN News）,https://news.yahoo.co.jp/articles/61890f2bd494631458ac669bc76e50335d7aea18,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260228-00010013-dazn-000-1-view.jpg?exp=10800,2026-02-28T22:59:30+09:00,2026-02-28T22:59:30+09:00,DAZN News,dazn,DAZN News,889,鹿島が逆転勝利(C)J.LEAGUE 【国内サッカー レビュー】28日、明治安田J1百年構想リーグ・地域リーグラウンドの第4節が開催され、『EAST』では浦和レッズと鹿島アントラーズが埼玉スタジアム2002で激突した。 【ハイライト】浦和 vs 鹿島 : EAST 第4節 ホームの浦和は前節の横浜F・マリノス戦からスタメンの変更はなし。肥田野蓮治や渡邊凌磨らが先発に名を連ねた。一方、敵地に乗り込んだ鹿島も前節の柏レイソル戦から先発メンバーを入れ替えず、レオ・セアラや三竿健斗が変わらずに起用された。 立ち上がりから攻勢をかけたのは浦和。13分にはセットプレーの流れから安居海渡にシュートチャンスが訪れるが、これは惜しくもバーに直撃してゴールとはならない。それでもこの勢いのままに攻撃を繰り出すと、14分、金子拓郎の突破から最後はゴール前の横パスに肥田野が反応し、浦和が幸先よく先制点を奪うことに成功した。 浦和の勢いはこれで止まらない。19分には左サイドのCKからニア寄りで根本健太がフリック。ファーサイドにこぼれたボールを渡邊が押し込み、一気にリードを2点に広げた。 2点のビハインドを負った鹿島は、ここから少しずつ反撃。28分にレオ・セアラがあわやというヘディングシュートを放つと、45分に相手のハンドによって得たPKをレオ・セアラが冷静にゴール右へと沈め、1点を奪って後半へと折り返した。 後半は鹿島がより勢いを強めていく。試合を振り出しに戻したのは鈴木優磨だ。55分、右サイドのCKを得ると、中央に入ったボールに勢いよく飛び込んだ鈴木がヘディングシュート。これがゴールに突き刺さり、ついに鹿島が同点に追いついた。 その後、互いにチャンスを作りながらもゴールネットを揺らすことができない時間が続いた。そんな中、決着がついたのは90分だ。左サイドのCKを得た鹿島は、柴崎岳が鋭いボールをニアサイドに供給。これを途中出場のチャヴリッチがヘディングで合わせ、土壇場で逆転ゴールを奪った。 これが決勝点となり試合は終了。2点差をひっくり返した鹿島が3連勝で首位に浮上している。,[],[]
バルセロナ、ラッシュフォードの買取決断か…55億円の買取オプション行使へ｜ラ・リーガ（DAZN News）,https://news.yahoo.co.jp/articles/5d59c274a1dea2206923e6b305bd21e0eca7661d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260228-00010012-dazn-000-1-view.jpg?exp=10800,2026-02-28T20:37:29+09:00,2026-02-28T20:37:29+09:00,DAZN News,dazn,DAZN News,388,マーカス・ラッシュフォード(C)Getty Images バルセロナは、FWマーカス・ラッシュフォードの完全移籍で買い取るようだ。 今季マンチェスター・ユナイテッドからレンタルで加入したラッシュフォード。ここまで公式戦34試合10ゴール13アシストを記録しており、ラ・リーガ首位を走るチームで主力として活躍を続けている。 そんな28歳イングランド代表FWの去就は注目を集めていたが、バルセロナは完全移籍での買取を決断した模様。『Catalunya Radio』によると、3000万ユーロ（約55億円）の買取オプションを行使することを決めたという。 同メディアは、レンタル契約を結んだ時点ですべての条件が合意済みであり、新たな交渉は不要と指摘。そのため新たな条件に付いて交渉する必要はなく、3000万ユーロを支払うことで完全移籍に移行するようだ。今後の動向に注目が集まっている。,[],[]
敵地で浦和に0-2から逆転勝利。鹿島の鬼木達監督「選手たちが誇らしい」 | Jリーグ（DAZN News）,https://news.yahoo.co.jp/articles/d0a3af76e3f2e16097838f2dcfa4d89e0cf2ff95,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260228-00010011-dazn-000-1-view.jpg?exp=10800,2026-02-28T20:30:24+09:00,2026-02-28T20:30:24+09:00,DAZN News,dazn,DAZN News,589,チャヴリッチ(C)Getty Images 鹿島アントラーズの鬼木達監督が浦和レッズ戦を振り返った。 鹿島は28日に行われた明治安田J1百年構想リーグの地域リーグラウンドEAST第4節で浦和と対戦。敵地で19分までに2点を奪われる苦しい展開も、ハーフタイム前に獲得したPKをレオ・セアラが決めて1点差として後半へ。鈴木優磨が同点弾を挙げた中、90分にチャヴリッチが決勝点をマークし、3-2の逆転勝利を決めた。 【ハイライト動画】浦和 vs 鹿島 : EAST 第4節 試合後、鬼木監督は「前半の2失点はもったいなかったし、難しいシーンもありました。ただ、慌てることなく戦い続けて、特に前半で1点返せたのがかなり大きかったと思います」と振り返り、ハーフタイムの指示については以下のように話した。 「このまましっかりとやれば逆転できるから、慌てるなと伝えました。ボールを動かすところも自信を持ってやっていましたし、結果的にセットプレーでしたが、流れ自体は持ってこれそうな雰囲気はありました。自信を持って戦おうという話をしました」 そして最後に、「引き分けでPKにはしたくなかったので、そういう意味で勝ち切ること、昨年からそこは継続しています。選手がよりそういう意識が強くなっているのは誇らしいです」と選手たちを称賛した。 鹿島はこの後、7日の第5節で東京ヴェルディをホームに迎える。,[],[]
【プレビュー】韓国との首位決戦…“主砲”イヒョンジュンを止めて勝利を目指す｜男子バスケットボール日本代表（DAZN News）,https://news.yahoo.co.jp/articles/4be843f94bf0428e0c866c37fedd90c171ac514b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260228-00010010-dazn-000-1-view.jpg?exp=10800,2026-02-28T20:22:33+09:00,2026-02-28T20:22:33+09:00,DAZN News,dazn,DAZN News,1343,(C)FIBA 桶谷大ヘッドコーチ（琉球ゴールデンキングス）体制の初陣となったFIBAバスケットボールワールドカップ2027 アジア地区予選 Window2の中国代表戦は、前半に最大15点のリードを奪う試合運び。しかし、後半開始から立て続けに得点を許すと、80-87で敗れ、今大会初黒星を喫した。 【動画】新体制の日本代表で挑むW杯アジア地区予選、渡邊雄太が覚悟を語る「勝たなければいけない2試合」 高さとフィジカルのある相手に対し、先発に抜擢された帰化選手のアレックス・カーク（琉球）を中心にリバウンド数で36-37と善戦。桶谷HCは前半の戦いぶりを評価しつつ、「後半はターンオーバーから簡単に点数を取られてしまった」と振り返った。2Pシュートで着実に得点を重ねた一方、3Pシュートは26本中5本の成功（19.2パーセント）、フリースローは27本中15本の成功（55.6パーセント）。どちらも中国を下回り、指揮官は「決定力の部分が出てしまった」と認めた。 韓国戦に向けてメンバー2名を入れ替え。ゴール下で存在感を示していたカーク、渡邉飛勇（信州ブレイブウォリアーズ）が外れ、ジョシュ・ホーキンソン（サンロッカーズ渋谷）、佐土原遼（琉球）がメンバー入りを果たした。ホーキンソンはオールラウンドな働き、佐土原はディフェンスに期待がかかる。 Window1で中国を相手に連勝を飾った韓国は、平均12.5得点3.0リバウンドを記録していた203センチのハ・ユンギが不在。Window2初戦はチャイニーズ・タイペイに65-77と12点差で敗れた。平均身長こそ日本より高い194センチだが、最長身選手は202センチ。日本はホーキンソンに加え、シェーファーアヴィ幸樹（シーホース三河）や渡邊雄太（千葉ジェッツ）もリバウンド争いで存在感を示したい。 韓国の要注意選手はイヒョンジュン（長崎ヴェルカ）だ。日本人選手をよく知る201センチ95キロのシューターは、B1トップとなる48.9パーセントの3Pシュート成功率を記録。チャイニーズ・タイペイ戦では18得点8リバウンドと気を吐いたものの、第4クォーター残り4分6秒にファウルアウトでコートを去った。「彼を止めるか、止めないかで、僕たちの勝敗が関わってくる」と馬場雄大（長崎）が明かしたように、日本はヒョンジュンをシャットアウトすることが必要不可欠。「自分の強みはディフェンス。責任を持って守りたい」と意欲を示した馬場は、中国戦でファウルトラブルに見舞われただけに、リベンジを果たす機会が早速訪れた。また、指揮官は相手の3Pシュートとトランジションを警戒。「オフェンスの終わり方はすごく大事。いい終わり方をできれば、走られないし、いいシュートを打たれない」と話した。 FIBAランキングだけ見れば、日本の22位に対して56位と格下。それでも、馬場が「僕たちは常にチャレンジャー。一人ひとりではなく、チーム一丸となって、準備して戦っていきたい」と気を引き締めれば、指揮官も「沖縄サントリーアリーナで絶対に勝つ。ここで勝てば首位。この1試合はすごく大切になる」と意気込んだ。 なお、韓国との首位決戦は3月1日14時に試合開始。DAZNにてライブ配信される。,[],[]
西武が桑原将志のタイムリーなどで逆転勝ち、ロッテは投手陣が踏ん張れず｜プロ野球結果（DAZN News）,https://news.yahoo.co.jp/articles/2482018af6ef6dd0ff61f292dbce63ecb265b878,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260228-00010009-dazn-000-1-view.jpg?exp=10800,2026-02-28T19:58:20+09:00,2026-02-28T19:58:20+09:00,DAZN News,dazn,DAZN News,400,埼玉西武ライオンズ・桑原将志(C)産経新聞社 2月28日、都城で行われた千葉ロッテマリーンズ対埼玉西武ライオンズのオープン戦は、4-1で西武が勝利した。西武は対外試合初勝利となった。 【映像】桑原将志の逆転打や篠原響のキレキレストレートなど 西武は1点を追う5回、西川愛也のタイムリーで追いつく。さらに桑原将志の「雑にならずに丁寧に打つことができたのでよかったです」というタイムリーで逆転に成功した。8回には山村崇嘉の2点タイムリーでリードを3店に広げた。 投げては7投手による継投でロッテ打線を1点に抑え込んだ。侍ジャパンのサポートメンバーとしても活躍した篠原響は5番手で登板し、2回を無安打無失点、2奪三振と好投を見せた。 ロッテの先発・西野勇士は3回を2安打無失点と好投。しかし唐川侑己、木村優人が打ち込まれた。打線は初回に髙部瑛斗、藤原恭大の連打で先制したが、追加点を奪うことができなかった。,[],[]
FWとGK、2つの問題を抱えるユヴェントスに伊記者がフリーとなるノイアー＆レヴァンドフスキの名を挙げて大胆提案…解説陣の見解は？ ｜ セリエA（DAZN News）,https://news.yahoo.co.jp/articles/13b0e80828660cc251bc7e699c3d689abfbb0819,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260228-00010008-dazn-000-1-view.jpg?exp=10800,2026-02-28T18:34:44+09:00,2026-02-28T18:34:44+09:00,DAZN News,dazn,DAZN News,863,GKミケーレ・ディ・グレゴーリオらユヴェントスの選手たち(C)Getty images 【欧州・海外サッカー 最新ニュース】ルチアーノ・スパレッティ監督の下で巻き返しを図るユヴェントスについて、『DAZN（ダゾーン）イタリア』の解説陣が議論を交わした。 【動画】ユヴェントス vs コモ 第26節 前節では、セスク・ファブレガス率いるコモとの上位対決に敗れ、46ポイントのまま足踏みした5位ユヴェントス。3位ナポリや4位ローマとの差は「4」となった一方、背後のコモやアタランタとの差は「1」に迫り、セリエA終盤戦へ向けてUEFAチャンピオンズリーグ出場権争いが混沌としている。 そんな中、『ダゾーン・イタリア』の解説陣が番組「Friday Football Show」において、ユーヴェの課題となっているセンターフォワードとGKについて論じた。 司会を務めたトンマーゾ・トゥルチ記者は、昨シーズンにヴォイチェフ・シュチェスニーに代わって正GKとなったものの、失点が目立つGKミケーレ・ディ・グレゴーリオや、適応に苦戦するFWロイス・オペンダやFWジョナサン・デイヴィッドに代わる大胆補強を提案。ユーヴェに欠けている「パーソナリティが向上する」として今夏にフリーとなるGKマヌエル・ノイアーとFWロベルト・レヴァンドフスキの名前を挙げ、元ナポリ主将のダリオ・マルコリン氏の見解を求めた。 「理論上、CFは（ドゥシャン）ヴラホヴィッチが務めるはずだったが、彼は離脱してしまった。確かにユヴェントスは、FWとGKの2つのポジションにおいて困難を抱えている。だが今後、改善できると期待している」 「ユーヴェは攻撃に人数をかけるため、ボールロストした場合が課題となっている。失点の多くがカウンターによるものだ。ユーヴェはスパレッティ指揮下で攻撃面が改善したが、当然、攻守両面に取り組まなければならないからね。失点の原因となっているカウンターに関してバランスを取らなければならない。パーソナリティなどの要素もあるが、まずバランスが必要だ」,[],[]
アッレグリ率いるミランの問題点とは？OBの元イタリア代表FWが見解「完全に試合を掌握していたが…」 ｜ セリエA（DAZN News）,https://news.yahoo.co.jp/articles/4381471bc61cd3c058499ccbc13ede9b039e6072,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260228-00010007-dazn-000-1-view.jpg?exp=10800,2026-02-28T17:40:23+09:00,2026-02-28T17:40:23+09:00,DAZN News,dazn,DAZN News,989,マッシミリアーノ・アッレグリ監督率いるミランの選手たち(C)Getty images 【欧州・海外サッカー 最新ニュース】マッシミリアーノ・アッレグリ率いる2位ミランについて、『DAZN（ダゾーン）イタリア』の解説陣が見解を示した。 【動画】ミラン vs パルマ 第26節 今シーズンはマッシミリアーノ・アッレグリの下、首位インテルと共にスクデット争いを繰り広げてきたミラン。だが直近のリーグ戦でコモと引き分け、パルマに敗れてポイントを取りこぼし、ポイント差は「10」へと広がってライバルの独走を許した。2026年の獲得ポイントは第26節終了時点でインテルの「28」に対し、ミランは「19」にとどまっている。 そんな中、『ダゾーン・イタリア』の解説陣が番組「4-3-2-1」において、第2節から続いていた無敗記録が「24」でストップしたミランの問題点を分析した。OBのアレッサンドロ・マトリ氏は、格下との対戦における試合終盤のプレーに注目した。 「ミランは試合の各場面をマネージメントできていない点にある。試合終盤になると慌ててプレーするようになり、ゴールを挙げるためのアイディアにやや欠けている。だがこうした時間帯こそ、ゆっくりプレーするべきなんだ」 「パルマ戦は正しいアプローチで臨み、攻撃を仕掛けていた。全く苦しむことがなく、完全に試合を掌握していた。だが時間が経過するにつれて、慌てたプレーになり、ミスが増えてラインが下がり、相手にチャンスを与えてしまった」 「そして負けるリスクを負うことになった。ミランはこうした複雑な試合をコントロールできるようにしなければならない。試合終了間際は、落ち着いてメンタル面でより上手にコントロールしなければならない」 マトリ氏はその上で「攻撃の代替オプション、より確実な決定力が必要だ」と指摘している。「（ラファエウ）レオンや（クリスティアン）プリシッチは良いスタートを切り、得点に関して想定以上の活躍を見せていた。だがこのミランには、15～20ゴールを保証してくれるセンターフォワードがいない」と締めくくった。 なお、ミランは日本時間3月1日のセリエA第27節において、クレモネーゼと敵地で対戦する。 試合情報 クレモネーゼ vs ミラン 試合日時：2026年3月1日（日）日本時間20:30 会場：スタディオ・ジョヴァンニ・ジーニ,[],[]
鈴木彩艶が約3カ月半ぶりベンチ復帰のパルマが残留へ前進！驚きの欧州級ゴールも飛び出した一戦を伊解説陣が徹底分析 ｜ セリエA（DAZN News）,https://news.yahoo.co.jp/articles/d37d0448f9d9d11ff95202009745b410102d5d3f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260228-00010006-dazn-000-1-view.jpg?exp=10800,2026-02-28T17:20:09+09:00,2026-02-28T17:20:09+09:00,DAZN News,dazn,DAZN News,1219,今季、パルマの指揮を執る30歳のカルロス・クエスタ監督(C)Getty images 【欧州・海外サッカー 最新ニュース】日本代表GK鈴木彩艶が約3カ月半ぶりのベンチ復帰を果たしたパルマは、日本時間28日に行われたセリエA第27節パルマ対カリアリ戦で1-1と引き分け、セリエA残留へ前進した。『DAZN（ダゾーン）イタリア』の解説陣がパルマを徹底分析した。 【ハイライト動画】衝撃の欧州級ゴール！パルマ vs カリアリ 第27節 前節ではミランを撃破してサプライズを巻き起こした12位のパルマ。日本時間28日、40歳のファビオ・ピザカーネ率いるカリアリをホームに迎えると、63分にマイケル・フォロルンショの約30m弾でリードを奪われたが、83分にガエターノ・オリスターニオの得点で同点に追いつき、1-1と引き分けた。 パルマはこの結果、合計33ポイントを獲得して暫定11位へと浮上。昨シーズンの残留ラインとなった34ポイントまであと1ポイントに迫った。『ダゾーン・イタリア』の番組「Friday Football Show」では、解説陣のファビオ・バッザーニ氏がパルマの試合を振り返った。元イタリア代表FWは、「なんてことをやってのけたんだ」と実況をうならせたスーパーゴールのショックを引きずらず、1ポイントを獲得したパルマを評価した。 「フォロルンショが見せたようなエウロゴール（欧州クラスのスーパーゴール）でビハインドになった後は、必ずしもいつものように反撃できるわけではない。だがパルマは今夜も同点に追いつき、少なくともポイント差を維持することができた。何が起きてもバラバラにならず、またしても気迫を示したパルマは満足して帰宅できるだろう」 若手指揮官クエスタへの賛辞 昨夏、当時29歳でパルマの指揮官に就任し、鳴り物入りでセリエAへ参戦したカルロス・クエスタ。セリエA最年少の若手指揮官を巡って周囲の期待と不安が入り混じる中、チーム作りに取り組んできたが、その成果が実りつつある。バッザーニ氏が続けた。 「監督はチームの選手たちの特徴を嗅ぎ取り、感触を確かめて理解し、このチームに最適な服を着せた。そしてこの服が自信とポイントをもたらしたのなら、方針を変えることはほぼないだろう。もはやその場の状況をうまく解釈できるチームとへと成長し、メンタル面でも安定した」 パルマは今シーズン、1ゴールあたり勝ち点「1.65」と極めて効率的にポイントを獲得している。現役時代にナポリやラツィオなどでプレーしたダリオ・マルコリン氏が語った。 「クエスタがやって来た時、われわれは攻撃面で新しいものをもたらすのではないかと予想していた。だが現在、攻撃面よりも、優れた守備面について分析を行っている。攻撃力はリーグ内でワースト2位だが、そのゴールを重みのあるものに変え、うまく価値化できている。今日、（セリエA残留の）目標達成まであと1歩に迫った」,[],[]
「誇りを傷つけられた王者と対決」格下に敗れたばかりのインテルをジェノアのデ・ロッシ監督が警戒 ｜ セリエA（DAZN News）,https://news.yahoo.co.jp/articles/476701141612c9b4ac989635c95000895b329555,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260228-00010005-dazn-000-1-view.jpg?exp=10800,2026-02-28T12:20:58+09:00,2026-02-28T12:20:58+09:00,DAZN News,dazn,DAZN News,1027,1日のインテル戦を前にジェノアのダニエレ・デ・ロッシ監督が語った(C)Getty images 【欧州・海外サッカー 最新ニュース】14位ジェノアのダニエレ・デ・ロッシ監督が、日本時間3月1日4：45に予定されているセリエA第27節インテル対ジェノア戦へ向けて前日会見に出席し、意気込みなどを語った。 【ハイライト動画】衝撃の欧州級ゴール！ パルマ vs カリアリ 第27節 今シーズン途中から指揮を執るダニエレ・デ・ロッシの下、直近のリーグ戦でトリノに勝利を収めて降格圏のレッチェと3ポイント差の14位で残留争いを繰り広げるジェノアは日本時間1日、クリスティアン・キヴ率いる首位インテルとの対戦へ挑む。 ジェノア指揮官デ・ロッシがスタディオ・ジュゼッペ・メアッツァでの一戦を前に記者会見に出席。UEFAチャンピオンズリーグ（UCL）でボデ/グリムトに屈して16強進出を逃したばかりのインテルへ警戒感を強めた。 「相手はカンピオーネ（王者）たちだ。誇りを傷つけられたカンピオーネたちと対決しなければならない。とはいえ、UCLで次へ進めていたとしてもわれわれに勝とうとしただろう。トリノに勝ってインテルに負けるのは一部の人にとって普通かもしれない。だがここで、そんな平凡に甘んじないよう求めたい」 「われわれは何かを成し遂げたわけではない。降格圏から3ポイント差だ。やるべきことは多いが、良い取り組みをしていることは自覚している。トリノ戦では、私が望んでいるジェノアの姿が見えた」 「結果が出ずに重苦しい状況の時、私は軽快さをチームに求めた。軽快さはいい加減さを意味するのではない。カルチョはカルチョであり、相手の方が強い。だがこの結果とこの順位であるなら、軽快さがあるべきではない」 ジェノアを18位で引継ぎ、14位に浮上するまでチームを立て直したデ・ロッシ。『DAZN（ダゾーン）イタリア』解説陣のダリオ・マルコリン氏は「Friday Football Show」の番組内で、そんなジェノア指揮官を現ミラン指揮官に例えた。 「カリアリ時代のマッシミリアーノ・アッレグリに似ている。直観力とハングリー精神があり、ピッチでのプレーに関して非常に注意深い。またずる賢さと巧妙さ、慎重さのあるあの戦略を少々彷彿とさせるものがある」 試合情報 インテル vs ジェノア 試合日時：2026年3月1日（日）日本時間4:45 会場：スタディオ・ジュゼッペ・メアッツァ,[],[]
