headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
Nothingがミッドハイ「Phone (4a) Pro」発表　背面に光る「Glyphマトリックス」、カメラは最大140倍ズーム対応（ITmedia Mobile）,https://news.yahoo.co.jp/articles/18f585ae9277c30fd5c0c95abff0525b1757fdfc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260305-00000082-zdn_m-000-2-view.jpg?exp=10800,2026-03-05T23:23:13+09:00,2026-03-06T13:59:58+09:00,ITmedia Mobile,zdn_m,ITmedia Mobile,1612,海外で発表された「Phone (4a) Pro」 英Nothing Technologyが3月5日、新型スマートフォン「Phone (4a) Pro」をグローバルで発表した。3月13日に予約を開始し、3月27日に発売する。 【画像】背面に光るオシャレなLED 製品名に「Pro」と付くように、同時発表した「Phone (4a)」の上位モデルに位置付けられる。カラーはシルバー、ブラック、ピンクの3色を用意する。価格は499ユーロ（約9万1000円）から。 日本向けのNothingのページには、Phone (4a) Proの製品画像と共に「近日公開」と告知されている。Phone (4a)と合わせて、日本でも発売される見込みで、詳細は後日案内される。 Nothingスマートフォンの象徴ともいえる、背面が光る「Glyphインタフェース」は本機でも健在だ。カメラの横に設けられた「Glyphマトリックス」は137個のミニLEDから構成されており、通知やタイマーを表示する他、セルフィーを撮る際のミラーとして使うこともできる。Nothingのもう1つの特徴であるシースルーのデザインはカメラ横に採用しており、内部の構造を見られる。 アウトカメラはメイン、望遠、超広角に3眼で構成され、メインカメラと望遠カメラは光学式手ブレ補正に対応している。メインカメラはセンサー内の2倍ズームに対応する。望遠カメラにはペリスコープレンズを採用しており、先代の「Phone (3a) Pro」と比較して、カメラレンズの出っ張りを32％小さくなったとする。3.5倍の光学ズームと7倍のセンサー内ズームに対応し、デジタルズームと合わせて、最大140倍のズームが可能だ。 画像処理エンジンの「TrueLens Engine 4」では、13枚のRAWフレームを撮影して合成することで、ピクセル輝度を最大12倍高められるとする。また、シャッターを長押しして最大3秒間の動き、色、音を捉えた写真撮影もできる。 3200万画素のインカメラには89度の新しい広角レンズを採用したことで、Phone (3a) Proより撮影範囲が10％広がった。 Nothing Galleryアプリには、新機能として「AI消しゴム」を用意。1回タップするだけで、不要な被写体や人物、反射などを消去できる。特定の範囲を囲んで消去する機能も間もなく提供される予定だ。 Nothing独自のAI機能「Essential Space」にも対応しており、側面のEssential Keyから呼び出せる。この機能ではメモ、スクリーンショット、写真、音声などを記録でき、保存した内容を元に要約やアクションプランなどを提示してくれる。保存した内容はNothingデバイス間で共有できるが、今後はPCでも利用可能になる予定だ。 ディスプレイは6.83型の有機EL（1260×2800ピクセル）を備え、最大144Hzのリフレッシュレート、5000ニトのピーク輝度を確保している。強化ガラスとしてCorning Gorilla Glass 7iを装備している。プロセッサはQualcommのSnapdragon 7 Gen 4で、メインメモリ＋ストレージは8GB＋128GB、8GB＋256GB、12GB＋256GBの3種類を用意する。バッテリー容量は5080mAhで、最大50Wの急速充電、最大7.5Wのリバース充電に対応する。 本体サイズは76.6（幅）×163.6（高さ）×7.9（奥行き）mm、重量は210g。ユニボディーには、航空機で使われるグレードのアルミニウムを採用しており、5300平方ミリメートルの大型ベイパーチャンバーを採用することで、Phone (3a) Proから冷却面積が82％大きくなった。本体はIP65の防塵（じん）・防水に対応している。 ITmedia Mobile,[],[]
Nothing、6万円台の「Phone (4a)」詳細公開　光る「Glyphバー」に、Snapdragon 7s Gen 4を採用（ITmedia Mobile）,https://news.yahoo.co.jp/articles/45a5a93006b3a917fd6c58689299c8dcc61a164b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260305-00000081-zdn_m-000-1-view.jpg?exp=10800,2026-03-05T22:37:12+09:00,2026-03-05T22:37:12+09:00,ITmedia Mobile,zdn_m,ITmedia Mobile,975,英Nothing Technologyの発表イベント 英Nothing Technologyは3月5日（日本時間19時30分頃）、スマートフォンのミッドレンジモデルとなる「Phone (4a)」の詳細を公開した。販売価格は349ユーロからに設定しており、発表時点のレートで日本円に換算すると約6万3480円となる。日本でもすでに製品サイトを公開している。 【画像】Phone (4a)のアウトカメラ 本体のカラーバリエーションはホワイト、ブラック、ブルー、ピンクの4色を展開する。Nothingにとって、ピンクは単なる新色ではなく、表現力豊かなテクノロジーへの前向きな姿勢の象徴で、ブランドのデザイン言語に影響を与えたアートやポップカルチャーへの敬意でもあるそうだ。 発売を記念し、ロンドンでは街頭ポスターやソーホーストアをピンクのグラフィティで彩る遊び心あふれる施策を展開。デザイン・リードのルーシー・バーリー氏は、「彩度を落とした赤であるピンクをシースルー素材の内側に加えることで、レジンと光が干渉し、製品に驚くほどの奥行きと生命感が生まれる」と語る。細部までこだわり抜いたディテールを際立たせるこの色は、過去の技術へのオマージュと革新を同時に表現している。 メモリとストレージの組み合わせは8GBと128GB、8GBと256GB、そして上位構成となる12GBと256GBの3種類を用意した。 「Glyphバー」は光で通知 ミニLEDは63個に及ぶ Phone (4a)の最大の特徴は、背面パネルに配置した「Glyphバー」にある。この独自の仕組みは光のパターンとサウンドを駆使して、さまざまな情報をユーザーへひと目で伝える役割を果たす。特定の連絡先やキーワードからの通知に特別な光を割り当てる「Essential通知」も備える。 ライドシェアの到着やデリバリーの進捗、タイマーの残り時間も光の動きで確認できる。画面を点灯させずとも状況を把握できるため、作業への集中を妨げないはずだ。発表時点ではUberやGoogleカレンダーなど主要なアプリに対応する。 背面のバーを構成するミニLEDは63個に及び、従来モデルの「Phone (3a) Pro」と比較して明るさを40％向上させた。視認性が高まったことで、日中の屋外でも通知を見逃す心配はない。,[],[]
Nothing、ノイキャン「Headphone (a)」発表　2万7800円（ITmedia Mobile）,https://news.yahoo.co.jp/articles/b65b16883cf552646e0057232be9cce2b009a395,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260305-00000079-zdn_m-000-1-view.jpg?exp=10800,2026-03-05T21:12:23+09:00,2026-03-05T21:12:23+09:00,ITmedia Mobile,zdn_m,ITmedia Mobile,916,「Headphone (a)」 英Nothing Technologyは3月5日の19時30分頃（日本時間）、ノイズキャンセリング機能付きのワイヤレスヘッドフォン「Headphone (a)」を発表した。日本での販売価格は2万7800円に設定した。カラーはブラック、ホワイト、ピンク、イエローの4色を展開する。このうちイエローについては、後日発売する予定だ。 【画像】Headphone (a)の特徴 ハイレゾやLDACをサポート Headphone (a)は、AIを活用するフィードフォワードマイクとフィードバックマイクを2台ずつ搭載する。利用者は、これらのマイクを組み合わせた3段階のアクティブノイズキャンセリングによって、周囲の雑音を遮断して音楽に没頭できる。状況を確認したい場面では、周囲の音を取り込む外音取り込みモードへ切り替えることが可能だ。 音質面では、チタンでコーティングした40mmの振動板を採用している。次世代型のマグネットとボイスコイルシステムを持つドライバーが、最大110dBの音量で表現力豊かな高音域と深い低音を再現する。さらに独自の機能が低周波数をリアルタイムで検知し、ゆがみを抑えながらビートを大きく響かせる。 有線と無線の双方でハイレゾ認証を取得している点も特徴だ。無線接続ではLDACに対応し、利用者は24ビット/96kHzの高品質なオーディオをコードなしで体験できる。有線接続を選ぶ場合は、3.5mmオーディオジャックを利用して音楽を再生できる。 バッテリーは135時間持続 大容量のバッテリーを内蔵し、135時間という驚異的な持続時間を実現した。利用者は音楽の再生を5日以上連続して楽しめる。効率の良いチップセットを搭載するため、アクティブノイズキャンセリングを最大出力で使っても、1回の充電で75時間以上の駆動が可能とのことだ。 わずか5分間の高速充電を行うだけで、最大8時間の音楽再生に対応する。フル充電までは約2時間で完了する。スマートフォンやノートPCからの充電もできる。本体重量は310gに抑えている。 なお、製品の詳細については公式サイトで確認できる。 ITmedia Mobile,[],[]
IIJmioで「Xiaomi 17 Ultra」「POCO F8 Pro」発売　MNPでのりかえ価格に（ITmedia Mobile）,https://news.yahoo.co.jp/articles/c8d6d8aa691b87e9cc743e20e591f441bb36c8b1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260305-00000076-zdn_m-000-1-view.jpg?exp=10800,2026-03-05T19:23:28+09:00,2026-03-05T19:23:28+09:00,ITmedia Mobile,zdn_m,ITmedia Mobile,1044,特別カラーの「motorola razr 60 ultra」や「POCO F8 Pro」「REDMI Note 15 Pro 5G」 インターネットイニシアティブ（IIJ）は、3月5日に「Xiaomi 17 Ultra」「POCO F8 Pro」「REDMI Note 15 Pro 5G」を販売開始した。 【画像】「スマホ大特価セール」「機種変更応援キャンペーン」の価格 Xiaomi 17 Ultraはプロセッサに「Snapdragon 8 Elite Gen 5」を搭載。ライカ監修のカメラシステムを搭載し、3眼レンズの光学望遠撮影も可能とする。価格は16GB／512GBモデルは一括19万9800円、24回払いは月8328円、16GB／1TBモデルは一括21万9800円、24回払いは月9164円。 POCO F8 Proは約6.59型ディスプレイやプロセッサに「Snapdragon 8 Elite」を搭載し、バッテリー容量は6210mAh。価格は12GB／256GBモデルは一括8万9980円、24回払いは月3752円、12GB／512GBモデルは一括9万9980円、24回払いは月4170円。 REDMI Note 15 Pro 5Gはプロセッサに「MediaTek Dimensity 7400-Ultra」、2億画素メインカメラを搭載。IP68相当の防水／防塵（じん）を備え、おサイフケータイにも対応する。価格は8GB／256GBモデルは一括5万4980円、24回払いは月2300円、8GB／512GBモデルは一括6万4980円、24回払いは月2718円。 この他、motorola razr 60 ultraの特別カラー「マウンテントレイル」も500台の数量限定で提供。バックパネルにForest Stewardship Council（森林管理協議会）認証済みの木材を使用した折りたたみスマートフォンで、各個体ごとに異なる木目や経年変化も楽しめるという。一括価格は21万9800円、24回払いは月9164円。 いずれも3月31日まで実施中の「スマホ大特価セール」の対象となり、IIJmioモバイルサービス ギガプランの音声SIM／eSIMをMNPかつ対象端末を同時申し込みすると1契約者（mioID）あたり1台まで期間限定のりかえ価格で購入可能。マウンテントレイルは対象端末を特別価格で提供する「機種変更応援キャンペーン」の対象になる。 ITmedia Mobile,[],[]
LINEの「ホーム」タブ刷新　ニュースや動画で“いまの空気”を感じられる場所に（ITmedia Mobile）,https://news.yahoo.co.jp/articles/bd6b66d9fecf4d0c54b53b48e2e813f71d11e671,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260305-00000075-zdn_m-000-1-view.jpg?exp=10800,2026-03-05T19:17:54+09:00,2026-03-05T19:17:54+09:00,ITmedia Mobile,zdn_m,ITmedia Mobile,958,LINEのホームタブをリニューアルする LINEヤフーは3月5日、コミュニケーションアプリ「LINE」にて、「ホーム」タブのリニューアルを開始した。LINEのバージョン26.2.0以上のユーザーを対象に、一部から段階的に提供範囲を拡大する。 【画像】リニューアルしたLINEのホームタブ 今回のリニューアルにより、ホームタブは従来の機能を維持した「アクティビティ」エリアと、最新情報を集約した「コンテンツ」エリアの2層構造に変更された。同社が2025年から進めているアプリ全体のリニューアルの一環であり、トークやショッピング、ミニアプリに続く変更となる。 上部のアクティビティエリアでは、従来の友だちリストやサービス一覧に加え、友だちの新着通知や気象情報といった生活に密着した情報を表示する。コンテンツエリアでは、ニュース、スポーツ、エンターテインメントなど、ユーザー個々の興味関心に基づいた情報を提供する。各コンテンツにはリアクションボタンが設置され、利用状況に応じて最適化される仕組みだ。 コンテンツエリア上部には、話題性の高い情報を大きな画像や動画で表示する「Today's pick」を配置する。また、企業やアーティストなどのLINE公式アカウントによる投稿やLINE NEWSの記事、SNS投稿なども配信される。一例として、「LYPプレミアム with Netflix」の公式アカウント「LINEFLIX」を通じて、Netflixの最新情報なども発信する予定だ。 ビジネス面では、企業やクリエイターによる投稿の配信とともに、「LINE広告」のインフィード型広告の表示面も拡大される。今後は生成AIを活用したコンテンツ拡充も計画されており、ユーザーが求める情報をより的確かつタイムリーに届ける環境の実現を目指すとしている。 ホームタブ刷新の狙いについて、LINEヤフーは「ニュースなどの最新の話題や、スキマ時間に楽しめるコンテンツなど、世の中の”いまの空気”が感じられる場としてリニューアルする」と説明する。今後は、ユーザーの声を踏まえながら、全ユーザーへの提供に向けて機能改善を進めていく。 新しいホームタブを初めて起動する際には、操作方法を説明するポップアップが表示される。 ITmedia Mobile,[],[]
2025年のタブレット出荷数は前年比27.9％増、iPadが16年連続でシェア1位　MM総研調べ（ITmedia Mobile）,https://news.yahoo.co.jp/articles/0d353eb5644e8292aac1ae3ad9f50183f1c20f86,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260305-00000073-zdn_m-000-1-view.jpg?exp=10800,2026-03-05T18:45:34+09:00,2026-03-05T18:45:34+09:00,ITmedia Mobile,zdn_m,ITmedia Mobile,834,タブレット出荷台数調査（2025年1月～12月） MM総研は、3月5日に「タブレット出荷台数調査（2025年1月～12月）」の結果を発表した。 【画像】2025年暦年 メーカー別／OS別 出荷台数 出荷台数は小中学校を対象としたGIGAスクール端末の買い替え需要に伴い、812万台と前年比27.9％増。GIGAスクール端末の導入初期（2020～2021年）に記録した900万台規模には届かず、2026年も1～3月期を中心に買い替え需要が見込めるものの前年水準を維持できるほどの需要は期待できないため2026年は100万台規模で減少すると予測する。 2025年暦年のメーカー別出荷台数シェア1位はAppleで、暦年出荷台数として16年連続で1位を獲得。出荷台数は482.3万台（前年比47.2％増）で、シェアは59.4％（前年比7.8ポイント上昇）となった。2位はNECレノボグループで87.1万台（シェア10.7％）、3位はMicrosoftで49.2万台（6.1％）、4位はDynabookで35.3万台（4.3％）、5位はLIMNOで34.5万台（4.2％）となり、上位5社で84.8％を占めた。 OS別の出荷台数／シェアはiPadOSが482.3万台（シェア59.4％）で、2018年から8年連続1位。2位はAndroidで219.8万台（27.1％）、3位はWindowsで109.9万台（13.5％）となる。 回線別の出荷台数／シェアはWi-Fiタブレットが688.7万台（シェア84.8％）、セルラータブレットが123.3万台（15.2％）となった。画面サイズ別の出荷台数／シェアは9型以上が727万台（シェア89.5％）、9型未満が85万台（10.5％）と大画面タブレットが約9割を占める傾向は変わらないものの、ゲーム利用などに適したAndroidタブレットが一定のユーザー層に支持されて9型未満の比率をわずかに押し上げた。 ITmedia Mobile,[],[]
OnePlusは撤退するのか？　ハッセルブラッド終了、CEO逮捕報道──揺れる名門ブランドの現状とOPPO再編の行方（ITmedia Mobile）,https://news.yahoo.co.jp/articles/532505feb557f1243dee0620abcf207733936c7b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260305-00000071-zdn_m-000-1-view.jpg?exp=10800,2026-03-05T18:40:10+09:00,2026-03-05T18:40:10+09:00,ITmedia Mobile,zdn_m,ITmedia Mobile,2137,OnePlusは撤退するのか？ 2025年末ごろから、OnePlusがスマートフォン事業から撤退するのではないかという臆測が広まりました。SNSを通じて同社のインドCEO、ロビン・リュー氏がこれを否定したことで、即座に事業が停止する事態は回避された格好ですが、OnePlusを取り巻く市場環境が依然として厳しいことに変わりはありません。 【画像で見る】ゲーミングモデルとしては特徴に欠ける背面デザイン 2025年10月に発売されたフラグシップモデル「OnePlus 15」では、象徴的だったハッセルブラッドとのカメラ提携が終了しました。さらに2026年1月初頭には、台湾での違法な事業運営を理由に、CEOのピート・ラウ氏に逮捕状が出されたとの報道も飛び出しています。近年の停滞感に加え、こうしたネガティブなニュースが相次いだことで、ファンの間では懸念の声が一段と強まっています。 OnePlusはもともと、OPPOの当時副社長だったピート・ラウ氏がハイエンドスマートフォンの開発のため、2013年に独立して立ち上げました。ちなみに共同創業者は現在Nothingを率いるカール・ペイ氏です。その後、2015年にOujia Holdingsが誕生し、OPPOとOnePlusがその傘下に入りました。そして2021年にOnePlusはOPPOのサブブランド的な位置付けとなり、中国ではOPPOストアでOnePlusの製品販売も始まっています。 2026年1月末、中国・深センのOPPOストアを訪れると、フラグシップの「OnePlus 15」をはじめ、ミドルハイの「OnePlus Ace 6」シリーズ、最新の「OnePlus Turbo 6」シリーズが軒を連ねていました。特に学生を中心とした若年層がデモ機でゲームに興じる姿が目立ち、高い支持を集めている様子がうかがえました。 上位モデルである「OnePlus 15」や「OnePlus Ace 6」シリーズは、OPPO本体の製品ラインアップと差別化を図るべく、ゲーミング性能を前面に打ち出した戦略を展開しています。カメラ性能も一定の水準を維持していますが、主眼に置かれているのはあくまでコアなゲームユーザー層です。 新機軸の「OnePlus Turbo 6」は、一部の仕様を抑えつつも、Snapdragon 8s Gen 4に165Hz駆動の6.78型ディスプレイ、さらには9000mAhの大容量バッテリーと80W急速充電を備えるなど、ゲーム特化の構成が光ります。 カメラを5000万画素の単眼に絞り込むという大胆な割り切りにより、2299元（約5万1000円）という極めて高いコストパフォーマンスを実現しました。 ただ、本体のデザインを見ると、背面のカメラまわりのデザインはOPPOの最近の製品と類似しています。プリント基板か配線のようなラインがプリントされているものの、あまり目立っていません。メーカーとして統一のデザイン性を持たせようとしているのかもしれませんが、ゲーミングモデルであればもっとアグレッシブな外観にしてほしいと思います。 現状、OnePlusはゲーム特化の3ラインを展開しており、デザインやカメラ性能、コスト効率を重視するOPPO本体の一般向けラインアップとは一定のすみ分けがなされています。OPPOも冷却ファン内蔵の「K」シリーズでゲーミング需要をカバーしていますが、意匠の違いによってOnePlusとの差別化は保たれているといえるでしょう。 しかし、OnePlusの先行きを揺るがしかねない動きがOPPO内部で顕在化しています。2026年1月、OPPOはこれまで独立性の強かったrealmeを、再びサブブランドとして統合・展開することを発表しました。2018年にインドで誕生し、その後分社化したrealmeは、同じOujiaグループに属しながらも独自のショップ展開やマーケティングで勢力を拡大してきた存在です。 当初はXiaomiのRedmiに対抗する安価なコスパモデルを主力としていたrealmeですが、独自に開発力を高め、現在ではSnapdragonの最上位チップを搭載するフラグシップ機まで手掛けています。さらに、弱点とされていたカメラ分野でも2025年10月に「リコーGR」との提携を発表するなど、全方位的な強化を図っています。 若年層をターゲットに低価格なゲーミングモデルも展開するrealmeの動きは、現在のOnePlusの製品群と真っ向から競合する可能性があります。中国国内で確固たる支持を得ている「Ace」や「Turbo」シリーズを、今後realmeとどう差別化していくのか。OPPOグループ全体としての製品展開および開発戦略の行方が注視されます。 かつて独自性を誇った「OxygenOS」も、2021年のコードベース統合以降はOPPOの「ColorOS」との共通化が進み、ブランドのアイデンティティーは岐路に立たされています。激変する市場環境のなか、2026年にOnePlusがどのような新機軸を打ち出すのか、業界全体がその一挙手一投足に注目しています。 ITmedia Mobile,[],[]
「iPhone 17e」純正ケースは肩掛け可能　手ぶらで外出し放題（ITmedia Mobile）,https://news.yahoo.co.jp/articles/dc4d742cc4478aae4007501047bb4c565f536e5a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260305-00000068-zdn_m-000-1-view.jpg?exp=10800,2026-03-05T17:03:18+09:00,2026-03-05T17:03:18+09:00,ITmedia Mobile,zdn_m,ITmedia Mobile,701,「クロスボディストラップ」 Appleは3月11日、スマートフォン「iPhone 17e」の本体発売に合わせて専用の純正ケースを発売する。前機種のケースとは仕様が異なり、iPhone 17e用ケースはストラップを通す穴を備えている。利用者は端末を肩から下げて使うことが可能だ。 【画像】iPhone 17e向け肩掛け可能なケース 別売りの「クロスボディストラップ」を取りつけることで、ハンズフリーで端末を持ち歩ける。価格は9980円だ。Appleは100％再生PETの糸を用いたウーブン素材を採用して製品を製造している。ステンレススチール製のスライド構造を持つ。利用者は両方のストラップをそろえた状態を保ちながら、最大長2080mmから最小長1080mmの間で容易に長さを調節できる。 クロスボディストラップに対応する純正ケース 対応する「MagSafe対応iPhone 17eシリコーンケース」の価格は7980円だ。iPhone 17eと同色のソフトピンクも選べる。 Appleは45％の再生シリコーン素材を利用して製造している。外側は柔らかく、内側はマイクロファイバーで保護する。シリコーンケースはマグネットを内蔵しており、簡単にケースを本体へ取り付けることが可能だ。ケースを装着した状態のままでも、MagSafe充電器やQi2規格の充電器の上に置くだけで、端末を充電することが可能だ。 ケースは端末を傷つきにくくする役割を果たし、利用者が誤って端末を落下させた際の衝撃からも本体を保護する機能を実現している。春らしいピンク色が選べるだけでなく実用性も兼ね備えている。 ITmedia Mobile,[],[]
iPhone／Apple Watchでドアを解錠　Appleホームキー対応スマートロック「J200」登場（ITmedia Mobile）,https://news.yahoo.co.jp/articles/4625c59ce4a7eadecac1521a17945e49e6cf05bf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260305-00000065-zdn_m-000-1-view.jpg?exp=10800,2026-03-05T16:41:32+09:00,2026-03-05T16:41:32+09:00,ITmedia Mobile,zdn_m,ITmedia Mobile,781,Appleホームキー対応スマートロック「J200」 Aqaraは、3月5日にAppleホームキー対応スマートロック「J200」を応援購入サイト「Makuake」で先行予約販売を開始した。プロジェクト期間は4月20日22時まで。 【画像】利用イメージ 本製品はiPhoneやApple Watchの「ウォレット」アプリへホームキーを追加すれば、アプリなどを立ち上げる必要がなくキーパッドにかざすだけで解錠が可能。iPhone搭載の予備電力機能で、帰宅前に充電が切れてしまってもそのまま利用できる。 指紋認証、暗証番号、交通系ICカードなどにも対応し、暗証番号は通常のパスワードに加えて期間限定パスワード、ワンタイムパスワード、覗き見防止パスワードなども可能。スマートホーム共通規格「Matter over Thread」に対応し、1種類のアプリで複数の家電を一括管理できるという。 取り付け工事は不要で、日本国内に存在するドアのサムターン（つまみ）のうち厚さ2～22mmタイプに対応。1ドア2ロック（ダブルロック）ドアにも対応する。ロック本体内蔵電池の持続時間は約10カ月（フル充電で1日8回開閉した場合）で、電池残量が少なくなると本体からの音声、LEDランプのアラート、スマートフォンへのプッシュ通知で電池切れを防止する。 「シングルロックセット（キーパッド付き）」は一般販売価格が2万2980円。リターンとして35％オフの1万4930円になる早割、30％オフの1万6080円になるMakuake限定価格などを提供する。1ドア2ロック向けの「ダブルロックセット（キーパッド付き）」は一般販売価格が3万9950円で、38％オフの2万4770円になる超早割などを提供。この他、スマートロック本体のみ、まとめ買い用のリターンも選択できる。 ITmedia Mobile,[],[]
エレコムから「iPhone 17e」用ケースやフィルム　超極薄0.07mm保護ガラスも（ITmedia Mobile）,https://news.yahoo.co.jp/articles/47f2921fa7c792c4d70f76f550d211efb05d4317,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260305-00000063-zdn_m-000-1-view.jpg?exp=10800,2026-03-05T16:22:12+09:00,2026-03-05T16:22:12+09:00,ITmedia Mobile,zdn_m,ITmedia Mobile,499,（写真：ITmedia Mobile） エレコムは「iPhone 17e」対応アクセサリー群を、本体の発売に合わせて順次発売する。本体を保護するフィルムやケースを幅広く用意する。利用者が新型端末を安心して使用できるよう、機能性とデザイン性を両立させた製品を市場へ投入する。 【画像】iPhone 17e用極薄ガラス ケース類では、中央のくびれ形状により手に馴染むグリップ感を実現した「Grippy」シリーズを用意。このGrippyには、磁力装着タイプのワイヤレス充電器に対応したMAGKEEP搭載モデルや、動画視聴に便利なスタンド付きのハイブリッドケースが含まれる。多様な素材を用いたハードケースやソフトケースも取りそろえる。 画面保護フィルム・ガラス類では、Gorillaガラスを採用した高透明モデルやブルーライトカットモデルを展開する。特に、端末に被せてテープを引くだけで正確な位置に貼れる「超簡単貼り付けツール」を付属した製品に注力している。石見浩一氏は、超極薄0.07mmのガラスを採用した超感度フィルムなど、画面の鮮明さと操作性を損なわない選択肢を提供する。 ITmedia Mobile,[],[]
