headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
高級食材「伊勢海老」のはずが実は外国産ロブスター　通報者「色が違う若干赤い」　三重（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/0c82bfe521b83d079516029b6bde24d82f3c212a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260313-90034625-nbnv-000-1-thumb.jpg?exp=10800,2026-03-13T19:48:02+09:00,2026-03-13T19:48:02+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,1669,メ～テレ（名古屋テレビ） 三重県の名物として知られる高級食材、伊勢海老。しかし、そのブランドを揺るがしかねない問題が発覚しました。土産物店が、外国産のロブスターを伊勢海老と表示して販売。なぜ、起こってしまったのか、深堀りしました。 土産物店で、販売されていた商品。ポップには「伊勢海老」の文字が、はっきり書かれてます。しかし、実際に販売されていたのは「別の種類のエビ」でした。 「ロブスターを伊勢海老として販売していた店に県の職員らが入って行きます。正しい産地を記載しているか、再発防止策が取られているかなどを確認するということです」（記者） 三重県鳥羽市にある「伊勢志摩土産センター王将」。県によりますと、この店にある食堂では外国産のロブスターを使っていたにも関わらずメニューやポスターに「伊勢海老」と表示していたということです。 遅くとも2020年4月から去年9月末まで表示していたとみられ売り上げはあわせて約2600万円に上ります。 この店を経営しているのは、鳥羽市の小売業「サコウ食品」で、ほかの店では外国産の冷凍ロブスターを「伊勢海老」と表示して販売。 県は先月「サコウ食品」に対し、再発防止を求める措置命令を出しました。 「ハサミのないロブスターだった」 「伊勢海老」と表示できるのは1種類のみ 県の調査に対して、「外国産ロブスターを伊勢海老と表記してはいけないことを知らなかった」と理由を話す会社側。ロブスターと伊勢海老、何が違うのでしょうか？県の担当者に聞きました。 「日本の法律で（伊勢海老と）表示をしていいのは 『イセエビ科 イセエビ属 イセエビ』に限られている。伊勢海老と表記していいのは1種類のみ、それ以外のものはロブスターと書くか、または具体的にミナミイセエビなどと書く必要がある」（三重県医療保健部・食品安全課・食品表示班 松田勝稔班長） イセエビ科には、いくつもの種類がありますが、ブランドとしての「伊勢海老」を名乗ることができるのは1種類のみだということです。 また、ロブスターは、大きなハサミを持つ種類もありますが―。 「ハサミがあるもの、みなさんがよくイメージされるロブスター。ただしロブスターの中にはイセエビ類も含まれているので、それはハサミがない。（今回のは）ハサミのないロブスターだった」（三重県医療保健部・食品表示班 松田班長） 今回の問題が発覚したきっかけは、「外国産のロブスターを伊勢志摩産であるかのように販売している」という通報からでした。 「（去年）7月にそれを知って、7月に保健所に行きました。最初は餌場っていうかそこの漁場の餌場の色なのかなって思った。色が違う、ちょっと若干赤い。だけど調べていくうちに、これは、ちょっとやっぱり違うのかなって、思いだして、県外から来られた方とかあまり見慣れてない方でしたら、伊勢海老って書かれたら、伊勢海老として購入すると思う」（通報者） 通報者の代理人弁護士は、今回の問題による、三重・鳥羽のブランドへの影響を懸念します。 「三重県の地元で偽伊勢海老を売られているとなると、本物の伊勢海老を扱っている漁業者、レストランへの影響も非常に大きい。買い控えが一番心配。伊勢海老を目当てに県外からいらっしゃる方は多いと思うが、本物を求めてきているわけで」（通報者の代理人 村田正人弁護士) 「本当に伊勢海老なのか」という問い合わせも 「レストランへの影響が大きい」と語る村田正人弁護士 そして、13日、県が状況を確認した結果は。 「確認した範囲では今のところ問題ない。誤解を招かないような消費さんの目線で消費者の思いが守られるように法律もあるのでそういうところを順守されてるかが必要」（三重県 消費生活センター班 山中秀彦班長） 外国産のロブスターを「伊勢海老」と販売していた他の店も「問題はなかった」としています。 ただ、この問題が発覚した後、伊勢志摩地域で伊勢海老を扱っている店の中には、「本当に伊勢海老なのか」という問い合わせもあるということです。,[],[]
ミラノ五輪で「銀」　スノボ長谷川帝勝選手が知事を表敬訪問「4年後金メダルをとる」　愛知（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/e63f25b3e84d061908207810ca10b72889514f39,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260313-90034626-nbnv-000-1-thumb.jpg?exp=10800,2026-03-13T19:16:01+09:00,2026-03-13T19:16:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,413,メ～テレ（名古屋テレビ） ミラノ・コルティナオリンピックのスノーボードで、銀メダルを獲得した愛知県岩倉市出身の長谷川帝勝選手が、知事を表敬訪問しました。 オリンピック初出場の長谷川選手は、スノーボード男子スロープスタイルで日本勢初となるメダルを掴み取り、新たな歴史を作りました。 長谷川選手は13日、そのメダルを胸に大村知事を表敬訪問し、「オリンピックは通過点だが、多くの人が笑顔になってくれて幸せな気持ちにさせてもらえた」とメダル獲得の喜びを報告しました。 「いろいろな人に応援されていたんだなと、すごく身に染みて分かった。メダルの色は銀ですけど、自分の人生の中では大きなものになった」(愛知・岩倉市出身 長谷川帝勝選手) ビッグエアでは、11位と悔しい思いをした長谷川選手。 次の目標として「ひとつひとつ準備をして4年後、ビッグエアとスロープスタイルで金メダルをとり、またいろいろな人を笑顔にできたらいいな」と語りました。,[],[]
アパート放火・殺人事件　殺人などの疑いで逮捕された男を起訴　別れ話をめぐりトラブルか　愛知（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/9b1b463586b0de45d7e7db9c3cdcbbf7d8f98a03,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260313-90034627-nbnv-000-1-thumb.jpg?exp=10800,2026-03-13T19:12:02+09:00,2026-03-13T19:12:02+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,311,メ～テレ（名古屋テレビ） 愛知県豊田市のアパートで女性が殺害され部屋が放火された事件で、殺人などの疑いで逮捕された男が起訴されました。 殺人などの罪で起訴されたのは、豊田市の建設業、北島卓被告(45)です。 起訴状などによりますと、北島被告は1月、豊田市内のアパートで、小川晃子さん(42)の首を圧迫して窒息死させ、ベッドに火をつけて小川さんの遺体の一部を損壊したなどとされています。 名古屋地検は、北島被告の認否を明らかにしていません。 北島被告は、警察に逮捕された際の取り調べでは容疑を否認し、その後、黙秘を続けていました。 北島被告と小川さんは当時、交際関係にあり、別れ話をめぐってトラブルになったとみられています。,[],[]
ドアラがイオンの監督続投　握手会などで売り上げアップに貢献、「結果出し続けます」（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/2cdd97b254fb6193571e708b6d7e5fd53ceb3ef4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260313-90034622-nbnv-000-1-thumb.jpg?exp=10800,2026-03-13T17:16:01+09:00,2026-03-13T17:16:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,386,メ～テレ（名古屋テレビ） 中日ドラゴンズのドアラが、去年に引き続きイオンの監督に就任し、ドラゴンズと東海地方を盛り上げます。 13日、ドアラの監督続投の記者会見が行われ、イオンリテール中部カンパニーの大杉尚裕支社長から、ドアラに任命証書が渡されました。 「ドアラ」は去年イオンの監督に就任し、握手会を行うなどして集客に貢献しました。 年3回行った「ドラゴンズセール」は、前の年と比べて売り上げが10％増えたということです。 続投について聞かれたドアラは、「結果出し続けます」。 ドアラは、商品の魅力を自ら発信していきたいと、高橋宏斗投手がモデルに起用されている伸縮性のあるスーツを着て、アクティブな動きを披露しました。 今、WBCで戦う高橋投手に「ちゃんとトップに立って経験を生かしてほしい」とエールを送りました。 （※高橋宏斗投手の「高」は、正しくは「はしごだか」です）,[],[]
三重・鳥羽沖で2人が死亡した遊漁船と貨物船の衝突事故　航海士の21歳女性を処分保留で釈放　津地検（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/53fc63227577145866aab51c621c80fcda3d603e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260313-90034623-nbnv-000-1-thumb.jpg?exp=10800,2026-03-13T17:05:01+09:00,2026-03-13T17:05:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,315,メ～テレ（名古屋テレビ） 三重県鳥羽市の沖合で船が衝突し2人が死亡した事故で、逮捕された貨物船の航海士の女性が処分保留で釈放されました。 2月20日、三重県鳥羽市国崎町の沖合で、貨物船「新生丸」と遊漁船「功成丸」が衝突し、釣り客の谷口幸吉さん(84)と中川元弘さん(67)が死亡、10人が重軽傷を負いました。 鳥羽海上保安部は「新生丸」を操縦していた2等航海士の女性(21)を業務上過失致死などの疑いで逮捕しましたが、津地検は13日付で処分保留のまま釈放しました。 津地検は釈放の理由を明らかにしていませんが、今後も調べを進めていくということです。 また鳥羽海上保安部は、遊漁船「功成丸」の船長についても任意で調べを進めています。,[],[]
赤信号を無視、自転車の男性はねて重傷負わせ逃げた疑い　軽トラック運転の男逮捕　三重・四日市市（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/d3796ce48afc5f13054c2b465810c7dc9bcfa2d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260313-90034621-nbnv-000-1-thumb.jpg?exp=10800,2026-03-13T17:00:02+09:00,2026-03-13T17:00:02+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,311,メ～テレ（名古屋テレビ） 12日夜、三重県四日市市で男性が車にひき逃げされ、大けがをしました。警察は59歳の男を逮捕しました。 過失運転致傷などの疑いで逮捕されたのは、四日市市の大工・泉家弘明容疑者（59）です。 警察によりますと、泉家容疑者は12日午後8時25分ごろ、四日市市羽津の交差点で軽トラックを運転中、自転車で横断歩道を渡っていた男性（23）に衝突し、腰の骨などを折る大けがをさせたにもかかわらず、逃げた疑いが持たれています。 警察の調べに対し、泉家容疑者は容疑を認めています。 ドライブレコーダーの映像などから、泉家容疑者が当時、赤信号を無視していたことが確認されていて、警察は事故の詳しい状況を調べています。,[],[]
女性にテキーラ32杯飲ませ死亡…44歳男に懲役14年判決　名古屋地裁「性欲のはけ口としてのみ扱った」（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/f4fe24751623a456c6946254657ff387bb70ef60,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260313-90034620-nbnv-000-3-thumb.jpg?exp=10800,2026-03-13T16:12:01+09:00,2026-03-13T19:07:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,407,メ～テレ（名古屋テレビ） 女性にテキーラを大量に飲ませ、死亡させたとされる男に懲役14年の判決が言い渡されました。 準強制性交等致死などの罪に問われたのは、名古屋市港区の会社役員・板谷博希被告(44)です。 起訴状などによりますと、板谷被告は2023年5月、名古屋市中区の飲食店で女性(当時25歳)にテキーラを32杯飲ませて泥酔させた上、ホテルに連れ込んでわいせつな行為をしようとし、その後女性を死亡させたとされています。 板谷被告は「わいせつ目的の意図はありませんでした」と起訴内容を否認し、弁護側は無罪を主張していました。 名古屋地裁は13日の判決で、「短時間のうちに高濃度のアルコールを連続して多量に摂取する行為に、死亡する危険があることは客観的に明らか」としました。 そのうえで「被害者を性欲のはけ口としてのみ扱い、人格を無視したことは厳しく非難される」として、板谷被告に懲役14年の判決を言い渡しました。,[],[]
特殊詐欺に多く使われる国際電話　警察が「利用休止」呼びかけるキャンペーン　詐欺電話対策アプリも紹介（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/9650cf0c9f28447ba513ed00acbdced4df9ac953,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260313-90034619-nbnv-000-1-thumb.jpg?exp=10800,2026-03-13T12:27:01+09:00,2026-03-13T12:27:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,362,メ～テレ（名古屋テレビ） 特殊詐欺被害の防止に有効とされる、国際電話の利用休止を呼びかけるキャンペーンが愛知県一宮市で行われました。 去年1年間に愛知県内で発生した特殊詐欺被害は1963件で、被害総額は約93億円にのぼっています。 特殊詐欺の多くに国際電話が使用されることから、13日、一宮市の商業施設に国際電話の利用休止を申し込むことができるブースが設置されました。 また、スマートフォンにかかってくる詐欺電話を判別することができる対策アプリの紹介も行われました。 「詐欺電話は高齢者だけでなく、どんな世代にもかかってくる。国際電話や詐欺電話を止めるアプリは非常に有効だと思う」（愛知県警一宮署 生活安全課 鈴木一春 課長） 国際電話の利用休止は、最寄りの警察署やインターネットで手続きすれば、無料でできるということです。,[],[]
紀伊半島でしか見られない「クマノザクラ」が見頃　淡いピンクの花びらが特徴　三重・紀宝町（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/272a2fd21a00e890cd352cc608b046a3f92b9066,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260313-90034618-nbnv-000-1-thumb.jpg?exp=10800,2026-03-13T12:27:01+09:00,2026-03-13T12:27:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,312,メ～テレ（名古屋テレビ） 三重県紀宝町で、紀伊半島でしか見られない「クマノザクラ」が見頃となっています。 クマノザクラは紀伊半島の南部のみに自生するサクラで、2018年に新種のサクラとして発表されました。 ソメイヨシノよりも早く咲き、淡いピンク色の花びらが特徴です。 クマノザクラは個体によって開花の時期に差があり、和歌山県との県境にある紀宝町北桧杖のクマノザクラはひと足早くほぼ満開となり、今が見頃となっています。 今年は、このところの寒さの影響などで、咲き始めが例年よりも1週間以上遅れたということです。 紀宝町のクマノザクラの見頃は来週の中頃まで。熊野市の山あいのクマノザクラなどは、これから咲き始めるということです。,[],[]
【地震】岐阜県内で震度1 富山県東部を震源とする最大震度1の地震が発生 津波の心配なし（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/dcd80a7e766eac558e5619b68184e4463230e65d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260313-90034617-nbnv-000-2-view.jpg?exp=10800,2026-03-13T04:33:01+09:00,2026-03-13T08:20:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,168,メ～テレ（名古屋テレビ） 3月13日午前4時26分ごろ、富山県東部を震源とする最大震度1の地震が発生しました。 岐阜県内では最大震度1の揺れが観測されています。 この地震による津波の心配はありません。 震源の深さは10km。地震の規模を示すマグニチュード（M）は2.7と推定されます。 岐阜県 【震度1】 高山市 提供：ウェザーニューズ,[],[]
