headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
読売ジャイアンツの解体新書！　3.26発売「Tarzan」で一冊丸ごと大特集（クランクイン！）,https://news.yahoo.co.jp/articles/2c0b03df21b575061d3534714fb53c012351d4f3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260323-00182841-crankinn-000-1-view.jpg?exp=10800,2026-03-23T21:40:00+09:00,2026-03-23T21:40:00+09:00,クランクイン！,crankinn,クランクイン！,1009,読売ジャイアンツを特集した「Tarzan」922号表紙 プロ野球開幕前日となる3月26日発売のフィットネス＆ウェルネスの総合誌「Tarzan」922号（マガジンハウス）では、“球界の盟主”である読売ジャイアンツを一冊丸ごと大特集。過去には野球の大谷翔平やサッカーの三浦知良、三笘薫、大相撲の横綱大の里などが表紙を飾り、アスリートやさまざまな競技を取り上げてきた本誌だが、一冊すべて一つのチームを取り上げるのは創刊以来初めての試みとなる。 【写真】北山亘基投手ら日ハム選手7人が「anan」SPエディション表紙に！ 3.25発売 大型企画にふさわしく、雑誌媒体としては異例の5ヵ月間に及ぶ長期取材を敢行。阿部慎之助監督率いる新生ジャイアンツの“いま”をあらゆる視点から掘り下げる特集が完成した。 一冊丸ごと「ジャイアンツ特集」は昨シーズン終了直後から始動。今シーズンの主役を虎視眈々と狙う若手選手が腕を磨いた秋季キャンプから、イベントや自主トレを追いかけたシーズンオフ、そして新たなチームが始動した春季キャンプに取材班が密着し、監督と選手たちに取材を重ねた。 「あえて難しいことに挑戦したい」と今シーズンへの意気込みを語った阿部監督や、20年目のシーズンを前に日々のトレーニングルーティンを細かく明かしてくれた坂本勇人選手、母校での自主トレの一日に完全密着し復活への意気込みを語った戸郷翔征選手など、独自取材でジャイアンツの最重要人物たちに迫った。 さらに、近年球団が力を入れる育成環境とそれを支えるキーパーソンたちも直撃。最新理論を取り入れた育成メカニズムやトレーニング、最先端の機器を導入して選手たちの動作解析のデータを蓄積・分析するデータアナリスティック、選手それぞれの特徴や体質に合わせた指導を行う食事部門など、“進化するジャイアンツ”の心臓部をリポート。 選手寮では、新人ながら今シーズンの開幕投手を務めることが発表されたドラフト1位ルーキーの竹丸和幸選手が寮を案内し、リラックススペースや風呂場など普段はカメラが入れない場所のリアルな様子を本誌だけに見せてくれた。 シーズン優勝、そして日本一を目指してチーム一丸となって戦うジャイアンツ。長期取材と専門的情報を盛り込んだ今号、チームの強さの秘密と裏側を知る「解体新書」になる。 「Tarzan」922号は、マガジンハウスより3月26日発売。特別定価820円。,[],[]
KEY TO LIT中村嶺亜、「anan」で初ソロ表紙！　アートと肉体美の融合で魅せる（クランクイン！）,https://news.yahoo.co.jp/articles/bdbd52ee3d2cc092b8a88bd6dc068812d821deb6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260323-00182840-crankinn-000-1-view.jpg?exp=10800,2026-03-23T21:20:00+09:00,2026-03-23T21:20:00+09:00,クランクイン！,crankinn,クランクイン！,1163,KEY TO LIT中村嶺亜が登場する「anan」2490号表紙 KEY TO LITの中村嶺亜が、4月1日発売の女性グラビア週刊誌「anan」2490号表紙にソロ初登場。4月2日の29歳の誕生日、そして4月3日から初の個展「ReBELiUM（リベリウム）」を開催するタイミングで、デビュー前のジュニアの中からの抜てきで初のソロ表紙を飾る。 【写真】KEY TO LIT中村嶺亜、初個展4.3より開催決定！ テーマは「僕の“想創禁足域”に侵入してもらう」 今回の撮影では、唯一無二の表紙とグラビアを本人の全面協力のもと制作。個展でも披露されるアート作品との撮影のほか、今回のグラビアに合わせた描きおろしのアートも収録。撮影のために鍛え上げた腹筋と、自身のアートとのコラボなど、異例のフォトグラビアをおくる。 以前にも「anan」誌面で鍛え抜かれた腹筋を披露してくれた中村。「抜てきしていただいたからには、絶対にカッコよく見せたかった」と本人も気合十分。トレーニングと食事制限がつくりあげた究極ビジュアルを今回さまざまななスタイリングで激写。“恋人にしたいジュニア”としても知られる中村ならではの彼氏感たっぷりの肌見せから、上裸にパールを巻いたアーティスティックなスタイリング、さらにはKEY TO LITの奇想天外感にインスパイアされたオリエンタルな奇天烈ファッションまで、彼の魅力の“振り幅”を感じさせてくれる。 約7000字に及ぶロングインタビューでは、約17年に及ぶジュニアとしての思いを振り返りつつ、デビューへの意気込みを熱く語ってくれた中村。アイドルとして常に笑顔を絶やさず活動できた理由、個展に際し掲げたテーマ“反逆”“反乱”という言葉にこめた意味など、いまの彼を深掘りできるインタビューとなっている。 中村は「ananの表紙、ソロ表紙を飾ることは、すごいことだと自覚していて。このタイミングで、素敵で光栄な機会を頂いたからには、頑張らなきゃと、カラダづくりにもめちゃくちゃ気合が入りました。僕にとっても特別な1冊、そして“今しかない中村嶺亜”を見てほしいです」とコメントしている。 同号では人気特集「カラダにいいもの大賞」をおくる。春編では花粉症対策グッズやマッサージ用品など編集部が実際に試して選んだ優秀アイテムをセレクト。このほか、「虚弱体質」脱却のアイデアや耳疲労対策、お腹のツボ押しなど、季節の変わり目に揺らぎがちなカラダを整える情報が満載。 さらにAぇ! group連載「Aぇ! 男たち」には佐野晶哉、舞台『Ambers－アンバースー』の開幕までを追う短期連載「AmberS Universe」には松尾龍が登場する。 「anan」2490号は、マガジンハウスより4月1日発売。特別定価880円（税込）。,[],[]
綾瀬はるか、実話を基にした主演作の試写で号泣「ズビズビで帰りました」（クランクイン！）,https://news.yahoo.co.jp/articles/3acda283e3cbe232387ffaa508b17ad74d02d6cc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260323-00182811-crankinn-000-1-view.jpg?exp=10800,2026-03-23T21:00:00+09:00,2026-03-23T21:00:00+09:00,クランクイン！,crankinn,クランクイン！,1129,綾瀬はるか、『人はなぜラブレターを書くのか』完成披露試写会に登場 女優の綾瀬はるかが23日、都内で開催された映画『人はなぜラブレターを書くのか』完成披露試写会に、當真あみ、細田佳央太、菅田将暉、妻夫木聡、佐藤浩市、石井裕也監督と共に出席。本作の試写で号泣したことを明かした。 【写真】綾瀬はるか、完成披露試写会で美しさ全開！ 本作は、2000年に起こった地下鉄脱線事故にまつわる1通の手紙が起こした奇跡の実話を基に映画化。高校時代に想いを寄せた相手に24年の時を超えて再びラブレターを書く寺田ナズナを綾瀬、学生時代のナズナを當真、ナズナの初恋相手・富久信介を細田が演じる。 上映を前に、綾瀬は「ラブレターをお渡しするような気持ちでドキドキしています」と心境を吐露。そして「この作品は、ある一人の女性が事故で亡くなった信介さんに1通の手紙を届けたところから物語がスタートしています。その映画を作るきっかけになった女性に感謝したいです」と続けた。 また、本作を初めて見た感想を聞かれると「本当に感動しましたし、人が人を思う気持ちというところに、とても素敵な、優しい、希望のある映画だなというふうに思いました」と回答。脚本を読んだ時には涙を流したという綾瀬は「脚本を読んだ時と同じように、すごい号泣してズビズビで帰りました（笑）」と打ち明けた。 本作への出演を悩んだという菅田は「過去にボクサー役をやって、ボクシングのしんどさを知っているからとかということでもなく、自分がこの作品で何ができるかということ」と告白。その上で「誰かの思いを背負って、いろんな家族だったりを背負って、最後、リングの上に立つという男の姿を通して富久信介くんの生きた証というものをスクリーンに残すという、その使命であればお受けしたいなと」と出演を決めた理由を明かした。 そして、タイトルでもある「人はなぜラブレターを書くのか」を改めて問われた綾瀬は「髭男（Official髭男dism）さんが主題歌を歌ってくださっていて」と前置きし、「藤原（聡）さんがおっしゃっていて、『それ以上にない言葉だな』と思ったんですけど、『思いが溢れた時に人はラブレターを書くのではないか』とおっしゃっていて、そうか、というふうにすごく思いました」と回答。「この映画自体が皆さんにとってラブレターになるように、一人ひとりの生き様全てが、きっと誰かのためになったり誰かを幸せにするんだろうなと思うと、その人の生きている存在というものがもうラブレターなんじゃないかと思いました」と続けると、隣にいた妻夫木は「良いこと言うようになったなぁ」と笑顔で頷いていた。 映画『人はなぜラブレターを書くのか』は、4月17日公開。,[],[]
乃木坂46・小川彩、高校卒業を報告　“同級生”長嶋凛桜＆矢田萌華との交流も明かす（クランクイン！）,https://news.yahoo.co.jp/articles/305c0d1eb8bf56b7cbe7f9df9bee2e673591e195,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260323-00182837-crankinn-000-1-view.jpg?exp=10800,2026-03-23T20:10:00+09:00,2026-03-23T20:10:00+09:00,クランクイン！,crankinn,クランクイン！,679,乃木坂46・小川彩 乃木坂46の小川彩が21日、自身のブログを通じて高校卒業を報告した。 「小川彩、18歳、高校卒業しました」のタイトルでブログを更新した小川は、「先日高校を卒業しました」と報告。中学2年生の終わりにグループへ加入してから約4年間、学業と活動を両立してきた日々を振り返り、「学校とお仕事と楽しく両立できたのは、たくさんの方の支えがあったおかげです」と感謝をつづった。 【写真】高校を卒業した小川彩 学校の制服姿を披露 卒業式当日も仕事があったというが、「少しの時間でも卒業式に出席できるようにしてくださって嬉しかったです」と周囲のサポートに感謝した。 また、高校3年時には後輩である6期生の長嶋凛桜、矢田萌華と同級生になったことにも触れ、「時々一緒に帰ったりできて楽しかったな」と回想。「2人とも私よりずっとしっかりしていて、2人に助けられたことがたくさんあります。ほんとにありがとう」と伝えた。同じく高校3年生の6期生・小津玲奈にも触れ、「小津ちゃんも一緒に、4人で制服ディズニー行こうね！」と呼びかけた。 「早く高校卒業したいなって思ったこともありました。だけど卒業したらちゃんと寂しい気持ちもありました」と率直な心境を明かしつつ、「高校生らしいことはそんなにできなかったかもしれないけど、乃木坂として過ごせたことでできたたくさんの経験が私にとってかけがえのない青春」と感慨深い気持ちをつづった。 最後は「努力感謝笑顔と初心を忘れずに、一歩一歩の一歩を今までより大きく踏み出して成長していけるように頑張ります」と今後への意気込みを語った。,[],[]
日向坂46・高井俐香、高校卒業を報告　同級生・大野愛実との思い出も明かす（クランクイン！）,https://news.yahoo.co.jp/articles/74a3e77287354536ba54ae298b50cf6ce2364c15,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260323-00182835-crankinn-000-1-view.jpg?exp=10800,2026-03-23T19:30:00+09:00,2026-03-23T19:30:00+09:00,クランクイン！,crankinn,クランクイン！,478,高校卒業を報告した日向坂46・高井俐香 ※「日向坂46」公式X 日向坂46五期生の高井俐香が23日、自身の公式ブログを通じて高校卒業を報告した。 【写真】日向坂46加入時は17歳だった高井俐香 高井は「先日、高校を卒業致しました」とつづり、「高校生活が終わってしまったということと、今後の人生への期待が、同時に押し寄せてくるような不思議な気持ちになっています」と、節目を迎えた現在の心境を明かした。 高井は兵庫県出身で、高校2年生までは地元の学校に通い、3年生で転校。「約1年間でしたが楽しい学校生活を送ることができました」と振り返っている。 思い出として挙げたのは体育祭。「体育祭楽しかったです 綱引きに参加したな〜」とつづる一方で、同じ五期生で同級生だった大野愛実とのエピソードも披露。「私と大野愛実は人見知りが出てしまい、壁際で2人体育座りでたじたじしていたのは、ちょっぴり苦い思い出。。。」と明かした。 さらに、高校3年時には日向坂46のグループ活動と学業を両立していたことにも言及。「高校生活3年間、とても楽しかったです！！」と締めくくっている。,[],[]
『リブート』塚地武雅、役名のフルネームを明かす　「まさかの初公開」と反響（クランクイン！）,https://news.yahoo.co.jp/articles/e7aa46e61e6c458784a0ae488ddfe694f70b7652,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260323-00182833-crankinn-000-1-view.jpg?exp=10800,2026-03-23T19:30:00+09:00,2026-03-23T19:30:00+09:00,クランクイン！,crankinn,クランクイン！,490,ドランクドラゴン・塚地武雅 お笑いコンビ、ドランクドラゴンの塚地武雅が23日、自身のXを更新。出演中のドラマ『リブート』（TBS系／毎週日曜21時）で演じている役名のフルネームを明かした。 【写真】フルネームが明らかに 塚地武雅演じる菊池 きっかけは、本作に出演する松山ケンイチの投稿に対し、主演の鈴木亮平が自身のXで「ついにあなたの大好きなムガ・ツカジが活躍しましたよ」と言及したこと。これを受けて塚地は、「誰がムガ・ツカジや！ 菊池！菊池瑛介！ エイスケ・キクチや！ まぁ役のフルネームはほとんどの方、知らないでしょうが…笑」とツッコミを交えつつ、自身の役名が「菊池瑛介」であることを明かした。 劇中で塚地が演じる菊池は、これまで番組公式サイトの人物相関図でも「菊池」とのみ表記されており、フルネームが公にされていなかった。今回の投稿により、思わぬ形で役名が判明した。 この投稿に対し、ファンからは「下の名前、瑛介だったんだ（笑）」「まさかのフルネームここで初公開」「下の名前を残り1話で知りました」などの声が寄せられている。 引用：「塚地武雅」X（＠tsukajimuga）,[],[]
『リブート』鈴木亮平＆戸田恵梨香、“夫婦ショット”に反響「2人とも生きて」「泣いちゃう」（クランクイン！）,https://news.yahoo.co.jp/articles/adc7446cc1b5e2c9cd786bac4a5ef74a388418c5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260323-00182829-crankinn-000-1-view.jpg?exp=10800,2026-03-23T19:00:00+09:00,2026-03-23T19:00:00+09:00,クランクイン！,crankinn,クランクイン！,403,（左から）戸田恵梨香、鈴木亮平 ※「鈴木亮平」インスタグラム 俳優の鈴木亮平が23日、自身のインスタグラムを更新。主演を務めるドラマ『リブート』（TBS系／毎週日曜21時）のオフショットを公開した。 【写真】まさかの展開が相次いだ『リブート』第9話 鈴木は「第9話、ありがとうございました。来週の最終回。期待していてください」とつづり、戸田恵梨香との2ショットを投稿した。 本作で鈴木は刑事の儀堂歩に“リブート”した早瀬陸を、戸田は幸後一香に“リブート”した早瀬夏海を演じている。 これまでの劇中では見られない幸せそうな夫婦ショットに「とーーっても素敵なお写真」「この写真見ただけで泣いちゃいますね」といった声のほか、「2人とも生きてください」「お願いやから幸せになってええ」など、物語の行方を案じる声も寄せられている。 引用：「鈴木亮平」インスタグラム（＠ryoheisuzuki_cityhunter）,[],[]
TVアニメ『カリスマ』2027年1月からTBS系にて全国放送決定！　ティザービジュアル公開（クランクイン！）,https://news.yahoo.co.jp/articles/31fd948d201a3a2ee5d3241aa6323e18ae16d5d3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260323-00182828-crankinn-000-1-view.jpg?exp=10800,2026-03-23T19:00:00+09:00,2026-03-23T19:00:00+09:00,クランクイン！,crankinn,クランクイン！,579,"TVアニメ『カリスマ』ティザービジュアル アニメ『カリスマ』（TBS系）が、2027年1月から全国放送されることが決定。あわせて、ティザービジュアルとティザービジュアル解禁映像が公開された。 【動画】『カリスマ』ティザービジュアル解禁映像 「カリスマ」は、音楽原作キャラクターラッププロジェクト「ヒプノシスマイク -Division Rap Battle-」の開発・運営を手がけるEVIL LINE RECORDSと株式会社Dazedが手がける二次元キャラクターコンテンツだ。2025年11月に開催された「カリスマガンボツアー」幕張公演にて、テレビアニメ化が発表されていた。 今回のアニメ化では、YouTubeで配信されている原作ドラマに引き続き、原作をDazed CO., LTD.・松原秀、キャラクター原案をえびも、音楽をEVIL LINE RECORDSが担当する。さらに、『劇場版 うたの☆プリンスさまっ♪ TABOO NIGHT XXXX』の総監督も務めた古田丈司を監督に迎え、『BLEACH 千年血戦篇』や『おそ松さん』を手がけるPIERROT FILMSがアニメーション制作を務める。 このたび、ティザービジュアルとティザービジュアル解禁映像が公開。公式ティザーサイトもオープンした。 アニメ『カリスマ』は、TBS系にて2027年1月より放送。",[],[]
乃木坂46・川崎桜、ランジェリーカット初挑戦！　1st写真集『エチュード』先行カット解禁（クランクイン！）,https://news.yahoo.co.jp/articles/70dcb83f8c3dd238d1937b0add570ed34fa7dec1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260323-00182815-crankinn-000-1-view.jpg?exp=10800,2026-03-23T19:00:00+09:00,2026-03-23T19:00:00+09:00,クランクイン！,crankinn,クランクイン！,450,乃木坂46・川崎桜1st写真集『エチュード』より 乃木坂46・5期生の川崎桜の1stソロ写真集『エチュード』（新潮社）より、初挑戦のランジェリーカットが解禁された。 【写真】乃木坂46・川崎桜、自身初のランジェリーカット 多才なメンバーがそろう乃木坂46の5期生の中でも、幼少期からフィギュアスケートの経験を持つ異色の存在、川崎。 そんな彼女の初めてのソロ写真集は、彼女が希望したのは、かねてより憧れがあったフランスで撮影された。ニースとパリの2都市で撮影を敢行され、彼女の「大人びた一面」と「無垢な少女の一面」という、22歳ならではの等身大の魅力を凝縮。多彩な表情を見せる彼女の“今”を鮮やかに切り取っている。 本作で、自身初となるランジェリー撮影に臨んだ川崎。今回、フランスでのロケ中に撮影された、柔らかな光の中で自然体な表情を浮かべる一枚が公開された。 乃木坂46・川崎桜1st写真集『エチュード』は、新潮社より4月14日発売。定価2855円（税込）。 ※川崎桜の「崎」は「たつさき」が正式表記,[],[]
サンリオ、“折りたたみテーブル”＆“ラグマット風キーホルダー”がカプセルトイに！　小さな部屋を表現できる（クランクイン！）,https://news.yahoo.co.jp/articles/b85e898728a8fcdcd9d098ddae463dcec06496e2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260323-00182732-crankinn-000-1-view.jpg?exp=10800,2026-03-23T19:00:00+09:00,2026-03-23T19:00:00+09:00,クランクイン！,crankinn,クランクイン！,561,「サンリオキャラクターズ minimini折りたたみテーブルその2」ダイカット ハローキティ（ウィンク） サンリオキャラクターズをデザインしたカプセルトイ「minimini折りたたみテーブルその2」と「miniminiラグマット風キーホルダー」が、3月下旬から、全国のカプセルトイ自販機で順次発売される。 【写真】もこもこのラグマット風キーホルダーも！ 新作カプセルトイ詳細 ■組み合わせて楽しめるミニアイテム 今回登場するのは、ミニチュアサイズの折りたたみテーブルとラグマット風キーホルダーを組み合わせて、小さな部屋のような世界観を楽しめるカプセルトイ。 「折りたたみテーブルその2」は、手のひらサイズで実際に折りたたみ可能なミニテーブル。ハローキティのダイカットデザインテーブルをはじめ、はぴだんぶいやウサハナのスクエア型のテーブルなど全6種がラインナップされ、手持ちのフィギュアやミニチュアアイテムと組み合わせて飾るのもおすすめだ。 一方、「ラグマット風キーホルダー」は、ハローキティやシナモロールなどのフェイスをデザインした、もこもことした手触りが特徴のアイテム。ボールチェーン付きでバッグに付けられるほか、「折りたたみテーブルその2」と組み合わせて飾ると、サンリオキャラクターズに囲まれた小さな部屋を表現できる。,[],[]
