headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
ミラノサンドBがリニューアル、ジャーマンドッグはロングサイズに　ドトールコーヒー新商品発売（食品産業新聞社ニュースWEB）,https://news.yahoo.co.jp/articles/d1cfffc7f4ac064dcb39c2143b7075a407c5b52f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260326-00010011-ssnp-000-1-view.jpg?exp=10800,2026-03-26T16:30:57+09:00,2026-03-26T16:30:57+09:00,食品産業新聞社ニュースWEB,ssnp,食品産業新聞社ニュースWEB,1644,"爽やかレモン ミラノサンドB スモークサーモン・エビ・アボカド ドトールコーヒーは、2026年4月9日（木）から、時間帯に合わせて楽しめる新作メニューを発売する。※文中価格は全て税込表記 【画像】新商品を写真で見る（8品） ラインナップは、「アイスコーヒー オハナブレンド ～ハワイ島自社農園コーヒー豆10％使用～」「ジャーマンロングドック」「レタスロングドック」「爽やかレモン ミラノサンドB スモークサーモン・エビ・アボカド」「カマンベールinミラノサンドB スモークサーモン・エビ・アボカド」「黒糖わらびもちオレ～黒ごま～」「沖縄県産黒糖パリパリチョコミルクレープ」。 朝には、「アイスコーヒー オハナブレンド ～ハワイ島自社農園コーヒー豆10％使用～」や、ソーセージがロングサイズとなった「ジャーマンロングドック」と「レタスロングドック」がおすすめ。 「爽やかレモン ミラノサンドB スモークサーモン・エビ・アボカド」と「カマンベールinミラノサンドB スモークサーモン・エビ・アボカド」は、ランチにぴったり。ティータイムには、「黒糖わらびもちオレ～黒ごま～」や「沖縄県産黒糖パリパリチョコミルクレープ」なども楽しめる。 〈商品概要〉 ●アイスコーヒー オハナブレンド ～ハワイ島自社農園コーヒー豆10％使用～／Sサイズ390円～ 期間限定のコーヒー「オハナブレンド」をアイスコーヒーで楽しめる。香ばしい香りのあとに広がる、スイートチョコレートやブラウンシュガーのような甘さが特徴。 【オハナブレンド ～ハワイ島自社農園コーヒー豆10％使用～／コーヒー豆 1,680円（200グラム）】 生豆生産国はエチオピア、グアテマラ、他。焙煎度は深煎り（シティロースト）。味わいはコク。特長は、ストロベリーのようなフルーティーな香りと、チョコレートやブラウンシュガーのような甘みと程良いコク。ホットはもちろん、アイスコーヒーとしてもおすすめ。一部店舗では取り扱いがない場合がある。数量限定のため商品がなくなり次第販売を終了。 ●ジャーマンロングドック／390円 通常のジャーマンドックより約1.3倍長いロングソーセージを使用。歯切れのよいさっくりとしたパン、ピリッと辛いマスタードソースと合わせて、食べ応えのある一品。 ●レタスロングドック／430円 通常のレタスドックより約1.3倍長いロングソーセージを使用。オリジナルのソースが相性抜群。 ●爽やかレモン ミラノサンドB スモークサーモン・エビ・アボカド／590円 ミラノサンドBがリニューアル。スモークしたサーモンの切り身に、プリプリのエビとクリーミーなアボカドを組み合わせた。仕上げにレモンソースをかけ、爽やかな味わいとなっている。 ●カマンベールinミラノサンドB スモークサーモン・エビ・アボカド／650円 ミラノサンドBに、カマンベールチーズが入ってさらに美味しくなった一品。味の深みとコクがプラスされた。 ●黒糖わらびもちオレ～黒ごま～／670円 黒ごま豆乳ベースにドトールミルクを合わせた黒ごまオレ。和テイストの風味豊かなデザートドリンク。 ●沖縄県産黒糖パリパリチョコミルクレープ／520円 1枚1枚焼き上げたクレープ生地に、沖縄県産の黒糖を加えたホイップクリームを重ねた一品。ホイップクリームの間には、パリパリ食感のチョコを3層サンドし、黒糖のやさしい甘さにチョコのほろ苦さをプラスした。仕上げに黒糖ホイップクリームとカラメルソースをあしらい、コク深く軽やかな味わいに仕上げている。 ※「ゆず香る桜オレ」「ゆず香る抹茶わらびもちオレ～桜～」「桜香るピーチグリーンティー」「チーズソースフライドオニオンドック」「桜香るパリパリチョコミルクレープ」「ミラノサンドB エビ・アボカド・サーモン ～爽やかレモン仕立て～」「カマンベールinミラノサンドB エビ・アボカド・サーモン」は、4月8日（水）で販売を終了 食品産業新聞社",[],[]
日本酒40種が「全品110円」で楽しめる　日本酒原価酒蔵が11周年祭開催（食品産業新聞社ニュースWEB）,https://news.yahoo.co.jp/articles/c75bc8aacb224150602dc3b6e3cc79337049d9fa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260326-00010010-ssnp-000-1-view.jpg?exp=10800,2026-03-26T14:58:30+09:00,2026-03-26T14:58:30+09:00,食品産業新聞社ニュースWEB,ssnp,食品産業新聞社ニュースWEB,768,日本酒原価酒蔵が11周年祭開催 日本酒原価酒蔵は、2026年4月6日(月)〜4月8日(水)の期間、「日本酒原価酒蔵11周年祭」を開催する。※アプリ会員限定キャンペーン 【画像】11周年祭の詳細など、この記事の写真を全て見る 今回のキャンペーンでは、特定名称酒を中心とした日本酒40種を対象に、原価を下回る価格で提供。「全品110円(税込)」で日本酒が楽しめる。なお、税抜500円以上の日本酒はキャンペーン対象外となる。 同社は、「日本酒原価酒蔵11周年を皆さんとお祝いしたい」「日本酒の美味しさや素晴らしさをより多くの方に伝えていきたい」「皆さまが笑顔になるイベントを開催したい」として、この企画を実施する。 〈キャンペーン概要〉 ●開催期間 2026年4月6日(月)〜4月8日(水) ●キャンペーン内容 日本酒40種を全品110円(税込)で提供 ※税抜500円以上の日本酒はキャンペーン対象外 ●実施店舗 日本酒原価酒蔵 全店 （新宿総本店、新宿東口店、池袋本店、池袋西口店、上野御徒町店、新橋二号店、渋谷本店、川崎店、大宮店、神田店、錦糸町店、神保町店、横浜本店、町田店、谷町4丁目店、大阪梅田本店、大阪本町店、天満店） ・税抜500円以上の日本酒は対象外（日本酒以外のドリンク、仕込み水も対象外） ・1人入館料が別途税込540円 ・アプリに配布される「11周年祭クーポン」を来店時に提示した利用者のみ対象 ・当日来店時にアプリをダウンロードした利用者も対象 ・混雑状況により2時間制となる ・1人料理2品以上の注文が必要 ・その他クーポン/サービスとは併用不可 ・全店全席完全禁煙 ・居眠りや周りの利用者に迷惑な行為があった場合、退店の可能性あり ・過度な飲み残しなどがないように注意 ・アプリ会員限定キャンペーン 食品産業新聞社,[],[]
鳥貴族、創業初期の人気創作串が復活　期間限定メニュー8品登場「ありがとうフェア」開催（食品産業新聞社ニュースWEB）,https://news.yahoo.co.jp/articles/87ce9fb3ae68a0ed597f47769b59a35cac4aecaa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260326-00010009-ssnp-000-1-view.jpg?exp=10800,2026-03-26T13:39:15+09:00,2026-03-26T13:39:15+09:00,食品産業新聞社ニュースWEB,ssnp,食品産業新聞社ニュースWEB,1272,とり天マヨ串 焼鳥屋「鳥貴族」は、2026年4月1日（水）から、「うぬぼれ続けて創業40周年 ありがとうフェア」第5弾を開催する。 【画像】「ありがとうフェア」全8品はこちら 期間限定メニューは全8品。創業初期の人気創作串を再現した「とり天マヨ串」や、希少部位を使用した数量限定の「鶏ハラミとたっぷりネギの甘酢ソース」、温玉を使った新感覚のオリジナルスイーツ「温玉deプリン」などが登場する。 鳥貴族は、税込390円均一の焼鳥屋チェーン。1985年より大阪・関西エリアを中心とした店舗展開を開始。現在は全国673店舗を展開している。焼鳥は国産鶏肉を使用、主要食材の国産比率を高める「国産国消への挑戦」を2014年より開始し、2016年10月より使用食材を100%国産化している。名物「貴族焼」は、同店の人気NO.1メニュー。 〈『うぬぼれ続けて創業40周年 ありがとうフェア』第5弾・商品概要〉 ◾️とり天マヨ串 鳥貴族創業初期の商品開発チーム発足時、初めての創作串としてメニュー化された「とり天マヨ串」。創業当時の味わいを参考に再現したマヨソースは、とり天との相性抜群。 ◾️鶏ハラミとたっぷりネギの甘酢ソース 希少部位「鶏ハラミ」を揚げ、青ネギをトッピングした一品。35万食の数量限定で提供。予定数に達し次第終了する。※店舗により販売数量が異なる（一部取り扱いのない店舗もある） ◾️玉ねぎ串～醤油バターソース～ 創業初期に常連の利用客からリクエストされた玉ねぎ串。令和版の玉ねぎ串は、調理にひと手間かけることで、とろっとした玉ねぎの食感を楽しめるように仕上げた。 ◾️鶏と野菜の生キムチ 親鳥炙り焼に、キャベツとキューリを合わせ、コチョリのタレとごま油で和えた。発酵させずに食べる生キムチは、酸味がなくシャキシャキとした野菜の食感が楽しめる。 ◾️温玉deプリン 商品開発チームが試行錯誤の末、作り上げた渾身のプリン風のデザート。ワッフルの上になめらかなカスタードソースと温玉をのせ、メイプル風味のソースで仕上げた。 ◾️いちごアイス饅頭～ミルクあん～ 濃厚なミルクあんとホイップを、ぎゅうひもちで包み、いちごアイスをトッピング。鳥貴族オリジナルの洋風いちご饅頭。 ◾️国産いちごチューハイ 国産いちごの甘みと香りを活かした果肉も楽しめるシロップを使用したチューハイ。焼鳥とも高相性。※着色料、香料、保存料不使用 ◾️宇治抹茶スカッシュ 宇治抹茶を100％使用した抹茶のシロップを、炭酸で割ったスカッシュ。 〈期間限定メニューについて〉 ・開始 2026年4月1日〜2026年5月31日 ※売れ行き等の状況変化により、販売期間内でも販売中止、品切れや販売終了となる場合がある ※新規OPENの店舗では取り扱いのない場合がある ・導入 全店 ※一部店舗（期間中の新規OPEN店等）を除く ・価格 税込390円 ※期間限定メニュー数：フード6品、ドリンク2品 【今後の展開スケジュール】 第6弾 2026年6月1日～7月31日 食品産業新聞社,[],[]
【ミスド】カレーパイ＆涼風麺など登場“ミスドゴハン”春夏新作6品（食品産業新聞社ニュースWEB）,https://news.yahoo.co.jp/articles/21735896e174bffcc62187be34935c92d14b761c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260326-00010008-ssnp-000-1-view.jpg?exp=10800,2026-03-26T13:20:15+09:00,2026-03-26T13:20:15+09:00,食品産業新聞社ニュースWEB,ssnp,食品産業新聞社ニュースWEB,1121,バターチキンカレーパイ ダスキンが展開する「ミスタードーナツ」は4月1日、「ミスドゴハン」の春夏メニューとして、パイ3種と涼風麺3種の計6品を発売する。販売期間は9月下旬までを予定している（順次販売終了）。 【ミスドゴハン新作6品 すべての画像はこちら】 「ミスドゴハン」は、朝食やランチ、おやつなど、シーンや気分に合わせて選べる食事系メニューシリーズ。今回の新作では、世界各地の料理をイメージしたパイと、柑橘を使用した涼やかな麺メニューを展開する。 パイは、サクサクとした食感の生地で具材を包み焼き上げた3種類を用意。涼風麺は、和風・洋風・中華風の3タイプで、さっぱりとした味わいが特徴となっている。 ■販売ラインアップ（価格は税込） ・バターチキンカレーパイ（テイクアウト259円、店内264円） ・ミートソースとマッシュポテトパイ（テイクアウト259円、店内264円） ・ホワイトソースのクロックムッシュ風パイ（テイクアウト259円、店内264円） ・トマト海鮮野菜涼風麺 レモンジュレ添え（店内682円） ・かぼす香る鶏みぞれ涼風麺（店内682円） ・柚子入り豆乳担々涼風麺（店内682円） ※涼風麺は店内飲食限定 ■パイ3種 ◆バターチキンカレーパイ インド北部発祥のバターチキンカレーをイメージした一品。トマトペーストやヨーグルトを使用し、マイルドな辛さに仕上げたカレーをサクサクのパイ生地で包んだ。 ◆ミートソースとマッシュポテトパイ イギリスの家庭料理をイメージした英国風ミートポテトパイ。牛ひき肉や野菜を煮込んだミートソースと、なめらかなマッシュポテトを組み合わせた。 ◆ホワイトソースのクロックムッシュ風パイ フランス発祥のクロックムッシュをイメージ。ハムと玉ねぎ入りのホワイトソースとチーズソースを合わせ、コクのある味わいに仕上げた。 なお、パイは自宅で温め直すことで、さらにおいしく楽しめる。電子レンジ（500W）で約10～20秒温めた後、トースターで1～2分焼くと、よりサクサクとした食感になるという。 ■涼風麺3種 ◆トマト海鮮野菜涼風麺 レモンジュレ添え トマトとレモンの風味を効かせたスープに海鮮の旨みを加えた洋風仕立て。レモン酢ジュレの酸味がアクセントとなり、爽やかな味わいが楽しめる。 ◆かぼす香る鶏みぞれ涼風麺 かつおと昆布だしの和風スープに、かぼすの香りと大根おろしを合わせた一杯。さっぱりとした口当たりと、鶏もも肉の食べ応えが特徴。 ◆柚子入り豆乳担々涼風麺 濃厚なごま豆乳スープに柚子の風味を加えた担々麺。肉みその旨みとラー油のピリ辛がアクセントとなり、コクのある味わいに仕上げた。 食品産業新聞社,[],[]
4月限定で『小枝シュー』を販売!アーモンド&パフ入りチョコをかけたクロッカン生地にチョコクリームを詰め、「小枝 ミルク」の味わいを再現【ビアードパパ】（食品産業新聞社ニュースWEB）,https://news.yahoo.co.jp/articles/abf53b3e709e7c0df070c1fe1f40070fd8424b97,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260326-00010007-ssnp-000-1-view.jpg?exp=10800,2026-03-26T12:58:29+09:00,2026-03-26T12:58:29+09:00,食品産業新聞社ニュースWEB,ssnp,食品産業新聞社ニュースWEB,487,ビアードパパ DAY TO LIFEが展開するシュークリーム専門店ビアードパパは、2026年4月1日から、森永製菓の「小枝 ミルク」とコラボレーションした『小枝シュー』を期間限定で販売する。 2024年9月の販売以来、再販の声が多く寄せられていたコラボ商品が、約1年半ぶりに復活する。毎日店舗のオーブンで焼き上げる“ザックザク食感”のクロッカン生地に、アーモンドとパフ入りのチョコをコーティングした。中には、カカオ香るコク深いチョコクリームを詰め、「小枝 ミルク」の味わいをシュークリームで再現している。 【小枝シューの画像はこちら】「小枝 ミルク」の味わいをシュークリームで再現!“ザックザク食感”の生地にコク深いチョコクリームを詰めた ◆小枝シュー 販売期間:2026年4月1日～4月30日 予定 販売価格:390円(税込) 販売店舗:全国のビアードパパ 〈小枝 ミルク について〉 カカオ感のあるミルクチョコレートと焙煎アーモンド、2種のパフの絶妙な食感と味わいが楽しめる枝の形のチョコレート。森永製菓のロングセラー商品で、今年で発売55周年を迎える。 食品産業新聞社,[],[]
推しフレーバー1位の「ラブポーションサーティワン」が本格アイスケーキに!「31チョコレートラズベリーケーキ made from ラブポーションサーティワン」発売（食品産業新聞社ニュースWEB）,https://news.yahoo.co.jp/articles/a55604201959830b2ae65a045901e54841fa8703,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260326-00010006-ssnp-000-1-view.jpg?exp=10800,2026-03-26T12:36:03+09:00,2026-03-26T12:36:03+09:00,食品産業新聞社ニュースWEB,ssnp,食品産業新聞社ニュースWEB,1169,"サーティワン アイスクリーム ブランドロゴ B‐Rサーティワンアイスクリームは、アイスクリームケーキ「31PÂTISSERIE(サーティワンパティスリー)」シリーズから、新商品「31チョコレートラズベリーケーキ made from ラブポーションサーティワン」を2026年4月1日に発売する。 「31PÂTISSERIE」は、記念日以外のちょっとしたご褒美や手土産として日常で楽しんでほしいという思いで生まれた、アイスクリームケーキの新カテゴリー。サーティワンのアイスクリームと専用に開発したケーキ、食感の異なるナッツやクランチ、ホイップクリームなどを重ね、層状に仕立てている。 【商品画像はこちら】「ラブポーションサーティワン」を使った新作アイスケーキ、ハート型菓子やロゴ入りのチョコレートプレートをトッピングした華やかな見た目に ◆31チョコレートラズベリーケーキ made from ラブポーションサーティワン 【価格】2,500円 【サイズ】縦約6.5cm×横約15cm×高さ約5.8cm サーティワンの大人気フレーバー「ラブポーションサーティワン」を使ったアイスクリームケーキ。専用に開発したラズベリーが香るガトーショコラを合わせ、アイスクリームとケーキが一緒に味わえる本格的なケーキに仕上げた。 トッピングにはフレーバーに使用しているハート型菓子やチョコレートフレーク、さらに「31PÂTISSERIE」のロゴ入りチョコプレートをのせ、華やかな見た目に仕上げた。 【使用フレーバー「ラブポーションサーティワン」について】 ラズベリーとホワイトチョコ風味アイスクリームに、ラズベリーソース入りのハート型菓子をアクセントに加えた。「サーティワン #推しフレーバー総選挙2025 」では2回目の第1位を獲得した、サーティワンを代表する人気フレーバーのひとつ。 〈このほか「31PÂTISSERIE」のラインアップ一覧〉 ◆31ダブルチョコレートケーキ made from チョコレートフレーバーズ 【価格】2,500円 【サイズ】縦約6.5cm×横約15cm×高さ約5.8cm シリーズで唯一、2種のフレーバーを使用している。「チョップドチョコレート」のスイートな味わいと「チョコレート」のコク深い味わいに、しっとりとしたチョコレートケーキを合わせた。チョコレート好きにおすすめ。 ◆31キャラメルナッティケーキ made from キャラメルリボン 【価格】2,500円 【サイズ】縦約6.5cm×横約15cm×高さ約5.8cm キャラメルとバニラを組み合わせた「キャラメルリボン」に、専用に開発したキャラメルケーキを合わせた。キャンディコーティングした3種のナッツをトッピングし、食感や味わいに深みを加えている。 食品産業新聞社",[],[]
【ほっともっと】「幕の内弁当」がリニューアル　メインは2種類から選べる「新・幕の内弁当」発売（食品産業新聞社ニュースWEB）,https://news.yahoo.co.jp/articles/4da534f4aeb9ef44ac69589a3fcae932d29538e0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260326-00010005-ssnp-000-1-view.jpg?exp=10800,2026-03-26T12:00:23+09:00,2026-03-26T12:00:23+09:00,食品産業新聞社ニュースWEB,ssnp,食品産業新聞社ニュースWEB,475,"「ほっともっと」定番人気商品がリニューアル 全国で2,426店舗展開している「ほっともっと」は、定番人気の「幕の内弁当」をリニューアルする。「新・幕の内弁当(豆腐ハンバーグと野菜の照りだれ)」、「新・幕の内弁当(牛焼肉)」の2種類を、2026年4月1日(水)から発売する。※文中価格は全て税込表記 【画像】「新・幕の内弁当」の2種はこちら メインのおかずは、「豆腐ハンバーグ」と「牛焼肉」の2種類から選べる。さらに、から揚げやさばの塩焼き、ちくわ天といった定番おかずに加え、だし巻玉子、野菜煮物、小松菜と油揚げの和え物、かつおたくあんなどの惣菜も贅沢に詰め合わせた。 同社では、公式SNS(X・Instagram)でも新商品情報を配信しているという。 〈商品概要〉 ●新・幕の内弁当(豆腐ハンバーグと野菜の照りだれ) 690円～ ●新・幕の内弁当(牛焼肉) 690円～ ※地域・店舗によって価格が異なる ※一部店舗では商品内容が異なる場合がある 【発売日】 2026年4月1日(水) 【発売店舗】 全国の「ほっともっと」2,426店舗 食品産業新聞社",[],[]
値段そのまま容量60%増量「ジャンボな銀座プリン」を期間限定発売!プリン発売40周年記念【銀座コージーコーナー】（食品産業新聞社ニュースWEB）,https://news.yahoo.co.jp/articles/1c321382a32b24fdb70dd5b3c7d65619e7236bd5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260326-00010004-ssnp-000-1-view.jpg?exp=10800,2026-03-26T12:00:22+09:00,2026-03-26T12:00:22+09:00,食品産業新聞社ニュースWEB,ssnp,食品産業新聞社ニュースWEB,705,銀座コージーコーナー 銀座コージーコーナーは、「銀座プリン」と同じ価格で、容量を60%増量した「ジャンボな銀座プリン」を全国の生ケーキ取扱店で販売する。販売期間は、2026年3月27日から4月9日ごろまで。 ※北海道・九州地方、福井県・京都府・滋賀県・鳥取県・島根県・山口県・愛媛県・高知県に生ケーキ取扱店はない。 ※「ジャンボな銀座プリン」の販売期間中は、「銀座プリン」は取り扱わない。 【「ジャンボな銀座プリン」の商品画像はこちら】素材本来の味わいが楽しめる「銀座プリン」を値段そのまま60%増量! 〈ほどよい固さ・卵の風味が楽しめるプリンをジャンボサイズに〉 銀座コージーコーナーは創業78年の歴史の中で、「銀座プリン」「ジャンボプリン」といった定番プリンから、「ちょっと贅沢なカスタードプリン」「コージープレミアム とろける銀座プリン」などのご褒美プリン、「チャイプリン」「タピオカ入りプリン」「和プリン」などのアレンジプリンまで、さまざまな商品を発売してきた。 今回、プリン発売から40周年を機に、「ジャンボな銀座プリン」を発売する。 「ジャンボな銀座プリン」は、牛乳・卵・砂糖と、使用する材料を必要最小限におさえ、素材本来の味わいが引き立つように仕上げた。ほどよい固さと口の中に広がる卵の風味が魅力。「銀座プリン」と同じ価格で、容量を60%増量した。 ◆ジャンボな銀座プリン 【価格】 190円(税込205円) 【販売期間】 3月27日～4月9日ごろ 【栄養成分(1個当たり)】 熱量:301kcal たんぱく質:9.6g 脂質:9.8g 炭水化物:43.1g 食塩相当量:0.3g 食品産業新聞社,[],[]
【松屋】2年ぶりに人気メニューが復活　「鶏のバター醤油炒め定食」販売（食品産業新聞社ニュースWEB）,https://news.yahoo.co.jp/articles/d0d148060c476e2ef9d656dbad62fdc01e9faca3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260326-00010003-ssnp-000-2-view.jpg?exp=10800,2026-03-26T11:04:06+09:00,2026-03-26T11:08:17+09:00,食品産業新聞社ニュースWEB,ssnp,食品産業新聞社ニュースWEB,444,"「鶏のバター醤油炒め定食」が2年ぶりに復活 牛丼チェーンの「松屋」は、2026年3月31日（火）10時から、「鶏のバター醤油炒め定食」を復活販売する。※文中価格は全て税込表記 【画像】肉増量の「ダブル」の価格はこちら 同商品は、過去に販売され人気を集めたメニューで、約2年ぶりの復活となる。ジューシーな鶏もも肉に、バターやにんにく醤油の特製ダレを絡めた一品で、チキンの肉汁、バターのコク・香りなどがライスと好相性だという。 〈商品概要〉 ・鶏のバター醤油炒め定食 980円 ・鶏のバター醤油炒め定食ダブル 1,470円 ・鶏のバター醤油炒め 920円 ・鶏のバター醤油炒めダブル 1,410円 ・単品 鶏のバター醤油炒め 780円 ・ガーリックバター豚カルビエッグ丼 790円 ※テイクアウト可能（みそ汁は別途料金が必要） ※株主優待券は上記メニューに利用可能（ダブル・単品を除く） ◾️発売日 2026年3月31日（火）10時 ～ ◾️対象店舗 一部店舗を除く全国の松屋 食品産業新聞社",[],[]
豆腐でできたうどん用調味料「うどんにまぜる豆腐」、手軽さと健康感を両立【井村屋】（食品産業新聞社ニュースWEB）,https://news.yahoo.co.jp/articles/6a3d068394b519fec198c5641c03991a63d70410,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260326-00010002-ssnp-000-1-view.jpg?exp=10800,2026-03-26T10:30:26+09:00,2026-03-26T10:30:26+09:00,食品産業新聞社ニュースWEB,ssnp,食品産業新聞社ニュースWEB,1033,「うどんにまぜる豆腐(明太風味)」 「あずきバー」や肉まん・あんまんが代表商品の井村屋だが、豆腐の製造・販売も50年以上前から行っている。長らくロングライフ路線を貫き、現在の賞味期間は「美し豆腐」シリーズで60日間、「大豆屋和蔵」シリーズで75日間、最も長い「高カロリー豆腐 LONG SHELF LIFE 180」は180日間と、通常の豆腐と比べ非常に長いのが特徴だ。展開する商品も、高カロリーな豆腐や、MCT(中鎖脂肪酸油)を配合した機能性表示食品の豆腐など、独自の切り口の商品が多い。本紙では3月1日から全国で新発売した「うどんにまぜる豆腐」シリーズの開発エピソードに加え、同社の豆腐事業について話を聞いた。 「うどんにまぜる豆腐(担々風味)」 「うどんにまぜる豆腐」シリーズは、新しい食シーンの創出を目的に開発し、「うどんにまぜる豆腐(明太風味)」と「同(担々風味)」の2品をラインアップした。商品をうどんに混ぜるだけで、明太風味うどんや担々風味うどんを手軽に、罪悪感なく楽しめる。賞味期間も60日間と長期保存が可能だ。各55g、オープン価格。「同(明太風味)」については、「食卓のやまや」の明太子エキス・パウダーを使用している。豆腐にすることで、うどんと絡みやすいのが利点だ。うどん以外にも使用でき、アレンジもしやすい。 フレーバーは、明太子クリームうどんや豆乳担々うどんなど、人気メニューかつクリーミーな豆乳と相性が良い味わいを選定した。「明太風味は、豆腐の味わいが残りつつもピリ辛に仕上げた。担々風味は焙煎胡麻ベースの味わいでまろやか、子どもも食べやすい」(同社)と話す。 主なターゲット層は20～30代女性だ。カロリーは2品とも40kcal未満で、脂質も約2gとなっており、豆腐でできているため健康志向が高い人も手に取りやすい。 開発時は、一部の家庭で親しまれている「豆腐のぶっかけ丼」から着想を得た。ただ、食べ方の認知度や見た目の印象などが課題となった。最終的には、さまざまな具材とまぜて食べる「調味料」という位置づけにし、うどんが価格も値ごろかつ安定していることから、「豆腐＝健康的で手に取りやすい価格」という価値を活かす、うどん用調味料として開発することとなった。「豆腐を混ぜて使う」という新しい食べ方のため、フレーバー選びや見た目、ネーミングに苦労したという。 売り場展開については、「豆腐売り場やチルドうどん売り場に展開したい考え」という。,[],[]
