headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
＜芳根京子＞ワンショルのチェック柄ドレスで美肌見せ　「私がビーバーになる時」大ヒットイベントでサメが飛び出るサプライズ演出も（毎日キレイ）,https://news.yahoo.co.jp/articles/d4f79fbf9f9f6d297f8cc29cee981c723b94b9a8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260327-00000023-maikirei-000-1-view.jpg?exp=10800,2026-03-27T21:30:00+09:00,2026-03-27T21:30:00+09:00,毎日キレイ,maikirei,毎日キレイ,939,ディズニー＆ピクサー最新作「私がビーバーになる時」の大ヒットイベントに登場した芳根京子さん （C）2026 Disney／Pixar. All Rights Reserved. 俳優の芳根京子さんが3月25日、東京都内で開かれたディズニー＆ピクサーの最新アニメーション映画「私がビーバーになる時」（原題：Hoppers、ダニエル・チョン監督）の大ヒットを記念したイベントに登場。ワンショルダーのチェック柄ドレス姿で美肌を見せていた。 【写真特集】キュートな芳根京子、「わたビバ」大ヒットイベントで小手伸也、キスマイ宮田、3時のヒロインらとわちゃわちゃ！ 主人公メイベル役の日本版声優を務める芳根さんはヒットの実感として、「お子さんと一緒に映画を見に行った友人から『楽しすぎた！』と感想を言われて、ディズニー＆ピクサー作品に関わっているんだなと改めて実感して、うれしかったです！」と話し、ビーバーのローフ役のKis-My-Ft2の宮田俊哉さんは「友人から『映画館が満席で入れなかったんだけど！』と連絡が来て、大ヒットを肌で感じました」と喜びを語った。 イベントには、ビーバーのキング・ジョージ役の小手伸也さん、クマのエレン役の「3時のヒロイン」かなでさんらも出席した。「サメが空を飛ぶんです！！」と芳根さんが今作の衝撃展開を紹介し、サメの着ぐるみ姿の「3時のヒロイン」の福田麻貴さんとゆめっちさんがステージ横の壁を突き破ってサプライズ登場する演出もあった。 芳根さんは今作の見どころについて、「皆さんの想像をはるかに超えてくるハチャメチャでモフモフな作品になっております。きっとたくさん笑って驚いて、時にはツッコんで。仲間の絆にちょっとグッと来たりとか、とにかくモフモフで可愛くて、見終わったらきっとビーバーズや動物たちのことがより一層いとおしくなる作品だと思います。そして、心が温かくなり、明日への元気や希望をもらえる作品になっていると思います」とコメントした。 「私がビーバーになる時」は、主人公の動物好きの大学生メイベルが思い出の森が高速道路計画で消えてしまうことを知り、大切な場所を守るべく、極秘テクノロジーでビーバーの見た目となり、動物たちと森を守る作戦を仕掛ける物語。,[],[]
＜めるる＞美ボディーライン際立つタイトなシルエット　黒ワンピ×シルバーアクセでシックなムードに（毎日キレイ）,https://news.yahoo.co.jp/articles/a68870281d165c34776e8837242c766fc7601ce2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260327-00000022-maikirei-000-1-view.jpg?exp=10800,2026-03-27T21:00:00+09:00,2026-03-27T21:00:00+09:00,毎日キレイ,maikirei,毎日キレイ,453,映画「君が最後に遺した歌」の初日舞台あいさつに出席した生見愛瑠さん モデルで俳優の「めるる」こと生見愛瑠さんがこのほど、東京都内で行われた映画「君が最後に遺した歌」（三木孝浩監督）の初日舞台あいさつに出席した。ノースリーブの黒のタイトワンピースに黒のサンダルを合わせて、美しいボディーラインが際立つ着こなしを披露した。 【写真特集】24歳になっためるる タイトなワンピで美スタイル 別カット＆全身ショットも ワンピースは襟元にタックを寄せ、裾が床に付くほどのロング丈。ストレートヘアをダウンスタイルにして、シルバー調のフィンガーリングを着けて、シックなムードを漂わせていた。 映画は、一条岬さんの同名小説（KADOKAWA）の映像化。詩作を密かな趣味とする主人公・水嶋春人（道枝駿佑さん）と、文字の読み書きをすることが難しい「発達性ディスレクシア」を抱えながらも歌唱と作曲の才能を持つ遠坂綾音（とおさか・あやね、生見さん）の10年の恋を描くラブストーリー。 舞台あいさつには、道枝さん、三木監督も出席した。,[],[]
＜福地桃子＞哀川翔の次女、透け感インナー×ニットセットアップで品良く　超ロング丈スカートで個性もプラス（毎日キレイ）,https://news.yahoo.co.jp/articles/045c453af4238b28bced4b46c71357c94785f5b1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260327-00000021-maikirei-000-1-view.jpg?exp=10800,2026-03-27T20:40:00+09:00,2026-03-27T20:40:00+09:00,毎日キレイ,maikirei,毎日キレイ,559,NHK夜ドラ「ラジオスター」試写会に出席した福地桃子さん 俳優の福地桃子さんがこのほど、東京・渋谷のNHK放送センターで行われた3月30日スタートの夜ドラ「ラジオスター」（総合、月～木曜午後10時45分）の試写会に出席した。立体的な模様をあしらった大人可愛いニットカーディガンとタイトスカートのセットアップ風コーデだった。 【写真特集】28歳になった哀川翔の娘・福地桃子 透け感インナー×超ロング丈のスカートで品良く＆個性的に この日の別カット＆全身ショット 写真を一挙公開 スカートは床に付くほどのロング丈で個性をプラス。シアー感のあるタートルネックと白のブーツを合わせて上品なムードに。ストレートのロングヘアを耳にかけ、シルバー調のイヤリングとリングでシンプルに仕上げていた。 「ラジオスター」は、主人公の柊カナデ（福地さん）は、恋人の故郷・能登へ旅行中に地震に遭う。そのとき、避難所で松本功介（甲本雅裕さん）が温かく世話をしてくれた。その恩に報いたいと、再び能登を訪れたカナデ。そこで松本から頼まれたのは、災害FMのラジオパーソナリティーだった……。名もなき市民がスターになっていく、“ノンストップエンターテインメントドラマ”となる。 会見には甲本さん、常盤貴子さん、チーフディレクターの一木正恵さんも出席した。,[],[]
＜田中麗奈＞故郷・久留米のお気に入りスポット巡り　老舗の酒蔵で大好きな日本酒を　“呼び戻しスープ”のとんこつラーメンも　「旅サラダ」で（毎日キレイ）,https://news.yahoo.co.jp/articles/8c86dd859c5e0eea64963cdc2dc66c4ba5c53700,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260327-00000020-maikirei-000-1-view.jpg?exp=10800,2026-03-27T20:30:00+09:00,2026-03-27T20:30:00+09:00,毎日キレイ,maikirei,毎日キレイ,503,土曜朝の旅情報バラエティー番組「朝だ！生です 旅サラダ」に出演する田中麗奈さん＝ABCテレビ提供 俳優の田中麗奈さんが、土曜朝の旅情報バラエティー番組「朝だ！生です 旅サラダ」（ABCテレビ・テレビ朝日系、土曜午前8時）の3月28日放送回に出演。観光大使を務めている故郷の福岡県久留米市でお気に入りスポットを巡る。 【写真特集】田中麗奈、白がまばゆい春旅ファッションで 「旅サラダ」の番組フォトを先取り！ 田中さんは全国の水天宮の総本宮であり、安産祈願の神様として知られる水天宮を参拝。320年以上の歴史がある老舗の酒蔵では大好きな日本酒を味わい満足。のどかな田園風景の中にたたずむ江戸時代から続く旧家を改修した温泉宿で一泊、九州の食材を生かした会席料理を味わう。 福岡市に足を延ばし、自然豊かな大濠公園を散策で癒やしのひとときを過ごす。主演する新作映画「黄金泥棒」の撮影でお世話になった金製品の店を訪問、金がまばゆい商品を見ながら撮影エピソードを語る。久留米市はとんこつラーメン発祥の地。旅の締めに、創業当時から継ぎ足し、煮込み続ける“呼び戻しスープ”が特徴のとんこつラーメンを食べ、故郷の味を堪能する。,[],[]
＜常盤貴子＞大人のホワイトコーデ　ジレ×透け感ブラウス×グラデスカートで上級者の装いに（毎日キレイ）,https://news.yahoo.co.jp/articles/c943d0ba46d764bce0ac1c8fced30e4ede9a8a31,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260327-00000019-maikirei-000-1-view.jpg?exp=10800,2026-03-27T20:10:00+09:00,2026-03-27T20:10:00+09:00,毎日キレイ,maikirei,毎日キレイ,598,NHK夜ドラ「ラジオスター」試写会に出席した常盤貴子さん 俳優の常盤貴子さんがこのほど、東京・渋谷のNHK放送センターで行われた3月30日スタートの夜ドラ「ラジオスター」（総合、月～木曜午後10時45分）の試写会に出席した。透け感のあるフリルブラウスにジレを重ねた、ふんわりとしたシルエットのホワイトコーデだった。 【写真特集】53歳になった常盤貴子、まねしたい！ フリルが大人可愛い大人＆上級者のホワイトコーデ この日の別カット＆全身ショットも 写真を一挙公開 ボトムには裾にグラデーションのあるフレアスカートと白のブーツという“おしゃれ上級者”のコーディネート。髪はおでこを出したアップヘアにしてエレガントなムードを演出し、左右でデザイン違いのイヤリングを着け、ストーンをあしらったリングで華やかさをプラスしていた。 「ラジオスター」は、主人公の柊カナデ（福地桃子さん）は、恋人の故郷・能登へ旅行中に地震に遭う。そのとき、避難所で松本功介（甲本雅裕さん）が温かく世話をしてくれた。その恩に報いたいと、再び能登を訪れたカナデ。そこで松本から頼まれたのは、災害FMのラジオパーソナリティーだった……。名もなき市民がスターになっていく、“ノンストップエンターテインメントドラマ”となる。常盤さんは、主婦の小野さくらを演じる。 会見には福地さん、甲本さん、チーフディレクターの一木正恵さんも出席した。,[],[]
＜加藤シゲアキ＞父親が白血病、再発なく4年経過　両親は「さらに仲よく。楽しそう」　「親孝行したい」　「徹子の部屋」出演（毎日キレイ）,https://news.yahoo.co.jp/articles/fe6cdf6c7e02e319e74c7f5ce89cfe928c49ddd3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260327-00000018-maikirei-000-1-view.jpg?exp=10800,2026-03-27T20:00:00+09:00,2026-03-27T20:00:00+09:00,毎日キレイ,maikirei,毎日キレイ,685,3月27日放送の「徹子の部屋」に加藤シゲアキさんが出演 人気グループ「NEWS」の加藤シゲアキさんが、3月27日放送の黒柳徹子さんの長寿トーク番組「徹子の部屋」（テレビ朝日系）に出演。父親が白血病になったことや家族の絆、思いなどを語った。 【写真特集】香里奈、加藤シゲアキは“面倒くさい”男？ 4年前に父親が白血病になった。とても元気で、当時まだ60代半ば。「全く予想していなかった」という。特殊なタイプの白血病で、何度か行った病院でたまたま見つかった。当時は水泳の池江璃花子選手が白血病を公表、元気な姿で選手として頑張っているのを見ていたので、「父もたぶん励まされました」と振り返った。ようやく4年、再発もなく過ごせ、日に日に回復している。 コロナ禍で面会に行けなかったが、「母親はすごく献身的にサポートしていました。気づいたら2人がすごく仲よくなっていました。元々仲がいいんですけれど、さらに仲よくなっていて。楽しそうです」と話した。 父親は「ゴルフと麻雀が好き」。「いつか一緒にやれたらと思って、僕も麻雀を始めた」と笑顔で明かした。 父親には「お前の活躍だけがいまの喜びだから」と言われる。「あまりそういうことを言う人じゃなかった」といい、「うれしいですね、ちょっと照れくさいですけど」とはにかんだ。父親の闘病を経て、「親孝行したいという思いは1番大きいかもしれないです。会える時はなるべく会いたいと思いますし」という。「喜んでくれる場はなるべく設けたいと思いますし、海外旅行にも行きたいみたいなので、もう少し体調がよくなったら一緒に行きたいと思います」と語った。,[],[]
＜前田敦子＞写真集の未公開カットが公開　下着姿で美ボディー披露　5万部突破（毎日キレイ）,https://news.yahoo.co.jp/articles/766003929f9e9dce62f550cbcc2ea8c5a14e13a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260327-00000017-maikirei-000-1-view.jpg?exp=10800,2026-03-27T19:10:00+09:00,2026-03-27T19:10:00+09:00,毎日キレイ,maikirei,毎日キレイ,361,（C）講談社 撮影／北岡稔章 アイドルグループ「AKB48」の元メンバーで俳優の前田敦子さんが14年ぶりに発売した写真集「前田敦子写真集 Beste（ベステ）」（講談社）が紙版・電子版合わせて累計5.3万部（電子版は配信開始日の3月18日から3月20日までの3日間の速報値）を突破したことが3月27日、明らかになり、未公開カット2点が公開された。前田さんが下着姿で美ボディーを披露している。 【写真特集】前田敦子、公開された2点の未公開カット そのほか写真集のフォトを一挙公開 写真集は昨年芸能活動20周年を迎えた前田さんが「これが最後」と今年2月に発売。前田さんにとって初めてとなる電子版が3月18日に発売され、このほど、重版が決定した。電子版には特典カットも収録され、主要ネット書店で1位を獲得したことも話題になった。,[],[]
＜天海祐希＞宝塚退団の日の「愛された記憶」を明かす　「次の世界でも頑張れると思った」　特別ムービーが公開へ（毎日キレイ）,https://news.yahoo.co.jp/articles/a4f74531a666981fc24302ccfc2348288b8d374f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260327-00000016-maikirei-000-1-view.jpg?exp=10800,2026-03-27T17:45:00+09:00,2026-03-27T17:45:00+09:00,毎日キレイ,maikirei,毎日キレイ,450,「キリンビール 晴れ風」の特別ムービー「晴れ風 愛された記憶篇」に出演する天海祐希さん 俳優の天海祐希さんが出演する「キリンビール 晴れ風」の特別ムービー「晴れ風 愛された記憶篇」が3月28日午後10時に公開される。爽やかな青空の下でビールを味わい、宝塚歌劇団を退団した日の記憶を語っている。 【写真特集】天海祐希、宝塚時代を思い出を語る 別カットも 天海さんは退団の日、たった一人で階段を降りて客席へ最後のあいさつをした際、会場いっぱいの観客が自分のためだけに拍手を送ってくれた景色が忘れられないという。「その景色があるからこそ、次の世界でも頑張れると思った」と振り返った。「自分のためだけに送られた拍手のことはちゃんと覚えていた方がいいよと伝えている」ともいい、「私はあれだけの方に拍手をしてもらえたんだという自信が新天地に行く勇気をくれる」と語った。 この春、ブランド初のリニューアルを迎える「晴れ風」についても、「愛された記憶があるからこそ、新しく一歩を踏み出せる」とメッセージを寄せている。,[],[]
＜長澤まさみ＞「プラダ」最新コレクションまとい「エル・ジャポン」初登場　「常に新しい自分でいることができる」（毎日キレイ）,https://news.yahoo.co.jp/articles/eb16b3d925457c74c43350ba516ebb4602b0dd99,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260327-00000015-maikirei-000-1-view.jpg?exp=10800,2026-03-27T16:10:00+09:00,2026-03-27T16:10:00+09:00,毎日キレイ,maikirei,毎日キレイ,472,長澤まさみさんが表紙を飾った「ELLE Japon」5月号（C）ELLE JAPON May 2026 photo ANY OKOLIE 俳優の長澤まさみさんが表紙を飾った、女性ファッション誌「ELLE Japon（エル・ジャポン）」（ハースト婦人画報社）5月号が3月27日、発売された。長澤さんが同誌の表紙を飾るの初めて。4パターンの表情を見せている。 【写真特集】長澤まさみ、美肌をのぞかせたプラダコーデ 誌面のビジュアル 誌面では、身体的な開放や、スタイルの再構築に焦点をあてた「プラダ」の最新コレクションを紹介。長澤さんが同ブランドのアイテムをまとい、ミラノで撮影が行われた。 インタビューでは、「自分の価値観や概念だけだと見落とすことがたくさんあります。受け入れる心を身につければ、進化もできるし、常に新しい自分でいることができる」と語っている。 同号は特別版もあり、「ミュウミュウ」春夏コレクションをまとった、韓国の5人組グループ「TOMORROW X TOGETHER（トゥモローバイトゥギャザー）」のヨンジュンさんが表紙を飾る。,[],[]
＜イモトアヤコ＞4歳息子は「お父さん譲り」のディレクタータイプ？　成長感じるも「腰をやっちゃって…」（毎日キレイ）,https://news.yahoo.co.jp/articles/50a6c8da84702466100ca0be099aceb074dbeef5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260327-00000014-maikirei-000-1-view.jpg?exp=10800,2026-03-27T12:55:02+09:00,2026-03-27T12:55:02+09:00,毎日キレイ,maikirei,毎日キレイ,913,「映画 きかんしゃトーマスいっしょに歌おう！ドレミファ♪ソドー島」の初日舞台あいさつに登場したイモトアヤコさん 4歳の息子のママで、タレントのイモトアヤコさんが、「きかんしゃトーマス」シリーズの劇場版最新作「映画 きかんしゃトーマスいっしょに歌おう！ドレミファ♪ソドー島」の初日舞台あいさつに出席。ゲスト声優を務めるイモトさんは、主題歌を担当した俳優の木村佳乃さんとともに登場した。 【写真特集】イモトアヤコ、仲のいい木村佳乃とトーマスイベントに 映画ではトーマスたちがピンチを迎えることにちなみ、ママとして思いがけないピンチに遭遇したことを聞かれると、イモトさんは「保育園からの急な電話」といい、「ドキドキしますよ。まず3秒くらい待って、1回シミュレーションしてから出る」と明かした。 また「最近、ピンチというか成長も感じたことがあった」といい、「実家が鳥取県で、冬は雪がすごく積もるんですよ。この間、正月に帰って、家の近所でそり遊びしていた時に、結構急な坂だったから、ちょっと私は躊躇（ちゅうちょ）しちゃったんですよね。その私に対して息子が『ママ、チャレンジ精神だよ』って言ってきたんですよ。個人的にはピンチでしたね。カメラも回っていないところで、私はなぜこんなことを……と思いましたけど（笑）、でもまあ頑張ってやりました。そしたら、腰をやっちゃって……」と苦笑いで振り返った。 MCから、「息子さん、テレビのディレクターさんみたいな感じですね」と声がかけられ、木村さんが「お父さん譲りかもしれないね」と言うと、イモトさんは「（夫が）ディレクターだから、確かにあるかもしれない」と笑顔で話した。 「きかんしゃトーマス」シリーズは、イギリスで最初の絵本が出版されてから80周年を迎えた。これまで500話以上のエピソードが映像化され、世界200以上の地域で放送されている。 今作は、「ソドー島の音楽祭」が照明トラブルのために中止の危機に陥る中、トーマスと仲間たちが立ち上がるミュージカルムービー。イモトさんは、トーマスとなかまたちが働くソドー鉄道の局長、トップハム・ハット卿が運転するレール点検車、ウィンストンの声を担当する。,[],[]
