headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
"【3.11から15年】""漂流ポスト""に届く亡き人への思い　妻と母を亡くした男性が「届かぬ思い」と向き合う　宮城・石巻市（tbc東北放送）",https://news.yahoo.co.jp/articles/3495d41c84a90e950c604b9273521ec73ac0bb6d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260410-22589671-tbcv-000-1-thumb.jpg?exp=10800,2026-04-10T20:00:37+09:00,2026-04-10T20:00:37+09:00,tbc東北放送,tbcv,tbc東北放送,907,"東北放送 特集は復興の現在地です。東日本大震災から15年が経過しましたが大切な家族を亡くした人たちの大きな喪失感は、いまも消えることはありません。 【写真を見る】【3.11から15年】""漂流ポスト""に届く亡き人への思い 妻と母を亡くした男性が「届かぬ思い」と向き合う 宮城・石巻市 震災の津波で妻と母を亡くした宮城県石巻市の男性はこの春、偶然見たテレビドラマをきっかけにある場所を訪ねました。男性はそこで、亡き人への「届かぬ思い」と向き合うことになりました。阿部記者の報告です。 立野 次郎さん: 「そっちじゃないでしょ、こっちでしょ」 慰霊碑に刻まれた妻と母の名前。宮城県石巻市に住む立野次郎さんにも15回目の3月11日がやってきました。 立野 次郎さん: 「やっぱり、なでるよね」 ■3.11その日、立野さん家族に... あの日、妻の和子さんは立野さんの母のきみ子さんを避難させるため、自宅へ迎えに行き、2人は津波に流されました。 立野 次郎さん: 「町内の人が、『立野、お前のところの母ちゃん（妻・和子さん）はいつまであそこに車を停めてるんだ』と。『急いで逃げろとさんざん言ったべ』と。ばあちゃんが困らせたんだと思うけど」 立野 次郎さん: 「3月11日のちょっと前、2日ぐらい前に、地震があったんだよね。そのとき河口に消防団で行ったんだけど、そのときは少し（津波が陸に）上がったの。ほんの気持ち。側溝から水があふれる程度に。あれがもう少し膝上とかに来ていれば、（3月11日も）みんな逃げたと思う。今回、150％みんな知ったと思う。『津波が来たら逃げなきゃいけない』というのは。やっぱり逃げなきゃいけない。何としても逃げなきゃいけない」 「まもなく午後2時46分を示すサイレンが鳴らされます」 「黙とう」 立野 次郎さん: 「手を合わせているときには、『何十回来なきゃいけないんだべや』という思いと、『本当にもう一回顔が見たいな。会いたいな』とそれは思ったね。叶わぬことなのかもしれないけどね。できることならもう一回本当に…」 ■和子さんが映る『唯一の映像』 立野さんには2025年、3人目の孫ができました。",[],[]
「tbc桜まつり2026」が4月11日と12日に東北放送で開催!　満開の桜のもとステージイベントやグルメを満喫できます!（tbc東北放送）,https://news.yahoo.co.jp/articles/7aa4828a28d344ac6ca83ed2db61b38fee01cdcf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260410-22592184-tbcv-000-1-thumb.jpg?exp=10800,2026-04-10T19:19:13+09:00,2026-04-10T19:19:13+09:00,tbc東北放送,tbcv,tbc東北放送,476,東北放送 各地でサクラが見頃を迎えていますが、tbc東北放送では、4月11日から構内を開放する桜まつりを開催します。 【写真を見る】「tbc桜まつり2026」が4月11日と12日に東北放送で開催! 満開の桜のもとステージイベントやグルメを満喫できます! 4月11日の開幕を前に仙台市太白区八木山香澄町のtbcの構内では10日、資材が運び込まれブースなどの設置が進められました。tbc構内のサクラは満開となっていて11日、12日も見頃が続きそうです。 イベントではテレビの特別番組の生中継やラジオの公開録音も行われ、アイドルグループやお笑い芸人のステージが展開されます。また、元プロ野球選手とのキャッチボール体験やスタジオ見学ツアーも行われ、家族でイベントを楽しむことができます。 グルメでは人気ラーメン店の限定メニューが提供されるほか、炭火焼や韓国料理なども味わえます。 tbc桜まつりは、4月11日と12日の2日間の日程で、午前10時から午後4時まで開催されます。会場には駐車場がありませんので、来場の際は公共の交通機関を利用してください。 東北放送,[],[]
アスベスト実態調査要望　化粧品販売員が「アスベスト原因で中皮腫発症の可能性高い」労災認定をめぐり（tbc東北放送）,https://news.yahoo.co.jp/articles/b47fa75e4f95ff88fac26ea37e82efa8f32cde32,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260410-22592831-tbcv-000-6-view.jpg?exp=10800,2026-04-10T19:12:17+09:00,2026-04-10T19:26:14+09:00,tbc東北放送,tbcv,tbc東北放送,681,東北放送 宮城県内で化粧品販売員として働いていた女性がアスベストが原因で「中皮腫」を発症した可能性が高いとして労災認定されたことをめぐり、患者らでつくる団体は国や化粧品メーカーに対し製品に含まれるアスベストの実態調査などを要望しました。 「中皮腫・アスベスト疾患・患者と家族の会」のメンバーは10日、厚生労働省や化粧品メーカーの資生堂などに要望書を提出しました。 【写真を見る】アスベスト実態調査要望 化粧品販売員が「アスベスト原因で中皮腫発症の可能性高い」労災認定をめぐり 1974年から、約3年間資生堂の仙台駐在所で勤務していた宮城県内の女性は2024年、アスベストが原因の「悪性胸膜中皮腫」と診断され、68歳で死亡しました。 仙台労働基準監督署は、女性が当時吸っていた化粧品やベビーパウダーにアスベストが含まれていた可能性が高いとして2025年12月、化粧品由来の中皮腫として全国で初めて労災認定しました。 これを受け団体は、女性が当時扱っていた化粧品やベビーパウダーなどにアスベストが含まれるか調査し、結果を公表することや、化粧販売員、消費者への注意喚起、健康管理態勢の整備などを求めています。 中皮腫・アスベスト疾患・患者と家族の会・小菅 千恵子・会長: 「本当にこれは氷山の一角で、まだまだ化粧品販売員の被害が出てくるのではないかと危惧している」 団体には、これまでにおよそ100件の相談が寄せられていて、中皮腫で亡くなった人の遺族からの相談も数件あるということです。 厚生労働省は、要望の内容を詳しく確認し対応を検討したいと話しています。 東北放送,[],[]
東北最大規模の露天市「春の鹿島台互市」がスタート　農産物や海産物など131店が軒を連ねる　宮城・大崎市（tbc東北放送）,https://news.yahoo.co.jp/articles/d98964d609e0855e711fa9c6c00a5fc1996ffe84,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260410-22591650-tbcv-000-1-thumb.jpg?exp=10800,2026-04-10T18:40:29+09:00,2026-04-10T18:40:29+09:00,tbc東北放送,tbcv,tbc東北放送,522,東北放送 東北最大規模の伝統の露天市、鹿島台互市が4月10日から宮城県大崎市で開かれ時折、小雨が降る中、訪れた人は春の花や農産物などを買い求めていました。 明治時代の1910年から続く露天市、大崎市鹿島台の互市は毎年、春と秋の2回開かれています。会場の昭和通りには約600メートルの区間に農産物や海産物、季節の花や木工品など、131の店舗が軒を連ねています。 【写真を見る】東北最大規模の露天市「春の鹿島台互市」がスタート 農産物や海産物など131店が軒を連ねる 宮城・大崎市 初日の10日はぐずついた天気となりましたが、訪れた人は店主との会話を楽しみながらお目当ての品を買い求めていました。 買い物客: 「毎年春と秋に来ている」 「農家なので草削りやハサミとか良いものがあったら買っていく」 買い物客: 「毎年来る楽しみにしている、雨が降っても来たいくらい。お土産などいろいろなものをたくさん買う」 買い物客: 「（魅力は）にぎわいがあっていろんな店が出店している点。1か所でいろんなものが買える」 春の鹿島台互市は、4月12日までの3日間午前9時から午後4時まで開かれています。実行委員会は3日間で約7万人の人出を見込んでいます。 東北放送,[],[]
2025年の女性が複数か所刺された殺人未遂事件「死亡した夫を容疑者死亡のまま」書類送検していた　宮城・岩沼市（tbc東北放送）,https://news.yahoo.co.jp/articles/45fc9010a0f5621be13de1a592dcadc2ec77c860,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260410-22592266-tbcv-000-1-thumb.jpg?exp=10800,2026-04-10T18:37:20+09:00,2026-04-10T18:37:20+09:00,tbc東北放送,tbcv,tbc東北放送,444,東北放送 2025年8月、宮城県岩沼市内のアパートで女性が腹などを刃物で刺され、重傷を負った事件で警察が、事件の後に遺体で見つかった夫を、容疑者死亡のまま書類送検していたことが分かりました。 この事件は2025年8月13日に宮城県岩沼市桜4丁目のアパートの一室でこの部屋に住む50代の女性が何者かに腹や胸などを複数か所刺され重傷を負ったものです。 【写真を見る】2025年の女性が複数か所刺された殺人未遂事件「死亡した夫を容疑者死亡のまま」書類送検していた 宮城・岩沼市 女性は「夫に腹部を包丁で刺された」などと通報していました。 女性と同居する50代の夫は事件後に行方が分からず、事件から5日後に仙台市太白区の名取大橋の下で死亡した状態で見つかりました。 橋の上から転落した可能性が高いということです。 その後の調べで夫が女性を刺した疑いが強まり、警察は3月19日に容疑者死亡のまま殺人未遂の疑いで書類送検しました。仙台地方検察庁は、3月30日にこの夫を不起訴処分としました。 東北放送,[],[]
"「部門の垣根を超えた捜査を推進」""トクリュウ対策""の方針確認する会議が開かれる　宮城（tbc東北放送）",https://news.yahoo.co.jp/articles/c82c298e1ce450ef170ad2ec8b6600b7a2a1da38,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260410-22592681-tbcv-000-1-thumb.jpg?exp=10800,2026-04-10T18:34:20+09:00,2026-04-10T18:34:20+09:00,tbc東北放送,tbcv,tbc東北放送,444,"東北放送 「トクリュウ」によるとみられる犯罪が相次ぐなか「トクリュウ」の摘発を一層進めようと10日に対策会議が開かれ、部門の垣根を超えた捜査を推進していくことが確認されました。 【写真を見る】「部門の垣根を超えた捜査を推進」""トクリュウ対策""の方針確認する会議が開かれる 宮城 総合対策会議には、トクリュウによる犯罪を扱う刑事部門や生活安全部門などの幹部ら50人が出席しました。会議では冒頭、杉本伸正本部長が訓示しました。 県警・杉本 伸正・本部長: 「部門横断的な連携・情報共有取り締まり等を推進し県警を挙げて戦略的に対策を講じる」 宮城県内では、特殊詐欺やSNS型投資詐欺などの去年1年の被害額が約47億円と過去最悪となり、その多くがトクリュウによるものとみられています。 会議ではトクリュウによる犯罪が多岐にわたることから、部門の垣根を超えて捜査を進めていくことが確認されたということです。県警はトクリュウ対策として2026年度、仙台中央警察署に特別捜査課を新設しました。 東北放送",[],[]
投資を模した偽サイト使い「投資名目で約3200万円の詐取被害」　警察がトクリュウによる特殊詐欺事件の可能性も視野に調査　仙台（tbc東北放送）,https://news.yahoo.co.jp/articles/3930dd3d5faf4b1fe3e8b407d7fe3708e9cae55b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260410-22592690-tbcv-000-1-thumb.jpg?exp=10800,2026-04-10T18:30:37+09:00,2026-04-10T18:30:37+09:00,tbc東北放送,tbcv,tbc東北放送,443,東北放送 2026年1月までに、仙台市内の男性がSNSで知り合った何者かに現金約3200万円を騙し取られました。警察が、トクリュウによる特殊詐欺事件の可能性も視野に調べています。 【写真を見る】投資を模した偽サイト使い「投資名目で約3200万円の詐取被害」 警察がトクリュウによる特殊詐欺事件の可能性も視野に調査 仙台 特殊詐欺の被害にあったのは、仙台市青葉区に住むアルバイトの60代の男性です。警察によりますと男性は、2025年11月SNSで知り合った女性をかたる何者かに「株を割安で購入し市場価格で売却できる」「560％の利益を保証する」などと投資を勧められました。 そして投資を模した取り引きサイトに登録し、2026年1月までの間に10回以上にわたってあわせて現金約3200万円を指定された口座に送金したということです。その後、男性は出金できないことを不審に思い、警察に相談して詐欺の被害が発覚しました。警察が、トクリュウによる特殊詐欺事件の可能性も視野に調べています。 東北放送,[],[]
"「表情でも演技を表現している…!」""羽生結弦さんの軌跡"" を振り返る展示会　仙台市内で4月12日まで開催中　　　（tbc東北放送）",https://news.yahoo.co.jp/articles/2d93fe020528b66b3dc331ffa5a0bc8d15750fa9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260410-22592207-tbcv-000-1-thumb.jpg?exp=10800,2026-04-10T18:26:25+09:00,2026-04-10T18:26:25+09:00,tbc東北放送,tbcv,tbc東北放送,411,"東北放送 仙台市出身のプロスケーター羽生結弦さんの歩みを振り返る展示会が仙台市内で始まりました。これまでの活躍を振り返るパネルなどが並んでいます。 【写真を見る】「表情でも演技を表現している…!」""羽生結弦さんの軌跡"" を振り返る展示会 仙台市内で4月12日まで開催中 仙台駅前の商業施設イービーンズで4月10日から始まった「羽生結弦と仙台市展」。会場には、競技中の豊かな表情や華麗なポージングする羽生さんの姿を収めたパネルなど60点が展示されています。こちらは2011年シーズンのショートプログラム「悲愴」で実際に着用した衣装です。 訪れた人: 「性格が優しい顔もかっこいい全部が完璧」 訪れた人: 「すごく細いんだなと。表情も豊かで、表情でも演技を表現しているしいいなと」 この展示会は仙台市内の別の会場でも開催されていましたが、3月のアイスショーで着用された全ての衣装を収めたパネルが新しく追加されました。 東北放送",[],[]
「知らないおじさんが追いかけて来るから逃げた方がいいよ」60歳位の男に小学生女子らがつきまとわれる　仙台（tbc東北放送）,https://news.yahoo.co.jp/articles/fcd888e65da0d9113a0e3d5d06dedd742717dad1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260410-22592380-tbcv-000-3-view.jpg?exp=10800,2026-04-10T16:44:14+09:00,2026-04-10T16:52:13+09:00,tbc東北放送,tbcv,tbc東北放送,246,東北放送 4月9日午後3時40分頃、仙台市青葉区愛子東5丁目の路上を複数人で通行していた女子小学生らが60歳位の男から「今日天気良いね、知らないおじさんが追いかけて来るから逃げた方がいいよ」と声をかけられ、後をつきまとわれたということです。 【写真を見る】「知らないおじさんが追いかけて来るから逃げた方がいいよ」60歳位の男に小学生女子らがつきまとわれる 仙台 男は灰色長袖、黒いズボン、白の手袋を着用していたということです。 警察は、子どもの見守りを強化するよう呼び掛けています。 東北放送,[],[]
消防団の不正受給が発覚　仙台市消防局が聞き取り調査の方針（tbc東北放送）,https://news.yahoo.co.jp/articles/236acd06c19a945dc465bf51029496b97a90798c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260410-22592199-tbcv-000-1-view.jpg?exp=10800,2026-04-10T16:20:29+09:00,2026-04-10T16:20:29+09:00,tbc東北放送,tbcv,tbc東北放送,381,東北放送 仙台市内の消防団で報酬の不正請求があったことが分かりました。仙台市消防局が4月中に市内全ての消防団に対し聞き取り調査などをして再発防止に向けて実態を把握する方針です。 仙台市消防局によりますと、青葉消防団の分団は、2020年と2021年に実際には活動していない出動報酬を市に不正に請求し団員4人が25万1700円を受給していました。 また、宮城野消防団の分団でも、出動報酬8800円分を市に過剰請求し団員2人に支払っていたということです。報酬はいずれも返還されています。 これを受け消防局は、市内7つの消防団に対し4月中に報酬の取り扱いになどについて聞き取り調査を実施する方針で実態の把握に務めるということです。 仙台市消防局はtbcの取材に対し「調査によって現行の制度の課題を洗い出す」としたうえ、再発防止につとめたいコメントとしています。 東北放送,[],[]
