headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
トヨタ『クラウンエステートPHEV』を手軽にリフトアップ！ タナベのカスタムスプリング「デバイドUP210」が適合（レスポンス）,https://news.yahoo.co.jp/articles/1c340f9dd0bfb69b21429fb4ec7f4373d8dd8aa0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260411-00000016-rps-000-1-view.jpg?exp=10800,2026-04-11T19:00:04+09:00,2026-04-11T19:00:04+09:00,レスポンス,rps,レスポンス,534,タナベ デバイドUP210 クラウンエステートPHEV装着例（フロント：30mmアップ / リア：20mmアップ） タナベが販売中のリフトアップタイプのカスタムスプリング「デバイドUP210」に、トヨタ『クラウンエステートPHEV』（AZSH39W 2025年3月～）の適合が追加された。税込み価格は4本セットで6万6000円。 【画像】タナベのカスタムスプリング「デバイドUP210」装着イメージ デバイドUP210はSUVや4WDにオールテレンタイヤを合わせるアゲ系カスタムにも最適なカスタムスプリング。冷間成形スプリング使用で、タイヤから伝わるゴツゴツ感もマイルドに緩和し、ロールセンターの最適化によりコーナーリングもスムーズになる冷間成形ならではの乗り心地を実現している。 流行のリフトアップフォルムを手軽にカスタマイズできるだけでなく、釣りやキャンプといったアウトドアユースをはじめ、悪路や降雪路の走破性も向上するアップスタイル用のカスタムスプリングとなっている。 タナベのカスタムスプリング製品はヘタリ永久保証つき。いずれの製品ともフロント×2＋リア×2の4本セット販売のほか、フロント／リア各用1本での販売も用意されている。 レスポンス ヤマブキデザイン,[],[]
なぜタイヤ交換後に差が出るのか？ バランス調整だけでは足りない理由～カスタムHOW TO～（レスポンス）,https://news.yahoo.co.jp/articles/4304f33372578d2413bf3d42ebcb9de7ac594a63,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260411-00000015-rps-000-1-view.jpg?exp=10800,2026-04-11T18:00:04+09:00,2026-04-11T18:00:04+09:00,レスポンス,rps,レスポンス,2613,（写真：レスポンス） タイヤとホイールを組む際に重要なのは重量バランスと真円性の調整だ。ハンドルの振動や乗り心地の悪化を防ぐには、単なるバランス調整だけでなく軽点合わせや位相合わせまで理解しておきたい。 【画像全2枚】 ◆タイヤとホイールのバランス調整が重要な理由 タイヤとホイールを組むとき、多くの人が意識するのはホイールバランスだ。しかし実際には、バランス調整だけでなくタイヤとホイールの位置関係を整える作業も重要になる。ここが適切でないと、走行中にハンドルが震えたり、車体に微細な振動が出たりして、乗り心地や高速安定性に影響することがある。 タイヤはスチールベルトやゴムなど複数の素材で作られており、ベルトの合わせ目などの影響で、どうしても重い部分と軽い部分が生まれる。タイヤメーカーはできる限り均一になるよう製造しているが、完全に均一にすることは難しい。そこで多くのタイヤには、もっとも軽い位置を示す軽点として黄色いマークが付けられている。 一方のホイールも、できるだけ均一な重量になるよう製造されているが、こちらも完全な均一にはならない。特にエアバルブが付くことで、その周辺が重くなりやすい。そこでタイヤを組む際は、タイヤの軽点とホイールバルブの位置を合わせるのが基本とされている。 これは、ホイール側の重い部分とタイヤ側の軽い部分を重ねることで、全体の重量バランスを取りやすくするためだ。タイヤ交換や新品装着の現場では広く使われている基本だが、実際には必ずしもバルブ位置が最適解とは限らない。 ◆軽点合わせの基本とズラして組むケース 本来であれば、バルブ位置と軽点を合わせて組むのがもっとも合理的に思える。しかしホイールによっては、もっとも重い位置が必ずしもバルブ位置とは限らない。製造時のわずかな個体差によって、別の位置が重くなっている場合もあるからだ。 そのため、バルブと軽点を合わせても調整用ウエイトを大量に貼らなければならないことがある。その場合は、あえて軽点位置をズラして組み付けるケースもある。 具体的には、先にホイール単体をバランサーで回して重量バランスを確認し、そのうえでタイヤの軽点位置を変えながら組み込む。こうすることで、結果的にウエイト量を抑えられ、全体としてより良いバランスに仕上がることがある。 軽点合わせのメリット ・調整ウエイトを減らしやすい ・ハンドル振動の低減につながる ・高速走行時の安定感を得やすい 軽点合わせの注意点 ・バルブ位置が常に正解とは限らない ・ホイールごとの個体差を見極める必要がある ・作業者の知識と設備によって仕上がり差が出る ◆位相合わせで真円性を追い込む意味 さらにこだわる場合は、真円性まで追い込んで組むことがある。ホイールもタイヤも非常に高精度に作られているが、どちらも完全な真円ではない。そのため、組み付けてバランサーを回した際に、タイヤが上下方向にわずかに振れることがある。 この振れはごく小さなものなので、通常使用では気にならないケースも多い。ただし、車種やタイヤサイズ、走行速度、足まわりのセッティングによっては、そのわずかな差が乗り心地や転がり感に影響することがある。 そこで行われるのが位相合わせだ。これは、タイヤとホイールを組んで回し、振れの状態を確認し、一度ビードを落として別の位置で組み直し、再び回して確認する作業を繰り返す方法である。そうして、できるだけ真円に近い状態へ追い込んでいく。 位相合わせが決まると、クルマがスーッと滑らかに転がるような感触が得られることがある。タイヤの上下振れが減ることで、微振動が抑えられ、乗り心地の改善にもつながる。 ◆位相合わせのデメリットと依頼時の注意点 位相合わせは効果が期待できる半面、誰でも気軽に依頼できる作業ではない。理由は明確で、1本ごとに多くの時間と手間がかかるからだ。4本まとめて短時間で終わる一般的なタイヤ交換作業とは性質が異なり、専門店のオプション作業として扱われることが多い。 デメリットとしては、次の点が挙げられる。 ・作業時間が長い ・工賃が高くなりやすい ・店舗によって対応可否が分かれる ・効果の体感差には個人差がある そのため、街乗り中心でコスト重視なら通常のバランス調整でも十分な場合が多い。一方で、高速走行が多いクルマ、乗り心地にこだわるクルマ、タイヤやホイールの性能をできるだけ引き出したいユーザーには、検討する価値がある。 ◆ハブリングがホイール装着で重要な理由 ここまでこだわるなら、ホイール装着時にはハブリングも意識したい。純正ホイールの多くは、ホイール中心のハブ穴が車両側ハブにぴったり合う設計になっており、ホイールの中心が正確に出るようになっている。 しかしアフターパーツのホイールは、さまざまな車種に対応できるよう、ホイール側のセンターボアを大きめに設計していることが多い。この状態でも装着自体は可能だが、センターが出にくくなる場合があり、振動や取り付け精度に影響することがある。 そこで使いたいのがハブリングだ。ハブリングを装着すれば、ホイール側の穴径と車両側ハブ径の差を埋められ、ホイールを中心で正確に取り付けやすくなる。量販店で購入できる既製品もあるが、より精度を求めて専用品やワンオフ品を用意するショップもある。 ◆バランス調整と位相合わせの違いを理解して選ぶ タイヤとホイールの組み付けでは、単純なホイールバランス調整だけでなく、軽点合わせ、位相合わせ、さらにハブリングによるセンター出しまで含めて考えると、仕上がりは大きく変わる。 比較すると、それぞれの役割は次の通りだ。 ・バランス調整 重量の偏りを補正し、走行中の振動を抑える基本作業 ・軽点合わせ タイヤとホイールの重さの偏りを合わせて、効率よくバランスを整える方法 ・位相合わせ 真円性を追い込み、上下振れを減らして滑らかな転がりを目指す作業 ・ハブリング ホイールのセンターを正しく出し、装着精度を高めるための部品 タイヤ交換をただの消耗品交換で終わらせるのではなく、走行フィールまで整えたいなら、こうした作業の違いを知っておく価値は大きい。快適性や安定性にこだわるなら、信頼できる専門ショップに相談し、自分の使い方に合った組み付け方法を選ぶのが理想だ。 レスポンス 加茂新,[],[]
原付日本初の次世代ブレードバッテリー搭載、XDAOと共同開発、アカリエの電動バイク「CHANGE」本格展開へ（レスポンス）,https://news.yahoo.co.jp/articles/129ae5071a45f4df1cdeff721b288ae669043d40,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260411-00000014-rps-000-1-view.jpg?exp=10800,2026-04-11T16:00:04+09:00,2026-04-11T16:00:04+09:00,レスポンス,rps,レスポンス,1253,（写真：レスポンス） アカリエ（Acalie）は、中国大手電動モビリティメーカーXDAOと共同開発した日本専用モデル『CHANGE（チェンジ）』を日本市場へ本格展開すると発表した。 【画像】XDAOと共同開発した日本専用モデル「CHANGE」 本製品は、日本の道路環境・法規・利用シーンに最適化された設計により、電動モビリティにおける「安全性」「耐久性」「実用性」の課題を高い水準で解決する次世代モデルである。 さらに、原付としては日本初（自社調べ、2026年3月時点）となるEV自動車レベルの発火リスクを大幅に低減した次世代ブレードバッテリーを採用し、従来の電動モビリティの常識を覆すとしている。 電動モビリティ市場が拡大を続ける一方、日本ではバッテリーの安全性への不安、航続距離・耐久性の不足、業務利用に対応できる実用性の不足が普及の障壁となっている。 アカリエはこれらの課題に対し、「日本人のため、日本で本当に使えるモビリティ」をコンセプトに開発を推進。XDAOとの共同開発により、日本市場に最適化されたモデルを実現した。 EVレベルのブレードバッテリーを採用し、バッテリー起因の安全リスクを根本から低減する。セルはアルミ複合フィルムで保護され、外装にはアルミ合金を使用することで、優れた放熱性と難燃性を実現。圧迫・貫通・高温などの厳格な試験においても、発火・爆発のリスクを大幅に低減するとしている。 また、新世代のバッテリーマネジメントシステム（BMS）を搭載し、ミリ秒単位で各セルの電圧・温度・電流をリアルタイム監視。過充電・過放電・過電流・短絡・高温などを自動制御する。 車体はIP65防水、主要部品（モーター・コントローラー・バッテリー）はIP67の防塵・防水性能を確保。高圧洗浄機による丸洗いにも対応する。フレームには自動車レベルの陰極電着塗装と粉体塗装を組み合わせた二重防腐処理を採用し、塩水噴霧試験において1000時間以上の耐久性を実証している。 個人向けのショートレンジモデル（シングルバッテリー航続距離：約50km）と、法人向けのロングレンジモデル（ダブルバッテリー航続距離：約100km）の2種類を展開する。バッテリーは取り外し可能で家庭用100Vに対応し、最大積載は200kgとデリバリー用途にも対応できる。 アカリエは4月10日から12日に愛知県常滑市のAichi Sky Expo（愛知県国際展示場）で開催される「第5回名古屋モーターサイクルショー2026」に出展し、CHANGEの実車を初公開。 2026年6月より順次市場投入を開始するとともに、販売網の拡充とアフターサービス体制の強化を進める予定だ。 なお、共同開発パートナーのXDAOは2004年に設立された中国の電動モビリティメーカーで、年間300万台規模の販売実績を持つ。アカリエは2017年11月設立で、電動モビリティのほかAIスマートプロダクトやスポーツ分野でも次世代型製品を展開している。 レスポンス 森脇稔,[],[]
オージーケーカブトのシステムヘルメット『RYUKI』、トライバル模様の新グラフィック「ノトラ」登場（レスポンス）,https://news.yahoo.co.jp/articles/22586636b9b03659538f01fd5bb32de4e7575e0e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260411-00000013-rps-000-1-view.jpg?exp=10800,2026-04-11T15:00:05+09:00,2026-04-11T15:00:05+09:00,レスポンス,rps,レスポンス,636,オージーケーカブト RYUKI NOTRA（フラットブラック） オージーケーカブトの軽量・快適・高機能なシステムヘルメット『RYUKI（リュウキ）』に新グラフィック「NOTRA（ノトラ）」が追加された。税込み価格は4万9500円。販売開始は4月下旬より。 【画像】オージーケーカブト RYUKI NOTRA 今回追加の「ノトラ」は、トライバル模様と鋭いラインを組み合わせたグラフィックが特徴で、カラーはフラットブラックとパールホワイトブラックの2色展開。 RYUKIは、チンオープン機能を装備したシステムヘルメットで、スタイルと強度を両立するエッジの効いたデザインが特徴だ。独自の空力デバイス「ウェイクスタビライザー」や、スタイルと強度を両立するエッジを効かせたシェイプが特徴的な帽体を採用している。 スモークレンズ効果で眩しさを低減する「CM-2インナーサンシェード」機能や、赤外線（IR）カット素材を使用した「CM-2-P UICシールド（UICクリア）」を装備しながら、従来モデルよりも大幅な軽量化を実現している。ライダーのさまざまなストレスを軽減し、快適な走行をサポートする多機能なヘルメットとなっている。 また、眼鏡対応チークパッド、内装フル脱着システムなど、多くの便利な機能も備わっている。 サイズはS（55-56cm）、M（57-58cm）、L（59-60cm）、XL（61-62cm）の4サイズを用意。SG規格に適合している。 レスポンス ヤマブキデザイン,[],[]
内蔵バッテリーで最大3か月間稼働、盗難追跡サービス「ピットブル GPSトラッカー」4月20日発売（レスポンス）,https://news.yahoo.co.jp/articles/97c39b1fbf8ed8910c3dd3e030779f36862ce42d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260411-00000012-rps-000-1-view.jpg?exp=10800,2026-04-11T14:00:04+09:00,2026-04-11T14:00:04+09:00,レスポンス,rps,レスポンス,842,（写真：レスポンス） エーモンは、車両盗難対策を目的としたGPSトラッカー「Pit Bull GPS TRACKER（ピットブル GPSトラッカー）」を4月20日に発売する。本体価格はオープンで、参考価格は3万9800円。 【画像】エーモンのGPSトラッカー「Pit Bull GPS TRACKER」 この製品は、車両に取り付けるユニット本体とスマートフォン専用アプリを連携させて使う追跡デバイスだ。ユニットはGPS、国内全キャリアの4G基地局、Wi-Fi基地局の3つを組み合わせて位置情報を取得する仕組みで、振動・エンジンの起動・車両の移動という3種類の異常を検知すると、アプリを起動していなくてもスマートフォンへ即座に通知が届く。 スマートフォンがユニットとのBlutooth通信圏外に出ると自動でセキュリティモードがオンになり、近づくと解除される。盗難発生後は車が停車するたびに位置情報が通知され、マップ上に移動経路の履歴が表示されるため、車両の進行方向を把握しやすい。 車両のバッテリーを切断されても、内蔵バッテリーだけで最大3か月間稼働する点も特徴だ。内蔵バッテリーはエンジン始動中に自動充電される。 利用にはサブスクリプション契約が必要で、月額980円または年額1万1700円のプランが用意されており、いずれも初月は無料。1つの契約で最大5つのサブアカウントを使えるため、家族での車両情報共有も可能だ。 日本損害保険協会の調査によると、2025年の車両盗難被害台数は年間約2746台に上る。リレーアタックやCANインベーダーといった手口が巧妙化するなか、エーモンはGPSによる追跡機能で盗難後の車両発見をサポートする製品として開発した。 販売はネット通販やカー用品専門店などで全国展開する。同社はすでにカーセキュリティブランド「ピットブル」のシリーズ第1弾としてハンドルロックを発売しており、今回のGPSトラッカーはシリーズ第2弾にあたる。 レスポンス ヤマブキデザイン,[],[]
ヒストリックカーで文化継承と人材育成するトヨタ…オートモビルカウンシル2026（レスポンス）,https://news.yahoo.co.jp/articles/9082e25518f1ec8ada693b9278597bc13419d623,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260411-00000011-rps-000-1-view.jpg?exp=10800,2026-04-11T13:30:05+09:00,2026-04-11T13:30:05+09:00,レスポンス,rps,レスポンス,1708,トヨタ・パブリカスポーツ（オートモビルカウンシル2026） トヨタ自動車は、4月10日から12日までの3日間、幕張メッセで開催されるオートモビルカウンシル2026に出展した。今回の出展では、旧車ファンが集う同イベントを通じて、クルマ文化の継承と発展を広く訴求する狙いだ。出展の全体コンセプトは「トヨタのスポーツカーの歩み」。 【画像全11枚】 初日の10日にはトヨタ博物館の榊原康裕館長が展示内容をプレゼンテーションした。「トヨタ自動車は2025年に、トヨタのヘリテージ活動の総称として『TOYOTA CLASSIC』を掲げた。車文化に触れる場作りや、ヘリテージカーの保存・継承、そしてヘリテージパーツの開発・販売、レストアを通した人材育成、技術とノウハウの継承という活動をしている」。 ◆展示車両の解説 ●トヨタ パブリカスポーツ（レプリカ） 「トヨタ『パブリカスポーツ』はまさにトヨタのスポーツカーの開発の始まり」と榊原館長は言う。軽量構造や先進的な設計思想が特徴のパブリカスポーツは、1962年の第9回全日本自動車ショーに出展されたプロトタイプだが、展示車両は有志の手によって復刻されたレプリカになる。「開発者の長谷川達夫さんが航空機技術を織り込んだ車で、そのレプリカを2007年から5年間かけて作った。後世に車文化を伝えるシンボルということで展示した」。 ●トヨタ スポーツ800 UP15型 トヨタ『スポーツ800』UP15型は、1965年に登場した大衆向けスポーツカーだ。パブリカスポーツの流れを受け継ぎ、空気力学を重視した機能的なスタイルを採用した。展示車両はレストアされた個体。榊原館長はレストアの狙いについて、「グローバル生産推進センターで各工場の生産現場から20名ほどを集めて、人材育成のためにレストアした。ものづくりの心を感じて、技術の応用力を磨いて人間力を養う。レストア研修で得た気づきや成長を、20名がそれぞれ各職場に持ち帰って、もっといい車作りにつなげる」と説明する。 ●トヨタ 2000GT MF10型（後期型） トヨタ『2000GT』MF10型は、日本車の技術力とブランド価値を世界に示した。榊原館長は「1967年に登場した2000GTは世界に挑戦した車だ」と述べる。「どういう場で挑戦をしたら世界に認められるのか。選んだ場が、1966年の国際自動車連盟公式のスピードトライアルで、結果として3つの世界記録と13個の国際記録を作った」。なお展示車は後期型の69年型。 ●トヨタ スプリンタートレノ AE86型 トヨタ『スプリンター・トレノ』AE86型は、軽量FRレイアウトを採用したコンパクトスポーツだ。現在でも高い人気を持つ。展示車両はGRガレージ水戸けやき台がレストアした個体。6月から発売される4GEエンジンのシリンダーヘッドやシリンダーブロック、現在販売中のヘリテージパーツを使ってレストアした。 ●トヨタ スープラ JZA80型 トヨタ『スープラ』JZA80型は、高性能直列6気筒エンジンを搭載したスポーツカーだ。高い走行性能とチューニングポテンシャルで知られ、国内外で根強い人気がある。しかし榊原館長は「これまでのヘリテージパーツは、走る、曲がる、止まるというのが中心だったが、ユーザーは内装もいい状態で乗りたいと思う」と指摘する。そこに応えたのが今回出展したA80スープラの内装部品だと言う。「小物部品はこれまでもやってきたが、今回はインパネインスルメントパネルという大物もヘリテージパーツとして取り付けた」。 ●レクサス LFA トヨタの技術力を結集したスーパーカーがレクサス『LFA』だ。カーボン素材を活用した軽量高剛性ボディや、高回転型エンジンなど、先進技術を投入したモデルとして開発された。今回の展示では、トヨタのヘリテージだけでなく、現代の高性能車開発の到達点を示す役割を担う。榊原館長によると「LFAはヘリテージパーツのプロジェクトではないが、部品は今、現段階で全部供給している。今後も続けていきたいという思いを示すために置いた」という。 レスポンス 高木啓,[],[]
新型ホンダ『CR-V』の走行中でも純正ナビでテレビ視聴！ データシステム「TV-KIT」シリーズ3製品が適合（レスポンス）,https://news.yahoo.co.jp/articles/a085bf4b8eb912baf1986ea8dcb2dfb9b74e0bb4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260411-00000010-rps-000-1-view.jpg?exp=10800,2026-04-11T13:00:04+09:00,2026-04-11T13:00:04+09:00,レスポンス,rps,レスポンス,534,"データシステム TV-KIT データシステムが販売中のTV-KITシリーズに、新型ホンダ『CR-V』の適合が追加された。TV-KIT「HTV447」（切り替えタイプ）と「HTA647」（オートタイプ）およびTV-NAVIKIT「HTN2106」（切り替えタイプ）の3製品で適合を確認。 【画像】データシステム「TV-KIT」シリーズ 「HTV447」「HTA647」「HTN2106」はホンダ・CR-V（RS6, RS5 2026年2月～）に搭載の「Google 搭載 9インチ Honda CONNECTディスプレイ」に適合するTV-KITシリーズ製品。TV-KITを装着することにより、走行中でも純正ナビ画面でテレビの視聴が可能になる。また、TV-NAVIKITではテレビ視聴に加えてナビの設定操作も可能になる。 切り替えタイプにはTV-KIT機能をオン／オフできる小型スイッチが付属。車種専用設計で、設置・接続は完全カプラーオンなので、配線の切断や加工は一切不要となっている。 TV-KIT「HTV447」「HTA647」の税込み価格は2万7280円、TV-NAVIKIT「HTN2106」の税込み価格は3万1680円となっている。 レスポンス ヤマブキデザイン",[],[]
これはダメ！ 電動キックボードの守るべきルールとは　危険行為と違反ポイントを整理（レスポンス）,https://news.yahoo.co.jp/articles/2ae72a6dc2cc72445595975d2b11f2b734a73859,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260411-00000009-rps-000-1-view.jpg?exp=10800,2026-04-11T12:30:04+09:00,2026-04-11T12:30:04+09:00,レスポンス,rps,レスポンス,622,電動キックボードの危険行為 電動キックボードは、2023年の道路交通法改正により、「特定小型原動機付自転車」という新たな区分に位置付けられた。手軽な移動手段として普及が進む一方で、交通ルールの理解不足や違反行為が課題となっている。 【画像全2枚】 ここでは、電動キックボード利用者が守るべき基本ルールと、違反・危険行為を整理しよう。 ●守るべき基本ルール まず、電動キックボードの主な交通ルールは以下の通りである。 ・16歳以上で運転可能（免許不要） ・車道の左側を通行する ・信号機や一時停止などの交通ルールを守る ・二段階右折を行う（交差点） ・ヘルメット着用は努力義務 ・ナンバープレートの装着と自賠責保険への加入が必要 これらは一般的な車両と同様に、道路交通法に基づく基本的な義務だ。 ●主な違反行為 電動キックボードで特に問題となる違反行為は次の通り。 ・飲酒運転（厳しく禁止されている） ・右側通行（左側通行義務違反） ・信号無視 ・一時停止無視 ・二人乗り ・歩道の不適切な走行 これらの行為は事故につながるリスクが高く、検挙対象となる。 ●危険行為と事故リスク 違反に至らなくても、以下のような行為は危険性が高いとされる。 ・自動車の直前への割り込み ・周囲確認を行わないままの進路変更 ・夜間のライト未点灯 ・スマートフォン操作をしながらの運転 特に車道を走行する特性上、自動車との接触事故のリスクが高い。 レスポンス 高木啓,[],[]
「スバリストにはまる！」スバル『トレイルシーカー』日本発売でSNS興奮！ 試乗したユーザーからは「とんでもねぇなこれ」の声（レスポンス）,https://news.yahoo.co.jp/articles/55598b39dd2eba59ee35cacce6417530b0d8d662,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260411-00000008-rps-000-1-view.jpg?exp=10800,2026-04-11T12:00:04+09:00,2026-04-11T12:00:04+09:00,レスポンス,rps,レスポンス,1670,スバル トレイルシーカー SUBARU（スバル）は4月9日、新型EVでSUVの『トレイルシーカー』を発表した。価格は539万円から。アウトドア需要にも応える大容量ラゲッジを備えたSUVとして注目度は高く、SNSでは「広いし使いやすそう！」「めちゃくちゃカッコイイな」など話題となっている。 【詳細画像】スバル トレイルシーカー トレイルシーカーは、グローバルBEV（バッテリーEV）ラインアップ第2弾となるミッドサイズSUV。大容量リチウムイオンバッテリーを搭載し、ET-HSは一充電走行距離627km、ET-SSは734km（いずれもWLTCモード）を実現した。 駆動は前後に高出力モーターを採用し、AWDモデルではシステム最大出力280kWを発揮する。0-100km/h加速性能は4.5秒（AWDモデルの社内測定値）だ。 充電性能では、急速充電前にバッテリー温度を最適化するバッテリープレコンディショニングを採用した。マイナス10度環境下で、150kW出力の急速充電器を使用した場合に、充電量10％から80％までの急速充電時間は約28分としている。 荷室は633リットルの大容量を確保した。さらにAC100V/1500W出力のアクセサリーコンセントを備え、アウトドアや緊急時に電気を供給できる。 エクステリアデザインは、BEVらしい先進性と、アウトドアにおける機能性や日常での使い勝手の良さを兼ね備えたアクティブでラギッドなデザインとした。さらに、6つのシグニチャーランプや発光式の「六連星」オーナメント、「SUBARU」ロゴの入ったリヤゲートガーニッシュを採用することで、SUBARUブランドの存在感を強調したという。ボディカラーは全6色を用意した。 インテリアデザインは、インパネ全体をすっきりとした横基調とし、広さを感じさせる居心地のよいデザインとした。「ET-HS」グレードでは、上質で座り心地の良いナッパレザーを使用した本革シートを採用。また、ブルーを基調としたカラーリングとすることで、SUBARUらしいスポーティなイメージに仕上げている。 インフォテインメントは14インチの大型ディスプレイを採用し、車両情報やハードスイッチをディスプレイ内に集約することで、よりシンプルで使いやすいコックピットとした。 安全性能・運転支援機能は、予防安全パッケージ「SUBARU Safety Sense」を採用。ハンズオフで渋滞の疲れを軽減するAdvanced Driveや、駐車時の運転操作をクルマが支援するAdvanced Parkなどの機能により、様々なシーンでドライバーの安全運転を支援する。 価格は、「ET-SS」の1モーター・FWDモデルが539万円、「ET-SS」の2モーター・AWDモデルが594万円、「ET-HS」（2モーター・AWDモデルのみ）が638万円（いずれも税込）。 先行して北米で発表されていたが、待望の日本発表となったことでX（旧Twitter）でも話題に。「トレイルシーカー…かっこいいな」「ゴッツイけどデザイン好きかも。後ろ姿とか美形～」「トレイルシーカー欲しい欲しい」「青シートといい一文字テールといい青ボディといい、BHレガシィ味を感じてしまう」「完全ノーマークだったトレイルシーカーめっちゃええやんってなってる」など、特にデザインが評価されているようだ。 また、すでにディーラーで実車を見たり、試乗したというユーザーも。「現車見てきたけど、かなりかっこよかった！！あれはスバリストにはまると思う」「試乗してきた…… やべぇ！！！ なにこれ！！！ 重心低くてコーナリング安定してるし、とんでもねぇなこれ」「見てきました。広いし使いやすそう！」「加速はほんとに速いですね。乗り心地や静粛性、ロードノイズ等含めかなり良い！ ただ、かなりデカいのでそこは覚悟いるかなっていう印象」「リアシートの低さは気になったけど、ありな気がする」など、さまざまなコメントで賑わっている。 レスポンス レスポンス編集部,[],[]
新色レッドも追加！ スズキ『カタナ』型「ピザカッターナ」が名古屋モーターサイクルショー2026に登場（レスポンス）,https://news.yahoo.co.jp/articles/1d173299cdf0d4e3c7c5d443f2fefd7dc9a8d5c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260411-00000007-rps-000-2-view.jpg?exp=10800,2026-04-11T11:30:05+09:00,2026-04-11T12:59:16+09:00,レスポンス,rps,レスポンス,579,（写真：レスポンス） ノリモノ雑貨ブランド・CAMSHOP.JP（キャムショップ）が、スズキの伝説的なオートバイ『GSX1100S KATANA（カタナ）』をモチーフにしたピザカッター「ピザカッターナ」を4月10日から12日に愛知スカイエキスポ（愛知県常滑市）で開催される「名古屋モーターサイクルショー2026」に出品・展示する。 【画像】新色レッドも登場した「ピザカッターナ」 カタナは1980年代初頭に登場したスズキのバイクで、日本刀をイメージした鋭いデザインと高い走行性能で世界中のファンを魅了した名車だ。「ピザカッターナ」はそのカタナのフォルムを忠実に再現したキッチングッズで、バイクの前輪部分がピザカッターとして機能する仕組みになっている。 使用後は付属の専用ホルダーにセットしてインテリアとして飾ることもでき、実用性とデザイン性を兼ね備えた製品だ。素材はカッター部分がステンレス、本体がABS樹脂で、食洗器には対応していない。 カラーラインナップはシルバーとレッドの2色。今回新たに加わるレッドカラーは、メタリックな質感と深みのある赤が特徴で、バイク愛好家やスズキファンへのギフトとしても注目を集めそうだ。 なお、同社オンラインショップでも販売され、新色レッドと既存のシルバーとも税込み価格は2640円となっている。 レスポンス ヤマブキデザイン,[],[]
