headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
黒部市長選で初当選　上坂さんの挨拶全文　「いまの時代にあわせた、いまの時代に対応した黒部になるよう」（FNNプライムオンライン）,https://news.yahoo.co.jp/articles/ded4d793bbf987c8ead1d225f70d516c1437802d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260412-01129160-fnnprimev-000-3-view.jpg?exp=10800,2026-04-12T23:12:25+09:00,2026-04-13T00:12:29+09:00,FNNプライムオンライン,fnnprimev,FNNプライムオンライン,520,FNNプライムオンライン 任期満了に伴い、12日に投開票が行われた黒部市長選挙は、新人で前副市長の上坂展弘さんが、現職の武隈義一さんを破って初当選を果たしました。 【写真を見る】支援者と初当選の喜びを分かち合う上坂さん 上坂さんは12日夜、集まった支援者を前に次のように挨拶しました。 *上坂展弘さん（64） 「今ほどありがたい報告を受けました。今は身の引き締まる思いです。1月9日に出馬宣言して以降、たくさんの方に応援していただきました。支えていただきました。まずは本当にありがとうございます。ありがとうございます。選挙期間中、未来に希望が持てる黒部市にすると、そういったことを訴えて皆さんと対話してきました。私のエンジンは対話だということも話してきました。今、ここに重い責任を感じながら、しっかり一歩一歩、黒部市を今の時代にあわせた、今の時代に対応した黒部になるようしっかり進めてまいりますので、ぜひ皆さん、またいろんなアドバイスやご助言いただき、皆さんと一緒に新しい黒部を作っていきますので、よろしくお願いします。お支えください。よろしくお願いします。きょうは本当にありがとうございます」 （富山テレビ放送） FNNプライムオンライン,[],[]
【開票結果】黒部市長選は新人の上坂展弘さん（64）が初当選　「いまの時代に対応した黒部になるよう」（FNNプライムオンライン）,https://news.yahoo.co.jp/articles/de5176a09c46afb6f63585516723aa6ff60c80d2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260412-01129155-fnnprimev-000-5-view.jpg?exp=10800,2026-04-12T22:14:19+09:00,2026-04-13T00:10:34+09:00,FNNプライムオンライン,fnnprimev,FNNプライムオンライン,362,FNNプライムオンライン 任期満了に伴う黒部市長選挙の投票が行われ、前の副市長で新人の上坂展弘さんが再選を目指した現職を破って初当選しました。 【画像を見る】黒部市長選の開票結果と支援者と喜ぶ上坂さん 黒部市長選挙 開票結果 上坂展弘（無所属・新）1万1887票 当選 武隈義一（無所属・現） 7493票 *上坂展弘さん 「いまの時代に対応した黒部になるようしっかり進めていく。ぜひ皆さんいろんなアドバイスや助言をいただき、一緒に新しい黒部をつくっていく」 上坂さんは64歳。副市長の職を辞して立候補し、自民党宇奈月町支部の推薦を受けて自民党黒部市連が推した武隈候補との一騎打ちを制しました。 なお投票率は60.03パーセントと、前回4年前の選挙を3.94ポイント下回りました。 （富山テレビ放送） FNNプライムオンライン,[],[]
【開票速報】黒部市長選挙　午後9時半現在（FNNプライムオンライン）,https://news.yahoo.co.jp/articles/abf56c664f5591126164b8ef09af5ba3a54d10d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260412-01129151-fnnprimev-000-3-view.jpg?exp=10800,2026-04-12T21:55:31+09:00,2026-04-13T00:07:17+09:00,FNNプライムオンライン,fnnprimev,FNNプライムオンライン,150,FNNプライムオンライン 黒部市長選挙は12日に投票が行われました。午後9時半現在の開票速報は次の通りです。 【画像を見る】黒部市長選挙の開票速報（午後9時半現在） 午後9時半現在 開票率15％ 武隈義一（無・現）1500票 上坂展弘（無・新）1500票 （富山テレビ放送） FNNプライムオンライン,[],[]
黒部市長選挙の投票率は60.03％　前回選を3.94ポイント下回る（FNNプライムオンライン）,https://news.yahoo.co.jp/articles/bf8b33f77321614cb04f95a309e396a8167eb7d5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260412-01129137-fnnprimev-000-6-view.jpg?exp=10800,2026-04-12T20:45:36+09:00,2026-04-12T22:46:20+09:00,FNNプライムオンライン,fnnprimev,FNNプライムオンライン,221,FNNプライムオンライン 任期満了に伴う黒部市長選挙は12日に投票が行われ、投票率は60.03％でした。 黒部市長選挙の投票は12日午後8時に締め切られ、市選挙管理委員会は投票率が60.03％と発表。前回選（63.97％）を3.94ポイント下回りました。 【写真を見る】黒部市長選挙の投票区別投票率 一覧 旧黒部市の投票区の投票率は58.58％で、旧宇奈月町の投票区の投票率は71.04％でした。 （富山テレビ放送） FNNプライムオンライン,[],[]
田中眞紀子氏が見た政治家・田中角栄元総理の覚悟…13年以上大臣不在の新潟県をどう見る?「地方がもっと魅力ある場所に」（FNNプライムオンライン）,https://news.yahoo.co.jp/articles/e732902e01b6332900dd9264ef2ed27abb0c6d6b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260412-01128472-fnnprimev-000-1-view.jpg?exp=10800,2026-04-12T20:00:53+09:00,2026-04-12T20:00:53+09:00,FNNプライムオンライン,fnnprimev,FNNプライムオンライン,1450,FNNプライムオンライン 元外務大臣の田中眞紀子氏と新潟県出身のジャーナリスト・風間晋氏との対談が3月中旬に東京都内で行われた。田中角栄元総理を父に持つ田中眞紀子氏は角栄氏の外交にも同行。そこで見た政治家・田中角栄氏の覚悟の裏側などを明かした。 【画像】父・田中角栄元総理の覚悟を語る田中眞紀子氏はコチラ 「眞紀子はどう思う?」父が問い続けた“自分の言葉” 田中角栄元総理の長女・田中眞紀子氏。幼いときから、自分の意見を父から問われ続けてきた。 「両親の教育は非常に大きい。自分の意見をどこでも、相手が誰だろうと言いなさいと。『眞紀子はどう思うんだ』というのは、よく聞かれた。進学したアメリカの高校も特殊な学校だった。そこは非常に集中的に勉強もスポーツも芸術もやらせる学校だった。そういう特殊な学校で教育を受けたときも、やっぱり自分の意見を求められた。良い悪いということはない。人と意見が違っていようと、自分がどう感じたか、自分はどういう言葉で表現するかという訓練はアメリカの高校ですごくさせられた」 政治家になった後も、自身の考えを自身の言葉で伝えることを大事にしていたという眞紀子氏。それ故に、現在の閣僚や国会議員の言動に疑問を感じていた。 風間氏もこの点について指摘する。 「与党サイドは、『その件に関してはコメントは差し控えさせていただく』と。いや、控えなくて結構ですと思う。何かそういう『差し控える』という言い方で逃げている。それがここ数年、とても目について嫌だなと思う」 これに対して、眞紀子氏は「議員としてもそうだし、閣僚や総理だったら、あらゆる政策について自分の考えをまとめておく。そのためには人と話をすることも、本を読むことも、新聞読むことも、ネットで見ることもそうだし、自分の考えを集中的にきちっと固めておいて、しっかり持っていれば、相手から国会で質問されても、メディアで聞かれても答えられるけど、それがあやふやなままでいるから『差し控える』なんていうだけのことで逃げているんでしょうね」と持論を展開した。 「その一言を取るまでは帰らない」角栄元総理の外交 政治家時代にも歯に衣着せぬ発言で注目された眞紀子氏だが、そこには「政治家としての覚悟」があった。 その根底には、間近で見ていた政治家・田中角栄元総理の存在がある。 角栄元総理の外交にも同行していた眞紀子氏は、角栄元総理の外交には常に明確な“目的”が伴っていたと明かす。 「ロシアのとき、私はついて行って一緒にクレムリンに泊まった。あの時、父が言ったのは、『お前、調子に乗ってヘラヘラしているけど、もう帰りなさい』と。一緒に帰らないのと言ったら、『北方四島の問題が日ソ間にある。あれは日本の領土だってことを認めさせるために来たのに、向こうは応じない。お前がいても無駄だから、孫が待っているから帰りなさい』と。父はそれほどの覚悟があった。その後、北方四島の問題、今後ロシアと日本が議論する。俎上に、卓上に乗せるということで分かったねと言ったら、その問題は納得しましたと、四島問題があると。『ダー（ロシア語で「はい」を意味する）』と言ったんだと。それでお父さんは帰って来た。その一言を取るまでは帰らなかった。目的意識が違って、この国とはこれを話しする。それがあって行った。私は、そういうのばかりずっと見ていた」 こうした父・角栄元総理の姿を見て、政治家になった眞紀子氏は、衆議院議員を6期務め、外務大臣や文部科学大臣を歴任した。,[],[]
【自転車の青切符】取り締まりで多かった違反内容は?警察が交通ルール遵守を呼びかけ「乗り方誤ると事故につながる」（FNNプライムオンライン）,https://news.yahoo.co.jp/articles/e9a527c62f747b31c96300ee4a1360482b227fa5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260412-01126673-fnnprimev-000-1-view.jpg?exp=10800,2026-04-12T18:00:57+09:00,2026-04-12T18:00:57+09:00,FNNプライムオンライン,fnnprimev,FNNプライムオンライン,600,FNNプライムオンライン 自転車の交通違反に反則金の納付を通告するいわゆる青切符制度が始まったことを受け、警察が交通ルールの遵守を呼びかけた。取り締まりで多かった違反内容とは?取り締まりの現場を取材した。 【画像】“自転車の青切符制度”開始!取り締まりで多く見られた違反は? 自転車の青切符制度 携帯電話使用は1万2000円の反則金 4月に適用が始まった交通反則通告制度、いわゆる青切符制度。 4月、警察が新潟市中央区の街頭で自転車の利用者に注意を呼びかけていた。 この青切符制度は、対象となる違反行為に交通反則切符が交付されるもので、例えば携帯電話の使用は1万2000円、一時不停止や夜間の無灯火は5000円、車道の右側通行は6000円など反則金が科される。 通行可能な歩道でも“車道側で徐行”を ルール遵守を呼びかけ また、自転車の通行が可能な歩道であっても、原則として自転車は歩道の車道側を徐行しなければならず、この日の取り締まりではこうした違反が多く見られた。 新潟中央署の山田展史交通課長は「自転車は運転免許が不要。手軽で便利な乗り物だが、使い方を誤ると交通事故につながってしまう。基本的な交通ルールを守って安全に利用していただきたい」と呼びかけた。 警察は警察庁がホームページなどで公開している『自転車ルールブック』などで交通ルールを確認するよう呼びかけている。 FNNプライムオンライン,[],[]
「悲しいニュース」を「温かいニュース」で塗り替えたい…岡山市と米・サンノゼ市友好の証「桃太郎像」盗難被害で新たな友好の絆に　男子中学生の思い【岡山発】（FNNプライムオンライン）,https://news.yahoo.co.jp/articles/42360cfd166dd0fba41f97fde240e49801ec55af,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260412-01129043-fnnprimev-000-1-view.jpg?exp=10800,2026-04-12T17:31:34+09:00,2026-04-12T17:31:34+09:00,FNNプライムオンライン,fnnprimev,FNNプライムオンライン,1368,FNNプライムオンライン 1993年に岡山市が友好の証として、姉妹都市のアメリカ・サンノゼ市に贈った桃太郎像が、2025年に盗難被害にあったことがわかった。 この「悲しいニュース」を「温かいニュース」で塗り替えようと、国際的な活躍を夢見る岡山市の中学生が立ち上がった。 ◆「盗まれたと聞き悲しいニュースだと思った」中学生が起こしたある行動… 「友好の証を肌で触れて感じたので、帰国して盗まれたと聞き悲しいニュースだと思った」 岡山市の岡山大学附属中学校2年、松島行治さん（13）。 松島さんは2025年10月、アメリカ西部にある岡山市の姉妹都市、サンノゼ市に設置されたブロンズ製の桃太郎像が盗難の被害に遭ったことを知り、ある行動を起こした。 桃太郎像は岡山市が1993年に贈ったもので、友好の証として長年、サンノゼ市民に親しまれたが、何者かによって台座から切断され、持ち去られた。 将来、弁護士として国際的に活躍することを夢見る松島さん。「現地で文化を感じたら自分にどういう影響が出るか気になった」のがきっかけで、岡山市や市の国際交流協議会の事業に応募、盗難に遭う前の2025年夏、市内の7人の中学生と一緒にサンノゼ市を訪問していた。 ◆岡山市と米・サンノゼ市は2027年に姉妹都市提携70年の節目 岡山市とサンノゼ市は姉妹都市になって2027年で70年。現地と同じ桃太郎像はJR岡山駅前に設置されていて、それはサンノゼ市民にも知られているという。 松島さんは「ホームステイのホストファミリーに聞くと、岡山市にも同じ桃太郎像があるのを現地の人も知っていて、岡山の人が定期的にサンノゼを訪れているので交流が深く、岡山もいい場所だと考えていた。現地の人が岡山市との交流を大切に思っているかを確認する機会になった」と語る。 ◆”友好の証”桃太郎像再建を…中学生がクラウドファンディング提案 そうした中、発生した盗難事件。 松島さんは訪問した仲間と共に、桃太郎像の再建を支援しようと立ち上がった。岡山市に対してインターネットで資金を集めるクラウドファンディングの提案を行ったのだ。 なぜ、中学生の松島さんは行動を起こしたのか。 「桃太郎像の再建を通じて、一層、絆が深まり、両市の関係が深まったらいい」 こうした行動の背景には、緊迫化する世界情勢により平和が脅かされることへの不安もある。 松島行治さんの思いは…。 「平和になるにはそれぞれの共通点を見出す。サンノゼ市と岡山市の場合だと同じ桃太郎像がある。友好の証を築いてもいい、私たちが実際に行くとか、人と人のつながりを持つのは大切」 ◆300万円を目標に資金集め…資金が集まれば”12月に再建” 300万円を目標に3月下旬にスタートしたクラウドファンディング。岡山市などが6月12日まで支援を呼びかけていて、資金が集まれば2026年12月に再建したいとしている。 松島さんは岡山放送のインタビューに対し、「岡山市とサンノゼ市の友好の証が盗まれた悲しいニュースだが、皆さんの支援で温かいニュースに塗り替えたいのでぜひ支援をお願いします」と、理解と支援を呼びかけた。 国際的な活躍を夢見る中学生が始めた活動。今後、社会でどのように広がっていくのかに注目だ。 （岡山放送） FNNプライムオンライン,[],[]
【スキージャンプ】高梨沙羅インタビュー・前編　混合団体メンバー打診に「はい」と言えなかった――ミラノ・コルティナ五輪、葛藤の1日（FNNプライムオンライン）,https://news.yahoo.co.jp/articles/3493d71c457e6e745a3234664390ab178d30c644,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260412-01129004-fnnprimev-000-1-view.jpg?exp=10800,2026-04-12T12:31:32+09:00,2026-04-12T12:31:32+09:00,FNNプライムオンライン,fnnprimev,FNNプライムオンライン,924,北海道でのオフ、祖父母にメダルをかけてあげたい FNNプライムオンライン ノルディックスキー・ジャンプでミラノ・コルティナ五輪混合団体の銅メダルを獲得した高梨沙羅選手が、北海道文化放送の取材に応え、現在の心境やオフシーズンの過ごし方、趣味、自己管理、ミラノ・コルティナ五輪の仲間やメンバー選出の裏側について語った。 ――改めまして、ミラノ・コルティナ五輪銅メダル獲得おめでとうございます。そして北海道に戻られて、いかがですか。 「着いた瞬間から北海道帰ってきたなっていう気持ちになりますね。この風の感じとか気温とか。飛行機で飛んできて、上から北海道の大地を見ながら入ってくるので、そこで『あぁ北海道だな』と思いながら帰ってきました」 ――地元で楽しみにしていることはありますか。 「祖父母に1年ぶりに会うので、メダルをかけてあげるのがすごく楽しみです」 ――北海道で食べたい、楽しみなものなどはありますか。 「やはり北海道は海鮮が美味しいと思うので、海鮮も野菜もたくさん食べて帰りたいなと」 ――心身ともにプレッシャーのかかるシーズンを終えて迎えられたオフシーズン。どんな気持ちで過ごされていますか。 「最終戦が3月末まであって、帰ってきたのが 3月31日の夜で、そこからご挨拶に行かせていただいたり、お仕事をさせていただいたりで、毎日が過ぎてしまうなという感覚ですけど、今回ようやく北海道に帰ってこられて、1日ゆっくりできる時間もあるので、祖母に会ったり、地元の方々に会ったり、小学校の頃に行っていた食堂にもメダルを見せに行けたらと思います」 ――オフシーズンに解禁することや、生活スタイルの変化はありますか。 「時計を気にせずに寝られるというのはすごく幸せだなと思いますね。早起きは得意な方ではなくて、試合に合わせて何時に起きるというのを決めているので、朝早い時もありますし、ナイトゲームならお昼頃に合わせて起きる時もある中で、やはり帰ってきてこのオフシーズンというのは、時間を決めずに寝られるので、すごくオフを満喫できるとは思います」 ――目覚まし時計をかけずに何時ぐらいまで寝ていられそうですか。 「12時ぐらいまでは全然。結構いきますね」,[],[]
「生活用品から透析チューブなど医療機器まで」石油由来「ナフサ」イラン情勢受け“出し渋り”による価格上昇・不足に懸念の声　「おいトランプ!お前自分本位じゃないぞ!もっと世界のこと考えて」と社長（FNNプライムオンライン）,https://news.yahoo.co.jp/articles/b678ec88fe49e50d401a00e986ed443a6809ea6f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260412-01128986-fnnprimev-000-1-view.jpg?exp=10800,2026-04-12T12:01:27+09:00,2026-04-12T12:01:27+09:00,FNNプライムオンライン,fnnprimev,FNNプライムオンライン,859,FNNプライムオンライン イラン情勢の混乱を受け、日本ではすでにプラスチック製品の価格高騰や供給不安の声が相次いでいる。 特に重要なのが石油由来で食品トレーやゴミ袋などの生活用品から人工透析などの医療機器まで、さまざまなものに使われている「ナフサ」。 見えてきたのは、記憶に新しいあの「令和の米騒動」に似た、中間業者による“出荷控え”や“価格上昇”が始まっているという現象だった。 この石油への高まる危機感の中で、高市総理が「日本全体として必要となる量は確保されている」と語る中、同じ自民党所属で大臣経験者でもある河野太郎衆院議員は「日本全体が逆風にさらされている」と懸念を示した。 河野太郎議員:プラスチックの節約、『できることはやっていきましょうね』と政府全体としても呼びかけてもいいんじゃないか。 ■石油由来の原料がすでに3割も値上がり 商品を入れるポリ袋が納入停止も 東大阪市にあるプラスチック製品を作る現場では、石油由来の原料がすでに3割も値上がりしているという。 カワキタ 河北一朗社長:最初はそこまで長引くとは思っていなかったんですよ。ちょっと今困ったなというのが正直なところですね。 長引く中東危機の波。大きな懸念の一つと言われるのが「ナフサ」の不足だ。 石油を精製して作られる「ナフサ」は、プラスチックのコップや容器、食品のトレーやパック、ゴミ袋など、あらゆる分野で使われる生活用品などに欠かせない原料で、国内需要のおよそ4割を中東からの輸入に頼っている。 河北社長の会社には、7日、こんな連絡が… カワキタ 河北一朗社長:こういう袋類の値上げの案内があったと思ったら、翌日にはもう供給停止のメールが社員宛てに来まして。 商品を入れるポリ袋が納入されなくなったのだ。 カワキタ 河北一朗社長:（イラン情勢が）どうなるか不透明なのでまだ予断を許さない状況…こればっかりはもう自社の努力ではどうしようもない。 『おいトランプ!お前自分本位じゃないぞ!もっと世界のことを考えてやってくれよ』と言いたいです。,[],[]
「甘かったらオッケー」土を舐めて品質を見極める“赤膚焼”職人　大河ドラマ『豊臣兄弟』でも注目の奈良・大和郡山市の歴史再発見【兵動大樹の今昔さんぽ】（FNNプライムオンライン）,https://news.yahoo.co.jp/articles/0b8196e90b2edb885806b4dca7a66147311af770,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260412-01128985-fnnprimev-000-1-view.jpg?exp=10800,2026-04-12T12:01:24+09:00,2026-04-12T12:01:24+09:00,FNNプライムオンライン,fnnprimev,FNNプライムオンライン,886,FNNプライムオンライン 一枚の写真から街を再発見する「兵動大樹の今昔さんぽ」。 今回の舞台は、奈良県大和郡山市の近鉄郡山駅前からスタートだ。 ■【動画で見る】赤膚焼の赤土は舐めても美味しい? 金魚で有名な大和郡山市。現在は大河ドラマ『豊臣兄弟』でも注目を集めているスポットだ。 兵動さんが今回受け取ったのは、1961年（昭和36年）に奈良で撮影された1枚の古い写真。 兵動大樹さん:これなに?ろくろ回してんのかな。郡山やから、金魚入れるやつっていう可能性もあるけど。 室内でろくろを回している職人の姿が写っているが…写真の風景は見つかるのだろうか? ■熱々コロッケと“アカハダヤマ” 早速、駅前周辺で聞き込みスタート。 駅のすぐそばにある「ころっけのハヤシ」という惣菜店を訪ねた。 兵動大樹さん:あつっっ!!!うまっ!ジャガイモの感じがなめらかすぎてクリームコロッケに達するんちゃうかと。 揚げたてのコロッケ（90円）を味わいながら、兵動さんは「アカハダヤキ」という陶器の存在を知った。 店主に写真を見せると、興味深い答えが返ってきた。 店主:奈良市の一部とこの辺に窯元があったりして。地名でアカハダヤマって奈良市にあるんですよ。そこの土やったと思う。 ■豊臣秀長ゆかりの歴史ある街 大和郡山市は戦国時代に郡山城の城主となった秀吉の弟・豊臣秀長の商業政策によって栄えた町だ。 郡山城跡や風情のある街並みは観光名所となって、多くの方に親しまれている。 街を歩いていると、金魚の自販機を発見! 兵動大樹さん:すごない?ほんまもんやね。自販機の中にどうやって入れてんねんやろ。水きれいでちゃんと替えてあるよ。 続いて訪れたのは、江戸末期、ペリー来航の翌年の1854年に建てられた老舗和菓子店「本家菊屋」。 兵動大樹さん:ペリー来たての頃や、知らんけど。 400年以上続く歴史ある店で、豊臣秀長が秀吉に贈るために作ったという「うぐいす餅」が看板商品だ。 店内には江戸時代のものと言われる羊羹の看板も。五色の羊羹「玄武羹、朱雀羹、青龍羹、白虎羹、紫雲羹」がいまでも販売されている。,[],[]
