headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
三宅健、MONO NO AWARE提供の新曲「さいわい」配信リリース＆ジャケ写公開　SNS先行配信も（リアルサウンド）,https://news.yahoo.co.jp/articles/b5bbca9ce63c6cddc88de4506145c3a3f073d1e3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260420-00010048-realsound-000-1-view.jpg?exp=10800,2026-04-20T23:50:43+09:00,2026-04-20T23:50:43+09:00,リアルサウンド,realsound,リアルサウンド,381,三宅健 三宅健が、新曲「さいわい」を5月15日に配信リリース。また、4月21日0時よりInstagram、TikTok、YouTube Shortsにて先行配信がスタートする。 【画像】MONO NO AWAREが提供した三宅健の新曲「さいわい」ジャケット写真 本情報は、バンテリンドーム ナゴヤで開催中のTOBE主催ライブ『toHEROes 〜TOBE 3rd Super Live〜』初日にサプライズで発表されたもの。 三宅にとって約1年3カ月ぶりの新曲となる本楽曲は、“死生観”をテーマにしたミディアムバラードで、MONO NO AWAREによる楽曲提供が実現。幻想的なサウンドと優しい歌声が心に灯りをともす一曲となっている。 また、あわせて公開されたジャケット写真は、イラストレーターのいとうあつきによる書き下ろし作品となっている。 リアルサウンド編集部,[],[]
亀梨和也、全12曲収録の1stアルバム『WAVE』リリース　アルバム携え全国7都市まわるツアー開催も（リアルサウンド）,https://news.yahoo.co.jp/articles/f6ff7d65755806b8b860ae4010ccd13d23603697,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260420-00010047-realsound-000-1-view.jpg?exp=10800,2026-04-20T23:42:38+09:00,2026-04-20T23:42:38+09:00,リアルサウンド,realsound,リアルサウンド,550,亀梨和也 亀梨和也が、1stアルバム『WAVE』を7月8日にリリースする。 本作には、4月15日に配信リリースした「Diamond」のほか、GRe4N BOYZが楽曲提供した「'O sole mio」、アルバムタイトル曲「WAVE」を含む全新曲の全12曲が収録される。 【画像】亀梨和也、カツラ姿でもかっこいいと話題に タイトルの『WAVE』は、心や感情の“波”、楽曲の幅やグラデーションとしての“WAVE”を表現しており、亀梨自身が心揺れた楽曲を中心に構成されたオリジナルフルアルバムとなっている。 CDは初回限定盤、通常盤、ファンクラブ盤の全3形態での発売となる。初回限定盤には「WAVE」のMVやメイキングを収録したBlu-ray／DVDが付属し、通常盤にはボーナストラック1曲を追加した全13曲を収録。ファンクラブ盤には、2025年に行われたファンミーティング『KAZUYA KAMENASHI -TALK to ME-』の映像が収められる。 なお亀梨は、本作を携えた全国ツアー『KAZUYA KAMENASHI LIVE TOUR 2026 -FROM HERE-』を7月より全国7都市で開催。チケットは、4月23日までオフィシャルファンクラブ会員先行抽選が受付中だ。 リアルサウンド編集部,[],[]
植原翠『おまわりさんと招き猫』シリーズ第6弾刊行　6月にコミカライズ連載も（リアルサウンド）,https://news.yahoo.co.jp/articles/ae0e1218a0d33ad3ede573808f168e19d12e43a9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260420-00010046-realsound-000-1-view.jpg?exp=10800,2026-04-20T23:10:52+09:00,2026-04-20T23:10:52+09:00,リアルサウンド,realsound,リアルサウンド,498,『おまわりさんと招き猫 月夜にはねる白ウサギ』（植原翠／マイクロマガジン社） 植原翠による「おまわりさんと招き猫」シリーズの最新刊『おまわりさんと招き猫 月夜にはねる白ウサギ』が、4月20日にマイクロマガジン社より発売された。 【画像】漫画家・伊東七つ生によるコミカライズカラーイラスト シリーズ第6弾となる本作。装画イラストは今回もショウイチが担当。同日より電子書籍の配信および冒頭の試し読みも開始された。作品PVに特設サイトも公開されている。 6月からは「コミックライドivy」にて伊東七つ生によるコミカライズの連載が決定したことも発表された。発表の際に伊東七つ生によるカラーイラストも公開されている。桜の樹の下でベンチに腰掛ける、小槇とおもちさんが柔らかなタッチで描かれた。 刊行を記念し、舞台のモデルとなっている静岡県の一部書店にて、ブックカバーがもらえるスタンプラリー施策が展開される。さらに、東海エリアの協力書店限定で、同シリーズを1冊購入ごとに、浜松発の人気キャラクター・ヤマダネコとのコラボイラストを使用した特製しおり（全2種）が1枚プレゼントされる。 リアルサウンドブック編集部,[],[]
『銀河の一票』主題歌は浜野謙太＆後藤真希のコラボ楽曲　黒木華＆野呂佳代もコーラス参加（リアルサウンド）,https://news.yahoo.co.jp/articles/3b940a69524b33bca75d18cfc6ee1c1658b2a84c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260420-00010045-realsound-000-1-view.jpg?exp=10800,2026-04-20T23:10:37+09:00,2026-04-20T23:10:37+09:00,リアルサウンド,realsound,リアルサウンド,1072,（左から）浜野謙太、後藤真希 ©︎カンテレ 黒木華主演のカンテレ・フジテレビ系月10ドラマ『銀河の一票』の第1話が4月20日に放送され、主題歌が浜野謙太（在日ファンク）と後藤真希によるコラボレーション楽曲「おーへい」であることが明かされた。 【写真】コーラスに参加した黒木華＆野呂佳代 黒木が主演を務め、野呂佳代がバディ役を演じる本作は、政治家の不正を密告する告発文をきっかけに、すべてを失った与党幹事長の娘で秘書の星野茉莉（黒木華）が、偶然出会った政治素人のスナックママ・月岡あかり（野呂佳代）を東京都知事にすべく選挙に挑む“選挙エンターテインメント”。若くして政治の世界で生きてきた女性と、市井に生きる女性がタッグを組み、都知事を目指して奮闘する50日間の物語を描く。 第1話のオープニング映像とともに流れた主題歌「おーへい」は、本作の音楽を担当する坂東祐大が手がけたメインテーマをベースに、ファンクバンド・在日ファンクのフロントマンで俳優の浜野が作詞した楽曲。平成のJ-POPを彷彿とさせる、明るさと元気の良さを前面に押し出したファンクチューンで、浜野と、モーニング娘。出身のソロアーティスト・後藤が歌唱している。さらに、主演の黒木とバディ役の野呂がコーラスとして参加。『銀河の一票』でしか見られない、異なる分野で活躍する4人のスペシャルコラボが実現した。 なお、現時点で主題歌、そして黒木、野呂、松下洸平、LDH所属のダンスグループ“RAG POUND（ラグパウンド）”らダンサー60名以上が出演するオープニング映像を楽しめるのは、ドラマ本編のみとなっている。 【コメント】 ●浜野謙太（在日ファンク） 悔しい。 ほど本当あっという間に書けたんです。 台本読んでドキドキワクワクして、大好きな坂東さん作曲のイカしたブツ（音源）を受け取ったらすぐにです。 自身の曲は本当にかかるのに。 学生の頃にブラックミュージックに魅了され、その歴史や込められた想いを知っていくことでさらに熱く抱くようになっていった自分のパワーの源みたいなものにここに来て触れられた気がしちゃいました。 こんなすごい機会をくれた銀河の一票のみんなに超感謝です。 ●後藤真希 初ファンクだったので期待とソワソワする気持ちでレコーディングしました。 ハマケンさんの歌う姿が頼もしくみえて心強かったです！ とても楽しくレコーディングに挑めました。 カッコよくて、耳に残る一曲に仕上がったと思っています！ 毎回聴けるのが楽しみで、とても嬉しい気持ちです。 リアルサウンド編集部,[],[]
泉坂光輝『謎解き京都のエフェメラル』第5巻刊行　作品PV、特設サイトも公開（リアルサウンド）,https://news.yahoo.co.jp/articles/e8b7707f3d92a22beaa87204872f23b5e73db542,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260420-00010044-realsound-000-1-view.jpg?exp=10800,2026-04-20T22:40:23+09:00,2026-04-20T22:40:23+09:00,リアルサウンド,realsound,リアルサウンド,471,『神宮道西入ル 謎解き京都のエフェメラル 春立つ霞の恋心』（泉坂光輝／マイクロマガジン社） 泉坂光輝による小説『神宮道西入ル 謎解き京都のエフェメラル 春立つ霞の恋心』（マイクロマガジン社）が、4月20日に発売された。 【画像】桜彩るカバーイラスト 本作は、京都・東山の神宮道そばにある探偵事務所を舞台にした「謎解き京都のエフェメラル」シリーズの最新第5刊。同日より電子書籍の配信も開始され、電子版巻末には装画を務めるくろのくろによるカバー用イラストがそのまま収録。あわせて冒頭の試し読み、作品PV、特設サイトも公開されている。 発売を記念し、協力店舗にて同シリーズを購入した読者に「文香風しおり」（全1種）がプレゼントされる。物語をイメージした赤と黒の金魚が両面に描かれたもので、吸水性があり試香紙としても楽しめる。また、大垣書店限定で書き下ろしSSペーパーの配布も実施される。 さらに電子書籍キャンペーンとして、ebookjapanでは5月10日まで、Amebaマンガでは5月3日までキャンペーンが展開される。 リアルサウンドブック編集部,[],[]
「LINEマンガ」×コカ・コーラ　ドリンクチケットや時短アイテムが必ず当たるガチャキャンペーン開始（リアルサウンド）,https://news.yahoo.co.jp/articles/3299ef486a69fc2fe4287530f886b1a79852740d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260420-00010043-realsound-000-1-view.jpg?exp=10800,2026-04-20T22:20:53+09:00,2026-04-20T22:20:53+09:00,リアルサウンド,realsound,リアルサウンド,482,"LINEマンガ「コカ・コーラガチャ」 電子コミックサービス「LINEマンガ」にて、Coke ONドリンクチケットまたは時短アイテムが当たる「コカ・コーラガチャ」が4月20日より開催されている。 【画像】LINEマンガ年間ランキング1位の人気作『枯れた花に涙を』のグッズ 本キャンペーンは、「LINEマンガ」アプリ内のガチャセンターにて、ガチャチケット1枚で参加できるもの。1等はCoke ON対象自販機で使えるCoke ONドリンクチケット（コカ・コーラ社製品1本）で、23,000本以上が用意されている。2等以降は「LINEマンガ」の毎日無料チャージ時間を短縮できる時短アイテムが、2等：23個、3等：15個、4等：5個が当たる。1等の景品がなくなり次第終了。1等のドリンクチケットのコードは4月末にアプリ内「マイメニュー」の「あなたへのお知らせ」より配布され、有効期限は7月末までとなる。 なお、4月中は「LINEマンガ」のLINE公式アカウントの友だち限定で、毎日ガチャチケットを入手できる。参加にはLINEログインが必要となる。 リアルサウンドブック編集部",[],[]
王林、ミニTシャツの可愛いスタイル＆シックな大人コーデで魅力　　「何でも似合う」「どっちも可愛い」（リアルサウンド）,https://news.yahoo.co.jp/articles/a426b43d76e9f5bc2285e13751ede0885f76639f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260420-00010042-realsound-000-1-view.jpg?exp=10800,2026-04-20T21:28:46+09:00,2026-04-20T21:28:46+09:00,リアルサウンド,realsound,リアルサウンド,310,王林公式Instagramより 王林が4月19日、『Rakuten GirlsAward 2026 SPRING/SUMMER』のオフショットを自身のInstagramに投稿した。 【画像】王林、ギャップ溢れる姿が話題 王林は「ありがとうございました‼︎ぜんぜん 雰囲気のちがう2人の王林でしたっ」とコメントし、同日に着用した2パターンのコーデを披露。黄色のTシャツにデニムライクなセットアップのほか、サングラスに黒のレザージャケットとワンピースという全身ブラックに身を包んだ大人の魅力溢れるコーデとなっている。 コメント欄には「スタイルいいから何でも似合う」「どっちも可愛い」といったコメントが寄せられている。 本 手,[],[]
黒木華の“裏の顔”、野呂佳代の“爆発力”、松下洸平の“表情”　配役の妙が光る『銀河の一票』（リアルサウンド）,https://news.yahoo.co.jp/articles/1339ac8b1b3ac845da68468b43c340b4dacb0992,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260420-00010041-realsound-000-1-view.jpg?exp=10800,2026-04-20T20:00:24+09:00,2026-04-20T20:00:24+09:00,リアルサウンド,realsound,リアルサウンド,1965,『銀河の一票』©︎カンテレ 黒木華が主演を務め、野呂佳代が共演する月10ドラマ『銀河の一票』が、4月20日よりカンテレ・フジテレビ系でスタートする。 【写真】野呂佳代の手を握る黒木華 本作は、若くして政治の世界で生きてきた女性と、市井に生きる女性がタッグを組み、都知事を目指して奮闘する50日間の物語を描く“選挙エンターテインメント”。『しずかちゃんとパパ』（NHK BS）などの蛭田直美が脚本を手がけるオリジナル作品で、チーフ監督を『ひらやすみ』（NHK総合）の松本佳奈ら、プロデュースを『エルピス—希望、あるいは災い—』（カンテレ・フジテレビ系）の佐野亜裕美が務める注目作だ。 黒木が演じるのは、政治家の不正を密告する告発文をきっかけに、すべてを失った与党幹事長の娘で秘書の星野茉莉。茉莉は不正疑惑を隠ぺいし、自身に冷酷な仕打ちを与えた父への復讐も兼ねた都知事選で、“選挙参謀”として戦っていく。 真面目で大人しそうな雰囲気を持つ茉莉は、近年、出演作が絶えない黒木の得意とする役どころのひとつ。ただし、黒木が演じる“大人しい女性”は、一筋縄ではいかないというのが特徴で、一見、騙しやすそうに見えるのだが実は情熱的、もしくは腹の底にどす黒いものを秘めているという“裏の顔”がある。 『下剋上球児』（2023年／TBS系）で演じた野球部部長の家庭科教諭・山住香南子は「野球バカ」と揶揄されるほどの野球好き。ここでもふんわりとした雰囲気とは裏腹に選手の情報をストーカー並みに調べ上げていた。さらに、大切な三重大会の決勝の前に右脇腹を骨折してしまうが、強行復帰する根性を見せている。山住の熱意が“弱小野球部”と呼ばれていた越山高校の野球部員たちを引っ張り上げる要因の一つになっていたのは間違いない。 山住には熱血漢的な迫力があったが、NHK大河ドラマ『光る君へ』（2024年）で演じた道長（柄本佑）の妻・倫子には、ただならぬ“女の怖さ”があった。道長の気持ちが自身に向いていないことに気付いた倫子は、もう一人の妻・明子（瀧内公美）とは別の女の存在を疑い、穏やかな笑顔を見せながら目は笑っていないという女性の機微を見事に表現してみせた。 果たして、茉莉の“裏の顔”はどのようなものなのか。ストーリーの展開とともにその顔が明らかになる瞬間に期待したい。 一方の野呂が演じるのは、茉莉とは対照的に、市井に生きるスナックのママ・月岡あかり。名前の通り、常に明るく、周りを照らすような人物だが全てを失った過去もあるよう。“政治は遠くにあるもの”として過ごしていたあかりは茉莉と出会ったことでまさかの都知事を目指すことになる。 2025年は『ホットスポット』（日本テレビ系）、『なんで私が神説教』（日本テレビ系）、『初恋DOGs』（TBS系）、『フェイクマミー』（TBS系）など、全クールでドラマに出演し、続く2026年には日曜劇場『リブート』（TBS系）に出演した野呂は、ここ数年で名バイプレイヤーとしての地位を確立しつつある。これまでも主人公を陰ながら支えたり、コミカルで笑いを誘ったりとさまざまな役を演じてきたが、ついに本作で主人公のバディ役という大ポジションに抜擢された。 茉莉は表情には出さないかもしれないが、復讐に燃え、心に闇を抱えており、選挙参謀という立場も影のイメージを強くしている。そのため、あかりには底抜けの明るさを期待したいのだが、本作のメインビジュアル撮影時には、野呂が実際に出馬したかのように「皆さん悩みごとはありますか～！ 私は最近、ワンちゃんのごはんで悩んでいま～す！」と、呼びかけて周囲を笑わせたそう（※）。本作でもパワー全開の野呂の姿に思わず笑ってしまう瞬間が多くなりそうだ。 そして、もう1人注目したいのが、若手議員である日山流星を演じる松下洸平だ。日山は、茉莉の父である幹事長派閥のホープで、茉莉を子どものころからよく知る兄のような存在。父の不正疑惑の解明に奔走する茉莉に手を貸していた、数少ない味方だ。 優しげな瞳に温かな声を持ち合わせている松下は、NHK大河ドラマ『光る君へ』でまひろ（吉高由里子）と淡い恋をする周明役など、共演する女性たちを誰でもかわいらしく見せてしまう力がある。不正を憎み、復讐を誓う茉莉に日山はどのような言葉をかけ、どんな表情をさせるのか。また、政治的には“ライバル”となる2人の関係性がどのように変化していくのかも、本作の見どころといえるだろう。 “選挙エンターテインメント”という新しいジャンルのドラマを、さまざまな期待を抱きつつ、楽しみにしたい。 参考 ※ https://realsound.jp/movie/2026/04/post-2355544.html 久保田ひかる,[],[]
FRUITS ZIPPER、Juice=Juiceらと『今日好き』が生み出した熱狂――ABEMA「最強バズりソング歌謡祭」レポ（リアルサウンド）,https://news.yahoo.co.jp/articles/b87a0194af88c176f31f0df2a67fe701e7b2c90c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260420-00010040-realsound-000-1-view.jpg?exp=10800,2026-04-20T20:00:10+09:00,2026-04-20T20:00:10+09:00,リアルサウンド,realsound,リアルサウンド,1572,"FRUITS ZIPPER（C）AbemaTV,Inc. ABEMA10周年特別番組『30時間限界突破フェス』が4月11日午後3時から12日午後10時の30時間にわたり生放送された。その最終盤にグランドフィナーレ企画として、ぴあアリーナMMにて開催されたのが「最強バズりソング歌謡祭」だ。 【画像】会場に熱気の渦を巻き起こしたJuice=Juice エンディングで、MCの一人であるニューヨーク・嶋佐和也が「とんでもないテンポであっという間でしたね」とコメントしていたように、放送の2時間半で披露されたのは総勢23組、計35曲。オープニングを飾ったFRUITS ZIPPERからトリの後藤真希まで次々とパフォーマンスされていく“バズりソング”は、まるでTikTokをスクロールしていくかのような驚きと熱狂の連続だった。 FRUITS ZIPPER・松本かれん「30時間も頑張るみんなが“NEW KAWAII”」 FRUITS ZIPPERはトップバッターとして「NEW KAWAII」を披露しただけでなく、番組中盤にも再び登場。「はちゃめちゃわちゃライフ！」「わたしの一番かわいいところ」といったグループにとってのバズりソングであり、代表曲を歌唱した。毎回ライブ毎に変えている「NEW KAWAII」での松本かれんのセリフパートでは、「私は30時間も頑張る、ABEMAのみなさんといろんなところで見てくれているみんなが“NEW KAWAII”と思います」とエールを送る。 また、『30時間限界突破フェス』内の企画「『チャンスの時間』ノブの好感度を下げておこう30時間フェスver.」への出演で話題を呼んだ仲川瑠夏は、MCの齊藤京子からグループが今年2月に開催した初の東京ドーム公演について聞かれると「東京ドームって、ここよりもめちゃくちゃでかいんですよ！」と素直すぎる感想を吐露。MCのニューヨーク・さらば青春の光の2組から総ツッコミを受ける、さすがのバラエティ力を発揮していた。 同じく番組中盤に、会場に熱気の渦を巻き起こしたのがJuice=Juiceだ。TikTokでのバイラルヒットを超えて、多くの音楽番組で披露している「盛れ！ミ・アモーレ」。グループは今回会場となったぴあアリーナMMで5月にツアーファイナルを控えているが、そのチケットが取れないと話題になるほどの人気となっている。 江端妃咲は「家族とかお友達も口ずさんでくださっていて、流行っているんだなという実感が湧いています」とコメント。ラテン調のイントロ、工藤由愛の歌い出しに、フロアに集結した多くのファンが“火花”のように今を楽しんでいく。〈シャッターチャンス〉とシャウトしながら足を蹴り上げる“足上げダンス”をはじめとしたダンスパフォーマンスはもちろんのこと、ボーカル、ビジュアルといった全てがキレキレに仕上がっている、圧巻のステージだった。 過激なパフォーマンスが話題のWHITE JAMは、「磁石」「池袋サンシャイン」の2曲を披露。〈そう僕がSで あなたがN。〉のフレーズでお馴染みの「磁石」では、SHIROSEがロングコート、ニットと脱いでいき半裸状態に。会場には悲鳴にも似た叫び声がこだました。さらにはスタンドマイクでのポールダンスを模した艶やかなパフォーマンスに、マイク舐めと続く。一方で、「池袋サンシャイン」では伸びやかな歌声で真っ直ぐなラブソングを届けるそのギャップがWHITE JAMの魅力だ。 トリを務めた後藤真希は、デビュー25周年イヤーの昨年にリリースしたハイパーポップチューン「Which? Prod. Giga」に加え、モーニング娘。時代の大ヒット曲「LOVEマシーン」を出演者がステージに勢揃いした状態で披露するという華々しいフィナーレを飾った。",[],[]
工藤静香、56歳の誕生日をイモトアヤコがお祝い　仲良し2ショットに「年齢を超えた友情」（リアルサウンド）,https://news.yahoo.co.jp/articles/5a2f7260dc1edc3054a1689604b4d0496d916644,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260420-00010039-realsound-000-1-view.jpg?exp=10800,2026-04-20T19:22:07+09:00,2026-04-20T19:22:07+09:00,リアルサウンド,realsound,リアルサウンド,432,工藤静香公式Instagramより 工藤静香の誕生日をイモトアヤコがお祝いする様子が、それぞれのInstagramにて公開されている。 【画像】工藤静香、イモトアヤコとツーショット 4月14日に56歳の誕生日を迎えた工藤。工藤は「忙しいのに～」「絢ちゃんがお祝いをしてくれました～」「時間があっという間に過ぎてしまい、慌てて解散した私達。しかし私も絢ちゃんも良く食べる。笑」と綴り、バースデーケーキを挟んで仲良くピースを決めたツーショットのほか、青空の下で歩道を歩く動画を投稿している。 このポストにイモトは「お祝いできる歓び おめでとうございます」とコメント。イモトも「静香さん #happybirthday お誕生日おめでとうございます」「あー楽しく美味しく優しい時間だったなぁ」「お天気最高でお散歩タイム」と自身のアカウントから振り返っている。 コメント欄には「ずっと仲良しで素敵」「年齢を超えた友情」といったコメントが寄せられている。 リアルサウンド編集部,[],[]
