headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【長崎ヴェルカ】B1西地区優勝に王手！島根に快勝しCSホーム開幕が決定（長崎文化放送）,https://news.yahoo.co.jp/articles/8a10cf31e7ad596b81500408b6a2e520b81251be,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260422-11734635-ncctv-000-39984770-view.jpg?exp=10800,2026-04-22T23:26:53+09:00,2026-04-23T00:35:18+09:00,長崎文化放送,ncctv,長崎文化放送,262,NCC長崎文化放送 バスケットボールりそなグループB1リーグの長崎ヴェルカは島根と対戦。 長崎は、第２クオーターに３Pシュート６本を含む３２得点をマーク。失点を１２に抑えてリードを広げ、５５対３１で試合を折り返します。後半も掴んだ流れを離さず得点を重ね、１０６対７４で快勝です。 この試合で、西地区2位以上が確定したためＣＳ（チャンピオンシップ）のホーム開催が決定しました。 また、地区優勝マジックは「１」となり、最短で２５日（土）・２６日（日）のアウェーＦＥ名古屋戦で地区優勝が決まる可能性があります。 NCC長崎文化放送,[],[]
【長崎】核兵器廃絶に向けた国際人材を育成　長崎大学「ＲＥＣＮＡ」と広島の平和団体（長崎文化放送）,https://news.yahoo.co.jp/articles/465c47bf032d68018ee7a1c1e6f49ce81d1e3c35,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260422-11734610-ncctv-000-1-thumb.jpg?exp=10800,2026-04-22T19:31:41+09:00,2026-04-22T19:31:41+09:00,長崎文化放送,ncctv,長崎文化放送,1179,NCC長崎文化放送 長崎大学核兵器廃絶研究センター「ＲＥＣＮＡ」は、広島の平和団体と連携協力に関する覚書を締結し、核兵器廃絶に向けた国際人材育成プロジェクトを始めると発表しました。 【写真】核兵器廃絶に向けた国際人材を育成 長崎大学「ＲＥＣＮＡ」と広島の平和団体 NCC長崎文化放送 覚書を締結したのは、研究や人材育成を通じて平和の創造を推進する一般社団法人「へいわ創造機構ひろしま＝ＨＯＰｅ」です。記者会見には、「ＨＯＰｅ」の会長を務める広島県の横田知事もオンラインで参加しました。 広島県 横田美香知事： 「今、世界が大変混沌としております。そういった中で長崎大学の研究所と、ＨＯＰｅが連携して一緒に取り組むことは大変意義がある。世界に向けての発信力を高めていかなければいけない局面にあると考えています」 今回のプロジェクトは「ＲＥＣＮＡ」と「ＨＯＰｅ」、イギリスのシンクタンク「ＢＡＳＩＣ」が主催する国際人材育成プロジェクト「対話で平和を組み立てる」です。 テーマは「核兵器を含むリスクから、人類と地球を守るためにそれぞれの世代が果たさなければいけない責任とはなにか」。若者による対話型の研究会を通じて、被爆地・長崎と広島の役割や、核抑止に頼らない安全保障の在り方などを考えます。 募集対象は「ＢＡＳＩＣ」のメンバー６人に加え、主に長崎・広島に住む１８歳から３０歳までの若者約６人です。書類選考とオンライン面接を経て来月末ごろに選ばれます。 核兵器廃絶研究センター 樋川和子副センター長： 「募集の要件としては、すでにある程度の基本的な知識と活動のバックグラウンドを持っている方が重要な条件」 募集要項は、今月下旬ごろ公表される予定です。参加者はオンラインのワークショップなどで議論を重ねた上で報告書をまとめ、来年、長崎と広島で成果を発表する予定です。 核兵器廃絶研究センター 吉田文彦センター長： 「広島・長崎で一緒にプロジェクトを組んで協力して、最大限この機会、タイミングを生かして成長してもらって、今のこの機会をつかめる世代が成長しないと、後々、次の世代、その次の世代に影響するわけですから、重要だと思う」 また、会見では今月２７日からアメリカ・ニューヨークの国連本部で開かれるＮＰＴ核拡散防止条約の再検討会議についても、見通しが示されました。 核兵器廃絶研究センター 河合公明副センター長： 「不拡散なくして核廃絶なしということで、原点に立ち戻って誠実な議論が関係各国でできるかということと、市民社会がまさにそこに声を乗せていく。それによってサポートの態勢をしていく、協力関係を見出すことが大事じゃないか」 「ＲＥＣＮＡ」は、ＮＰＴ再検討会議の分析記事をブログで発信していて、今後も動向や結果を随時掲載していくとしています。 NCC長崎文化放送,[],[]
【長崎】「大谷翔平選手ラベルのお茶の売り上げ」で雲仙の環境保全（長崎文化放送）,https://news.yahoo.co.jp/articles/62efc05815838148ce4f0a0ba3413016ccba27f3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260422-11734609-ncctv-000-1-thumb.jpg?exp=10800,2026-04-22T19:30:26+09:00,2026-04-22T19:30:26+09:00,長崎文化放送,ncctv,長崎文化放送,459,NCC長崎文化放送 お茶の売り上げを雲仙の環境保全に活用します。飲料メーカーの「伊藤園」が、「お～いお茶」の売り上げの一部を県に寄付しました。 【写真】「大谷翔平選手ラベルのお茶の売り上げ」で雲仙の環境保全 NCC長崎文化放送 伊藤園は、大谷翔平選手をグローバルアンバサダーに迎え、自然環境の保全などに取り組んでいます。去年、『お茶で長崎を美しく。』キャンペーンとして、大谷選手のラベルの「お～いお茶」を４カ月間、販売した売り上げの一部２０万円を馬場副知事に手渡しました。 伊藤園の社員らは先月、雲仙の田代原で、ミヤマキリシマを保全するための草刈りなどに取り組みました。 県は今回の寄付金も、雲仙・仁田峠のミヤマキリシマを保全するために活用する予定です。 伊藤園 中四国・九州地域営業本部 品川長久本部長： 「山はどうしても人の手をかけないとどんどんダメになってしまいますので、今の雲仙を維持できるよう活用していただければなと」 伊藤園から県への寄付は今回で１４回目で、合計４３３万円となりました。 NCC長崎文化放送,[],[]
【長崎】「ファミチキを袋に詰めるのが難しかった」　ＨＫＴ４８メンバーがコンビニで一日店長（長崎文化放送）,https://news.yahoo.co.jp/articles/a1b47dd187236c84788a8ec34f9ea15679be9042,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260422-11734605-ncctv-000-1-thumb.jpg?exp=10800,2026-04-22T19:28:53+09:00,2026-04-22T19:28:53+09:00,長崎文化放送,ncctv,長崎文化放送,727,NCC長崎文化放送 九州を拠点に活動する人気アイドルグループＨＫＴ４８のメンバーが、佐世保市のコンビニエンスストアで一日店長を務めました。 【写真】「ファミチキを袋に詰めるのが難しかった」 ＨＫＴ４８メンバーがコンビニで一日店長 NCC長崎文化放送 ファミリマート佐世保勝海町店を訪れたのは、ＨＫＴ４８のメンバーで、県内出身の江口心々華さん（１８）と福井可憐さん（１９）、龍頭綺音さん（１５）の３人です。 ファミリーマートが、今年で結成１５周年を迎えるＨＫＴ４８とタッグを組んで、地域に元気を届けようと企画されました。 ３人は２時間にわたって、レジで会計のサポートや、袋詰めなどをして約７０人のファンや地元住民と交流しました。 ファン（福岡県から）： 「いつも劇場公演とかでは見ているんですけど、少し新鮮でした」 ＨＫＴ４８龍頭綺音さん（１５）： 「最初はすごく緊張していたけれど、ファミチキを袋に詰めるところがすごく難しかったんですけど、スタッフの皆さんに支えていただいてスムーズにできるようになってうれしかったです」 江口心々華さん（１８）： 「終わった後、すごく楽しかったという気持ちが大きくて、お客様の笑顔がたくさん見られたのがすごく素敵な一日になったと思いました」 福井可憐さん（１９）： 「店員さんが笑顔だと、お客様も笑顔になってくれるかなと思うので、一番は笑顔を大切にして声も大きく、明るい雰囲気を出せるように頑張りました」 また、ファミリーマート佐世保三浦町店では、期間限定でＨＫＴ４８のロゴ入りのフードドライブの回収ボックスを設置します。メンバーが感謝を伝える限定音声メッセージが流れます。設置期間は８月末までです。 NCC長崎文化放送,[],[]
【長崎】「言いたいけど言えない、ホント言いたい」テーマ曲歌う女性歌手は体験済み　オープン前 「エヴァンゲリオン」アトラクションの臨場感　　（長崎文化放送）,https://news.yahoo.co.jp/articles/061838f99fd11ca53eb4dc1fbe5753b1b69c7f08,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260422-11734601-ncctv-000-1-thumb.jpg?exp=10800,2026-04-22T19:24:27+09:00,2026-04-22T19:24:27+09:00,長崎文化放送,ncctv,長崎文化放送,947,NCC長崎文化放送 ハウステンボスに、人気アニメ「エヴァンゲリオン」のアトラクションが、２４日にオープンします。オープニングセレモニーには、主題歌を歌う高橋洋子さんも登場しました。 【写真】「言いたいけど言えない、ホント言いたい」テーマ曲歌う女性歌手は体験済み オープン前 「エヴァンゲリオン」アトラクション NCC長崎文化放送 海上自衛隊佐世保音楽隊の演奏で幕を開けたオープニングセレモニー。エヴァンゲリオンの初号機カラーをイメージした紫と黄緑の衣装で、高橋洋子さんが登場しました。 ハウステンボスを訪れるのは今回で３回目だといいます。 高橋洋子さん： 「（ハウステンボスが）できたというほやほやの時に伺ったと思う。こんなに素敵な異国を感じる場所があるんだとドキドキワクワクしたのを覚えています」 今回の新アトラクションについては…。 高橋洋子さん： 「実は私一足先に体験させていただきまして。ごめんなさいね。本当にもうすみません。言いたいけど言えない、本当言いたい！でも言えない。こんな気持ちを皆さんに早く乗っていただいて、分かち合いたい。エヴァンゲリオン知らない人が体験してもめちゃくちゃ楽しめる。私は過去イチ大好きなアトラクションになりました」 「エヴァンゲリオン・ザ・ライド」は、高精細８ＫＬＥＤのドーム型巨大スクリーンと最新技術を駆使したライドアトラクションです。 舞台は、特務機関「ＮＥＲＶ」の佐世保支部、「迎撃要塞都市ハウステンボス」。ゲストは臨時職員として、特別任務に臨む、完全オリジナルストーリーです。 人類を守る３体の汎用ヒト型決戦兵器「エヴァンゲリオン」と、謎の巨大生命体「使徒」の激しい戦闘を目の当たりにしているような臨場感が味わえます。 ハウステンボスの髙村耕太郎社長は、「作品を知る人にはより深い体験を、初めて触れる人にも新たな出会いと感動が訪れる瞬間を作れるものになる」と期待を語りました。 このほか、園内をめぐるスタンプラリーや限定グルメ、夜は劇中のクラシック音楽にあわせた花火と光と噴水のナイトショーなど、エヴァンゲリオンとヨーロッパの街並みのコラボレーションが楽しめます。 「エヴァンゲリオン・ザ・ライド」は、２４日（金）オープンです。 NCC長崎文化放送,[],[]
【長崎】「強い衝撃が加わると爆発の可能性がある」　佐世保港内で発見の不発弾　（長崎文化放送）,https://news.yahoo.co.jp/articles/5aea7e73f9239f95ee5a154a104bceaa01d703b5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260422-11734595-ncctv-000-1-thumb.jpg?exp=10800,2026-04-22T19:20:56+09:00,2026-04-22T19:20:56+09:00,長崎文化放送,ncctv,長崎文化放送,491,NCC長崎文化放送 佐世保海上保安部は、２１日に佐世保港の海底で見つかった「不発弾らしきもの」について、「不発弾」と判明したと発表しました。 【写真】「強い衝撃が加わると爆発の可能性がある」 佐世保港内で発見の不発弾 NCC長崎文化放送 不発弾は、２１日午前１０時２０分ごろ、佐世保港・崎辺沖の海上工事区域で、工事業者が磁気探査中、水深８メートルの海底で発見しました。 長さ約８０センチ、直径約６０センチで、表面に貝などの海洋生物が付着し、詳しい形状や年代は分かっていません。その後、海上自衛隊第三機雷戦隊佐世保水中処分隊による潜水調査で、不発弾と判明しました。 海上自衛隊は、爆発の危険性は低いとしながらも、強い衝撃が加わると爆発の可能性があるとしています。 佐世保海保は、現場に赤旗付きのブイを設置し、航行する船などに注意を呼びかけていましたが、２１日１１時半から、撤去されるまでの間、黄色の点滅灯を加え、周囲半径３００メートルで船が錨を下ろすことを佐世保港長名で禁止すると公示しました。 今後、不発弾の処理については、海上自衛隊などと協議するとしています。 NCC長崎文化放送,[],[]
【長崎】マッサージサロンの火事　自然発火の可能性も「オイルを含んだタオルを洗濯し、乾燥機に」（長崎文化放送）,https://news.yahoo.co.jp/articles/63c70693cf727458549e1c059fa735cb916be411,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260422-11734593-ncctv-000-1-thumb.jpg?exp=10800,2026-04-22T19:19:38+09:00,2026-04-22T19:19:38+09:00,長崎文化放送,ncctv,長崎文化放送,511,NCC長崎文化放送 ２２日朝、諫早市のアパートで火事がありました。火元は調査中ですが、意外なところから火が出る恐れがあります。 【写真】マッサージサロンの火事 自然発火の可能性も「オイルを含んだタオルを洗濯し、乾燥機に」 NCC長崎文化放送 午前９時４４分、諫早市貝津町の２階建てアパート１階の一室で営業するマッサージサロンの従業員から「玄関で何か燃えている。家具に燃え移りそう」と１１９番通報がありました。 消防車など６台が出動し、火は３０分後に消し止められましたが、床など部屋の一部が焼けました。けがをした人はいません。 近所の女性： 「色とかも無かったんですよ、赤い炎も。ただ煙だけ、うわーってきてました、煙が」 諫早警察署によりますと、前日の夜、従業員がオイルを含んだタオルを洗濯し、乾燥機にかけたあと袋に入れて室内に置いていたということです。 アロマオイルや食用油は、空気に触れると酸化し、熱を発します。熱が蓄積すると自然発火の恐れもあることから、ＮＩＴＥ製品評価技術基盤機構は、オイルのついた衣類などを乾燥機にかけないよう注意を呼びかけています。 警察と消防が詳しい出火原因を調べています。 NCC長崎文化放送,[],[]
車いすバスケットボール九州大会 ７年ぶりの優勝を目指す「長崎サンライズ」 の結果は？（長崎文化放送）,https://news.yahoo.co.jp/articles/badf494979e3281a241edc39882d44298ff8c01a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260422-11734518-ncctv-000-1-thumb.jpg?exp=10800,2026-04-22T16:44:37+09:00,2026-04-22T16:44:37+09:00,長崎文化放送,ncctv,長崎文化放送,907,NCC長崎文化放送 激しいぶつかり合いやスピード感から「コート上の格闘技」とも呼ばれる車いすバスケットボール。 【写真】車いすバスケットボール九州大会 ７年ぶりの優勝を目指す「長崎サンライズ」 の結果は？ NCC長崎文化放送 今月１１日（土）からの２日間、長崎市の県立総合体育館で九州大会が開かれました。九州各地と韓国からの１チームを含む９チームが参加し、熱戦を繰り広げます。長崎から出場したのは２チーム。 長崎市と諫早市を中心に活動する「長崎サンライズ」は、去年、おととしと準優勝し、今年７年ぶりの優勝を目指します。 初戦（熊本戦）を６９対１４で勝利した「サンライズ」は準決勝で大分県と対戦。注目はチーム最年長５２歳の高野選手。機敏なチェアワークで次々とポイントを決めます。 高野逸生選手：「練習を休まないように体をキープしながら頑張ってるんで。得意なのはやっぱりシュートですかね。５２歳頑張ってます」 後半の第３第４クオーターでも「サンライズ」は攻撃の手をゆるめません。最年長の高野選手とエース・溝口選手の連携が光ります。さらに、素早いパス回しで相手を翻弄し、終始「サンライズ」がリードする形で、１５点差で決勝進出です。 溝口良太選手：「厳しい時間帯でもみんな一生懸命やれて、途中競ったりもして、でもその接戦を勝ち切れたというのは若手にとってもチームとしてもいい収穫になったかなと思います」 決勝の相手は、パラリンピックを経験した選手も有する韓国チーム。開始から果敢に攻めますが、韓国チームの鉄壁のディフェンスに苦戦します。 後半もなかなか得点を伸ばせず、３年連続の準優勝となりました。 高野逸生選手：「確実にシュートを決めて くるというのは、韓国は やっぱり強いチームだな と思っていい勉強になりました。ここから切り替えて勝てるように頑張っていきたいと思います。長崎サンライズは若いのが多いので、強化してどんどん、九州では優勝を目指して頑張っていきたいと思います」 決勝で惜しくも敗れた「長崎サンライズ」。次なる目標は７月に開かれる車いすバスケ国内最高峰の大会、天皇杯の一次予選突破です。 NCC長崎文化放送,[],[]
【長崎】大谷翔平選手ラベルのお茶の売り上げから２０万円を県に寄付（長崎文化放送）,https://news.yahoo.co.jp/articles/b9582619fc36c39d7970f7e32234a52a7945a429,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260422-11734451-ncctv-000-1-view.jpg?exp=10800,2026-04-22T12:35:04+09:00,2026-04-22T12:35:04+09:00,長崎文化放送,ncctv,長崎文化放送,268,NCC長崎文化放送 飲料メーカーの「伊藤園」が、環境保全のため、「お～いお茶」の売り上げの一部を県に寄付しました。 【写真】大谷翔平選手ラベルのお茶の売り上げから２０万円を県に寄付 伊藤園は、大谷翔平選手をグローバルアンバサダーに迎え、自然環境保全などに取り組んでいます。 去年は、大谷選手のラベルの「お～いお茶」を４カ月間販売し、その売り上げの一部２０万円を馬場副知事に手渡しました。県への寄付は１４回目で、合計４３３万円となりました。 寄付金は、雲仙・仁田峠のミヤマキリシマを保全する除草などに使われる予定です。 NCC長崎文化放送,[],[]
【長崎】水中処分隊の潜水調査で「不発弾」と判明　佐世保港崎辺沖　爆発の可能性は（長崎文化放送）,https://news.yahoo.co.jp/articles/2e898212e9632eb405f1b57f56b12461eec9a0d8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260422-11734444-ncctv-000-39965313-view.jpg?exp=10800,2026-04-22T12:24:35+09:00,2026-04-22T12:49:07+09:00,長崎文化放送,ncctv,長崎文化放送,470,NCC長崎文化放送 佐世保海上保安部は、２１日に佐世保港の海底で見つかった「不発弾らしきもの」について、「不発弾」と判明したと発表しました。 【写真】水中処分隊の潜水調査で「不発弾」と判明 佐世保港崎辺沖 爆発の可能性は 不発弾は２１日午前１０時２０分ごろ、佐世保港・崎辺沖の海上工事区域で、工事業者が磁気探査中、水深８メートルの海底で発見しました。 長さ約８０センチ、直径約６０センチで、表面に貝などの海洋生物が付着し、詳しい形状や年代は分かっていません。その後、海上自衛隊第三機雷戦隊佐世保水中処分隊による潜水調査で、不発弾と判明しました。 海上自衛隊は、爆発の危険性は低いとしながらも、強い衝撃が加わると爆発の可能性があるとしています。 佐世保海保は、現場に赤旗付きのブイを設置し、航行する船などに注意を呼びかけていて、２１日午後１１時半から撤去されるまでの間、周囲半径３００メートルで船が錨を下ろすことを佐世保港長名で禁止すると公示しました。 今後、不発弾の処理については、海上自衛隊などと協議するとしています。 NCC長崎文化放送,[],[]
