headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
グリーズマン、CLアーセナル戦へリラックス「以前は試合を50回もイメージしていたけど…」（GOAL）,https://news.yahoo.co.jp/articles/c2f7cfa91cef916117e21bb49b08cf3927a12aa4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010015-goal-000-1-view.jpg?exp=10800,2026-05-05T20:01:05+09:00,2026-05-05T20:01:05+09:00,GOAL,goal,GOAL,555,アントワーヌ・グリーズマン (C)Getty Images アトレティコ・マドリーのFWアントワーヌ・グリーズマンがアーセナル戦へ興奮していると語った。『アス』が伝えている。 チャンピオンズリーグ準決勝第1戦ではアーセナルと1-1のドローに終わったアトレティコ。グリーズマンは第2戦に向けて「ずっとそのことを考えている。明日が本当に楽しみだ。素晴らしい試合になるだろう。願わくば、前半と同じような声援、高いレベルのプレー、そして後半の展開を期待している」と述べた。 「明日の試合をイメージして、自分が何をすべきかを把握している。以前にも言ったように、残り試合が1試合か2試合かといった試合そのものにはあまりこだわらず、精神的に準備を整え、試合への意欲を高めることに集中している」 グリーズマンは決勝ゴールをイメージしていなかったと語ったが、試合についてはリラックスしていることを明かした。 「得点するかどうかは関係ない。ゴールを決めることよりも、勝ち進むか試合に勝つことの方が大事だ。今は試合に臨むにあたって、以前よりも落ち着いてリラックスしている。以前はすごくストレスを感じていた。以前は試合を50回もイメージしていたけれど、今は落ち着いてリラックスしていて、何が起こるか分かっているので、勝利に集中できる」,[],[]
アルテタ、アトレティコとの大一番のCL準決勝へ「大切なのは何を望んでいるか、何をする覚悟があるかだ」（GOAL）,https://news.yahoo.co.jp/articles/151b44dc063f5849bca1228c690bcbf824dc5a5f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010014-goal-000-1-view.jpg?exp=10800,2026-05-05T19:00:29+09:00,2026-05-05T19:00:29+09:00,GOAL,goal,GOAL,572,欠場者を明言 アルテタ (C)Getty Images アーセナルのミケル・アルテタ監督がアトレティコ・マドリー戦へ意気込みを語った。スペイン『アス』が伝えた。 チャンピオンズリーグ準決勝第1戦を1-1で終えたアーセナル。アルテタ監督は、DFユリアン・ティンバーはミケル・メリーノと共にスタンドから試合を見守るが、キャプテンのマルティン・ウーデゴールとカイ・ハヴァーツは出場可能だと明言した。 「選択肢が増え、様々な試合に対応できるようになった。試合が楽しみだ。チーム全員のエネルギーを感じている。こういう瞬間を一緒に経験したい。20年かけてこの地位を勝ち取った。明日は全力を尽くすつもりだ」 また、アルテタは記者会見を通してチームを鼓舞することに集中した。 「こういうチャンスが巡ってきたら、必ずものにする準備をしておかなければならない。チームは試合開始から全力を尽くし、必ず成功させるだろう」 「こういう夜に『勝利』という言葉を使うのは好きじゃない。大切なのは、私たちが何を望んでいるか、そして何をする覚悟があるかだ。私が信じるのは、毎日目にしているものだ。選手たちは私に信じる理由、彼らを信頼する理由、そしてそれが可能であり、私たちにはできると思わせてくれる理由を与えてくれた。これがサッカーだ。明日、試合でそれを証明しなければならない」,[],[]
アーセナルGKラヤが3シーズン連続でゴールデングローブ賞を獲得…偉業は過去に3人のみ（GOAL）,https://news.yahoo.co.jp/articles/90afe15c95347bbb2a7acb0d9d88a39cd8eadee0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010013-goal-000-1-view.jpg?exp=10800,2026-05-05T18:10:40+09:00,2026-05-05T18:10:40+09:00,GOAL,goal,GOAL,442,ダビド・ラヤ (C)Getty Images アーセナルのGKダビド・ラヤが3シーズン連続でコカ・コーラ・プレミアリーグ・ゴールデングローブ賞を獲得した。 ラヤは2日に行われたフラム戦で今シーズン17回目のクリーンシートを達成。一方で、ライバルとなっていたマンチェスター・シティのGKジャンルイジ・ドンナルンマはここまで13度のクリーンシートを記録していたが、残り4試合となったため少なくともラヤの受賞は確定した。ラヤは、残りの3試合のうちいずれかで無失点に抑えるか、ドンナルンマがマンチェスター・シティでさらに1失点すれば、ゴールデングローブ賞を単独で獲得することになる。 3シーズン連続の受賞となり、過去にペペ・レイナ（リヴァプールール）、ジョー・ハート（マンチェスター・シティ）、エデルソン（マンチェスター・シティ）の3人のゴールキーパーしか達成していない偉業となった。 ラヤの17回のクリーンシートは昨季の13回を上回っており、今季どこまで記録を伸ばすかが期待されるところだ。,[],[]
デ・ゼルビはいかにしてトッテナムを復活させたか。守備対応とビルドアップがカギに（GOAL）,https://news.yahoo.co.jp/articles/23c184944fa30fdf2fa96d2134a6435116d605f1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010012-goal-000-1-view.jpg?exp=10800,2026-05-05T17:10:10+09:00,2026-05-05T17:10:10+09:00,GOAL,goal,GOAL,893,『BBC』が注目 ロベルト・デ・ゼルビ監督 (C)Getty Images トッテナムはロベルト・デ・ゼルビ監督の下で連勝を飾った。 トッテナムは4日にアストン・ヴィラを2-1と下し、連勝を達成。降格圏を抜け出し、17位に浮上した。『BBC』ではデ・ゼルビについて「多くの称賛が送られるべき」とし、守備陣の働きに注目した。 【順位表】プレミアリーグ：トッテナムは？ 「デ・ゼルビはスパーズに対し、ピッチ中央を封鎖しつつ積極的にプレスをかけるよう指示した。ヴィラがリスクの高いパスを出すと、スパーズの攻撃陣はすぐに方向転換して後方にプレスをかけ、ボールを持っている選手を取り囲み、ボール奪取の可能性を高めた。ヴィラはなかなかボールを前進させることができず、一方のスパーズは相手のボール支配を自らのチャンスへとつなげた」 また、トッテナムはローテーションによるビルドアップでヴィラを崩したとも伝え、「両サイドバックと2人のセントラルミッドフィルダーが、アストン・ヴィラの守備陣形を崩す上で重要な役割を果たした」と中盤以下の選手たちの働きを評価。最後には「信念と戦術は密接に関係している」とし、こう記した。 「彼はすでに、以前の仕事で行ってきたことと同様の原則をチームに徹底的に浸透させている。ただし、選手たちの質に合わせて調整はしている。スパーズはゴールキーパーからショートパスを多用するが、ブライトン時代よりも、リシャルリソンのようなターゲットマンへのロングパスを積極的に使う傾向がある。スパーズの選手たちの身体能力の高さを考えると、ハイプレスをチャンス作りの手段として活用するのは賢明な判断だったと言えるだろう」 「これらの戦術はどれも、監督が伝えるメッセージを信じる選手たちなしには実現不可能だ。デ・ゼルビはこれまでの記者会見で、ある一つの考えに焦点を当ててきた。それは、スパーズが来シーズン、プレミアリーグに残留するためには、自分自身を信じ、あらゆるネガティブな感情を払拭しなければならないということだ。アストン・ヴィラ戦での彼らのパフォーマンスは、間違いなくプラスに働いただろう」,[],[]
ビジャレアル、2季連続でCL出場権獲得のマルセリーノ監督が退任決定（GOAL）,https://news.yahoo.co.jp/articles/0e27e005c322f49f48013af3a63b480d3b7ede89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010011-goal-000-1-view.jpg?exp=10800,2026-05-05T15:00:44+09:00,2026-05-05T15:00:44+09:00,GOAL,goal,GOAL,413,マルセリーノ (C)Getty Images ビジャレアルは今シーズン終了後にマルセリーノ監督が退任することを発表した。 マルセイユとセビージャを率いたマルセリーノは、2023年にビジャレアルで2度目の指揮を執り始め、昨シーズンはチームを5位に導いた。そして、今季はラ・リーガで3位につけており、2年連続でチャンピオンズリーグ出場権を獲得していた。 【画像】エンバペ噂の新彼女が超絶美人！ ビジャレアルは、「マルセ、あなたがこのクラブとファンに与えてくれたすべてに、心から感謝します。今後のスポーツ活動におけるご成功を心よりお祈り申し上げます」と公式声明で述べた。 なお、『アス』によると、マルセリーノ監督の退任理由は、契約期間の長さとクラブの今後の構想に集約される。監督は長期契約を望んでいたが、ビジャレアルは投資の見直しと、自前の才能ある若手選手の育成に再び注力する方針から、彼に提示したのはあと1年契約のみだったという。,[],[]
33歳の元ブラジル代表FWがアキレス腱断裂の大けが…復帰戦での悲劇（GOAL）,https://news.yahoo.co.jp/articles/113294a710bf23ba5403b6c178a7f3e20e577d27,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010010-goal-000-1-view.jpg?exp=10800,2026-05-05T14:10:03+09:00,2026-05-05T14:10:03+09:00,GOAL,goal,GOAL,322,ルーカス・モウラ (C)Getty Images サンパウロに所属する元ブラジル代表FWルーカス・モウラ（33）を悲劇が襲った。 3月に肋骨骨折の負傷を負っていたルーカスは3日のバイーア戦で復帰。しかし、27分に負傷交代となり、状態が心配されていたが、アキレス腱断裂をクラブは明らかに。翌日に完全断裂を修復する手術を受けたと発表した。 【動画】ルーカス・モウラが負傷… 『ESPN』では、一般的な回復期間は1年間とし、長期離脱を予想した。 なお、ルーカスはトリコロールのシーズン最初の17試合のうち16試合に出場し、そのうち10試合に先発出場、3ゴール1アシストを記録していた。通算では239試合に出場し、59ゴール36アシストを記録している。,[],[]
チェルシーの18歳FWがデビュー戦で頭部負傷…指揮官「悲しい結末を迎えてしまった」（GOAL）,https://news.yahoo.co.jp/articles/23514c8029cc51a39e7a0bbd8f64249fe3dfbeb1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010009-goal-000-1-view.jpg?exp=10800,2026-05-05T13:20:02+09:00,2026-05-05T13:20:02+09:00,GOAL,goal,GOAL,478,デリー (C)Getty Images チェルシーのFWジェシー・デリーが危険な負傷を負った。 18歳のデリーは4日のノッティンガム・フォレスト戦（1-3）でデビュー。しかし、45分に相手選手のザック・アボットと頭をぶつけて負傷。ピッチ上で酸素吸入を受けた後、長時間の試合中断を経て担架でピッチから運び出された。 【動画】ペドロがスーパーなオーバーヘッド！ チェルシーは声明の中で、デリーについて「意識があり、会話もできており、念のため検査を受けている」と明らかにした。 試合後、チェルシーの暫定監督であるカラム・マクファーレンは『BBC』の「マッチ・オブ・ザ・デイ」で次のように語った。 「今のところ、すべての兆候は良好で、彼の状態が良いことを願っている。ジェシーには本当に気の毒だ。彼は試合でよくやったと思う。脅威を与えてくれたし、彼にとって大きなチャンスだったのに、悲しい結末を迎えてしまった」 U-19イングランドU-19のウインガーであるデリーは、昨夏クリスタル・パレスから加入して以来、今シーズンのアカデミー戦29試合で12ゴールを挙げている。,[],[]
ブライトン、ヒュルツェラー監督と長期契約締結へ…今季EL出場権獲得の可能性（GOAL）,https://news.yahoo.co.jp/articles/a1f2a9d48ed8d373721b7f1bc99db606ae7aa2a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010008-goal-000-1-view.jpg?exp=10800,2026-05-05T12:30:48+09:00,2026-05-05T12:30:48+09:00,GOAL,goal,GOAL,426,ヒュルツェラー (C)Getty Images ブライトンがファビアン・ヒュルツェラー監督と契約延長に近づいている。ドイツ『スカイ』が伝えた。 【ゴール動画】三笘薫、4月の月間最優秀ゴールにノミネートされた圧巻のボレー！ ヒュルツェラーは、ザンクト・パウリでの成功を経て、昨季からブライトンを指揮。プレミアリーグ史上最年少の監督となり、今季は残り3試合で8位につけ、クラブ史上2度目となるヨーロッパリーグ出場権獲得を目指している。 今夏にはレヴァークーゼンが新天地として伝えられ、ブンデスリーガ復帰が噂されていたが、ブライトンと新たに長期契約を結んだ模様。現行契約を1年残す中、クラブはヒュルツェラーとともに長期的な計画を立てることとなる。 なお、ヒュルツェラーは「クラブが私に寄せてくれた信頼とサポートにとても感謝している。ここで過ごす時間を本当に楽しんでいるし、だからこそ、シーズン終盤に向けて良い結果を残せるよう集中している」とコメントしていた。,[],[]
バルセロナ、ハフィーニャ後釜としてイングランド代表FWに関心か…今季17G5Aで同様の特徴（GOAL）,https://news.yahoo.co.jp/articles/5ecdcc560a9e85fcee26ea2ba6482a9187d64e97,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010007-goal-000-1-view.jpg?exp=10800,2026-05-05T11:50:23+09:00,2026-05-05T11:50:23+09:00,GOAL,goal,GOAL,396,ゴードン (C)Getty Images バルセロナはニューカッスルのイングランド代表FWアンソニー・ゴードンに興味を示しているようだ。『RAC1』が伝えた。 【画像】ヤマル噂の新彼女が超絶美人！ バルセロナは今夏にロベルト・レヴァンドフスキとハフィーニャに退団の可能性が浮上中。代替候補としてアトレティコ・マドリーのフリアン・アルバレスが挙がっているが、左ウイングとしてゴードンも候補に挙がっているという。 また、『スポルト』では、バルセロナのデコSD（スポーツディレクター）がゴードンの代理人と会談している可能性を報道。代理人はバイエルンをはじめ複数のクラブと会談していることも伝えられている。 今季は公式戦46試合で17ゴール・5アシストを記録しているゴードン。ハフィーニャと同様の特徴を持っていると考えられており、裏を突くスピードと激しいプレッシングのスタイルが評価されているようだ。,[],[]
直近6試合で3ゴールの福田師王、カールスルーエは完全移籍に前向き「契約継続を十分に考えている」（GOAL）,https://news.yahoo.co.jp/articles/90607a992942d703ba44b269643c087f80b76f5f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010006-goal-000-1-view.jpg?exp=10800,2026-05-05T11:00:52+09:00,2026-05-05T11:00:52+09:00,GOAL,goal,GOAL,388,福田師王 (C)Getty Images カールスルーエはFW福田師王の残留を望んでいるようだ。ドイツ『バーディシェ・ニューエステ・ナハリヒテン』が伝えた。 【動画】福田師王がゴール！ 今季ボルシアMGから2部カールスルーエへレンタル移籍している福田。先日のダルムシュタット戦では今季3度目の先発出場で決勝点を記録。ここまで548分間の出場で4ゴール、直近6試合では3ゴールを挙げている。 来季以降の去就は不透明だが、カールスルーエのマリオ・エギマンSD（スポーツディレクター）は「我々は彼との契約継続を十分に考えているが、最終的には彼自身が明確な意思表示をしなければならない」と認めた。 報道によると、ボルシアMGとの合意は大きな障害とはなっていない模様。そのため、買い取りオプションに規定されている移籍金150万ユーロ（約2億7000万円）を引き下げる可能性もあるようだ。,[],[]
久保建英、途中出場も存在感示せず…現地メディアも厳しく「前線への突破がない」（GOAL）,https://news.yahoo.co.jp/articles/1c731c4e850fa5af73aab7d0762fdf91db748a47,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010005-goal-000-1-view.jpg?exp=10800,2026-05-05T10:02:13+09:00,2026-05-05T10:02:13+09:00,GOAL,goal,GOAL,279,久保建英 (C)Getty Images レアル・ソシエダのMF久保建英は3試合ぶりに先発から外れた。 レアル・ソシエダは4日、ラ・リーガ第34節でセビージャと対戦。久保は58分から途中出場となったが、存在感を示せずチームも0-1と敗れた。 【まとめ】久保建英は現地スペインでどう評価されている？ 地元メディア『noticias de Gipuzkoa』では久保について採点なしとし、「後半から出場したが得点チャンスを作り出すことはできなかった」と記した。 『エル・デスマルケ』でも採点はなしで、「ボール運びは多いが、前線への突破が全くない」と手厳しかった。,[],[]
エンバペ、レアル・マドリーで孤立か…スペイン紙「チームメートたちはヴィニシウスと一蓮托生だ。エンバペとはそうでもない」（GOAL）,https://news.yahoo.co.jp/articles/1adfd010dd6ee8b772dde5796ef40e04dda32f32,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010004-goal-000-1-view.jpg?exp=10800,2026-05-05T09:02:36+09:00,2026-05-05T09:02:36+09:00,GOAL,goal,GOAL,1077,エンバペ＆ヴィニシウス(C)Getty Images レアル・マドリーFWキリアン・エンバペが、チーム内で孤立気味になっている模様だ。スペイン『マルカ』が報じた。 【画像】エンバペ噂の新彼女が超絶美人！ 『マルカ』曰く、エンバペはチーム内で人々と距離を置くようになっているという。度重なる負傷に苦しんでいること、周囲の反感を買う態度、FWヴィニシウス・ジュニオールとのエースの座を巡る対比が、チームメートとの間に溝を生んでいる模様だ。 『マルカ』はエンバペが抱える問題について、次のように描写している。 「エンバペの最たる問題は、チームと距離を取るようになったことだ。それは彼から日々の営みや多くの試合を取り上げた負傷だけが理由ではない。バルデベバス（クラブ練習場及びオフィス）では、彼の物議を醸す態度が、チームメートの反感を買っていると噂されている」 「それだけでなく、ヴィニシウスとエンバペの“権力闘争”においては（彼ら2人の関係自体は良好だ。ここ最近に恋人を連れてディナーをしたように）、ブラジル人FWが明らかに優位に立ち始めた。それはヴィニシウスがマドリーの苦しい時期にチームを引っ張っていたことだけが理由ではない。彼はチームで愛情と支持を勝ち取っている。グループはヴィニシウスと一蓮托生だが、現在のエンバペとはそうでもない。ここ数カ月で、フランス人FWとの団結にはヒビが入っている」 「バルデベバスのあらゆる階層、チーム、コーチ陣がエンバペの孤立を検知している。先のベティス戦で彼が負傷したときにも、それは感じられたことだった。エンバペは不機嫌な様子でピッチから去り、アルベロアとの挨拶は冷淡で、起こったことの説明すらしたがらなかったのだ」 今季41試合41得点という驚異的な成績を残すエンバペだが、昨年末から今年にかけて合計5回の負傷離脱を強いられるなど、怪我にも苦しむシーズンとなっている。何度も痛めている右ひざの状態を巡っては、レアル・マドリーのメディカルスタッフと衝突したとの報道もあった。また『マルカ』はエンバペが本調子に戻らない間、ヴィニシウスが主役の座を奪い、アルバロ・アルベロア監督から称賛の言葉を一身に浴びていたことも強調し、それがフランス人FWに影響を与えた可能性も示唆している。 なお今現在も負傷離脱中のエンバペは、恋人のエステル・エクスポシトさんとイタリアのカリアリを旅行し、クルーズ船で一緒にいるところをパパラッチされた。チームが苦しい状況で、バケーションを過ごしているような姿に、サポーターからの批判が集中している。,[],[]
鎖骨骨折で手術の鈴木唯人、現地紙は「W杯出場の夢は打ち砕かれるかもしれない」（GOAL）,https://news.yahoo.co.jp/articles/257e008c0acc8842cfe61a29c39298839f8eb82f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260505-00010003-goal-000-1-view.jpg?exp=10800,2026-05-05T08:08:28+09:00,2026-05-05T08:08:28+09:00,GOAL,goal,GOAL,381,鈴木唯人 (C)Getty Images フライブルクのMF鈴木唯人は厳しい状態となっているようだ。 今季フライブルクで41試合出場9ゴール7アシストを記録し、主力の1人として活躍を続ける鈴木唯人。3日にホームで行われたブンデスリーガ第32節のヴォルフスブルク戦でも先発出場を果たしていたが、相手選手との接触で負傷。途中交代を余儀なくされていた。 【一覧】日本代表の初戦はいつ？ワールドカップ最新情報まとめ｜日程・出場国・対戦カード・中継予定 フライブルクは4日に鈴木の状況を発表し、鎖骨を骨折したことを明らかに。すでに手術を受け、「無期限の離脱」になると伝えた。 ドイツ紙『キッカー』では鈴木について「ワールドカップ出場の夢は打ち砕かれるかもしれない。ワールドカップ開幕まであと41日しかないため、大会出場も極めて難しい状況だ」と厳しい状態であることを認めた。,[],[]
