headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
1棟貸し1日一組限定、料金は1人78000円から　明治時代の建物を改修　老舗酒蔵・七賢が宿泊施設オープンへ　山梨・北杜市（UTYテレビ山梨）,https://news.yahoo.co.jp/articles/ab88a83b43bdbcdb6eae78e94c65b7fa03fd8694,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260513-22657650-utyv-000-1-view.jpg?exp=10800,2026-05-13T21:17:12+09:00,2026-05-13T21:17:12+09:00,UTYテレビ山梨,utyv,UTYテレビ山梨,516,テレビ山梨 七賢のブランドで知られる山梨県北杜市の山梨銘醸が初めて宿泊施設をオープンさせます。 【写真を見る】1棟貸し1日一組限定、料金は1人78000円から 明治時代の建物を改修 老舗酒蔵・七賢が宿泊施設オープンへ 山梨・北杜市 「日本酒」や「醸造文化」を五感で味わうことができる1日1組限定の贅沢な宿です。 1750年創業酒蔵の老舗「山梨銘醸・七賢」が北杜市白州町にオープンするのは「宿場esoto」です。 明治時代に建てられた分家の建物を改修した1棟貸しの宿泊施設です。 母屋には当時の梁や欄間などを残した およそ30畳の和室、 懐石料理と厳選された日本酒が堪能できる専用ダイニングなど6つの部屋があります。 そして別棟には蔵一棟を贅沢に使用した「蔵風呂」があり、日本酒や日本庭園を楽しみながら酒蔵の歴史や醸造の背景を五感で味わえるということです。 山梨銘醸 北原対馬社長: 「地域の皆さんと連携しながら この台ヶ原宿を楽しんでいただく。その価値の最大化に向けても取り組みたい」 オープンは6月1日で、1日一組限定で料金は1人78000円から。 （税・サービス料別 最大4人） 専用サイトで予約を受け付けています。 テレビ山梨,[],[]
高校総体　陸上　女子の三段跳び　甲府南高校の野澤和心選手が大会記録を更新　山梨（UTYテレビ山梨）,https://news.yahoo.co.jp/articles/67420b67bda3fec05b7adab559bfd049c25626db,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260513-22658731-utyv-000-1-view.jpg?exp=10800,2026-05-13T20:56:13+09:00,2026-05-13T20:56:13+09:00,UTYテレビ山梨,utyv,UTYテレビ山梨,418,テレビ山梨 きょう13日に開幕した山梨県高校総体・陸上です。 雷の影響で競技が一時中断する場面もありましたが、アクシデントに負けず高校生アスリートたちが躍動しました。 【写真を見る】高校総体 陸上 女子の三段跳び 甲府南高校の野澤和心選手が大会記録を更新 山梨 予定より2時間以上遅れて競技が再開されると、選手たちは雨にも負けず躍動した姿を見せました。 まずは女子の三段跳び。 注目は甲府南2年の野澤和心選手、今年、県の高校記録を更新しています。 追い風参考ながら、3回目に12m27センチの記録で優勝。 最終6回目の12m15センチは大会記録更新です。 甲府南2年 野澤和心選手: 「今の日本高校記録が13mちょっとでそれを上回る記録をどこかで出したい」 続いて男子の砲丸投げ、大会2連覇を目指すのが身延高校2年羽田幸豹選手です。 羽田選手は一投目で14m21を出して2位の選手に2m近くの差をつけ大会連覇を果たしました。 テレビ山梨,[],[]
高校総体　ウエイトリフティング　白根高校の樋川げんき選手が高校王者の力を見せる　山梨（UTYテレビ山梨）,https://news.yahoo.co.jp/articles/2b0edd0b47a3f519d646d394e0b0906070488289,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260513-22658234-utyv-000-1-view.jpg?exp=10800,2026-05-13T20:56:13+09:00,2026-05-13T20:56:13+09:00,UTYテレビ山梨,utyv,UTYテレビ山梨,441,テレビ山梨 きょう13日に開幕した山梨県高校総体。 山梨のお家芸、ウエイトリフティングです。 男子の注目は3月の全国大会で優勝した白根高校3年、樋川げんき選手。2位を大きく引き離すトータル216キロで優勝し、高校王者の力を見せました。 【写真を見る】高校総体 ウエイトリフティング 白根高校の樋川げんき選手が高校王者の力を見せる 山梨 白根高校3年 樋川げんき選手: 「インターハイでは136kgをとって日本高校記録を塗り替えたい」 女子の注目は3月の全国大会でともに準優勝した48キロ級の日川高校2年 飯島優芽選手と、58キロ級の3年 坂本明莉選手です。 飯島選手はトータル130キロで優勝し、坂本選手はクリーン＆ジャークで自己記録の90キロを挙げトータル154キロで優勝しました。 日川高校は夏のインターハイ女子団体を2年連続で優勝し、大会3連覇へ弾みをつけました。 日川高校3年 坂本明莉選手: 「インターハイ3連覇に向けて自分のベストを尽くして頑張っていきたい」 テレビ山梨,[],[]
「高いといえる状況ではない」　県民の幸福度　10点満点中5.84点　山梨総研が自主研究の成果を報告（UTYテレビ山梨）,https://news.yahoo.co.jp/articles/6ed28ae13fc141bc71d6ed306f47d0ca30f1dd79,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260513-22657954-utyv-000-1-view.jpg?exp=10800,2026-05-13T20:47:13+09:00,2026-05-13T20:47:13+09:00,UTYテレビ山梨,utyv,UTYテレビ山梨,304,テレビ山梨 山梨総合研究所の自主研究の成果を発表する報告会が開かれ、地域課題に関する調査結果などが報告されました。 【写真を見る】「高いといえる状況ではない」 県民の幸福度 10点満点中5.84点 山梨総研が自主研究の成果を報告 きょうは4人の研究員が自治体の課題といった、それぞれ取り組んできたテーマについて発表しました。 このうち佐藤文昭調査研究部長は昨年度実施した県民の幸福度などを測るアンケートについて報告し、幸福度の平均は10点満点中5.84点で、『高い』といえる状況ではないことを説明しました。 山梨総研は調査結果を地域の課題分析や将来のビジョンづくりにつなげていきたいとしています。 テレビ山梨,[],[]
田植え始まる　コメ価格は徐々に値下がり　農産物直売所は「コメ離れという認識はない」　山梨・北杜市（UTYテレビ山梨）,https://news.yahoo.co.jp/articles/980adda05ef96c6cae44eb3dc248b0effa79d499,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260513-22658520-utyv-000-2-view.jpg?exp=10800,2026-05-13T20:11:14+09:00,2026-05-13T20:30:33+09:00,UTYテレビ山梨,utyv,UTYテレビ山梨,740,テレビ山梨 山梨県内随一のコメどころ、北杜市で田植えが始まりました。コメの高値は今後も続くのでしょうか? 【写真を見る】田植え始まる コメ価格は徐々に値下がり 農産物直売所は「コメ離れという認識はない」 山梨・北杜市 テンポよく苗を植えていく無人の田植え機。 北杜市高根町の清水茂さんの田んぼです。 13日午前は青空が広がり無人機がコシヒカリの苗を植えていきました。 コメ農家 清水茂さん: 「非常に省力化できるし私個人も非常に楽な作業ができている。安心安全なコメを作るために いよいよ始まったなと」 苗の生育は順調ですが、ナフサが不足している影響で農業用資材のコストは2割から3割、上昇しているといいます。 コメ農家 清水茂さん: 「自然災害がつきものだが、秋にはおいしいおコメが届けられるうな収穫ができればいい」 これから本格化する田植え作業。 気になるのはコメの価格です。 全国のスーパーのコメの価格は徐々に値下がりし、5キロの価格は3796円で、去年8月以来に3700円台になりました。 5か月前の最高値=4400円台から15パーセント値下がりしました。 こちらは韮崎市の農産物直売所。 梨北米のコシヒカリは玄米5キロが3510円で販売されていました。 よってけし韮崎店 小宮山健太店長: 「コメの情勢、社会情勢を見ながら独自の価格設定をしている」 ここでは6種類のコメを販売していて、価格はピーク時に比べ1割程度下がりました。 高騰で心配された消費者のコメ離れは…。 よってけし韮崎店 小宮山健太店長: 「梨北米のおいしさで購入しに来てくれるリピーターもいるので、コメ離れという認識はない」 備蓄米やコココ米にゆれた令和のコメ騒動、今年は収まるのでしょうか? テレビ山梨,[],[]
14日は午後に天気の急変に要注意　ピークは夕方　あさってからは熱中症に注意　米津龍一気象予報士が解説　山梨（UTYテレビ山梨）,https://news.yahoo.co.jp/articles/e0db5332928d8270838639bd7a6b2ba474e0e1d3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260513-22659157-utyv-000-1-thumb.jpg?exp=10800,2026-05-13T19:55:21+09:00,2026-05-13T19:55:21+09:00,UTYテレビ山梨,utyv,UTYテレビ山梨,1089,テレビ山梨 米津龍一気象予報士: あすのお天気ポイントはこちらです。 午後は天気の急変に注意。 またきょうと同じような現象が起こる可能性があります。 【写真を見る】14日は午後に天気の急変に要注意 ピークは夕方 あさってからは熱中症に注意 米津龍一気象予報士が解説 山梨 まずあすの天気ですが、高気圧に緩やかに覆われる見通しで、きょうと同じように午前中は晴れそうです。 予想最高気温が甲府で27℃予想となっています。 上空の冷たい空気=寒気があすもまだまだ残っている状況でして、この上空の気温と地上との気温の差が40℃以上だと天気急変のおそれがあると言われています。 あすは42℃ですから、これにより午後はまたきょうと同じように急な強い雨や落雷のおそれがあるということになります。 発雷確率を見てみます。 きょうは昼過ぎが一番のピークとなりました。あすは河口湖周辺で局地的に雷が鳴りやすい確率が50％以上となっています。 これが夕方になるとその範囲が広がる予想となっています。ですので、あすの天気急変のピークは夕方ということになります。 甲府も含めて急な強い雨や落雷、また突風やひょうにも注意が必要です。 この雷がどのあたりで鳴りそうかを調べられる術があります。 それが「雷ナウキャスト」と言うものです。気象庁のサイトで、誰でも見ることができます。 雷の激しさや可能性を1時間後まで予測することができるんです。 この画像が実際のものですが、きょうの午後1時30分、甲府周辺でも実際雷が落ちています。この×や■です。で、このオレンジ色や赤色が出てくると特に要注意ということになります。このレベルが4段階に分かれていますが、2以上の場合は警戒が必要です。 では具体的にどうすればいいのかということで、対策はこちらです。 まず、雷の音が聞こえたら迷わず避難するようにしてください。その避難の先は頑丈な建物か車の中です。 絶対にNGなのは木の下。高いところに雷が落ちてきますので、木に当たったものが人間に伝わってくる恐れがありますので、あすも雷から身を守る行動をお願いします。 週間天気を見ていきます。 あさって以降は比較的日差しが届く形が続きそうです。 ポイントは気温です。あさって金曜日は甲府で28℃。そして週末以降は30℃前後の日が毎日続く形となります。これはどれぐらいの気温かというと7月並みの気温です。2ヶ月先の気温を先取りしている形です。 ですので、熱中症のおそれがありますので水分補給などをしっかりとお願いします。 ＜県内各地点あすの天気は動画をご覧ください＞ テレビ山梨,[],[]
手作り作品のバッグやアクセサリー　スーパーでマルシェ開催　山梨・イトーヨーカドー甲府昭和店（UTYテレビ山梨）,https://news.yahoo.co.jp/articles/3f115c729b61d869670ad076fad96ed206f5351b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260513-22657687-utyv-000-2-view.jpg?exp=10800,2026-05-13T19:30:35+09:00,2026-05-13T20:43:12+09:00,UTYテレビ山梨,utyv,UTYテレビ山梨,396,テレビ山梨 テーマは「千分の1秒の出会い」です。 手作りのバッグやアクセサリーなどが並ぶマルシェが山梨県昭和町で始まりました。 【写真を見る】手作り作品のバッグやアクセサリー スーパーでマルシェ開催 山梨・イトーヨーカドー甲府昭和店 カラフルな花柄が印象的なポーチや、天然石がきらめくピアス。それに、和の風情が心和む苔玉。 昭和町のイトーヨーカドー甲府昭和店でスタートした「ミリセカンド マルシェ」です。 「千分の一秒」の貴重な出会いをテーマに、バッグやアクセサリーといったクラフト作品や占いなど開催期間を通じて36のブースが並びます。 参加者は: 「開けても花柄がいっぱい。ワクワクして持ってほしいと思って作っている」 会場は好みの商品を探す人などで賑わいを見せていました。 客は: 「素敵です。色んな店、色んな物があって、回るのが楽しみ」 マルシェは5月18日まで行われます。 テレビ山梨,[],[]
リニア中央新幹線　品川方面に掘り進められていたトンネルが端に到達、貫通　南アルプストンネル・山梨工区（UTYテレビ山梨）,https://news.yahoo.co.jp/articles/1ca86075c29935477dfb7a6b22f090237674a406,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260513-22658263-utyv-000-7-view.jpg?exp=10800,2026-05-13T19:17:12+09:00,2026-05-13T20:24:17+09:00,UTYテレビ山梨,utyv,UTYテレビ山梨,369,テレビ山梨 リニア中央新幹線の南アルプストンネルの山梨工区で、品川方面に向かって掘り進められていた本体のトンネルがきょう13日、貫通しました。 【写真で見る】リニア工事 トンネル貫通の瞬間 リニアの南アルプストンネルの山梨工区は、品川方面と名古屋方面の双方で本体のトンネルなどの掘削工事が進められています。 JR東海によりますと品川方面に向かって掘り進めていた本体のトンネルについて、 きょう13日午前、掘削がトンネルの端の部分に到達し貫通したということです。 南アルプストンネルは全長およそ25キロで、山梨、静岡、長野の3つの県にまたがり、リニア最難関の工事とされます。 山梨工区は7.7キロで、現在、およそ4割の掘削が完了しJR東海は「工事の安全や環境の保全など重視しながら沿線各地の工事を着実に進めていく」としています。 テレビ山梨,[],[]
昼過ぎ天気急変　雷、ひょう、停電も　今夜遅くまで急な強い雨や落雷に注意　山梨（UTYテレビ山梨）,https://news.yahoo.co.jp/articles/1ad4e3a4cc02bfbfa3287a4fafd7ae6b81ed57a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260513-22658564-utyv-000-2-view.jpg?exp=10800,2026-05-13T18:41:12+09:00,2026-05-13T20:20:27+09:00,UTYテレビ山梨,utyv,UTYテレビ山梨,528,テレビ山梨 山梨県内は13日昼過ぎに天気が急変し雷を伴った雨やひょうが降りました。 この後も大気の状態が不安定で、気象台は今夜遅くまで急な強い雨や落雷に注意するようを呼びかけています。 【写真を見る】昼過ぎ天気急変 雷、ひょう、停電も 今夜遅くまで急な強い雨や落雷に注意 山梨 13日正午すぎ北杜市高根町の映像です。 雷が鳴り響く中、地面をうちつけるのはひょうやあられです。 13日の県内は午前中はよく晴れましたが…昼過ぎに天気は一変! 上空の寒気や湿った空気の影響で大気の状態が不安定となり一部で雷を伴った やや強い雨となりました。 午後2時ごろUTY本社の情報カメラは峡東方面の空で一筋の稲妻を捉えました。 高校総体にも影響がでました。 三浦アナウンサー: 「陸上競技の会場は雷のため競技の一部が中断しています」 雷の影響で陸上競技は一時中断となりおよそ2時間遅れで再開する競技や翌日に延期になる競技もありました。 韮崎市の農産物直売所は店内が一時停電に。 韮崎市と甲斐市、甲府市と北杜市の一部のあわせておよそ3万軒で停電が起きました。 いずれも落雷が原因とみられます。 気象台は今夜遅くまで急な強い雨や落雷に注意するようよびかけています。 テレビ山梨,[],[]
ワインを5杯飲んだあと自転車を運転　教諭を停職3か月の懲戒処分　これまでにも同様の飲酒運転を複数回　山梨（UTYテレビ山梨）,https://news.yahoo.co.jp/articles/1fa12f106cdb939f825b229992ff2403faf15c1a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260513-22658882-utyv-000-3-view.jpg?exp=10800,2026-05-13T18:35:23+09:00,2026-05-13T20:39:15+09:00,UTYテレビ山梨,utyv,UTYテレビ山梨,386,テレビ山梨 酒を飲んだ状態で自転車を運転し警察に摘発された山梨県笛吹市の小学校の男性教諭について、県の教育委員会は停職3か月の懲戒処分としました。 【写真を見る】ワインを5杯飲んだあと自転車を運転 教諭を停職3か月の懲戒処分 これまでにも同様の飲酒運転を複数回 山梨 停職3か月の懲戒処分となったのは笛吹市内の小学校に勤務する20代の男性教諭です。 教諭は4月10日、飲食店でワインを5杯飲んだあと自転車を運転し、甲府市内の市道で検問中の警察官に摘発されました。 県教委によりますと教諭は聞き取りに「これくらいなら大丈夫だろうと安易な気持ちで運転してしまった」などと話しているほか、これまでおよそ5か月にわたり自転車の飲酒運転を複数回繰り返していたということです。 県教委は教職員の信用を失墜させる行為などとして教諭を13日付で停職3か月の懲戒処分としました。 テレビ山梨,[],[]
