headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【動画】20日は傘の出番 夏の暑さ落ち着く 　佐々木予報士の天気予報（19日：19:00）（JRT四国放送）,https://news.yahoo.co.jp/articles/8c935f09348410537f48f838f3f61536c7f84d90,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260519-06865261-jrt-000-2-thumb.jpg?exp=10800,2026-05-19T19:25:00+09:00,2026-05-19T19:48:56+09:00,JRT四国放送,jrt,JRT四国放送,194,JRT四国放送 5月20日の徳島県内は、早い所は朝早い時間に雨が降り出し、日中は各地で雨となるでしょう。 お出かけは、傘が手放せなくなりそうです。 夜になると、まとまった雨雲は抜けるものの、東祖谷や木頭など所々で断続的に続くでしょう。 最低気温は全般に前日と同じか高く、平年と比べると3～5℃ほど高く冷え込みはなさそうです。 日中の最高気温は前日より低くなるでしょう。 （詳しくは動画で）,[],[]
【とくしま百名店】燃えるように赤い麻婆豆腐　阿南市の「神龍」【徳島】（JRT四国放送）,https://news.yahoo.co.jp/articles/18e2d12516b2b57c5a3fd26b32aa30f77a110d32,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260519-02872161-jrt-000-5-thumb.jpg?exp=10800,2026-05-19T18:45:00+09:00,2026-05-19T19:48:00+09:00,JRT四国放送,jrt,JRT四国放送,904,JRT四国放送 ここからは「とくしま百名店」のコーナーです。 レストラン検索・予約サービス「食べログ」の人気コンテンツ「食べログ百名店」、様々なジャンルごとに全国、あるいは東西日本から百の名店を選出しています。 このコーナーでは徳島からこの百名店に選ばれた、文字通りの名店を順次ご紹介していきます。 今回のテーマは中華です。 2023年、中華料理の「WEST百名店」に選出された阿南市の名店、宮下アナウンサーの取材です。 1 / 2 JRT四国放送 JRT四国放送 （宮下アナウンサー） 「阿南市羽ノ浦町にやってきました、ここに四川料理の名店、神龍があります」 阿南市に店を構え17年。 ランチタイムには行列の途絶えない、不動の人気店です。 （宮下アナウンサー） 「こんにちは、お邪魔します」 JRT四国放送 店に入ると、若き日の児島史晃店主と中華の鉄人・陳建一さんの写真が。 児島さんは陳さんの元で12年、四川料理の真髄を学びました。 1 / 3 JRT四国放送 JRT四国放送 JRT四国放送 （神龍・児島史晃 店主） 「（修業時代）まず徳島県民だったので『何言ってるのかわかんないよ』といつも言われて」 「すごく方言で、標準語じゃないですか（東京）向こうって」 「『何言ってんだよ、お前の言葉全然わかんない』、まず言葉の壁ですごく言われた」 「立ち仕事で立ってるのがしんどい、ずっと一日立ちっぱなし」 「まかないのご飯食べる時は3分」 1 / 3 JRT四国放送 JRT四国放送 JRT四国放送 （神龍・児島史晃 店主） 「1年目の冬、鍋を洗っていて長靴を履いていた。長靴の中に沸いているスープが入って大やけどした」 「『僕つらいので辞めます』と料理長に言いった、『馬鹿野郎、何がつらいんだ。お前何をやったんだ今まで』」 「『何もやっていないだろ、さっさと戻って仕事しろ』、『わかりました』と言ってしまった。それからもうずっとがんばった」 JRT四国放送 店の看板は何と言っても麻婆豆腐。 客の8割が注文する圧倒的一番人気です。 東京・赤坂、四川飯店で学んだ陳さんの味に、独自のアレンジを加えています。,[],[]
真紅の絶景！　吉野川市山川町「船窪のオンツツジ」満開【徳島】（JRT四国放送）,https://news.yahoo.co.jp/articles/1d9be26f5cf55fe9fe7f112df0f15183bd242a2d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260519-06365821-jrt-000-5-thumb.jpg?exp=10800,2026-05-19T18:45:00+09:00,2026-05-19T19:30:02+09:00,JRT四国放送,jrt,JRT四国放送,779,JRT四国放送 国の天然記念物にも指定されている吉野川市山川町の船窪つつじ公園のオンツツジが今、満開となっていて、訪れる人たちの目を楽しませています。 1 / 2 JRT四国放送 JRT四国放送 船窪つつじ公園があるのは、吉野川市山川町標高1133mの高越山です。 （豊成アナウンサー） 「きょうは晴れていて日差しがあるんですが、標高が高いので風がひんやりしています」 「そして見てください、真っ赤なツツジが視界一面に広がっています」 JRT四国放送 標高1000メートル付近にある船窪つつじ公園は、3ヘクタールほどの敷地に約1200株以上のツツジが群生しています。 なかには樹齢300年を超え、高さ6メートルに及ぶものもあるそうです。 JRT四国放送 （豊成アナウンサー） 「横を歩くとツツジの背が高いのがわかります。そしてツツジの赤と空の青のコントラストが鮮やかです」 （写真を撮りに来た人） 「きのうくらいから満開ですね。しかもきょう快晴、最高ですね」 1985年には国の天然記念物にも指定されています。 広大な群生地の周りをぐるりと一周できるようになっているので、反対側にも行ってみました。 JRT四国放送 （豊成アナウンサー） 「遊歩道を歩いて裏に回ると日陰になっていてより涼しく感じますし、神秘的。こちらはツツジのトンネルになっていますよ～」 1 / 2 JRT四国放送 JRT四国放送 （訪れた人） Q.わんちゃんと一緒に来られたんですか～？ 「はい、満開ですごいですね」 「興奮していますキレイなんで」 1 / 2 JRT四国放送 JRT四国放送 （福岡から） Q.どこから？ 「博多です」 「予想外にすごかった」 JRT四国放送 新緑と真っ赤なツツジを楽しむことができる船窪つつじ公園。 オンツツジの見ごろは今週末ごろまでだということです。,[],[]
夏まつりシーズンを前に　小松島市で花火づくり最盛期【徳島】（JRT四国放送）,https://news.yahoo.co.jp/articles/edd9166182c666ba59d724cb4ee68dc85f74b731,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260519-07271561-jrt-000-3-thumb.jpg?exp=10800,2026-05-19T18:45:00+09:00,2026-05-19T19:11:01+09:00,JRT四国放送,jrt,JRT四国放送,374,JRT四国放送 夏まつりシーズンを前に小松島市では今、夜空を彩る打ち上げ花火づくりが、最盛期を迎えています。 小松島市立江町の市山煙火商会には今、四国や中国地方などから夏まつり用の打ち上げ花火の注文が舞い込んでいて、従業員が花火づくりに追わていれます。 打ち上げ花火づくりは、はじめに火や煙を出しながら燃える火薬の粒「星」と、この星を飛ばすための火薬「割薬」を半球形の容器に詰め、これを2つ合わせます。 その上から紙を何枚も張り重ね、天日干しして完成です。 直径6センチほどのものから、「尺玉」と呼ばれる30センチのものまで、様々な大きさの花火玉を作ります。 （市山煙火商会・市山賢光 代表取締役） 「50種類、5万発くらい作っています。今年もいい花火ができているのでご期待ください」 でき上がった花火は各地の夏まつで、華やかに夏の夜空を彩ります。,[],[]
熱中症を防げ　スポーツ活動の「暑熱対策」研修会【徳島】（JRT四国放送）,https://news.yahoo.co.jp/articles/775a63428b6ced43d2ad4fb34200340ace0ba98b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260519-08871696-jrt-000-3-thumb.jpg?exp=10800,2026-05-19T18:45:00+09:00,2026-05-19T19:00:57+09:00,JRT四国放送,jrt,JRT四国放送,378,JRT四国放送 スポーツ活動における「暑熱対策」について理解を深めてもらおうと、5月18日に徳島市で専門家を招いた研修会が開かれました。 この研修会は、暑熱対策について学んでもらい実践できるようにしようと、県スポーツ協会が開きました。 県内の様々なスポーツ団体の関係者ら、約120人が参加した研修会では、広島大学大学院教授で運動生理学が専門の長谷川博さんを講師に迎え、「暑熱対策とパフォーマンス向上」と題した講義が行われました。 長谷川さんは暑さに体を適応させるには、1～2週間の準備期間を設け、徐々に運動の強度を変えていくことなどが必要だと説明しました。 また、水分補給をする場合、失った塩分と水分の量を考えて摂取する飲み物を変える工夫が大切といったことを紹介しました。 これから猛暑の時期を迎えるのを前に、参加者は真剣な表情で研修に取り組んでいました。,[],[]
秋田町のラウンジから金庫盗まれる　防犯カメラに一部始終【徳島】（JRT四国放送）,https://news.yahoo.co.jp/articles/62de21880206115fce6bdc7cf4e87d992ce15d73,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260519-04778949-jrt-000-3-thumb.jpg?exp=10800,2026-05-19T18:45:00+09:00,2026-05-19T18:56:58+09:00,JRT四国放送,jrt,JRT四国放送,947,JRT四国放送 4月末、徳島市の店舗に何者かが押し入り、売上金などが入った金庫を持ち去る窃盗事件がありました。 被害にあった店の店長が語る、犯行の一部始終とは。 窃盗の被害にあったのは、秋田町の表通りに面したこちらのラウンジです。 4月28日のことでした。 （店長） 「管理会社から『ガラスが割られている』と報告を受けて、すぐに駆け付けたが、金庫がなくなっていた」 犯行が行われたのは、営業時間外の午前中、店長の男性はすぐさま被害状況を確認しました。 （店長） 「ガラス割って、器具で広げようとこじ開けて、こねた跡だと思う」 「手が入らないので、ドライバーか何かで（鍵を）押して、開けて入ったという感じ」 侵入後、犯人は店のバックヤードに向かったとみられます。 （店長） 「控室兼レジだったり金庫を置いているところで、ここに入って来て」 「ここに置いてあった金庫を持ち上げて、持っていったって感じですね」 防犯カメラには、犯人が金庫を持ち去る様子が映っていました。 フードとマスクで顔を覆った人物が現れ、金庫が置いてある棚へ向かいます。 バックヤードに入ってきて、金庫を抱えて、立ち去るまでわずか40秒弱の出来事でした。 店長の男性は、店の事情に詳しい人物か、その人物に指示された人物の犯行でないかと話します。 （店長） 「普通、金目の物を探す動きがあると思うが一切なくて、直行で金庫に向かって来ているので、内部を分かっている（人物ではないか）」 金庫には売上金など約300万円が入っていたということで、店は警察に被害届を提出しました。 （店長） 「お金が足りない状況。スタッフにも迷惑かけてるんで」 「実行犯は、ちょっとでも良心があるなら出頭して『やりました』と出てきてくれたら」 店では現在、閉店後の店内に現金を置かないなどの対策をしています。 県警によりますと、2025年1年間に県内で住宅や事務所などに侵入して、金品を盗んだ犯行は228件確認されていて、このうち店舗を狙った犯行は14件だったということです。 警察庁のまとめによりますと、侵入の手口として最も多いのは、鍵のかかっていないドアや窓からの侵入だということです。 たとえ在宅時でも、無人の部屋には鍵をかける習慣をつけましょう。,[],[]
5月29日から大きく変わる！　新たな防災気象情報を周知【徳島】（JRT四国放送）,https://news.yahoo.co.jp/articles/9bd75bc69df1bfc0c94b404b786b70a6c75d2a6d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260519-09463928-jrt-000-4-thumb.jpg?exp=10800,2026-05-19T18:27:00+09:00,2026-05-19T19:03:57+09:00,JRT四国放送,jrt,JRT四国放送,462,JRT四国放送 災害の種類や警戒レベルごとに再編された、新たな防災気象情報の発表が始まるのを前に、JR徳島駅前で5月19日、気象台の職員が新たな情報を周知するチラシを配りました。 （徳島地方気象台職員） 「29日から、気象情報が大きく変わります」 「大雨警報」などの防災気象情報について、気象庁と国土交通省は災害の種類ごとに5段階の警戒レベルにあわせて再編し、新たな情報の発表を5月29日から始めます。 これを前に、徳島地方気象台の職員が19日、JR徳島駅前に新たな情報を周知するパネルを置き、「気象の警報などが大きく変わります」と書かれたチラシが入ったティッシュとパンフレットを配りました。 （徳島地方気象台・小畠豊 台長） 「分かりやすく体系整理をしたというところで、危険な所に住んでる方は、この情報を活用して身を守る行動をとってもらいたい」 気象庁によりますと、新たな防災気象情報は、「特別警報」と「警報」の間に新たに「危険警報」を設け、レベル4の「危険警報」までに、危険な場所から避難することが重要だということです。,[],[]
道路環境を守ろう　徳島道PAで清掃活動【徳島】（JRT四国放送）,https://news.yahoo.co.jp/articles/70f920817cac707a30af76a3a69f9552870d2d5d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260519-08818732-jrt-000-4-thumb.jpg?exp=10800,2026-05-19T18:21:00+09:00,2026-05-19T19:10:00+09:00,JRT四国放送,jrt,JRT四国放送,401,JRT四国放送 道路環境を守ろうと、県トラック協会の会員らが5月19日、阿波市の徳島自動車道パーキングエリアで清掃活動を行いました。 全日本トラック協会では、トラックドライバーによる車内ごみのポイ捨てが問題になっていることから、毎年5月を美化月間に定めています。 19日は、徳島県トラック協会の職員や会員およそ20人が、徳島自動車道の阿波パーキングエリア下り線内のごみ拾いを行いました。 また、トラックドライバーに携帯トイレやポリ袋が入ったグッズを配り、道路の美化を呼びかけました。 （県トラック協会・福永功 統括部長） 「今年で活動としては3年目になるんですけれども、トラックドライバーのマナー向上に繋がるように」 「今後もゴミは持ち帰ろうという意識向上のキャンペーンを継続して行っていきたいと思います」 午前中だけで10袋以上のゴミが集まり、午後からは上りパーキングエリアでも清掃活動を行いました。,[],[]
返礼品に「AWA  ODORI クルーズ」　徳島市のふるさと納税【徳島】（JRT四国放送）,https://news.yahoo.co.jp/articles/d6b2955335be6d2469b64b752426dd63bc5aa0ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260519-08768914-jrt-000-3-thumb.jpg?exp=10800,2026-05-19T18:21:00+09:00,2026-05-19T18:52:58+09:00,JRT四国放送,jrt,JRT四国放送,412,JRT四国放送 徳島市は5月19日、ふるさと納税の新たな返礼品として、阿波踊り期間中に新町川をクルージングする「AWA ODORI クルーズ」の取り扱いを開始すると発表しました。 これは、19日に開かれた徳島市長の定例会見で発表されました。 「AWA ODORI クルーズ」は、新町川をクルージングしながら、踊り一色に染まった徳島市の雰囲気を感じられる体験型返礼品で、必要な寄付金額は1万7000円です。 桟敷での踊りが披露される8月12日から15日まで1日4便運航され、ふるさと納税返礼品としてのみの取り扱いとなります。 受付は5月22日・金曜日の正午からで、遠藤市長は「ふるさと納税を通じて、徳島をもっと多くの人に知ってもらえれば」と話しています。 また会見で遠藤市長は、4月から始まったペットボトルの単独収集について、「キャップやラベルが付いたままゴミに出されている」として、市民に正しい収集への協力を呼びかけました。,[],[]
衆院選「1票の格差」　高松高裁は合憲と判断【徳島】（JRT四国放送）,https://news.yahoo.co.jp/articles/b90c7f5404bd1bd234f8c4524a18145241d5be8c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260519-03243472-jrt-000-3-thumb.jpg?exp=10800,2026-05-19T18:21:00+09:00,2026-05-19T18:51:59+09:00,JRT四国放送,jrt,JRT四国放送,399,JRT四国放送 2026年2月に行われた衆議院選挙の、いわゆる「1票の格差」をめぐる裁判で、高松高等裁判所は5月19日、「合憲」の判断を示し、選挙無効の訴えを退けました。 この裁判は、「1票の格差」が最大で2.1倍だった2026年2月の衆議院選挙は憲法に違反するとして、弁護士のグループが全国14の高裁と支部で選挙無効を求める訴えを起こしているものです。 このうち、四国にある10の小選挙区について高松高裁で19日、判決が言い渡されました。 判決で藤田昌宏裁判長は、「国会には広範な裁量が認められる」などとして、「合憲」の判断を示し、選挙無効の訴えを退けました。 一連の裁判の判決は今回が初めてです。 （弁護士グループ・立野省一 弁護士） 「（判決に）失望というか、ガッカリした、落胆した。いろいろ言い方があると思いますが、『論ずるに値しない判決』」 原告は近日中に、最高裁へ上告するとしています。,[],[]
