headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【レビュー】スマホで長電話すると疲れる人へ…レトロ受話器が想像以上だった（BCN）,https://news.yahoo.co.jp/articles/280943ccc8de47b393af3cea775582220f8a8f02,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260521-00629303-bcn-000-5-view.jpg?exp=10800,2026-05-21T18:00:00+09:00,2026-05-21T18:00:59+09:00,BCN,bcn,BCN,2227,人気のスマホ用レトロ受話器は、長電話がラクになる神アイテムだった スマートフォン（スマホ）での長電話に疲れを感じる人に向けて、今話題の「レトロなスマホ用受話器」を実際に試してみた。見た目はユニークだが、使ってみると意外にも実用的で、通話の快適さや使い勝手に思わぬメリットがあった一方、いくつか注意点も見えてきた。今回は実際に使ってわかった、このレトロ受話器のメリット・デメリットを紹介する。 【写真ギャラリー】 ●スマホのType-Cの充電ポートに差し込むだけで使える 「レトロなスマホ用受話器」は、今、スマホ用アクセサリーで話題になっているアイテムの一つ。見た目のユニークさはもちろんのこと、固定電話と同じように通話できるため、長電話をしても手や首が疲れにくいのが特徴。それだけでなく、さまざまなうれしいメリットがある。 複数の企業からさまざまな製品が出ているが、筆者が購入したのは楽天市場の「名入れスマホケースエックスモール」というショップで販売されている「cocophone（ココフォン）」という商品。価格は送料込みで1890円。カラーはブラック、ホワイト、レッド、ピンク、ブルー、イエローの6色で、レッドを選んだ。 主な特徴はこの3点。 ・Type-Cによる有線接続 ・設定不要 ・充電や電池は不要 サイズは縦21cm、横6cm、コード長45～90cm。重量は約129g。筆者のスマホはケース込みで290gなので、半分以下の重さで通話ができるのはうれしい。 操作方法は簡単で、側面に音量調整がついていて、さらに受話器の内側にはボタンがあり、かかってきた通話をとることも、切ることもできる。 ●「LINEでの通話」には使える！ 今回は、2つのパターンで検証した。まず、自宅にあるスマホ2台（共に機種はAndroidのAQUOSシリーズで、契約は1台がドコモ、もう1台が楽天モバイル）を使って、音声をチェックしてみた。 前提として、今回のような“電源スイッチも設定もないアクセサリー”の場合は、スマホの環境（機種、アプリなど）によって結果が違ってくるので、あくまでも“筆者のスマホを使った結果”だということはご理解いただきたい。 「LINEでの通話」を検証してみると、レトロ受話器を付けた側で聞く声は、通常の通話とそんなに変わらないが、相手側から聞こえる声は少しこもった音声になった。とはいえ会話をするには支障がないレベルだ。製品紹介ページによると、むしろこの「アナログ感を楽しめる音質」がウリだという。 「電話番号からの通話」で試してみると、残念ながら電波障害のような雑音が聞こえ、使うには厳しい状態になった。ただし、これはスマホの機種などによっても差があり、販売店に問い合わせたところ、「AndroidでもGalaxyなら通話の確認が取れている」とのこと。スマホの機種によって、相性の良し悪しがあるようだ。 ●長時間の通話でも疲れにくい！ 続けて、このレトロ受話器を使って、友人と1時間ほど長電話をしてみた（友人のスマホの機種はiPhoneで、契約はソフトバンク）。結果は、自宅で2台のスマホを使ったときと同様、「レトロ受話器を付けた側で聞く声は、通常とそんなに変わらないが、相手側から聞こえる声は少しこもった音声になった」「LINE通話では使えるが、電話番号からの通話は雑音がひどく、使えなかった」。 さらに、通話し始めてから30分経ったくらいから、レトロ受話器からではなく、スマホから直接出てくる音声に戻ってしまうことが何度か起こった。これは、Type-C端子を差し直すことで直った。 この現象について販売店に問い合わせてみると、「スマホが省エネモードになっていたり、LINEのバッテリー設定が最適化になっていたりすると起こりやすい」とのこと。このように、ユーザーのスマホの環境によって、使いやすさは左右されることはあるようだ。価格が2000円以下の製品なので、完璧さは期待しない方がいいだろう。 いくつかデメリットはありながらも、やはりスマホで直接通話するよりも、明らかに疲れにくかった。スマホで長電話をすると「疲れる」と感じる人は多いことだろう。そもそもスマホの形状は、通話専用に設計されているわけではない。薄く平らなスマホを持つために手に力を入れ続けたり、不自然な姿勢を保持し続ける必要があるから疲労しやすいのだ。さらに、長時間話すとスマホが熱くなるので、不快感を覚える人もいる。 そうした問題が、この安価なレトロ受話器が軽減してくれるのはうれしいものだ。さらに、耳にスマホを当てる必要がないので、「通話しながらスマホの操作ができる」のは便利だと感じた。 実は、個人的に一番のメリットだと思っていることがある。それは「スマホに耳に直接当てないこと」「有線接続であること」により、電磁波を気にする人にとっては、安心材料の1つになることだ。これだけでも、「この製品を使い続けたい」と感じる要因になっている。 今回試した「レトロスマホ用受話器」は持っているだけで話のネタにもなるうえ、意外と使えるし、ジョークの好きな人にオススメだ。（加藤弓子） ■Profile 加藤弓子 ライター・コラムニスト。明治大学文学部演劇学専攻卒業。 フードビジネス会社や出版社で広報を経てライターに転身。 夕刊フジ、アエラデジタル、All Aboutなどで執筆。,[],[]
パーソルイノベーション、「HRサイエンス研究所」を開設（BCN）,https://news.yahoo.co.jp/articles/d611e5c8d9f78bd9cb5a6504b698f87c3e0107d7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260521-00629298-bcn-000-3-view.jpg?exp=10800,2026-05-21T17:00:00+09:00,2026-05-21T17:00:59+09:00,BCN,bcn,BCN,1119,パーソルイノベーション、フロントラインワーカーに関する研究開発を行う「HRサイエンス研究所」を開設 パーソルイノベーションは5月19日に、フロントラインワーカーの行動データを活用して、働き方の科学的解析から技術開発・実装までを担う研究開発組織として、同社としてはじめての研究所となる「HRサイエンス研究所」の開設を発表した。 ●行動科学・データサイエンス・プロダクト開発を統合したR＆D拠点 「HRサイエンス研究所」は、データの科学と人材の科学の融合によって、医療・介護・福祉、製造、物流、建設、交通、販売サービスなどの従事者であるフロントラインワーカーをはじめとする、はたらく人の行動や意思決定、職場環境との関係性を科学的に解き明かし、個人と組織のよりよい選択や機会の創出への貢献を目的に開設されている。 同社の研究組織として、社内に蓄積されている有用な知見のさらなる利活用の可能性や、フロントラインワーカーの動向を研究することを目指しており、従来の調査研究の枠を超えて、行動科学・データサイエンス・プロダクト開発を統合したR＆D拠点となる。 あわせて、社外の企業・団体・個人との協業による、共同テーマでの研究も予定している。 初期体制としては、心理学に関わるメンバーに加えて、情報学の研究者、機械学習エンジニアなどが参加する。また、京都大学などでの教員経験を有するシニアな研究者や、博士号を持つ研究者が参画することで、研究レベルの高度化を目指す。 さらに、研究成果に基づく迅速な事業化支援を実現すべく、3名の推進チームとしてリサーチアドミニストレーショングループも組成し、初期段階からデータ分析やAI開発、戦略策定といった観点で、併行して中長期研究もサポートする。 具体的には、社内に蓄積された分析や知見利活用の可能性を探る研究開発、コンテンツやビッグデータの分析に関心のある、社外の幅広い業界の企業・団体・個人とも連携して、調査・研究を推進していく共同調査という、2つの研究・調査活動が開始される。 「HRサイエンス研究所」の所長に就任した大羽成征氏は、以下のようなコメントを寄せている。 このたびパーソルイノベーションにおいて研究所を開設することで、これまで積み重ねてきた研究成果や研究体制を基盤に、研究の対象を特定のプロダクトや事業にとどめることなく、より広い社会課題へと展開していきます。今後は、フロントラインワーカーをはじめとした現場ではたらく人々にも目を向け、はたらき方や心理的な負担、スキル形成、職場環境との関係性などを丁寧に捉えながら、科学的な知見を通じて、納得感のある「はたらく選択」を支えていきたいと考えています。,[],[]
KOBEモビリティフィールド協議会、ドローンでの大型船舶からの物資輸送の実証実験（BCN）,https://news.yahoo.co.jp/articles/ff86ad61dae94c6e85a932921d28c09cd204807f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2026-05-21T16:06:00+09:00,2026-05-21T16:06:00+09:00,BCN,bcn,BCN,954,ソフトバンクなどが参画するKOBEモビリティフィールド協議会は、大規模災害によって船舶が港に接岸できない状況を想定し、ドローンを活用して船舶から陸上へ支援物資を輸送する体制の構築を目的とした実証実験を、2026年1月22日から23日に神戸港（兵機海運兵庫埠頭物流センター）で実施した。この実証実験では、港からドローンを離陸させ、停泊中の大型船舶上で物資をつり下げて、再び港へ輸送する一連のオペレーションを実施し、港湾特有の強風環境下での運航安定性や、安全な作業手順などについて検証した。 阪神・淡路大震災では神戸港が甚大な被害に遭い、岸壁や港湾設備が損壊して、港湾機能が長期間にわたって制限された。その結果、船舶による物資輸送が十分に機能せず、被災地への支援に大きな影響が生じた。 大規模災害時には、道路の寸断だけでなく、岸壁の損壊や安全確認の遅れなどにより、船舶が接岸できないケースが想定される。その場合、海上には支援物資を積んだ船舶が到着していても、陸上へ迅速に物資を届けることができないという課題が生じる。 今回の実証実験は、こうした状況を想定して、停泊中の大型船舶を起点としたドローン輸送によって、港湾機能が制限された状況下でも物資を陸上へ届けることが可能かを検証するもの。神戸港という大規模港湾をフィールドとすることで、実運用に近い環境下での課題抽出と有効性の確認を行った。 具体的には、港からドローンを離陸させ、150m先の海上に停泊中の大型船舶上で、物資をつり下げて、再び港へ輸送する一連のオペレーションを実施。ドローンは船舶に着陸させず、ネットに収納した物資をフックでつり下げて運搬した。輸送物資は、飲料水、紙おむつ、衛星通信アンテナなど。使用機体は、DJI製「FlyCart 30」（最大積載量30kg）。 港湾エリアでは、強風の影響によって荷物が揺れるため、ドローンによる輸送には高度な運航技術や重量バランスの調整が求められる。実証実験では、こうした実運用環境に近い条件下で実施し、停泊中の船舶と陸上間での物資輸送の有効性を確認した。 今後は、今回の実証実験で得られた知見を基に、港湾エリアでの災害対応力の向上を目指し、自治体や関係機関と連携しながらドローン物流の社会実装を推進していく。,[],[]
最短60秒で最適商品、ECでの買い物に革命を起こすYahoo!ショッピングの「AIおまかせ比較」（BCN）,https://news.yahoo.co.jp/articles/32bc7851aa946bb3a53d366946e00c36567e7ede,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260521-00627862-bcn-000-5-view.jpg?exp=10800,2026-05-21T15:00:00+09:00,2026-05-21T15:00:59+09:00,BCN,bcn,BCN,835,「AIおまかせ比較」提供開始 LINEヤフーは、「Yahoo!ショッピング」で新機能「AIおまかせ比較」の提供を5月20日に開始した。複数の商品をAIが自動で比較し、ユーザーに最適な商品を提案するサービスで、買い物の手間を大きく減らすことが狙い。「Yahoo!ショッピング AIエージェント」の機能拡張の第一弾として位置づけられる。 【写真ギャラリー】 ●15～20商品をAIが自動で比較する AIおまかせ比較は、「商品選び」をAIが代行。ユーザーは気になる商品を起点に、「価格が安い」「早く届く」「壊れにくい」などの条件を選択するだけでAIが約15～20の商品を自動的に比較して最適な商品を提案する。これまでは複数の商品ページを閲覧し、比較サイトを行き来する必要があったが、この作業が一気に簡略化されて購入できるようになる。 オンラインショッピングでは、特に家電などの高額商品で比較に数日かかるケースも少なくない。AIおまかせ比較で条件を入力するだけで、最短約60秒で比較・検討が完了するというスピードを実現。AIが裏側で比較作業を行うため、ユーザーは待ち時間を感じることなく、効率的に買い物が進められる。 「スタイリッシュなデザイン」「軽くて扱いやすい」といった曖昧なニーズにも対応。これまでの検索や絞り込みでは見つけにくかった商品にもたどり着ける。また、「購入前の最終確認」から「まだ条件がはっきりしない初期検討」まで、さまざまなフェーズで活用できる。 今回の機能は、LINEヤフーが推進するAI戦略の一環。将来的には、購入履歴や利用履歴などを活用し、さらに個人に最適化された提案へと進化する予定だ。Yahoo!ショッピングは豊富な商品ラインアップを誇る一方、選択肢が多すぎて決められないという問題が生じていた。特に最近では、ユーザーのニーズが多様化し、複数条件での商品比較が当たり前になっている。「AIおまかせ比較」は、こうした問題を解消するための機能といえる。,[],[]
USB充電式のコンパクト浄水器「puriot CUTE」（BCN）,https://news.yahoo.co.jp/articles/bb8cd01cc7fffcec1cea3de5477f4036d137a6e7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260521-00629300-bcn-000-3-view.jpg?exp=10800,2026-05-21T14:00:00+09:00,2026-05-21T14:00:59+09:00,BCN,bcn,BCN,577,コンパクトながら高い浄水性能を実現した「puriot CUTE」発売。バッテリー内蔵で場所を選ばず設置可能 スパークは5月20日に、高い浄水能力とポータビリティを兼ね備えたコンパクト浄水器「puriot CUTE（ピュリオ・キュート）」を、公式オンラインショップにて発売した。価格は4万1800円。 ●高浄水能力とポータビリティを追求 「puriot CUTE」は、「Reborn with Water ― 水と共に、生まれ変わる。」をコンセプトに、日常生活における「水」に対するこだわりを実現すべく開発された。従来の据え置き型浄水器では設置が難しかった場所にもフィットするとともに、ピッチャー型浄水器の待ち時間の悩みを解消する。 特殊な「正電荷ナノろ過膜」を搭載することで、JIS規格18項目やPFAS（有機フッ素化合物）の除去が可能で、ウイルスの吸着除去も行って、飲みごろの水を提供してくれる。 本体にバッテリーを搭載するコードレス仕様で、満充電の状態なら約30L（30回分）の浄水ができる。また、内蔵バッテリーはUSB Type-C経由での充電が可能で、約3時間で充電が完了する。 ワンタッチ操作で、1分間に約0.55Lの浄水ができる。フィルター交換目安となる浄水量は最大360Lなので、1日2Lの使用なら約6カ月間フィルターを交換する必要がない。,[],[]
子どもの作品をデータやフォトブック・アクリルプリントとして残せるサービス（BCN）,https://news.yahoo.co.jp/articles/b94c51dab8ac804168341903d497cd2f9f240c11,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260521-00629296-bcn-000-3-view.jpg?exp=10800,2026-05-21T13:00:00+09:00,2026-05-21T13:00:59+09:00,BCN,bcn,BCN,894,子どもの作品をスキャンしてデータ・フォトブック・アクリルで残せるサービス、CAMPFIREでクラファン実施中 グランドアドレスは5月18日～6月30日の期間、子どもが描いた絵や工作などの作品を高品質にスキャンして、データ・フォトブック・アクリルプリントとして残せるサービス「Little Artchive（リトルアーカイブ）」のクラウドファンディングを、「CAMPFIRE」にて実施している。目標金額は20万円。 ●CAMPFIREでクラウドファンディングを開始 「Little Artchive」は、増え続ける子どもの作品を、デジタルとリアルの両方で未来に残すことを目的としたアートアーカイブサービス。 同サービスでは、子どもが描いた絵や工作を、専用ボックスで預かってプロ品質でスキャンする。スキャンした作品データは、NFCカードにスマートフォンをかざすだけで、専用アプリをインストールすることなく閲覧できる。 なお、NFC非対応の機器での閲覧を可能にすべく、コード読み取りによる閲覧への対応も予定している。 さらに、作品はデータでの保存だけでなく、作品を1冊にまとめたフォトブックや、飾って楽しめるアクリルプリントとして形にも残せる。 「CAMPFIRE」で実施中のクラウドファンディングでは、「ベーシックプラン」「セレクトプラン」「パーフェクトプラン」の3種類のリターンを用意している。 「ベーシックプラン」は、作品を高品質にスキャンして、NFCカードから閲覧できるデジタルアーカイブプラン。かさばる作品をスッキリ整理しつつ、いつでもスマートフォンで見返せるようになる。価格は9800円（超早割）から。 「セレクトプラン」は、「ベーシックプラン」の内容に加えて、フォトブックまたはアクリルプリントを選べるプラン。データだけでなく、作品を形として残したい人に適している。価格は1万4800円（超早割）から。 「パーフェクトプラン」は、データ・フォトブック・アクリルプリントをすべて残せるフルセットプラン。価格は1万9800円（超早割）から。 リターンの発送は、7月以降に予定している。,[],[]
保護が標準のクラウド基盤で収益性と自由度を両立、アクロニスが次世代IaaS「Cyber Frame」（BCN）,https://news.yahoo.co.jp/articles/c212441df4f364fb74de70e03369f25774a75edc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260521-00629291-bcn-000-3-view.jpg?exp=10800,2026-05-21T12:00:00+09:00,2026-05-21T12:00:59+09:00,BCN,bcn,BCN,1617,アクロニス、サービスプロバイダ向けHCI ＆ IaaSプラットフォーム「Acronis Cyber Frame」を提供開始 アクロニス・ジャパンは5月に、サービスプロバイダ向けの新たなハイパーコンバージドインフラストラクチャ（HCI）、およびインフラストラクチャアズアサービス（IaaS）プラットフォーム「Acronis Cyber Frame」の、グローバルでの提供を開始した。 ●高利益なIaaSビジネスを支援 「Acronis Cyber Frame」は、マネージドサービスプロバイダ（MSP）、クラウドサービスプロバイダ（CSP）、ホスティングプロバイダ、通信事業者向けに特化して設計されている。 仮想マシン、ネットワーク、ストレージを、アクロニスのネイティブに統合されたサイバープロテクション、管理、自動化機能と組み合わせることによって、パートナーは自社のサービスメニューにおいて、インフラサービスの構築、提供、保護、管理、自動化を収益化できるようになる。 「Acronis Cyber Frame」を利用することで、より予測可能な価格設定、再販マージン率の向上が実現するほか、地域要件やデータ主権、従来の仮想化環境からの移行ニーズにも柔軟に対応できるようになり、ビジネス成果の向上につなげられる。 インフラビジネスを構築・拡張する方法を選べる、柔軟な導入モデルとして、インフラへの先行投資なしで迅速な市場投入を可能にする、アクロニスホスト型の導入モデルである「Acronis Cyber Frame Cloud」、インフラ、収益性、パフォーマンス、データの場所を完全に管理できる、パートナーホスト型の導入モデルである「Acronis Cyber Frame Local」を用意している。これらの柔軟な導入モデルを利用することで、サービスプロバイダは迅速なサービスの立ち上げ、戦略的な事業拡大、データ主権やコンプライアンスに関する顧客要件への適応が可能になる。 従来のインフラプラットフォームでは、保護や管理のために個別のツールが必要だったが、「Acronis Cyber Frame」は「Acronis Cyber Protect Cloud」にネイティブ統合されているので、オールインワンでの保護が含まれる。「Acronis Cyber Frame」において展開されるすべてのワークロードには、バックアップとディザスタリカバリ、サイバーセキュリティー、リモート監視・管理（RMM）が含まれており、運用・管理の複雑さが軽減され、ツールの乱立が解消されるとともに、導入初日から安全なインフラサービスを提供できる。 さらに、サービスプロバイダ向けの設計によって、柔軟なインフラビジネスの要件に対応する。具体的には、ネイティブのマルチテナントとテナントの分離、カスタマーセルフサービスやホワイトラベル型のサービス提供、「Acronis Cyber Protect Cloud」とのシームレスな統合、サービスプロバイダのワークフローに対応した運用ツールが含まれる。このような設計のため、パートナーは差別化されたサービスをパッケージ化するとともに運用を合理化して、一貫性と効率性に優れた顧客体験の提供が可能になる。 なお、「Acronis Cyber Frame」は最適化されたOpenStackおよびKVM技術を基盤とし、Virtuozzoとの協業で開発されており、独自のハイパーバイザーのロックインを回避しつつ、最新かつスケーラブルなインフラ基盤を提供する。あわせて、より予測可能な価格設定とコスト管理の改善を通じて、サービスプロバイダは従来の仮想化環境のリプレース需要への対応、ハイパースケーラーからのワークロード回帰、地域要件やデータ主権に対応したクラウドサービスを提供して、再販マージン率と長期的な収益性を向上させられる。,[],[]
パナソニック「DIGA」が売れてる　4Kレコーダー人気ランキングTOP10　2026/5/21（BCN）,https://news.yahoo.co.jp/articles/d2735e1cb0c16066af87d8d662d9c854b3eb7e3b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260521-00627851-bcn-000-6-view.jpg?exp=10800,2026-05-21T12:00:00+09:00,2026-05-21T12:00:59+09:00,BCN,bcn,BCN,576,DMR-4T205 「BCNランキング」2026年5月11日～17日の日次集計データによると、BS・CS 4Kチューナー搭載レコーダー（4Kレコーダー）の実売台数ランキングは以下の通りとなった。 【写真ギャラリー】 1位 4Kチューナー内蔵DIGA DMR-4T205（パナソニック） 2位 4Kチューナー内蔵Ultra HD ブルーレイ/DVDレコーダー BDZ-FBW2200（ソニー） 3位 AQUOS 4Kレコーダー 4B-C20GT3（シャープ） 4位 4Kチューナー内蔵DIGA DMR-4T405（パナソニック） 5位 AQUOS 4Kレコーダー 4B-C40GT3（シャープ） 6位 4Kチューナー内蔵DIGA DMR-4T305（パナソニック） 7位 4Kチューナー内蔵DIGA DMR-4TS204S（パナソニック） 8位 全自動DIGA DMR-4X403（パナソニック） 9位 4Kチューナー内蔵DIGA DMR-4T303（パナソニック） 10位 4Kチューナー内蔵DIGA DMR-4T203（パナソニック） ＊「BCNランキング」は、全国の主要家電量販店・ネットショップからパソコン本体、デジタル家電などの実売データを毎日収集・集計しているPOSデータベースで、日本の店頭市場の約4割（パソコンの場合）をカバーしています。,[],[]
エアコンと併用で一年中活躍するサーキュレーター、上下・左右同時の「立体首振り」機能搭載（BCN）,https://news.yahoo.co.jp/articles/e5448466769a46362bf38effb9fb2843b0e464d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260521-00627875-bcn-000-5-view.jpg?exp=10800,2026-05-21T11:00:00+09:00,2026-05-21T11:00:59+09:00,BCN,bcn,BCN,600,エディオン、「e angle」の立体首振りが可能でお手入れがしやすいサーキュレーターを販売開始 エディオンは5月22日に、プライベートブランド「e angle」から発売されるサーキュレーター「ANGL-AFA15-A-W／GY／PB」の販売を、「エディオン」全店および公式オンラインショップ「エディオンネットショップ」で開始する。カラーは、ホワイト、グレー、ピンクベージュの3色。価格は6980円。 【写真ギャラリー】 ●前後のガード、羽根を簡単に外せてお手入れしやすい 「ANGL-AFA15-A-W／GY／PB」は、上下首振りと左右首振りが独立したボタンで操作でき、上下首振りと左右首振りを同時に動かせる「立体首振り」機能を搭載したサーキュレーター。 冷暖房時の循環や、部屋干し、換気といった用途に合わせて風向き調整が可能で、手動での上下方向の角度調節（3段階）にも対応している。 本体の前ガード、羽根、後ろガードは簡単に取り外せるためお手入れしやすい。また、羽根には静電気防止加工を施しているので、ホコリの付着を抑えられ、清潔な風を送れる。 ベース部分には、操作状況をひと目で確認できる液晶パネルを搭載する。さらに、最後に操作してから8時間で自動的に停止する「切り忘れ防止自動OFF」機能や、前回の設定を記憶するメモリー機能などを備えるほか、離れた場所からでも操作可能なリモコンが付属している。,[],[]
IT企業に広がる「プロボノ」人材　社会貢献活動を将来のビジネスへつなげる（BCN）,https://news.yahoo.co.jp/articles/e8bb503890c55e4903343027e903daf93b5a5a80,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260521-00215262-bcn-000-7-view.jpg?exp=10800,2026-05-21T09:00:00+09:00,2026-05-21T09:00:59+09:00,BCN,bcn,BCN,2202,LINEヤフー 田村夏子氏 仕事で得たスキルや経験を生かして社会に貢献したいと考える「プロボノ」人材が、IT企業で少しずつ広がりを見せている。「公共善のために」を意味するラテン語「Pro Bono Publico」が語源で、現在は支援先の団体のニーズとマッチングさせて被災地復興や非営利団体のサポートなどを担う活動を指す。基本的には社会貢献のために展開するが、副次的に人材のスキルアップや属する企業の本業に生かされる可能性も秘める。取り組む企業に、その狙いや描く将来像を聞いた。 （取材・文／下澤 悠） ●協働の拡大、参加企業にメリットも 2023年10月に自社のプロボノ活動を開始したLINEヤフー。24年1月の能登半島地震を受け、以降は関連の支援を実施する。寄付や物資の支援だけでなく現地で特に深刻な「人手不足」の解消につなげようと、意欲のある社員がプロボノとしてプロジェクトを遂行することにした。後に他企業にも参加を募って規模を拡大し、25年4月にプラットフォームとなる「プロボ能登」を立ち上げた。この枠組みで、現在は協力する能登官民連携復興センターから現地の企業・団体のニーズを上げてもらい、個別にプロジェクト化した上で、参加企業社員に募集をかけてマッチングさせている。 通常こうした支援は非営利団体（NPO）向けだが、今回は被災地支援のため地場の企業であれば対象とした。形態はオンラインを基本とし、短期で成果を出すためにもプロジェクト期間は3～4カ月に設定。LINEヤフーでは活動を業務時間外に行うため、参加者は昼休みや終業時にミーティングで進捗を確認し、休日にも作業を進めるなど工夫を重ねる。 プロボ能登では26年3月末までに計38件のプロジェクトが立ち上がり、約100人が活動。各社員の持つスキルを生かし、例えば被災した輪島塗職人を支える情報発信サイトの整備、古材管理のシステムづくりやアンケート集計などを広く支援してきた。 基本はCSR（社会的責任）の観点から実施しているが、参加企業や社員へのメリットもある。サステナビリティ推進CBU CSRユニットLYプロボノプロジェクト／プロボ能登事務局の佐藤真司氏によると、参加者からは業務とは違う挑戦ができたことで知見やスキルの幅が広がるといった声が寄せられたという。同事務局の田村夏子氏は「日本の広さや首都圏とは違う地域の課題に気づける。プロジェクト進行やWebサイトの整備、アンケート集計など会社員としてはそれほど珍しくない経験が、活動場所が変われば『スキル』になるという発見もある」と話す。 また、自社へのロイヤルティーや個人のモチベーション、エンゲージメントを強める効果が期待できる。副次的に、事業での新サービスなどのアイデアやニーズを発見する可能性もある。現在のプロボ能登の参加企業はLINEヤフーのほか、NECやデンソー、サイボウズなど全9社。他企業の社員とチームでプロジェクトを進める際には、自社とは違う仕事の進め方などに関して学びや気づきを得ることがあるという。 ●社会課題への感度を上げる LINEヤフーやNTTデータグループなどと協働してNPOのDX支援などを推進してきた伊藤忠テクノソリューションズ（CTC）の渡邊香織・広報ブランディング本部本部長代行兼ブランドデザイン部部長は、こうした社会貢献活動には企業の本業であるビジネスにつながる「場」を開発する可能性があると指摘する。CTCグループでは、従業員に支援機会の提供を行い、プロボノとして支援に加わった従業員は社会課題を直に体感した上で、自身のスキルの棚卸しやチームビルディングなどを経験する。こうした課題を発見する経験は、業務への新たな視点や発想をグループにもたらすと考えられる。 渡邊本部長代行は、「われわれはBtoB企業なので、お客様やユーザー企業の課題をリアルに感じることは難しい面がある。将来的なビジネスを視野に入れながら社会課題への社員の感度を上げておくことは非常に重要だと捉えており、意識や視点を変えておくことでビジネスの場でお客様に先駆けて課題を把握したり、提案したりということがしやすくなるのではないか」とも話す。 プロボノ活動はオンラインでの実施が多いため、参加が容易になりボランティア機会を増やせる利点がある。同社は関与する社員を増やす方針で、「世界を良くするためにも、社会に根づいてもらいたい」と願いを込める。 ●収集データをビジネスにつなげる NTTデータグループのサステナビリティ経営推進本部Sustainability Engagement Officeの金田晃一・シニア・スペシャリストは、従来の社会貢献活動に「デジタル」が加わると、企業の社会貢献のあり方が変わると強調する。支援の実践プロセスで得られるデータを活用したり、効果を可視化したりするなどビジネス志向が高まり、温暖化対策やヘルスケア、教育などの領域で社会課題解決型ビジネス創出の可能性が生まれるからだ。 「活動の中でさまざまなデータの収集ができると、入り口は社会貢献でも出口としてはビジネスにつながる可能性がある。経団連の企業行動憲章にもこの旨が記されており、長期目線の企業が社会貢献を進める動機にもなる」として、今後はこうした流れが日本で広まるのではないかと将来像を描く。,[],[]
