headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「すごい煙です。ボンボン音がなっています」米子市の住宅火災は約2時間半後に鎮火　1棟全焼（鳥取）（TSKさんいん中央テレビ）,https://news.yahoo.co.jp/articles/6ed687d603936a978f64d88ef9cb6c2787031cfd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260525-90023504-tsk-000-1-view.jpg?exp=10800,2026-05-25T20:43:01+09:00,2026-05-25T20:43:01+09:00,TSKさんいん中央テレビ,tsk,TSKさんいん中央テレビ,322,山陰中央テレビ 5月25日夕方に鳥取県米子市起きた住宅火災は、通報から約2時間半後に消し止められました。この火事で住宅1棟が全焼しました。 火事があったのは、米子市河崎の住宅で、午後5時45分ごろに「民家で黒煙が上がっています。すごい煙です。ボンボン音もなっています」と複数の通報が消防にありました。 消防によるとこの火事で、80歳の女性の木造瓦葺一部2階建ての住宅が全焼したほか、トタン葺きの納屋の一部が焼け、火は通報から約2時間半後の午後8時20分ごろに消し止められました。 この家には2人が住んでいて、けが人などはいないということです。 現場は住宅が密集する地域で、救急車を含む消防車両10台が出て消火活動にあたりました。 山陰中央テレビ,[],[]
5月なのに真夏日続出…8月上旬並みの地点も　26日も各地で30℃超の暑さ　熱中症に注意を（TSKさんいん中央テレビ）,https://news.yahoo.co.jp/articles/43a771b9182e1360229ea547bbd641a7d12c7ba0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260525-90023503-tsk-000-1-thumb.jpg?exp=10800,2026-05-25T19:23:01+09:00,2026-05-25T19:23:01+09:00,TSKさんいん中央テレビ,tsk,TSKさんいん中央テレビ,473,山陰中央テレビ 5月25日の山陰地方は天気が回復して各地で晴れましたが、またまた季節前倒しの暑さとなり、鳥取などで最高気温が30℃を超えて真夏日を記録しました。 夏のような暑さは26日も続く見込みです。 25日の最高気温は、鳥取で7月下旬並みとなる32.0℃、島根県の川本で32.3℃を記録、これは8月上旬並の暑さでした。 5月に入り熱中症によって救急搬送された人の数は、17日までの時点ですでに島根県で20人、鳥取県が11人に上っています。 この中で高齢者が多くを占めていますので、早めに水分補給したり、エアコンを適切に使うなど早めの熱中症対策をとってください。 では天気のポイントです。 あすも各地で真夏日！その後も気温が高い状態が続く見込みです。 10日間予報をご覧ください。 31日は鳥取・米子・松江でいずれも真夏日の予想です。 また鳥取では、31日から3日連続の真夏日が予想されるなど、各地で30℃前後の暑さが続出しそうです。 天気がぐずついても蒸し暑くなりますので、熱中症にならないための対策をしっかりとってください。 山陰中央テレビ,[],[]
大玉で「甘さ際立つ」仕上がりに！上々の評価追い風に湯梨浜町特産のクレオパトラメロン初出荷（鳥取）（TSKさんいん中央テレビ）,https://news.yahoo.co.jp/articles/8d988ef1dc5168bd076df5f27afedb13692b4f84,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260525-90023497-tsk-000-1-thumb.jpg?exp=10800,2026-05-25T19:17:01+09:00,2026-05-25T19:17:01+09:00,TSKさんいん中央テレビ,tsk,TSKさんいん中央テレビ,454,山陰中央テレビ 近年まれにみる甘さに仕上がりました。 鳥取県湯梨浜町の特産「クレオパトラメロン」の出荷を前に、出来栄えを確める査定会が開かれました。 大玉の「クレオパトラメロン」。 メロン特有の刺激が少なく、さわやかな甘さが特徴です。 湯梨浜町では30年以上前に栽培が始まり、町の特産になっています。 査定会では、生産農家やJAの関係者が玉太りや糖度などを確認。 2026年は生育期の天候に恵まれ、玉太りは例年なみ一方、糖度は最近10年間で最も高い平均16.7度。 近年まれな甘さに仕上がったということです。 試食した人： 甘さ十分！ 試食した人： 甘いです！みずみずしくておいしくて！ 湯梨浜メロン生産部・松本憲一部長： 本当に味、香り、申し分ないものができたと思っているので、是非食べて試してみてください。 クレオパトラメロンはこのあと、初出荷され、25日はそのほとんどが町内向けだということです。 JA鳥取中央は今シーズン、約950ケースを出荷し330万円あまりの販売を見込んでいます。 山陰中央テレビ,[],[]
宿場町の賑わいを再び…島根東部の交通要衝・宍道町を盛り上げたい！街歩きイベントで魅力知って（松江）（TSKさんいん中央テレビ）,https://news.yahoo.co.jp/articles/835aeb74bf09fa2a5c3920a73153c9b17b45652b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260525-90023496-tsk-000-1-thumb.jpg?exp=10800,2026-05-25T19:08:01+09:00,2026-05-25T19:08:01+09:00,TSKさんいん中央テレビ,tsk,TSKさんいん中央テレビ,1104,山陰中央テレビ かつては宿場町として栄えた島根・松江市西部の「宍道町」。 今も町内には鉄道や高速道路が走り、空港からも近い交通の要衝です。 この立地の良さを地域のにぎわいにつなげようと5月24日、街歩きを楽しむイベントが開かれました。 勇壮に鳴り響く和太鼓の音色…。 24日、松江市宍道町、JR宍道駅周辺を会場に開かれたのは『宍道ターミナルフェス』。 駅前周辺に約20の出店、昔ながらの駄菓子屋さんに奥出雲町のブランド米「仁多米」やワイン、地酒の販売も…街を歩きながら訪れていきます。 奥出雲町からの出店者： もうちょっと前は山陰本線と木次線のジャンクションみたいなもので栄えていたけどね。なんとか宍道を盛り上げようとしていて良い企画だと思う。 松江市の西部、宍道湖の南に位置する「宍道町」は、江戸時代の「宿場町」が置かれた交通・物流の要衝です。 町内には山陰道と松江道をつなぐ宍道ジャンクションがあり、JR宍道駅で山陰本線と木次線が分岐、特急列車も停車駅します。 さらに、出雲空港までは車で15分ほどと、今も島根県東部の交通の要です。 そんなロケーションの良さに恵まれた地域の魅力を再発見してもらおうと、このイベントが開かれました。 会場には出店の他、体験コーナーも。 「空き店舗」を利用したワークショップ。 かつて「まちの電気屋さん」として親しまれたお店でオリジナルTシャツを作ります。 訪れた客（子ども）： 色々食べ物もあってすごく楽しいです。またやってほしい。 訪れた客（親）： 路地とかも結構沢山あったりして、歩いていて楽しかった。 大人から子どもまで「街を散策する楽しさ」を感じていました。 イベントを企画したのは、宍道町出身の岡本和也さん。 高校卒業後、関西の専門学校に進学、現在は東京の建築設計事務所に勤務しています。 しんじけいと地域デザインラボ・岡本和也代表： 商店街がどんどんなくなって、今となってはそこが空き家となってきているのはすごい感じてて、そこを何とかしたいなと。 里帰りをするたび、寂しさが増すふるさとの街並み。 少しでもかつてのにぎわいを取り戻せないかと考え、2025年秋からイベントの準備を進めてきました。 しんじけいと地域デザインラボ・岡本和也代表： JR木次線の利用や空港と宍道をつなげていく動きをしたい。まだ行政と協力ができていないので、いずれ僕らの活動に目を向けていただけるとすごい助かる。 恵まれた交通の利便性を地域づくりに生かす…岡本さんは、イベントを1回限りで終わらせず、これからも人と人が持続的につながる仕掛けを作っていきたいとしています。 山陰中央テレビ,[],[]
復活「まつえ土曜夜市」中心商店街が大にぎわい　銀行駐車場活用のキッチンカー営業も（島根・松江市）（TSKさんいん中央テレビ）,https://news.yahoo.co.jp/articles/2f7bb893979248eb1eaf333279b70f6bcc3b16a2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260525-90023495-tsk-000-1-thumb.jpg?exp=10800,2026-05-25T19:08:01+09:00,2026-05-25T19:08:01+09:00,TSKさんいん中央テレビ,tsk,TSKさんいん中央テレビ,807,山陰中央テレビ 島根県松江市の中心商店街ににぎわいを取り戻そうと、3年前に復活した「土曜夜市」が2026年も2日前の23日に始まりました。 商店街には新たな施設も登場、一層のにぎわいにつながるのか注目されます。 3年前、約30年ぶりに復活した「まつえ土曜夜市」。 2日前の23日、2026年最初の夜市が開催されました。 2026年も松江市中心部の白潟本町から天神町にかけて約500メートルの通りが歩行者天国に。 約80の出店、屋台が軒を連ねました。 来場者： 「友達と一緒に楽しんでます」 「皆盛り上がって、これからも松江が栄えていったらいいなと思います。」 「私近所なので毎回楽しみにしています。」 2026年は9月までに4回開催され、実行委員会では2025年を上回る10万人の来場を目指しています。 まつえ土曜夜市実行委員会・高田良和さん： 「やっと定番化してきたという実感は何となく出てきてますけど実店舗のみで夜市開催が最終目標なので、道半ばではありますが、少しづつ手ごたえは感じています。」 空き店舗が目立つ中心商店街にかつてのようなにぎわいを取り戻そうと始まった土曜夜市。 復活4年目の2026年、新たな魅力が加わりました。 会場エリアの一角に23日のオープンした「ほんまちBASE」。 銀行の駐車場を活用、同時に4台のキッチンカーが営業できる設備や、トレーラーハウスを使ったイートインのスペースを常設、人の流れを作り出す新たな仕掛けが用意されました。 株式会社まつくる・中尾禎仁社長： 「すこしづつ拠点を増やしていかないと、空き店舗、空家を利活用させていただいて、できるだけ昔の賑わいにもっていけたらいいかなと思っています。」 「ほんまちBASE」は年中無休で年間約5万人の集客を目指しています。 「シャッター商店街」脱却へ新たな仕掛けを加えながら、街なかに人を呼ぶ取り組みが続きます。 山陰中央テレビ,[],[]
【続報】住宅から黒煙と炎…米子市の住宅密集地で建物火災　消防が消火活動中（鳥取）（TSKさんいん中央テレビ）,https://news.yahoo.co.jp/articles/072ec09cac2adbf3fe2fdb120a7c14d0399b88dd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260525-90023502-tsk-000-1-thumb.jpg?exp=10800,2026-05-25T19:03:01+09:00,2026-05-25T19:03:01+09:00,TSKさんいん中央テレビ,tsk,TSKさんいん中央テレビ,283,山陰中央テレビ 5月25日午後６時前、鳥取県米子市の住宅で火災が発生しました。 午後6時半の時点で火事の詳しい状況は分かっていませんが、現場では消火活動が続いています。 消防と警察によりますと、火事が起きているのは米子市河崎の住宅で、午後６時前に消防に通報がありました。現場で消火活動が続いています。 現場から北西に約8キロ離れた米子空港の情報カメラからも黒い煙が上がっているのが確認できました。時折、炎が上がる様子も見て取れました。 現場は住宅が密集する地域だということです。 火事の詳しい状況は分かっていませんが、現場では消火活動が続いています。 山陰中央テレビ,[],[]
5月にエアコン売上が急増…夏の猛暑予想に“2027年問題”背景に商戦前倒し「慌てずじっくり考えて」（TSKさんいん中央テレビ）,https://news.yahoo.co.jp/articles/884e064cfb3041917381dd0813c83b95332eb1b7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260525-90023498-tsk-000-1-thumb.jpg?exp=10800,2026-05-25T18:31:01+09:00,2026-05-25T18:31:01+09:00,TSKさんいん中央テレビ,tsk,TSKさんいん中央テレビ,1060,山陰中央テレビ 山陰地方では5月下旬に入り、徐々に暑さも本格化してきました。 気温の上昇とともに家電量販店などではエアコンの売り上げも急増しています。 背景にあるのは、この夏の猛暑予想と「2027年問題」です。 鳥取・米子市の家電量販店で、エアコン売り場を案内してもらいました。 エディオン米子店・野々村昭人さん： 今まででしたら夏場、7月から8月が盛り上がる時期ですが、2026年に関しては4月、5月からが非常に多くのお客様にご購入いただいている。 近年は、猛暑の影響でエアコン商戦が前倒しに！ 2026年は特にその傾向が顕著でこの店では4月と5月の販売台数が例年の2倍以上だといいます。 異例の売れ行き、理由は暑さだけではありません。 福村翔平記者： エアコンがずらりと並ぶなか、こちらには『2027年問題、エアコンの7割が製造終了!?』と書かれています。 「エアコン2027年問題」です。 来年2027年4月から国が定める“省エネ基準”が大幅に引き上げられ、メーカー各社はより高性能な製品開発を求められます。 2027年４月以降、基準を満たさないエアコンは製造中止となり、在庫がなくなり次第、店頭から姿を消すことになるため、駆け込み需要が発生しているといいます。 エディオン米子店・野々村昭人さん： 在庫があれば購入はできますが、この状態ですと非常に多くお客様ご来店いただいてますので、じゃあ2027年まで持つかって言われると非常に難しいかなとは思いますね。 特に需要が伸びているのが6畳から8畳用のエアコンです。 エディオン米子店・野々村昭人さん： 省エネ型が必要ないお部屋、例えば子ども部屋や寝室は省エネ型でなくても十分使ってもらえるので、そういう商品の買い替えが非常に多くなっている。 省エネ基準対応のエアコンは、非対応のものに比べて高性能のため、価格が高くなる傾向にあり、そこまでの機能を必要としない、小さな部屋用のエアコンがよく売れているといいます。 一方で、新基準では電気代の削減効果も期待できることから長期的に見ると負担を抑えられる場合もあるといい、メーカーや販売店は「慌てて買い替える必要はない」と呼びかけています。 エディオン米子店・野々村昭人さん： 効きが弱い、臭いがする、異音が出る。 このような症状が出てきたら買い替えのタイミング。 「猛暑から命守る道具」といっても過言ではないエアコン。 「2027年問題」をまえにどのような機能が必要なのか、じっくり考えてもよさそうです。 山陰中央テレビ,[],[]
「鳥取砂丘らっきょう」を全国に出荷　甘酢漬けや醤油漬けがおすすめ！しゃきしゃき感を楽しんで（TSKさんいん中央テレビ）,https://news.yahoo.co.jp/articles/d8a8f43d743adb6382c009c38a12f14fc3837cf3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260525-90023500-tsk-000-1-thumb.jpg?exp=10800,2026-05-25T18:29:01+09:00,2026-05-25T18:29:01+09:00,TSKさんいん中央テレビ,tsk,TSKさんいん中央テレビ,623,山陰中央テレビ 5月25日まずは鳥取に夏の訪れを告げる味覚の話題から。 砂丘の厳しい環境に耐えて育った特産「鳥取砂丘らっきょう」の出荷が始まり、産地の鳥取市福部町から全国の市場へ送り出されました。 杉谷紡生記者： 鳥取市福部町の選果場ではらっきょうの初出荷作業が行なわれています。 施設内にはらっきょうのつんとしたいい匂いがひろがっています。 生産量は、日本一鳥取に夏を訪れを告げる鳥取砂丘らっきょう！ 25日から出荷が始まりました。 産地の鳥取市福部町では関係者がくす玉を割って、今シーズンの初出荷を祝いました。 そして園児の鼓笛隊の演奏のあと、ドライバーに花束が贈られました。 初日の25日は、関西や関東を中心に50トンが出荷されたということです。 JAによりますと、2025年夏の猛暑や水不足、それに積雪期間が長引いた影響で冬場の時点では生育に遅れが見られたものの、春先以降は気温が高く例年並みの玉太りに仕上がったということです。 JA鳥取いなば農業協同組合・清水雄作組合長： 甘酢漬けも美味しいがちゃぽんと醤油に漬けてさけのつまみでいただくのが個人的には一番好きです。 しゃきしゃき感のあるところが砂丘らっきょうの特徴でございますので広めていきたい。 出荷は、関東や関西など全国の主な市場に向けて6月中旬まで続き、JAは今シーズン1300トンを出荷し、2025年を6000万円上回る8億1000万円の販売を見込んでいます。 山陰中央テレビ,[],[]
【速報】米子市で建物火災…黒煙上る　消防車出動し消火にあたる（鳥取）　（TSKさんいん中央テレビ）,https://news.yahoo.co.jp/articles/19d0304c7df7e178f48824d9a6cb27a452b5cff5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260525-90023501-tsk-000-1-thumb.jpg?exp=10800,2026-05-25T18:06:01+09:00,2026-05-25T18:06:01+09:00,TSKさんいん中央テレビ,tsk,TSKさんいん中央テレビ,153,山陰中央テレビ 5月25日夕方、鳥取県米子市で建物火災が発生していて、消防が対応にあたっています 。 鳥取県西部消防局によると、火事が発生しているのは米子市河崎で、25日午後5時45分頃に消防に通報がありました。 建物火災が発生しているとの情報で、消防車が出動し、消火活動にあたっています。 山陰中央テレビ,[],[]
ニセ警察詐欺で50代女性700万円被害　アプリや国際電話利用休止などで詐欺電話ブロックを（島根）（TSKさんいん中央テレビ）,https://news.yahoo.co.jp/articles/6d03513c9a66fea1a9fa7c0196513434dd9bfe00,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260525-90023499-tsk-000-2-view.jpg?exp=10800,2026-05-25T14:52:01+09:00,2026-05-25T14:59:02+09:00,TSKさんいん中央テレビ,tsk,TSKさんいん中央テレビ,641,山陰中央テレビ 島根県邑智郡に住む50代の女性が、警察や検事を名乗る人物から嘘の事件捜査を口実に金を要求され、あわせて700万円をだまし取られるニセ警察詐欺の被害に遭ったことが分かりました。 詐欺の被害にあったのは、島根県邑智郡の50代の女性です。 4月下旬に福岡県警の捜査員を名乗る男から「あなたは詐欺に関わっているとして、捜査されています」などと電話で告げられた話を信用し、福岡地検の検事を名乗る人物から捜査への協力を口実に現金を要求され、4月から5月にかけて4回、あわせて700万円を相手が指定する口座に振り込んだということです。 女性はその後、警察や検事を名乗る人物と連絡が取れなくなったことから警察に相談、「ニセ警察詐欺」の被害に遭ったことに気が付きました。 女性がだまされたきっかけは、大手物流事業者を名乗る人物からの着信で、「＋」から始まる電話番号が表示されていました。 また、警察を名乗る男からは、捜査上必要だとして指示された秘匿性の高い通信アプリ「シグナル」をスマホにインストール、ビデオ通話でやり取りする中で、相手は警察官のような制服を着用、画面越しに警察手帳のようなものを示していたということです。 警察は、警察や検察は捜査などを名目で金銭を要求することはないとしたうえで「＋」から始まる国際電話番号の着信には注意するよう呼びかけています。 また警察庁推奨のアプリや国際電話利用休止申し込みにより、詐欺の電話をブロックするよう呼び掛けています。 山陰中央テレビ,[],[]
