headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
福島市のマンホール内で作業員が倒れた事故で治療中の男性が死亡・福島（福島中央テレビ）,https://news.yahoo.co.jp/articles/66cfb2b99f300bf96a554de4ae298804dd8994cd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260602-05257836-fct-000-1-view.jpg?exp=10800,2026-06-02T19:31:00+09:00,2026-06-02T19:31:00+09:00,福島中央テレビ,fct,福島中央テレビ,442,福島北警察署 5月19日、福島市のマンホール内で2人の作業員が倒れた事故で、治療中の男性が死亡したことがわかりました。 5月19日、福島市沖高にある深さおよそ4メートルのマンホール内で、作業員2人が倒れる事故がありました。この事故で福島市の31歳男性が死亡、70歳の男性は意識不明の状態で治療を受けていましたが、6月2日に死亡しました。死因は31歳男性と同じ、低酸素脳症でした。 作業員の死亡を受けて、作業を発注した福島市の馬場市長は「2人の尊い命が失われる重大な事故が発生し、市民に大変なご心配をおかけしたことを改めてお詫び申し上げる。引き続き関係機関による原因調査に協力し、再発防止策を講じていく」などとコメントしました。 2人が勤務する会社によりますと、作業の基本となる可燃性ガスなどを測定する大型検知器は会社から持ち出されず、硫化水素や酸素濃度を調べる携帯型の小型検知器2台はマンホール内で見つからず、車内に残されていたということです。 警察が事故の原因を詳しく調べています。,[],[]
風鈴が奏でる涼やかな音色　七夕に合わせ「御涼風鈴」会津美里町　伊佐須美神社・福島（福島中央テレビ）,https://news.yahoo.co.jp/articles/aa0a263d6eaff94c1a3dc998fbbd9580d2dfffea,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260602-08171962-fct-000-2-thumb.jpg?exp=10800,2026-06-02T19:12:00+09:00,2026-06-02T19:28:15+09:00,福島中央テレビ,fct,福島中央テレビ,387,FCT福島中央テレビ 会津美里町の伊佐須美神社では、毎年、旧暦の七夕にあわせて「御涼風鈴」と呼ばれる風鈴を境内の楼門と参道に飾りつけています。 この風鈴は、短冊が風をきることで邪気を払うとされていて、2026年は約3500個の風鈴が飾られ、風が吹くたびに涼やかな音色を奏でています。 ■秋田から来た参拝客 「初めて来たんですけどきれいですね。風情ありますよね」 ■いわきから来た参拝客 「涼やかでいいですね」 ■会津若松からの参拝客 「涼んでお参りして帰ろうかなと思って来ました」 ■伊佐須美神社 宮司 沼澤文彦さん 「音によって気持ちが変わりますし、そして風、両方があって七夕祈願ということになりますので、みなさんのお気持ちを（短冊に）書いていただいて願いが叶っていただくことを」 この御涼風鈴、8月23日まで飾られていて、7月の18日からは夜のライトアップも行われます。,[],[]
「SAMURAI　CITY」会津の魅力を発信！郷土料理も楽しめる！・福島（福島中央テレビ）,https://news.yahoo.co.jp/articles/042e58502b6327f0b64d38ec42960f8d6787aade,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260602-05979987-fct-000-2-thumb.jpg?exp=10800,2026-06-02T19:07:00+09:00,2026-06-02T19:24:19+09:00,福島中央テレビ,fct,福島中央テレビ,1049,FCT福島中央テレビ 4月にスタートした福島の魅力を全国に発信する大型観光キャンペーンも閉幕まで残り1か月を切りました。 このキャンペーンをきっかけにさらなる誘客につなげようと取り組む会津若松市に注目します。 キーワードは「SAMURAICITY」です。 会津若松市といえば、会津藩の歴史を歴代領主や武者などにふんした総勢約600人で表現する「会津藩公行列」 歴史の息吹が聞こえる城下町「SAMURAICITY」として観光の魅力を発信しています。 市内にある「会津武家屋敷」。ふくしまデスティネーションキャンペーンにあわせて特別な料理が！ それがこちら「侍 勝鬨膳」 颯爽とした侍の姿をイメージし、会津の郷土料理をアレンジしたメニューなんです！ 勝鬨とは、侍が勝利をおさめた時にあげる鋭、鋭、応の掛け声のこと。会津名物の「わっぱ飯」は勝利とマメに動くの意味を込めて「勝ち栗」と「豆」で彩りました。 料理を盛り付けているのは、侍文化を感じさせる会津塗の手塩皿。 すべて手描きで絵付けされた1点物です。料理とあわせてまるごと、会津を味わえます。 ■会津武家屋敷・営業企画部長 小滝 隆保さん 「侍が持っている颯爽とした、はつらつとした元気さと会津の郷土料理をぜひ味わっていただきたいなとという思いで作りました」 そして、鶴ヶ城では…会津の侍文化を感じるお祭り「會津SAMURAI WEEK」を開催。 6月6日・7日の土日は「SAMURAIFES」と題し、武道や太鼓などの迫力あるステージパフォーマンスや、子どもから大人まで楽しめるワークショップが行われます。 あわせて会津のスイーツやグルメなどを楽しめる「ニノマルシェ」も企画。 お城の中にある博物館では、会津の歴代の領主や藩主にまつわる刀剣などを一堂に展示する特別展も…。 ■会津若松観光ビューロー天守閣管理課・花見幸宏さん 「天守閣の1層展示室で開催中の『会津ゆかりの名刀展』では、和泉守兼定や三善長道などに代表される会津の刀鍛冶がつくった名刀などを特集展示中です。お城の中で、名刀をぜひご覧ください！」 このほか、和船に乗りガイドの解説を聞きながら鶴ヶ城のお濠をクルージングする体験も！ 会津若松市観光課五十嵐 真美さん 「DCをきっかけに、ぜひ多くの方にお越しいただき、SAMURAI CITY会津若松の魅力を知っていただきたいと思います」 「ふくしまDC」も終盤！会津若松市で、歴史に思いを馳せながら特別な体験を楽しむのも良いかもしれません。,[],[]
夏のボーナスシーズン前に　預金獲得へ地銀街角ＰＲ合戦！・福島（福島中央テレビ）,https://news.yahoo.co.jp/articles/2c30b022ad664db8d0a2d7ae16a59427e4016cb1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260602-02864655-fct-000-1-thumb.jpg?exp=10800,2026-06-02T18:56:00+09:00,2026-06-02T18:56:00+09:00,福島中央テレビ,fct,福島中央テレビ,786,FCT福島中央テレビ 金利の上昇が続く中、貸出による利息収入の拡大を狙い全国の銀行は、激しい預金獲得競争を繰り広げています。 まもなく夏のボーナスシーズン。 ゼロ金利が終わりを告げる中、県内の地方銀行も、7年ぶりに、あの戦いを繰り広げました。 日銀の利上げ観測やインフレ懸念などで、続く金利上昇。 全国の銀行は貸出による利息収入の拡大を狙い、激しい預金獲得競争を繰り広げています。 最近は、通信など異業種からの銀行参入もあり預金獲得競争は、激しさを増す一方… 1日の朝、福島駅前では…そろいの法被姿で立つのは県内・最大手の東邦銀行の行員。 夏のボーナスシーズンを前に、預金の獲得を目指すキャンペーンを展開。 そのチラシを通勤する人に次々と手渡していました。 一方、横断歩道の先では「福島銀行です、ぜひ見てください」 負けじと、のぼりを持つのは福島銀行。 こちらは預金商品のチラシを手に、通勤する人に声をかけて、渡していきます。 実は、こうした街頭でのPR活動は、以前にもありました。 夏も冬もボーナスシーズンには風物詩とも言える光景でしたが、コロナ禍もあって、見かけなくなりました。 しかし、ゼロ金利が終わりを告げ、金利が上昇する中、この街頭でのPR活動が、2019年以来、7年ぶりに復活！預金の獲得にむけた戦いが再び街なかで繰り広げられたのです。 ■東邦銀行 営業統括課 田子吹武季さん 「ネット銀行、勢力というか強いところはあるが、我々東邦銀行としては地域に根差した金融機関を目指しておりますので、福島県の皆様と歩んでいければ」 ■福島銀行 営業統括部 中井智 部長 「地元のお客様が一番大切だと思っているので対面での営業ができるように少しでもやっていきたい」 7年ぶりに復活した県内地銀の街角PR合戦！ 激しさを増す預金獲得競争に、それぞれの銀行がしのぎを削ります。,[],[]
「実が落ちるとすごく痛手」台風6号接近へ　ブルーベリー農園でも対策進む・福島（福島中央テレビ）,https://news.yahoo.co.jp/articles/a65bd7bd016aede9cabcdc0cfcc48cab98161063,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260602-08316157-fct-000-2-thumb.jpg?exp=10800,2026-06-02T18:48:00+09:00,2026-06-02T18:54:16+09:00,福島中央テレビ,fct,福島中央テレビ,1048,FCT福島中央テレビ 台風6号の最新情報です。 台風6号は3日昼前から夕方にかけて、県内に最接近する予想で、大雨や土砂災害に警戒が必要です。 県内への影響が懸念されるなか、いわき市の農園では被害を防ぐための対策に追われていました。 台風6号は、2日正午現在、屋久島の西南西約110キロにあって、北北東へ進んでいます。 県内には、3日昼から夕方にかけて最も近づく予想です。 台風の接近に伴い福島地方気象台は2日会見を開き、台風の今後の見通しや県内への影響について説明を行いました。 ■福島地方気象台 担当者 「どちらかというと浜通りのほうは警報が発表される可能性が他の地域と比べて高いと予想しています」 気象台によりますと、3日昼前ごろから中通りや浜通りでは警報級の大雨となる可能性もあるということです。 特に浜通り南部の地域では、暴風や高波、土砂災害や低い土地の浸水に注意が必要で、事前にハザードマップや 避難経路を確認するよう呼びかけています。 こうした状況を受け、いわき市のブルーべリー農園では… ■ブルーベリーファーム 代表 渡邊充彦さん 「ブルーベリーはこれから色づく感じなんですが、この支柱で固定して倒れないようにしている。これが倒れちゃうと実が落ちちゃうのですごく痛手になる」 こちらでは、ブルーベリーの鉢が風で倒れないように支柱やひもで固定する作業に追われていました。 育てているブルーベリーは2000鉢に上り、すべて手作業で行うため、労力もコストもかかりますが、大切な商品を守るためには欠かせない作業です。 ■ブルーベリーファーム 代表 渡邊充彦さん 「過去にも強風で倒れてしまったりとか実が落ちてしまったりとかがあったんですけど、6月に台風が来るというのはなかなか経験がないので、これからオープンなのでとても不安です。少しでも台風がそれてくれて、被害がないことを祈っている感じですね」 また、いわき市では「土のう袋」の配布も始まっています。土のう袋の配布は、梅雨や台風で水害の発生が予想される時期に合わせて、いわき市が毎年行っていて、2026年も1日から配布が始まりました。 ■いわき市土木政策課 河川政策担当 門馬正彦さん「一番は、『命を守る』ということなのでこの土嚢を越えてくるような水がある時には避難していただくというのが安全かなと思います」 土のう袋は、一世帯当たり、20枚を上限に無償で配布していて、市役所本庁舎のほか、市内の12の支所でも配布しているということです。,[],[]
「4人同時にというのはかなり珍しいケース」クマに遭遇してしまったら…専門家に対策を聞く・福島（福島中央テレビ）,https://news.yahoo.co.jp/articles/66ae4447f2e869681dbbfc544ac3158a15e4aadc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260602-07538294-fct-000-2-thumb.jpg?exp=10800,2026-06-02T18:45:00+09:00,2026-06-02T18:48:21+09:00,福島中央テレビ,fct,福島中央テレビ,978,FCT福島中央テレビ 住宅街でのクマの被害。万が一遭遇した場合、どのような対応するべきなのか専門家に聞きました。 今回の現場を確認した専門家は、市街地に慣れたクマ「アーバンベア」の可能性を指摘しています。 ■福島大学 食農学類 望月翔太准教授 「ちょっと前からあのあたりは熊が目撃されていますので、おそらくアーバンベアという形で人に対する警戒心が薄れた熊が入り込んでいったのだと思いますね」 ここ最近大きな社会問題になっている「アーバンベア」。 ただ、今回の被害には稀な点があるといいます。 ■福島大学 食農学類 望月翔太准教授 「4人同時にというのはかなり珍しいケース。基本的に熊も人を恐れていますので、1人けがをさせたら、クマもびっくりしてどこかに隠れることがほとんど」 望月准教授はクマが事業所内に入りこんだ後人と遭遇したことでパニック状態になり逃げる間にいた人たちを次々襲ったと見ています。 また、この6月はクマの繁殖期で特に注意が必要だといいます。 ■福島大学 食農学類 望月翔太准教授 「食料を求めながらというものもありますし、ちょうど繁殖の時期でもありますので。メスを探しながら入り込んできたのではないかなという風に思います」 では、そのクマから私たちはどのように身を守れば良いのか。 まずはクマの目撃情報の確認です。 近くで目撃情報がある場合、少なくとも1、2週間は警戒を続けて欲しいといいます。 また、自宅から車に乗り込むわずかな時間も注意が必要だそう。 ■福島大学 食農学類 望月翔太准教授 「ガラガラガラと開けるタイミングで、聞き耳を立ながら。ガサガサしていないかな大丈夫かなと確認しながら、（望月准教授が手をたたく）手をたたいてあげる」 手を叩いたり、声を出し自分の存在をクマに知らせることが有効とのこと。 万が一、数メートルほどの距離で熊と遭遇した場合は、顔や首を守り、腹ばいになる防御姿勢が良いとのことです。 ■福島大学 食農学類 望月翔太准教授 「しっかりと出会わない準備をしてあげて、行動をする。ただ、その時に1人で散歩に行かないとか、複数人で行動をするというのを徹底することが大事ですね」 これからの時期、特に注意が必要なクマ。 事前の備えをしたうえで、万が一遭遇した場合の対応を知ることが命を守ることにつながりそうです。,[],[]
「熊にかまれた、襲われた」福島市でクマに襲われ男女4人がけが　勢いよく走り去るクマをカメラがとらえる（福島中央テレビ）,https://news.yahoo.co.jp/articles/9465b84b44225cd8ad9e985ed8dba4e5295ed3b9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260602-04413123-fct-000-3-thumb.jpg?exp=10800,2026-06-02T18:44:00+09:00,2026-06-02T18:49:15+09:00,福島中央テレビ,fct,福島中央テレビ,801,FCT福島中央テレビ 2日、福島市の住宅街にクマが出没し、男女4人が襲われました。 クマは、今も近くの会社敷地内にとどまっているとみられ、警察などが注意を呼びかけています。 こちらは2日午前6時25分ごろ、福島市にある事業所の防犯カメラの映像です。 従業員が出入口の方に、歩いていくと、突然、クマが走ってきて、従業員を襲います。 その後、逃げる従業員を走って追いかけまわし最後は押し倒しました。 その後、熊はスピードを落とすことなく、事業所の建物に向かって突進。自動ドアを破壊したといいます。 事業所によりますと、このクマに襲われ20代の男性従業員と60代の男性従業員のあわせて2人がけがをしたということです。 熊の被害があったのは福島市笹木野の住宅街。 2日午前6時半頃から午前7時過ぎにかけて「熊にかまれた、襲われた」と110番通報が相次ぎました。 警察と消防によりますと、同じ個体とみられるクマが事業所の従業員2人を襲ったあと、近くの住民と別の会社の従業員、あわせて4人を次々に襲ったとみられています。 襲われた4人は20代から80代の男女で、いずれも意識はありますが、けがをして病院に搬送されたということです。 クマは、事業所から出て、住民の80代女性を襲い、その後、別の会社敷地内に侵入し60代の男性従業員を襲いました。 クマを目撃した近所の人は… ■近所の人は 「（男性）結構でっかかったです（記者）建物の上ですか？（男性）建物の屋上歩いていました。そしたらどっか、消えていって」 ■近くの児童センター 職員 「きょうは福島市の指導で休館、私以外の職員も自宅待機。ここ敷地も広いので、外遊びで子どもたち楽しんでいるので、熊が出るのは恐ろしい」 クマはいまも会社の敷地内にとどまっているとみられています。 現場は住宅が密集している場所で、福島市と警察が付近の住民に屋内退避を呼びかけています。,[],[]
【最新】福島市笹木野のクマ　麻酔銃命中も“眠らず”　今も事業所の中にとどまる　緊急銃猟の体制を維持へ（福島中央テレビ）,https://news.yahoo.co.jp/articles/348243dac3aabd400174f442f47e1f6cc99cbdff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260602-04266667-fct-000-1-view.jpg?exp=10800,2026-06-02T18:08:00+09:00,2026-06-02T18:08:00+09:00,福島中央テレビ,fct,福島中央テレビ,423,FCT福島中央テレビ 福島市の馬場市長は2日午後6時過ぎから、報道陣の取材に応じて福島市笹木野の事業所にクマがとどまっている事案について最新の市の対応状況を明かしました。 馬場市長によりますと、現在(2日午後6時現在)クマは福島市笹木野の「OKIシンフォテック」の中にいるということです。 2日午後に馬場市長が緊急銃猟の許可を出し、午後2時19分にハンターが麻酔銃を発砲しクマに命中させました。しかし、クマは眠ることはなく興奮状態にあり、今に至っているということです。 事業所の中にバリケードを設け、クマが出ないように囲っています。 またこのバリケードの中には、わなが3つ仕掛けられています。 ハンターは3人体制で、事業所の中に「引火性のものがあるため」実弾は使用せず、麻酔銃で眠らせて捕獲する、またはわなに呼び込んで捕獲する。この2つの方法がとられています。 これから夜になりますが、引き続き緊急銃猟の体制を維持し、対応にあたっていく方針です。,[],[]
台風6号接近…浜通りのほとんどの自治体が小中学校を休校へ・福島（福島中央テレビ）,https://news.yahoo.co.jp/articles/9e3d511bde1cb83e1ea04a537e8df11ba9206cd2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260602-06745877-fct-000-3-view.jpg?exp=10800,2026-06-02T16:28:00+09:00,2026-06-02T18:50:16+09:00,福島中央テレビ,fct,福島中央テレビ,469,FCT福島中央テレビ 台風6号の接近に伴い、浜通りのほとんどの自治体は、小中学校の休校を決めています。 下校時間帯に雨がひどくなると予想されていることから安全を最優先にした予防的措置です。 休校となるのは、浜通りのいわき市、南相馬市、広野町、楢葉町、富岡町、大熊町、双葉町、浪江町の小中学校です。 また白河市、西郷村、泉崎村、矢吹町、中島村も休校が決まっています。 13市町村の公立の小中学校と義務教育学校の合わせて161校です。 また、高校などの県立学校は2日午後5時時点で合わせて52校が3日休校となっています。 いわき市教育委員会によりますと「下校時間帯」にあたる「午後」に雨がひどくなる予報が出ていることから、登校はできても下校の安全が確保できないとして全校の休校を決めたということです。 浜通り北部の相馬市、新地町は給食後の午後の授業を休止するなど、3日の様子を見て判断したいとしています。 一部の自治体では保護者の送り迎えが担保されている「子ども園」や「学童」は開所するということです。 休校は「安全」を最優先しての措置です。,[],[]
夏のボーナス　支給額2年ぶりに増える見込み　とうほう地域総合研究所・福島（福島中央テレビ）,https://news.yahoo.co.jp/articles/5feb744ed50d2ebed49e1863d1459be2d725a081,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260602-04271783-fct-000-2-thumb.jpg?exp=10800,2026-06-02T15:46:00+09:00,2026-06-02T18:58:15+09:00,福島中央テレビ,fct,福島中央テレビ,254,FCT福島中央テレビ 気になる夏のボーナスについてです。 県内の民間企業では1人あたりの支給額が2年ぶりに増える見込みです。 とうほう地域総合研究所の推計によりますと、県内の民間企業の2026年の夏のボーナス支給額は1人あたり31万5555円と2025年より3.7パーセント増え、総支給額は1748億800万円と2年ぶりに増加するということです。 増額の理由は賃上げで所定内給与が増えたためとみていて、収益状況の悪化でボーナスの引き下げや不支給の企業もあり、全体的には支給月数がやや低下すると分析しています。,[],[]
