headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「大谷選手と会話できる？」パワプロ2026-2027 サクセス30周年で藤原丈一郎のオリックス愛も炸裂（スポーティングニュース日本版）,https://news.yahoo.co.jp/articles/395b320bd4db3f0ee1bb42d66942f03828ceeacf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260613-00010009-sporting-000-1-view.jpg?exp=10800,2026-06-13T23:15:38+09:00,2026-06-13T23:15:38+09:00,スポーティングニュース日本版,sporting,スポーティングニュース,1127,左からパワプロくん、山崎弘也、藤原丈一郎、柴田英嗣 ​「パワプロ」は1994年の誕生以来、日本の野球ゲームの代名詞として君臨し続けている。その中でも人気を誇る選手育成モード「サクセス」が、2026年で誕生から30周年という大きな節目を迎えた。 オリックス・バファローズ頓宮裕真選手を起用、ホームランを放ちガッツポーズの藤原丈一郎 奇しくも今年30歳を迎え「サクセスと同級生」と語るアイドルグループ「なにわ男子」の藤原丈一郎、そしてお笑いコンビ「アンタッチャブル」の山崎弘也、柴田英嗣が11日、最新作『パワフルプロ野球2026-2027』の発表を記念して開催されたトークショーに登壇した。そこで語られたのは、単なるゲームの思い出話にとどまらない。アスリートのメンタリティ、組織における役割分担、そして笑いに満ちた泥臭いキャリア論となった。 「大谷さんとしゃべったことあります」 今作の大きな目玉の一つが、ワールド・ベースボール・クラシック（WBC）の世界を追体験できるモードの搭載である。プレーヤーは侍ジャパンの一員となり、大谷翔平選手ら代表選手とともに世界一を目指すプロセスを歩む。この新要素について、大の野球ファンである藤原は興奮気味に「大谷翔平選手とね、いわば会話できるってことなんですよ。一緒の世代を生きれる。だからめっちゃメディアで言ったろかなと思って。『大谷さんとしゃべったことあります』って」と語り、会場の大きな笑いを誘った。 冗談めかした発言ではあるが、世界最高峰のトップアスリートと同じグラウンドに立ち、仮想空間であっても対話を重ねて共に戦うという体験は、プレーヤーの視座を引き上げることだろう。 イベントは広報的な枠組みを完全に逸脱し、3人の異常な熱量が交錯する場となっていた。生粋のオリックス・バファローズ党として知られる藤原は、自身のプレースタイルを嬉々として明かす。かつてオリックスが低迷していた時代、藤原は現実の試合結果に心を痛めるあまり「せめて俺がペナントレースで優勝の景色を見せたる」と一念発起したという。 現実のプロ野球のペナント日程と完全にリンクさせ、1日1試合だけをプレーし、現実の移動日にはきっちりゲームも休むという使命感を告白した。極めつけは新幹線での移動中のエピソードである。同じ事務所の仲間である末澤誠也が隣の席で必死に話しかけてきているにもかかわらず、プレーに没頭する藤原。末澤の「お前、話聞いてや」という訴えに対しても、「ちょっと待ってろ、今こっち大事やねん」と一蹴。実に2時間半もの間、先輩を放置してバーチャル空間で白球を追い続けたというトップアイドルらしからぬゲーマーぶりに、ステージは爆笑に包まれた。,[],[]
ついに借金20、中日の采配が物議「ありえない」「何で？」…歓喜の直後に悪夢「意味が分からん」（スポーティングニュース日本版）,https://news.yahoo.co.jp/articles/7bceceb782cc1565f957cf8e6759f2cc8359c0c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260613-00010008-sporting-000-3-view.jpg?exp=10800,2026-06-13T17:55:59+09:00,2026-06-13T18:29:34+09:00,スポーティングニュース日本版,sporting,スポーティングニュース,1008,守護神・松山は“温存”…サヨナラ負けで3連敗 中日・井上監督（時事通信） せっかく土壇場で追いついたのに…。中日は13日、エスコンフィールド北海道で日本ハムと対戦。9回に2点差を追いついたが、その裏に1点を失い3-4でサヨナラ負けを喫した。守護神の松山晋也投手を起用することなく3連敗で借金20。SNS上では「せっかく同点に追いついたのに何で松山じゃないの？」「何で出し渋るの？」と采配に疑問の声が上がった。 深夜に屋上で1000スイング、女子から“あらぬ疑い”…元オリ外野手、壮絶な打者転向 2点を追う4回に日本ハム・福島蓮投手の暴投の間に1点を返して1点差。8回に失点し、再び2点ビハインドとなった9回は柳川大晟投手を攻め立て、2死満塁から鵜飼航丞外野手が右前に値千金の2点適時打を放って同点に追いついた。敗色濃厚な展開が一変。ベンチは盛り上がった。 その後の勝ち越し機は生かせず、同点のまま9回裏へ。起用されたのは3年目右腕の草加勝投手だった。先頭の細川凌平内野手は左邪飛に仕留めて1死。だが続く水野達稀内野手に、右中間にサヨナラ本塁打を浴びて試合は終わった。 2023年ドラフト1位で入団した草加は、入団直後の右肘手術を乗り越えて昨年実戦復帰。シーズン終盤に1軍デビューを果たすと、今季はここまで4試合連続無失点と好投を続けており、首脳陣も期待して送り出したのだろう。 ただ、ベンチには松山が残っていた。同点に追いつき、押せ押せムード。延長戦での勝利を目指し、絶対的守護神をあえて同点の場面で投入してムードを高めるのも作戦の一つ。9回は勝ち越し機を築いており、ブルペンで登板準備を進めていたのは間違いない。 本来は1点でも勝ち越して、試合の最後を締めるのが役割だが、日本ハムの攻撃は1番から始まる好打順。最もいい投手を投入したい状況でもあった。 首脳陣は延長で勝ち越した後に松山を投入する考えだったと思われるが、納得しないファンが続出。「出し惜しみした末路」「上位打線なんだからセオリーなんて守らず松山だよ」「さすがに敗退行為だろ」「本当に意味が分からん」「ありえない継投」「松山も準備してただろ」「同点でも松山を投入すべき」といったコメントが並んだ。 3連敗で21勝41敗1分けとなり、ついに借金20。セ・リーグ最下位に沈むチームがつかみかけた勝利への流れは、一瞬で消えてしまった。 スポーティングニュース,[],[]
「誰か大口入れた？」宝塚記念、クロワデュノールが前日15時でまさかの“単勝1.1倍” ファン騒然「目を疑った」「これは凄い」（スポーティングニュース日本版）,https://news.yahoo.co.jp/articles/f58794367c30ec7196b87b6ec352356121d06ba7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260613-00010007-sporting-000-3-view.jpg?exp=10800,2026-06-13T15:18:19+09:00,2026-06-13T15:35:19+09:00,スポーティングニュース日本版,sporting,スポーティングニュース,730,クロワデュノールが前日15時時点で単勝1.1倍 クロワデュノール 14日（日）に阪神競馬場で行われる宝塚記念（G1・芝2200m）。前日15時時点のオッズではクロワデュノールが単勝1.1倍の圧倒的人気に支持されている。その驚異的なオッズに、ファンからは「誰か大口入れた？」「目を疑った」「前日とはいえこれは凄い」など驚きの声が相次いでいる。 【宝塚記念 2026予想】前に行った馬が圧倒的好成績!? 傾向とデータから導く本命馬と買い目は？ 昨年のダービー馬クロワデュノールは、この春に大阪杯、天皇賞（春）を連勝。今回の宝塚記念では史上初となる春古馬三冠制覇がかかる一戦。そんな中、前日15時時点で単勝オッズは1.1倍を記録。複勝オッズは1.3～1.6倍となっており、単勝オッズが複勝オッズを下回る異様な売れ方となっている。 また、2番人気は12.0倍のメイショウタバル、3番人気には14.9倍のミュージアムマイル。G1馬5頭が出走する豪華メンバーの中でも2番人気以下を大きく引き離す圧倒的な支持を集めている。 SNSではクロワデュノールの単勝オッズ1.1倍に対して反応。「誰か大口入れた？」「目を疑った」「前日とはいえこれは凄い」「1.1倍はヤバい」「どれだけ信頼されているんだ」など驚きのコメントが続出した。 一方で、2017年には父キタサンブラックが単勝1.4倍の断然人気を背負いながら9着に敗れたケースもあるだけに「宝塚記念は何が起こるか分からない」「さすがに人気しすぎでは？」とオッズを疑問視する声も見られた。 前日15時時点のオッズとはいえ単勝1.1倍。果たしてクロワデュノールはファンの圧倒的な期待に応え、偉業達成となるか。 スポーティングニュース,[],[]
「どこまで飛ばすん？」岡本和真、レフト超特大弾に騒然　ゲレーロJr.のリアクションも話題「その表情が全て物語ってる」（スポーティングニュース日本版）,https://news.yahoo.co.jp/articles/6480d74c64afd7d3859f15f62f8470a9a1716182,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260613-00010006-sporting-000-3-view.jpg?exp=10800,2026-06-13T12:24:55+09:00,2026-06-13T13:52:01+09:00,スポーティングニュース日本版,sporting,スポーティングニュース,583,岡本和真が衝撃の特大2ラン ブルージェイズ・岡本和真 トロント・ブルージェイズの岡本和真が13日（土）ヤンキース戦に「5番・サード」でスタメン出場。初回裏の第1打席で放った衝撃弾に驚きの声が相次いでいる。 【実際の映像】「どこまで飛ばすん？」「その表情が物語ってる」岡本衝撃弾 & ゲレーロJr. リアクション チームが1点を先制し、なおも2死二塁で迎えた第1打席だった。岡本はヤンキース先発ライアン・ウェザーズのカウント2-2からスライダーを完璧に捉えると、打球はレフトスタンド上段へ一直線。打球速度111.4マイル（179.3キロ）、飛距離423フィート（128.9メートル）、打球角度36度を記録する特大の14号2ランとなった。 あまりの飛距離に、ベンチで見守っていた主砲ブラディミール・ゲレーロJr.も思わず頭を抱えるようなリアクション。信じられないという表情を浮かべる様子も映し出された。 岡本の一発をMLB公式などが動画で公開すると、SNSも反応。衝撃ホームランとゲレーロJr.のリアクションに対して、様々な声が寄せられた。 「どこまで飛ばすん？」 「そりゃゲレーロもこの表情よ」 「打った瞬間だった」 「ゲレーロのリアクションが面白すぎる」 「化け物みたいな飛距離」 「打球音からして違う」 「その表情が全てを物語ってる」 スポーティングニュース,[],[]
せっかくの地上波放送なのに… 大谷ベンチスタート、村上＆西田も不在 ファン落胆「よりにもよって」「悲しすぎる」「持ってないよ」（スポーティングニュース日本版）,https://news.yahoo.co.jp/articles/590a9baa20edfafca34cc634531bd27694b82c50,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260613-00010005-sporting-000-1-view.jpg?exp=10800,2026-06-13T07:53:16+09:00,2026-06-13T07:53:16+09:00,スポーティングニュース日本版,sporting,スポーティングニュース,861,NHKで全国中継も日本人選手の先発出場は佐々木朗希のみ ドジャース・大谷翔平はベンチスタート 楽しみにしていたファンにとっては、まさかの展開となった。前日の試合で「左膝の炎症」により途中交代したドジャース大谷翔平はホワイトソックス戦のスターティングメンバーから外れた。複数の米メディアによると、検査結果は軽傷とみられ、負傷者リスト（IL）入るような状況ではないという。 【リアルタイム速報】ドジャースvsホワイトソックス（佐々木朗希先発・大谷翔平所属）｜試合経過・結果・ハイライト映像｜MLB 2026（6.13） 一方、ホワイトソックスの村上宗隆は先月末に起きた試合中の怪我で負傷者リスト入り中。この日はNHK総合で全国中継されることもあり、SNS上では「NHKさん持ってないよ」「よりにもよって今日かよ」「大谷も村上もいないなんて…」など落胆の声が上がっている。 大谷は前日12日（金）のパイレーツ戦で13号本塁打を放つなど4打席4出塁の活躍。しかし試合途中で交代となり、球団はその後「左膝の炎症」と発表。そしてこの日のホワイトソックス戦ではベンチスタートとなった。 一方の村上はメジャー1年目ながら20本塁打41打点をマーク。一時はア・リーグ本塁打王争いのトップに立つなど鮮烈な活躍を見せていたが、先月末の試合で右太腿裏を負傷し、現在は負傷者リスト入りしている。 この試合はNHK総合で全国中継される注目カード。大谷と村上のスター対決に加え、異色の経歴を持つ西田陸浮など、日本人選手の共演が注目されていた。しかし、スタートから出場するのは先発予定の佐々木朗希のみに。大谷翔平は代打で出場する可能性もあるものの、両チームを代表する主砲がそろって不在となる異例の状況となった。 この状況にSNSも反応、「よりにもよって今日かよ」「大谷も村上もいないなんて…」「せっかくの地上波放送なのに」「NHKが一番ショック受けてそう」「まさか大谷までとは」「楽しみにしてたのに残念すぎる」などの声が相次いだ。 スポーティングニュース,[],[]
巨人、新人左腕にまた“悲運”「あまりにも不憫」 野手の拙攻守連発に不満噴出「草野球レベル」「もうボロボロ」（スポーティングニュース日本版）,https://news.yahoo.co.jp/articles/f0e2e5bf07f1059aaa62b5e8eea86dc862c2283a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260613-00010004-sporting-000-1-view.jpg?exp=10800,2026-06-13T06:31:26+09:00,2026-06-13T06:31:26+09:00,スポーティングニュース日本版,sporting,スポーティングニュース,898,ルーキー竹丸和幸・17イニング連続で無援護… 巨人・竹丸和幸 またしても好投が報われなかった。巨人のルーキー左腕・竹丸和幸が12日（金）の西武戦に先発登板。7回2/3を投げて3失点と十分な投球を見せたものの、打線の援護に恵まれず5敗目を喫した。さらに失点は守備起因だったこともあり、ファンからは「あまりにも不憫」「野手陣が足を引っ張っている」など不満の声が上がっている。 連勝ストップはまさかの大炎上に「もう厳しいな」… 巨人右腕の最短KOに不満噴出「凱旋登板で悲しい」「がっかりだよ」 今季10度目の先発マウンドとなった竹丸は初回、2番・滝澤にヒットを許すと、3番・長谷川の打球を中堅手キャベッジが追いつけず先制点を献上。それでも2回以降は立て直し、持ち味の投球で西武打線を封じ込めていった。 しかし6回裏、先頭打者への四球でランナーを許すと、1死一塁の場面から盗塁を阻止しようとした捕手・岸田のワンバウンド送球を遊撃手・泉口が捕球できず。走者の進塁を許すと、続く滝澤に適時打を浴び、追加点を奪われた。 さらに8回には2死から西川の平凡なセンターフライをキャベッジが落球。痛恨のエラーで再びピンチになると、またも滝澤に適時打を許し3失点目。竹丸は8回途中でマウンドを降りた。 一方の打線は西武先発・髙橋光成の前に沈黙。初回に4番・ダルベックのセンター前ヒット以降、8回まで無安打。野手陣が攻守で足を引っ張った。 竹丸は前回登板の日本ハム戦でも8回3失点の好投ながら打線の援護なく敗戦投手に。直近2試合で計17イニングの援護点ゼロと、厳しい状況が続いている。 それだけにファンからは野手陣に対して不満が噴出。「竹丸が不憫すぎる」「また見殺し」「野手陣何やってるんだ」「草野球レベル」「もうボロボロ」「竹丸個人軍」「これで負け投手はかわいそう」「あまりにも不憫」など、声が上がった。 直近2戦は日本ハム・北山、西武・髙橋とパ・リーグを代表するエース級との投げ合い。それだけに、結果こそ伴わなかったものの、その投球内容には大物感が漂う。次回登板では野手陣の奮起にも期待したい。 スポーティングニュース,[],[]
中日、2桁三振の拙攻地獄…「あまりに無策」 12球団ワーストの惨状に嘆き「見飽きた光景」「進塁打すら打てない」（スポーティングニュース日本版）,https://news.yahoo.co.jp/articles/de02a7627c7dd164dd4bc959f2a09ac906f70962,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260613-00010003-sporting-000-2-view.jpg?exp=10800,2026-06-13T06:20:09+09:00,2026-06-13T06:27:50+09:00,スポーティングニュース日本版,sporting,スポーティングニュース,832,中日、今季537三振は12球団ワースト 中日 井上一樹監督 最下位に沈む中日は12日（金）、敵地で日本ハムと対戦。この日も再三のチャンスを演出しながら、得点はワイルドピッチによる1点のみ。13三振を喫して1-3で敗れ、12球団最速で40敗目に到達。今季のチーム三振数「537」は12球団ワーストを記録しており、ファンからは「進塁打すら打てない」「三振しすぎ」「あまりに無策」など厳しい声が上がっている。 中日、終盤の“バント構え”に物議「ありえない」 勝負所での拙攻に「あそこが全て」「理解できない」 試合は初回裏、先発の柳裕也が1死一、三塁から古巣対戦となった4番・マルティネスの三ゴロの間に先制点を許す展開。打線は3回、日本ハム先発・細野から下位打線の連打で1死一、三塁のチャンスを作ったが、1番・岡林が三振、2番・鵜飼が三ゴロに倒れ、得点を奪えなかった。 4回には先頭の3番・村松が二塁打で出塁。絶好のチャンスで4番・阿部、5番・サノー、6番・細川を迎えたものの、まさかの3者連続三振。5回には2死一、三塁からワイルドピッチで1点を返したが、肝心のタイムリーは最後までゼロ。再三の好機をことごとく潰し、あと一本が遠かった。 この日の中日は得点圏で11打数0安打。そのうち6三振を喫し、試合全体でも13三振を記録した。今季のチーム三振数は12球団ワーストの「537」。チャンスを作りながらも決めきれない打線に対し、SNSでは「三振しすぎ」「あまりに無策」「進塁打すら打てない」「三振連発して負けた」「得点圏で何も起こらない」など厳しい声が相次いでいる。 チャンスを作りながらも三振で潰す展開は、今季の低迷を象徴するような内容。中日はこれで2連敗、交流戦の5年連続負け越しも決定した。 13日（土）には今季初登板の松葉が先発予定。苦しいチーム状況の中、ベテラン左腕が流れを変える投球を見せられるか。そして何より、打線が意地を見せられるか。 スポーティングニュース,[],[]
ハムを圧倒、中日ドラ3右腕は「凄い投手になるぞ」「やっぱ逸材」…うなる剛球「未来への希望」（スポーティングニュース日本版）,https://news.yahoo.co.jp/articles/89215dc063e4bc041971e7fef236bc07d0ec4715,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260613-00010002-sporting-000-1-view.jpg?exp=10800,2026-06-13T06:10:37+09:00,2026-06-13T06:10:37+09:00,スポーティングニュース日本版,sporting,スポーティングニュース,788,193センチ、105キロの篠崎国忠…1回を3人でピシャリ 中日・篠崎（時事通信） 期待のドラ3ルーキーにファンも興奮を隠せない。中日の篠崎国忠投手は12日、エスコンフィールド北海道で行われた日本ハム戦の8回に登板。最速155キロの直球を軸に3者凡退に封じた。試合は1-3で敗れたものの、新人右腕の快投にドラ党は騒然。「未来への希望あふれる」「やっぱ逸材やな」と称賛の声が上がっている。 深夜に屋上で1000スイング、女子から“あらぬ疑い”…元オリ外野手、壮絶な打者転向 2点ビハインドの8回に4番手でマウンドへ。まずは細川凌平内野手を152キロの直球で空振り三振に仕留めた。続く万波中正外野手は直球で遊ゴロ。清宮幸太郎内野手に対しては初球の155キロ直球で見逃しストライクを奪い、3球目のフォークで一ゴロに封じ込めた。 両リーグ最多の72本塁打を誇る強力打線を相手に、14球で3者凡退。193センチ、105キロの恵まれた体格から投げ込む威力十分の直球を中心に高いポテンシャルを示した。 修徳高から四国アイランドリーグの徳島に入団。直球は最速158キロをマークするまで成長し、2025年ドラフト3位指名を受けて中日に入団した。 今季は今月3日のソフトバンク戦でプロ初登板。2/3回を投げて1三振を奪う上々のプロデビューを飾った。この日が3試合目の登板。いずれも短いイニングながら、計2回2/3で3奪三振と高い能力を見せつけている。 試合には敗れたものの、最下位から逆襲を期す中で期待のルーキー右腕が躍動しファンは騒然。「えっぐいな」「おおおおお！」「ポテンシャルがエグい」「凄い投手になるぞ」「真っすぐ力ありすぎやろ」「中日の希望すぎる」「成長してる」「かなり良さそう」「松山みたいになってくれたら」「松山系だよな」「良すぎる」といったコメントが並んだ。 スポーティングニュース,[],[]
最速40敗、ファンも中日を「嫌いになりそう」…屈辱13三振「いい加減にしろ」「いよいよ」（スポーティングニュース日本版）,https://news.yahoo.co.jp/articles/34176645c0e8a0d67a837e0dfc36bdb7a4da4348,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260613-00010001-sporting-000-1-view.jpg?exp=10800,2026-06-13T05:50:17+09:00,2026-06-13T05:50:17+09:00,スポーティングニュース日本版,sporting,スポーティングニュース,697,日本ハムに1-3で敗れ2連敗…今季ワースト借金19 中日・井上監督（時事通信） 浮上の兆しが見えない。中日は12日、エスコンフィールド北海道で日本ハムと対戦。1点を追う5回に相手のミスで同点に追いついたものの、直後に2失点して1-3で敗れた。セ・リーグ最下位に沈む中、両リーグ最速で40敗に到達。SNS上では「本当に弱すぎる」「嫌いになりそう」と嘆く声が上がっている。 深夜に屋上で1000スイング、女子から“あらぬ疑い”…元オリ外野手、壮絶な打者転向 先発の柳裕也投手が初回1死一、三塁のピンチを招き、内野ゴロの間に1失点。先制を許したが2回以降は立ち直った。打線は5回2死一、三塁の好機を築き、細野晴希投手の暴投で同点に追いついた。 だがその裏、柳が2失点。再びリードを許すと、打線に反撃する力はなかった。細野に11三振を喫するなど計13三振。7安打を放ちながらつながらず、1得点に終わった。 交流戦は4連勝スタートを切りながら、ここまで6勝10敗。負け越しが決まった。シーズンを通しても21勝40敗1分けとなり、借金20の大台が迫る。 ファンからは「交流戦が始まった時の勢いを思い出して」「今年は試合を見なくなるやろな」「いい加減にしろ」「借金地獄」「また負けたんか」「マジで重症」「楽しみを見つけるのが難しい」「いよいよ借金20目前」と厳しいコメントが並ぶ。 救いは5位・広島とは2.5ゲーム差、4位・DeNAとも4.5ゲーム差と、大きくは離されていないこと。僅差の試合を落とす展開が続いており、まずは最下位脱出に向けてきっかけをつかみ、逆襲に転じたいところだ。 スポーティングニュース,[],[]
【W杯】カナダラウンド初ゴールはボスニアFWルキッチ CKからヘディング弾（スポーティングニュース日本版）,https://news.yahoo.co.jp/articles/d38555ed4596282fab817d3951d07b60af29b24d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260613-00010000-sporting-000-3-view.jpg?exp=10800,2026-06-13T04:46:33+09:00,2026-06-13T04:49:29+09:00,スポーティングニュース日本版,sporting,スポーティングニュース,323,Getty Images 6月13日（土）午前4時（日本時間）、2026年北中米サッカーW杯予選グループ第1節がトロント・スタジアム（カナダ）で行われた。 【動画】2026年W杯カナダラウンドゴール1号はボスニア・ヘルツェゴビナ！CKから最後はFWルキッチ 開催国のひとつであるカナダ代表とボスニア・ヘルツェゴヴィナ代表が対戦。試合序盤、カナダ代表にビッグチャンスが訪れるも決められずにいると、前半21分ボスニア・ヘルツェゴビナ代表がコーナーキックから、FWヨヴォ ルキッチが合わせて先制点を挙げ、このゴールがW杯カナダラウンド第1号となった。 試合は現在、前半40分を経過しボスニア・ヘルツェゴビナ代表が1-0とリードしている。 オザワヨシユキ,[],[]
