headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
旭川地裁　４８歳の男が廷内に乱入「こんな裁判あるか」　女子高校生転落死裁判の判決中に　男を逮捕（HTB北海道ニュース）,https://news.yahoo.co.jp/articles/2ab4a9a519dd123f90136fa508604d5ae750c8b8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260622-00000023-htbv-000-2-view.jpg?exp=10800,2026-06-22T22:47:56+09:00,2026-06-23T00:56:09+09:00,HTB北海道ニュース,htbv,HTB北海道ニュース,316,（写真：HTB北海道ニュース） ２２日旭川地方裁判所で女子高校生を転落させ殺害したなどの罪に問われた 内田梨瑚被告の裁判で廷内に乱入した男が逮捕されました。 建造物侵入の疑いで逮捕されたのは 自称・福岡県北九州市の 自称・配達業 村山 哲志容疑者４８歳です。 村山容疑者は２２日午後３時１０分ごろ、旭川地裁で行われていた裁判で傍聴席から書記官席近くに侵入した疑いがもたれています。 警察によりますと村山容疑者は「こんな裁判あるか」などと叫んでいましたが、すぐに裁判所の職員らに取り押さえられ現行犯逮捕されました。 調べに対し村山容疑者は「求刑に納得が行かず、抗議をするために法廷に入った」と容疑を認めています。 HTB北海道ニュース,[],[]
函館→札幌のタクシー代８万５千円余を払わなかった疑い　札幌の女（45）を逮捕　先月にも同様の手口で逮捕（HTB北海道ニュース）,https://news.yahoo.co.jp/articles/f8437164e21af05f8d93b3d526bed6b7ad6908ff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260622-00000022-htbv-000-4-view.jpg?exp=10800,2026-06-22T20:18:11+09:00,2026-06-22T20:28:09+09:00,HTB北海道ニュース,htbv,HTB北海道ニュース,345,（写真：HTB北海道ニュース） 函館から札幌までのタクシー代８万５４１０円を支払わなかったとして、札幌市北区の無職の女（４５）が、詐欺の疑いで２２日、逮捕されました。 この女は先月、札幌市内でもタクシー代４２００円を支払わなかったとして、逮捕されていました。 警察によりますと、この女は今月５日午後４時ごろ、函館・五稜郭の近くからタクシーに乗り、札幌の自宅まで行くよう、運転手に指示しました。 約４時間半後に自宅近くに着くと、自宅から金を持ってくるなどと話して下車しましたが、代金８万５４１０円を支払いませんでした。 その後、タクシーの運転手から「料金を未払いのまま部屋に入って出てこない」と通報があったということです。 女は「間違いありません」と容疑を認めています。 HTB北海道ニュース,[],[]
内田梨瑚被告に懲役２７年 判決のポイントは？　法廷に男乱入「こんな裁判あるか」（下）（HTB北海道ニュース）,https://news.yahoo.co.jp/articles/1478b089f77fcff7bae3535249757399be0fbc7a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260622-00000021-htbv-000-4-thumb.jpg?exp=10800,2026-06-22T19:34:42+09:00,2026-06-22T19:42:18+09:00,HTB北海道ニュース,htbv,HTB北海道ニュース,2120,HTB北海道ニュース 旭川から中継でした。では、ここからは専門家の解説です。元検事で刑事事件に詳しい、磯部真士（いそべ・しんじ）弁護士にこの時間は解説をお願いします。どうぞ、よろしくお願いいたします。 磯部弁護士 「よろしくお願いいたします」 裁判所は判決、懲役27年を言い渡したんですが、主な争点はこちらです。殺人、そして不同意わいせつ致死について、検察、弁護、双方の主張があります。まずは磯部さん、率直に今回の判決、どうご覧になりましたか？ 磯部弁護士 「すでに宣告されていた共犯者の判決を踏まえると、十分に予想された内容、であると言えます」 なるほど。ということは、特段驚きは磯部さんとしてはなかったということになりますでしょうか？ 磯部弁護士 「その通りです」 はい。そして、今回の裁判のポイントなんですが、こちら2つ、磯部さんに挙げていただきました。 まず、①殺人の実行行為について、そして②内田被告と共犯者の主張の違い、この2つ裁判所はどういう判断を下したかというところを解説いただきたいんですが、まずは1番のこの殺人の実行行為、これはどういうポイントだったんでしょうか？ 磯部弁護士 「今回の事実、について、例えば内田被告人が押して、落として死亡した、ということであれば殺人の実行行為として分かりやすいものになりますが、そのような行為までは起訴していない、ことになります。脅し続けて、最終的に自分の、自分から落ちた、という認定ですけども、それを実行行為と言えるのかどうか、ということが問題ですが、数時間にわたって暴行や脅迫を受けて、その上でこのような橋の欄干に追い詰められて、『死ねや』『落ちろ』ということで追い込まれた状況であれば、そのように脅す、ということ、追い込まれた状況として、もう落ちて死んでしまう、ということは、十分であり得ること」 「押して落とすことと同視できる、ということで実行行為性も認めた。まあ、これは、ある意味、社会常識、にも適（かな）うような判断、ではないかとは思います」 なるほど、そうですね。そして2つ目です、こちら。後ろの画面にもありましたが、内田被告と共犯者の主張の違いについてです。 これはあの今回、裁判員裁判でしたので、裁判員のコメントというのがあります。被告人は多々矛盾するような証言だった、それに比べて共犯者の方が辻褄が合うと判断したとある裁判員は話しているんですが、えー、磯部さん、この②に関しては、どう認め、どういう判断が下されたんでしょうか？ 磯部弁護士 「共犯者の供述というのは、元々慎重に判断しないといけない、というのは、共犯者は、もう一人を引っ張り込んで責任転嫁をすると、自分の罪を軽くしようとする、という傾向があるから、ということになります。ですから今回も、内田被告人が落としたんだと、押して落としたんだ、というところを、まで言う、起訴するんであれば、そこはまさにそこが当てはまることになりますけど、そこは起訴しなかった、検察官としては」 「結局、内田被告人の話が本当であれば、橋から二人で離れた後に落ちた、のにもかかわらず、共犯者の方は、『いやいや私の目の前で、二人の目の前で落ちたんだよ』ということを、自分に不利なことをあえて言っている、それはもう、共犯者としての引っ張り込みの危険ではないじゃないですかと。で、その限度で起訴した」 「それを裁判所としても是認して、その判決を下した。まあ、ある意味、検察官の戦略について、それもスムーズに認められた、という、捉え方ができます」 今回の判決、重さとしては、磯部さんはどう考えますか？ 磯部弁護士 「従来からの裁判傾向からすると、やはり重めの判決ということにはなります」 「ただ、共犯者、の判決が23年ということでありましたから、その時点で、25年を下回るような判決が、内田被告人に下されることはまず考えられない。25から27の間でしょうと。その中では、まあ、重めではありますけど、あり得る、十分にあり得る判決、判断だとは思います」 共犯の女性被告が懲役23年で確定してるじゃないですか。その4年の差っていうのは、ど、具体的にどういう部分で、つけるんですかね？ 磯部弁護士 やはり、今回の構成として、内田被告人がいなければ起きなかった事件だと。で、終始主導していた、というところは、やはりそこはもう、そう認めざるを得ないので、それくらいの差はつけましょう、というのが裁判所の判断、ということになります」 私の手元に判決要旨がありますので、その最後の部分をちょっと読み上げさせていただきます。 被告人は自責の念に基づいた真摯な反省を汲み取ることはできない。そして、前科前歴がないことなど、被告人のために汲むべき事情を考慮しても、被告人に対しては有期懲役刑を選択した場合における最長の刑を科するほか、ないと判断したと裁判所は話しています。 懲役27年に対して求刑も、判決も懲役27年ということでした。 ここまで、元検事でいらっしゃいました、磯部真士弁護士にお話を伺いました。どうもありがとうございました。 HTB北海道ニュース,[],[]
内田梨瑚被告に懲役２７年 判決のポイントは？　法廷に男乱入「こんな裁判あるか」（上）（HTB北海道ニュース）,https://news.yahoo.co.jp/articles/f4ee11f5b668849a86f8d51e84f445d9537051c3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260622-00000020-htbv-000-2-thumb.jpg?exp=10800,2026-06-22T19:33:35+09:00,2026-06-22T19:42:15+09:00,HTB北海道ニュース,htbv,HTB北海道ニュース,1180,HTB北海道ニュース 田中結花裁判長 「主文、被告人を懲役27年の刑に処する」 懲役27年、検察の求刑通りの判決でした。 2年前、17歳の女子高校生が橋から川に転落させられ、およそ1ヶ月後、60km下流で見つかりました。死因は溺水による窒息でした。 起訴状などによりますと、旭川市の内田梨瑚被告（23）は、2024年4月、当時19歳の女と共謀して、留萌市の女子高校生（当時17歳）を車に監禁。旭川市の神居大橋に連れて行き、裸にさせて暴行を加えたうえ、橋から落とし殺害したとして、殺人、不同意わいせつ致死、監禁の罪に問われています。 内田梨瑚被告（先月25日 初公判時） 「私に殺意はありませんでしたし、橋から落下させていません」 内田被告は初公判で、殺人と不同意わいせつ致死について否認しました。 現場にいた2人の主張が食い違っているのは、橋から転落した場面です。これまでの裁判で、証人として出廷した共犯の当時19歳の女は、こう主張しています。 当時19歳の共犯の女（先月27日 証人尋問） 「梨瑚さんは被害者の子の肩甲骨のあたりを、両手のひらで押しました」 当時19歳の女は、女子高校生を2人で押して、欄干の外側に立たせ、「落ちろ」「死ねや」と2人で何度も怒鳴ると、女子高校生は大きく深呼吸をして状態を前に倒し、その背中を内田被告が両手で押したと主張。ロープのようなものにつかまったあと姿が消え、「キャー」という叫び声と、「バン」という何かにぶつかったような鈍い音がしたといいます。 一方で、内田被告は――。 内田被告 「女子高校生は自力で上がってきました。『うち帰るから』と言って車に戻りました」 内田被告は、2人で押すと、女子高校生はロープにつかまり、自力で上がってきたと主張。そのままにして立ち去ると、後ろで「キャー」という声と「バン」という音が聞こえたと話しました。 永山友菜記者 「内田被告への判決を見守ろうと、裁判所の前には一般傍聴席を求めて行列ができています」 今日の判決では、24席の一般傍聴席を求めて、今回の裁判で最も多い市民ら373人が並びました。 旭川市外からの市民 「社会的にも関心の高い事件だと思って。1時間だったら来られる距離だったので、実際に見て、聞いて、聞きたいなと思って来ました」 旭川市民 「同じ（世代の）娘、息子を持っている親として、今日は非常に重要な結果が出るような気がして」 事件から2年。今日の判決で、旭川地裁の田中結花裁判長は――。 田中結花裁判長 「殺人の実行行為に該当すると認められる。女子高校生は被告人らの指示に従わざるを得なかった。残酷で卑劣なもの。動機は極めて自己中心的なものであって、酌量の余地はない。被告人が果たした役割は共犯者よりも大きい」 内田被告に求刑通り、懲役27年の判決を言い渡しました。,[],[]
札幌・西区の人気観光スポット「白い恋人パーク」　１週間限定の衝撃イベント！？（HTB北海道ニュース）,https://news.yahoo.co.jp/articles/9583daf506e37fd7864899b78264a370d6e184bd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260622-00000019-htbv-000-3-thumb.jpg?exp=10800,2026-06-22T19:05:02+09:00,2026-06-22T19:40:06+09:00,HTB北海道ニュース,htbv,HTB北海道ニュース,672,HTB北海道ニュース 札幌市西区の人気観光スポット「白い恋人パーク」。ガーデンエリアでは色とりどりのバラがちょうど見頃を迎え、多くの観光客でにぎわっています。 そんななか始まったのが「サンキューフェスティバル２０２６」。来館者に日ごろの感謝を伝えようと、今週の土曜・日曜（２７・２８日）は道民の入館料が無料。 また、お菓子まきや高校生による書道パフォーマンスなどが行われます。 そして、目玉のイベントが… 安原依里記者 「白い恋人をはじめ、石屋のお菓子がずらりと並んでいます。なんとこちらがすべて食べ放題なんです。夢のようですね」 館内にあるカフェでは、１週間限定でＩＳＨＩＹＡのお菓子が５０分間食べ放題というプランが登場。 白い恋人や「サク ラング・ド・シャ」など、お土産として人気の焼き菓子およそ２０種類を、好きなだけ手に取って食べられるほか、白い恋人ロールケーキなどの生菓子やドリンクもいただけます。 札幌市民 「結構食べてます」 「普段けちけち食べるのでめちゃくちゃ幸せです」「色々種類あるの知らなかったんで、今回知れて楽しい」 「おいしいです！すごいおいしい！甘すぎない、いくらでも食べられそうです」 「夢ある（体験）って思って。おいしい」 （まだまだ食べれますか？） 「もう１周いきたい」 食べ放題プランは公式ホームページでの事前予約制で、週末はすでに満席だということですが、平日はまだ若干空きがあり、当日受付も一部行っているということです。 白い恋人パークのサンキューフェスティバルは、２８日まで行われます。 HTB北海道ニュース,[],[]
新たなイメージ図を公開！ バスケ・レバンガ北海道の小川オーナー、新アリーナ候補地を４カ所に絞る（HTB北海道ニュース）,https://news.yahoo.co.jp/articles/90a53c52f76c8afaed258e0d0d674b2e49c5771e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260622-00000018-htbv-000-4-thumb.jpg?exp=10800,2026-06-22T19:01:14+09:00,2026-06-22T19:58:05+09:00,HTB北海道ニュース,htbv,HTB北海道ニュース,1525,HTB北海道ニュース 新たなイメージ図も公開です！ バスケットボールＢリーグ１部レバンガ北海道の小川嶺オーナーが、新アリーナの構想について建設候補地を４カ所に絞ったことを明らかにしました。 札幌市の秋元市長を表敬訪問したのは、去年６月にレバンガ北海道のオーナーに就任した、アルバイトアプリの大手タイミーの創業者で代表取締役を務めている小川嶺さんです。 レバンガ北海道は直前のシーズンで、富永啓生選手などスター選手の獲得により、クラブ史上最高成績の東地区５位となり、売り上げも前のシーズンに比べておよそ１・５倍の２３億円を記録しました。 現在、レバンガ北海道のホームアリーナは豊平区の北海きたえーるですが、今年の９月から開幕するＢプレミアへの参入に合わせて小川オーナーは、去年６月に新アリーナの構想について明らかにしました。 座席数はおよそ１万席、飲食店やホテルなどが集約される複合施設を目指しているということです。 中央区の中島公園や南区の真駒内公園、東区のＪＲ苗穂工場など計４カ所を候補に挙げ、小川オーナーは今年度中にアリーナの建設地を固めたいと話しました。 小川嶺オーナー 「日本中から北海道、そして世界中から北海道に人が訪れるという環境づくりをしたいなと思っているので、そういう環境をつくれる場所をしっかりと選びたいと思ってまして」 「必ずまず実現をするところにフォーカスをしていきたいというふうに思っています」 スタジオで地図を見ていきましょう。これまでにもありました『JR苗穂工場』と『中島公園』に加えて、『真駒内（まこまない）公園』という話も出てきて、もう1カ所「非公表」の1カ所を加えた、4カ所を想定しているということなんです。どこなんでしょうかね、非公表のところは。 そして新たなリーグ『Bプレミア』ですが、参入するにはホームアリーナの条件が決まっています。 客席数：5000席以上（レバンガは1万席を目指しています） スイートルーム（個室もあると） ラウンジスペース（試合の前後で、食事やお酒を楽しめるスペースだということなんですね） そしてイメージ図ですが、改めて見ていきましょう。次の画面です。 …巨大ですね！ 建物の屋上には、運動場のような芝生があったり、 スケボー場も！ キッチンカーもいっぱい来ています。『レバンガ』カラーの「緑」があふれているな、なんて私は思います。 そして右側は、ちょっと都会にあるのかもしれません。 ショッピング＆ダイニング、レストランなどもあって、カフェもあって、人が集まりそうな広場もあります。大野さん、これはワクワクしますね。 もうワクワクが止まらないですし、ちょっと海外っぽい雰囲気もありますよね。もしかしたら、大喜さん、ここで実況するかもしれません。 いやあ、それが、もうワクワク止まらないですね。急になんかこう、早く見たいな、完成形をって思ってきますね。 このイメージ図を見てると、「中島公園っぽいな」とか「街中っぽいな」なんていう… 背景のね、背景のあのぼやっとしたところを、今薄目でちょっと見てみたんですけどね。中島公園から北側にある、この街中見てるのか、でも『真駒内公園』から北側を見ても、ある感じにもあるなと思ったり。で、『苗穂（なえぼ）』やったら、この都会的な感じなのかな、ちょっと背の高いビルもありますしね。まあ、どこになったとしても、ああ、すごいものができるんだなっていう話にはなりますね。 小川オーナーですが、今年度中に場所を決めて、その後、5年から7年以内での開業を目指すということです。2032年から34年くらいになるんでしょうかね、楽しみです。 HTB北海道ニュース,[],[]
６５歳以上を対象にした交通安全教室開催　去年の交通死亡事故の４割占める（HTB北海道ニュース）,https://news.yahoo.co.jp/articles/66ba3fc60597f47811a07c863e238277207c8c92,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260622-00000017-htbv-000-3-thumb.jpg?exp=10800,2026-06-22T18:59:41+09:00,2026-06-22T19:11:12+09:00,HTB北海道ニュース,htbv,HTB北海道ニュース,193,HTB北海道ニュース 高齢ドライバーがＶＲゴーグルなどを使った安全教室に参加しました。 （２２日）札幌市東区で、６５歳以上を対象にした交通安全教室が開かれ、ＶＲゴーグルや運転シミュレーターで、左折時の巻き込みやスマホなどの「ながら運転」の危なさを体験しました。 道警によりますと、去年、道内で起きた交通死亡事故のうち、およそ４０％が高齢ドライバーによるものでした。 HTB北海道ニュース,[],[]
衆院選の「一票の格差」訴訟　道１区も「合憲」と判断　「合理性を欠くとは言えない」札幌高裁（HTB北海道ニュース）,https://news.yahoo.co.jp/articles/d724f155c1e73c6a5e3cb1b52ad5775e886c1a6f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260622-00000016-htbv-000-3-thumb.jpg?exp=10800,2026-06-22T18:59:03+09:00,2026-06-22T19:59:08+09:00,HTB北海道ニュース,htbv,HTB北海道ニュース,198,HTB北海道ニュース 今年２月の衆院選で、道１区と鳥取１区の格差が２倍以上に広がり憲法違反にあたるとされていた裁判で、札幌高裁は（２２日）「合憲」として、訴えを退けました。 札幌高裁は、「定数を増やさないことが、国会に与えられた裁量権の行使として合理性を欠くとは言えない」としています。 札幌高裁はすでに、道２区と３区についても先月、同様に合憲と判断し、訴えを退けています。 HTB北海道ニュース,[],[]
函館市の競輪事業部職員が売上金約１６０万円をだまし取った事件、懲戒免職に　大泉潤市長が謝罪（HTB北海道ニュース）,https://news.yahoo.co.jp/articles/1799f33c2e598b4414d9f5294799040e9ed3b338,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260622-00000015-htbv-000-3-thumb.jpg?exp=10800,2026-06-22T18:58:25+09:00,2026-06-22T19:11:17+09:00,HTB北海道ニュース,htbv,HTB北海道ニュース,191,HTB北海道ニュース 函館市の大泉潤市長が、職員の不祥事を謝罪です。 今月８日、函館市の競輪事業部の職員が、売上金およそ１６０万円をだまし取ったとして逮捕された事件で、大泉市長は、逮捕された職員を懲戒免職にしたと（２２日）発表しました。 監督責任者として、自身と、担当する副市長の給料を１か月間、１０分の１を減額します。 また直属の上司の処分も検討しています。 HTB北海道ニュース,[],[]
旭川地裁で中年の男が廷内に乱入「こんな裁判あるか」　女子高校生転落死裁判の判決中に　裁判は一時休廷（HTB北海道ニュース）,https://news.yahoo.co.jp/articles/423e54aaa93399454c5bfffd4aba284fe3b52155,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260622-00000014-htbv-000-4-thumb.jpg?exp=10800,2026-06-22T17:41:03+09:00,2026-06-22T18:53:07+09:00,HTB北海道ニュース,htbv,HTB北海道ニュース,305,HTB北海道ニュース きょう（２２日）午後、旭川地方裁判所で、女子高校生を転落させ殺害したなどの罪に問われた内田梨瑚被告の裁判で、男が廷内に乱入し、裁判が一時休廷しました。 午後３時１０分頃、旭川地裁で行われていた裁判で、主文が言い渡された後に、５０代から６０代とみられる男が突然、廷内に入り込み、傍聴席から書記官席近くに侵入しました。 男は「こんな裁判あるか」などと叫んでいましたが、すぐに裁判所の職員らに取り押さえられ、現行犯逮捕されました。 けが人はいませんでしたが、この影響で一時休廷するなど、裁判の進行に影響が出ました。 警察は、現行犯逮捕した男の動機などについて調べています。 HTB北海道ニュース,[],[]
