headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「数カ月に一度のペースで」早期利上げ検討求める声　日銀6月会合の主な意見を公表（テレビ朝日系（ANN））,https://news.yahoo.co.jp/articles/bcf4eb0f1c78a3230ddea58956fd24f0ffc818c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000108-ann-000-2-thumb.jpg?exp=10800,2026-06-24T23:57:42+09:00,2026-06-25T00:08:31+09:00,テレビ朝日系（ANN）,ann,テレビ朝日系（ANN）,335,"All Nippon NewsNetwork(ANN)
日本銀行は今月の金融政策決定会合で出た主な意見を公表しました。今後について追加の利上げを検討すべきとの意見が複数出ていたことが分かりました。

　日銀は今月、政策金利である短期金利の誘導目標を31年ぶりの高水準となる1％程度に引き上げることを決めました。

　会合では多くの委員から物価の上昇を懸念する声が上がり、今後原油価格が下がった場合も「物価の上振れに広がりが生じる蓋然性（がいぜんせい）が高い」と指摘する意見もあったということです。

　今後の金融政策については、「可能な限り早く中立金利に近付けていく必要がある」「数カ月に一度のペースで」など早期の追加利上げを検討すべきとの意見が出ています。
テレビ朝日",[],[]
ホルムズ海峡“1.1万人超の避難計画”IMOが発表　すでに複数の船が通過　ロイター報道（テレビ朝日系（ANN））,https://news.yahoo.co.jp/articles/97e278c949eb19b8c791d83fbf701cef9ccef81e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000109-ann-000-2-thumb.jpg?exp=10800,2026-06-24T23:55:59+09:00,2026-06-25T00:08:37+09:00,テレビ朝日系（ANN）,ann,テレビ朝日系（ANN）,479,"All Nippon NewsNetwork(ANN)
IMO（国際海事機関）はホルムズ海峡周辺に取り残されている1万1000人以上の船員の避難計画を開始すると発表しました。

　IMOのドミンゲス事務局長は23日、声明を発表しホルムズ海峡の周辺に取り残されている船員を避難させる計画を開始すると明らかにしました。

　この海域には1万1000人以上の船員が取り残されていて、計画はイランやオマーン、アメリカのほか、海運業界などとも緊密に連携して実施されるとしています。

　ロイター通信はIMO報道官の話として、この計画に基づいて複数の船舶が海峡を通過したと伝えています。

　また、船舶の追跡データから少なくとも35隻が通過のために準備を進めているとしています。

　オマーン国防省も23日、IMOと提携しホルムズ海峡を船舶が安全に通航できる「一時的な海上回廊を提供する」と発表しました。

　「航行の安全確保が最優先事項だ」としたうえで、衝突リスクが依然として高い現在の状況を踏まえ、「船舶を段階的に避難させる必要がある」と強調しています。
テレビ朝日",[],[]
財源は『P』？消費減税“2年で約9兆円”確保は…どうなる消費税減税議論（テレビ朝日系（ANN））,https://news.yahoo.co.jp/articles/886b3362de6fabeb81e9ec471b672efbaa431d77,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-90193647-ann-000-2-view.jpg?exp=10800,2026-06-24T23:51:16+09:00,2026-06-25T01:09:15+09:00,テレビ朝日系（ANN）,ann,テレビ朝日系（ANN）,1312,"財源は『P』？消費減税“2年で約9兆円”確保は…どうなる消費税減税議論
食料品の消費減税をめぐり、超党派の『国民会議』の実務者会議が開かれ、中間とりまとめ案が示されました。
【画像】財源は『P』?
議論になっているのは、食料品消費税の実質0％案。

来年の4月1日から2年間に限って、食料品の税率を1％に引き下げます。そのうえで、1％分の6000億円を原資にして、来年の秋ごろに中・低所得者を対象にした給付を行うというものです。
高市総理も了承しているというこの案について、野党側には“不意打ち”と受け止める向きもあります。

国民民主党　玉木雄一郎代表
「極めて唐突に出てきたということは否めないので、聞く耳を全く持たずに、突っ走ることになったら、我々としては、当然、賛成できないし、席を立つかどうかというのはあるが、ちょっと腰は浮いてしまう」

24日の会議で提示された中間とりまとめ案。肝心の財源をどうするのかに注目が集まっていました。ところが。

公明党　里見隆治参院議員
「財源について、これも大事なポイントですが『P』と」

中道改革連合　赤羽一嘉税調会長
「一番、大事な財源が『P』になっていたことについては、小野寺議長もこんな『P』で議論が進まないということを、自分自身も思っていると」

日本維新の会　梅村聡税調会長
「財源の部分は『P』という形で」

『P』、すなわち財源はペンディング。一時先送りを意味するワードで、中身については書かれていません。
そもそも、食料品消費税の実質0％案を実現するうえで、前提となるのが財源。2年間で約9兆円が必要とされています。これとは別に、客離れが懸念される外食産業と、収入の減少が想定される農業や漁業関係者を支援するための予算も必要です。

自民党　小野寺五典税調会長
「財源については『P』となっております。現在、経済財政諮問会議などで、予算編成改革の議論を進めている。次回には（財源の）案文を示していきたい」

“財源論”なきとりまとめ案に、野党は。

国民民主党　古川元久税調会長
「とても我々としては、了とすることはできない。検討はしますけれども」

さらに、自民党内の意見集約もこれからです。

自民党閣僚経験者
「赤字国債に頼らない形だと言うが、執行部からは、一度も明確な財源について説明はない」

自民党中堅議員
「この1％って誰が得するの?消費税下げても物価が下がらなければ、まず、そこを批判される。2年後には『戻す』ではなく、『1％から8％への大増税』と言われる。そんなんことでは、選挙なんてとても戦えない」

結論は、次回以降に持ち越されました。

日本保守党　北村晴男参院議員
「『今週中にもう1回開きたい』みたいなことを言ってたが、それには、私含めて、ブーブー言われてましたね。無理でしょって、そんな短期間で党内の意見はまとめられませんという感じ」

中道改革連合　落合貴之衆院議員
「毎回、提示されるものが、ほとんど内容変わっていないので、我々の発言もほとんど同じことを繰り返す。大きく見たら、全然、前に進んでいないような感じ」
テレビ朝日",[],[]
延焼の一因“アーケードと路地”出雲市・明治から続く商店街　火災拡大の理由（テレビ朝日系（ANN））,https://news.yahoo.co.jp/articles/4efbb235ef432674d40f38d6f6e89b74161024ee,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-90193646-ann-000-2-view.jpg?exp=10800,2026-06-24T23:45:30+09:00,2026-06-25T02:03:15+09:00,テレビ朝日系（ANN）,ann,テレビ朝日系（ANN）,2201,"延焼の一因“アーケードと路地”出雲市・明治から続く商店街　火災拡大の理由
23日午後7時半ごろ、島根県出雲市のアーケード商店街『サンロードなかまち』で発生した火災。延焼が食い止められ、鎮圧されたのは、出火から10時間以上経った、24日午前5時45分でした。
【画像】サンロードなかまち
出火直後とみられる映像には、煙が充満するアーケードの中で、放水を続ける消防隊員の姿が映っています。しかし、火は収まる様子を見せません。一夜明け、少し高いところから見ると、炎は、商店街の裏側にある住宅街へと広がっていったことがわかります。
なぜ、火は広がっていったのか
24日未明の映像では、住宅街への放水は、はしご車を伸ばし、建物越しに行っています。この場所ならではの“消火活動の難しさ”がありました。

出雲市消防本部　森山賢次消防長
「密集した木造住宅の多い地域で、消火活動に困難があった。アーケードの屋根が消火活動の障害になっている部分もある。路地が狭かったところが、一番、難しかった」

密集した木造の建物、アーケード、そして、狭い路地。長く続いてきた商店街のつくりそのものが、消火活動を難しくしていました。
この火災で、商店街の一部など、十数軒が焼け、消防団員2人が体調不良を訴え、搬送されました。
市民とともに歩んだ“栄枯盛衰”
『サンロードなかまち』の歩みは、出雲の発展と重なります。
1910年、明治43年。いまの出雲市駅が開業すると、人が集まるようになり、『サンロードなかまち』は形作られていきます。

高度成長期に入ると商店街も波に乗りました。

1961年にはアーケードが整備され、買い物と言えば『サンロードなかまち』。それが、出雲市民の日常だったそうです。

しかし、時代が平成に変わると、店舗数は、ピーク時の3分の1近くまで減少。シャッターを下ろしたままの店も目立つようになります。
ただ、最近は少しずつ変化も生まれていました。

出雲市民
「商店街の若い人が、いろんな努力して、私、びっくりして、子どもが小さいとき以上に人が集まるようになって。イベントを打ったりして、良くなった」

かつての賑わいを取り戻したい。商店街が一体となって取り組み、実を結び始めた矢先に起きた火災でした。
サンロードなかまちで約40年にわたり、飲食店を営んでいた男性。

飲食店を経営する人
「仕事をしていたら『火事だよ』と。そのときには、だいぶ（火が）向こうだった。急に風向きか何かで、火がこっちに入ってきて。消防の方、警察の方が、急いで避難してくれと」

店は、全焼したといいます。再建するのか、すぐに決断することはできません。ただ、今後については、こう話します。

飲食店を経営する人
「この先どうしたらいいのかという感じ。前向きに考えるしかない」

商店街の理事長も取材に対し、8月に行われる年に一度の夏の風物詩『土曜夜市』について、復興に向けた一歩として、「なんとしても開催したい」と話しています。
◆店舗や住宅が密集した商店街は全国にあります。どうやって火災を防げばいいのでしょうか。

出雲市消防本部によりますと、商店街のアーケードに面した店舗などの一角から出火。その後、東側・南側の店舗や住宅に燃え広がり、飲食店など十数軒、3400平方メートルが燃えたといいます。

消火活動は、3方向から行われました。
大通りからはしご車を使い、高所から放水。アーケードの中から、ホースで放水。アーケードから1本入った通りは道幅が2.2メートルと狭く、消防車が入れないため、ホースをつないで放水。一方、南側は、住宅が密集していて、入れるところも少ないため、放水できなかったとのことです。

消防は「建物が隣接していて道が狭いため、片側からしか放水できず、延焼を食い止めるのに時間がかかった。また、木造住宅が多いため、火の回りが早く、アーケードの屋根も建物に水が届く障害になった」といいます。

消防によりますと、発生から丸1日が経過した24日午後7時半に、鎮火を確認したとしています。

◆これまで数々の消火活動にあたってきた元東京消防庁警防部長、佐藤康雄さんに聞きました。

佐藤さんは「通常、隣との間隔を1階は3メートル、2階は5メートル離すと、延焼の危険が少ないといわれている。火災が起きた商店街は、隣と軒下が接しているため、まるで全体が1つの木造建物と同じようなもので、瞬く間に燃えたのでは」といいます。

また、出雲市によりますと、商店街には空き家が点在していたとのことです。

これについても、佐藤さんは「火は、軒先から屋根裏をつたって燃え広がるので、延焼を防ぐためには、屋根裏への放水が基本。空き家や空き店舗が多い場合、施錠されて、雨戸も閉まっていることが多いため、中に入って、屋根裏に放水できず、延焼を防ぐのが難しい」としています。

◆密集した商店街などで、火災の広がりを防ぐためには、どうしたらいいのでしょうか。

佐藤さんは「まずは、住民による初期消火にできるだけ早く取り掛かる。住民一人一人が“延焼しやすい建物街区に暮らしている”と認識し、空き家の位置など、みんなで共有して、自衛のための消防隊を結成するなど、みんなで街を火事から守るという意識作りが必要だ」としています。
テレビ朝日",[],[]
音楽教師「洗濯物を乾かしていた」東京・小学校火事　失火の疑いで捜査（テレビ朝日系（ANN））,https://news.yahoo.co.jp/articles/c99b9703a01b8dca1df09c840219c163c6697dec,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-90193645-ann-000-2-view.jpg?exp=10800,2026-06-24T23:33:15+09:00,2026-06-25T00:33:14+09:00,テレビ朝日系（ANN）,ann,テレビ朝日系（ANN）,475,"音楽教師「洗濯物を乾かしていた」東京・小学校火事　失火の疑いで捜査
児童ら11人が負傷した小学校の火事で、女性教師が火元となった音楽準備室で洗濯物を乾かしていたといった内容の話をしていることが分かりました。
【画像】「洗濯物を乾かしていた」
その女性教師は40代で、音楽を担当していました。警視庁は重要参考人として任意で話を聞き、失火の疑いで捜査を進めています。

女性教師は授業の前、火元となった音楽準備室で「サーキュレーターを使って洗濯物を乾かしていた」と話しています。また、子どもたちや他の先生らを心配するような反省の言葉も述べているといいます。

ただ通常、サーキュレーターを回していただけで衣類は燃えません。警視庁が音楽準備室にあった焼けた電気ストーブを分解した結果、当時ストーブは電気が通った状態で、繊維のようなものが付着していたことが新たに分かりました。実際にストーブのスイッチが入っていたかどうかは明らかにされていません。

また、音楽準備室では、差し込み口が3口はある焼けたテーブルタップも見つかっているということです。
テレビ朝日",[],[]
引っ越し後も家賃払い続け“現場に出入り”も…冷凍庫に切断遺体　元妻逮捕（テレビ朝日系（ANN））,https://news.yahoo.co.jp/articles/ca16840b9d060ec5808baa41ded4b4ce7f4e37c5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-90193644-ann-000-2-view.jpg?exp=10800,2026-06-24T23:27:14+09:00,2026-06-25T01:03:16+09:00,テレビ朝日系（ANN）,ann,テレビ朝日系（ANN）,802,"引っ越し後も家賃払い続け“現場に出入り”も…冷凍庫に切断遺体　元妻逮捕
神戸市で、冷凍庫の中から切断された男性の遺体が見つかった事件。逮捕された元妻は、現場マンションの家賃を払い続け、複数回出入りしていたことが分かりました。
【画像】賃料払い現場に出入り
発覚したきっかけは“異臭”でした。

20日、神戸市のマンションの一室で、西口豊さんの遺体が冷凍庫に入れられた状態で見つかりました。遺体は死後に刃物で切断され、上半身と下半身が別々の袋に入れられていたといいます。
発見当時、冷凍庫の電源は『オン』になっていましたが、部屋の電気は止まった状態に。電気料金が滞納されていた可能性があります。異臭は今年3月頃からあったといいます。

死体遺棄の疑いで逮捕されのは望月亜紀容疑者（50）。西口さんの元妻です。

もともとこのマンションで暮らしていた2人。西口さんが死亡したのは約15年前だったとみられています。離婚届が出されたのは、その1年後でした。

望月容疑者は、このマンションから引っ越した後も家賃を払い続けていて、遺体を遺棄した後も部屋に複数回、出入りしていたと供述しているということです。

地元の不動産会社によると、部屋の家賃はこの辺りの相場で10万円ほど。仮に15年前からだとすれば1800万円ほどを払っていたことになります。

どのような生活を送っていたのか。望月容疑者は、現場から車で10分程度の距離にある、神戸市内の別のマンションで生活していました。以前、隣の部屋に住んでいたという住民は。

望月容疑者と同じマンションの住人
「穏やかというか、きれいな女の人。女の人と旦那さん」
（Q.2人暮らし）
「そう思います。奥さんは三宮で働いていたと思う」

望月容疑者は「私がやったことで間違いありません」と供述していて、西口さんの殺害についてもほのめかしているということです。
テレビ朝日",[],[]
JERA会長 LNG価格高止まり続くとの認識示す　カタールの設備「2～3年では復旧しない」（テレビ朝日系（ANN））,https://news.yahoo.co.jp/articles/6dbc02c9928e33c29bb7e905edcc64c26acaf0a8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2026-06-24T22:52:48+09:00,2026-06-24T23:43:20+09:00,テレビ朝日系（ANN）,ann,テレビ朝日系（ANN）,397,"火力発電最大手のJERAの可児会長はLNG（液化天然ガス）の価格について、今後も高止まりが続くとの認識を示しました。

JERA　可児行夫会長
「カタールがやはりミサイルで攻撃されて設備の復旧が1700万トンぐらい生産設備飛びましたね。完全に破壊されていますので2、3年では復旧しないんじゃないかなという感触はあります。もうちょっとかかるんじゃないかなと」

　LNGを巡っては、世界最大級の産出国のカタールでLNGの施設がイランによるミサイル攻撃の被害を受けています。

　JERAの可児会長は現地関係者の話などから施設の復旧には数年かかるとして、LNG価格は今後も高止まりするとの認識を示しました。

　一方、生成AI向けのデータセンターの建設が相次ぐなか、可児会長は今後の電力供給について「発電所の隣接地でデータセンターの集積モデルができないか今、議論している」と述べました。
テレビ朝日",[],[]
KADOKAWA夏野社長の解任提案を否決　筆頭株主のオアシス「建設的な対話を強く求める」（テレビ朝日系（ANN））,https://news.yahoo.co.jp/articles/94851aab5b7c11d94cc5a78c96a3a4cb7534e8b8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000107-ann-000-2-view.jpg?exp=10800,2026-06-24T22:51:04+09:00,2026-06-24T23:13:02+09:00,テレビ朝日系（ANN）,ann,テレビ朝日系（ANN）,382,"""KADOKAWA夏野社長の解任提案を否決　筆頭株主のオアシス「建設的な対話を強く求める」""
出版大手「KADOKAWA」の株主総会が開かれ、夏野社長の解任を求める株主提案は否決されました。

　KADOKAWAが都内で開いた株主総会には226人の株主が出席し、3時間以上にわたって開かれました。

　筆頭株主の外資系ファンド「オアシス・マネジメント」が業績の低迷などを理由に夏野社長の解任を提案し、議決権行使助言会社2社も賛同していましたが否決されました。

　KADOKAWAは「反対票及び棄権票を含む株主の皆様からのご意見を重く受け止めております」などとコメントを発表しました。

　一方、オアシスは「株主の声を真摯に受け止め、すべてのステークホルダーとの建設的な対話を行うことを強く求めます」などとコメントし、今後の対応を検討するとしています。
テレビ朝日",[],[]
オランダとベルギー訪問の天皇陛下　王室と交流「次の世代への橋渡しもできたのでは」（テレビ朝日系（ANN））,https://news.yahoo.co.jp/articles/9462b2a8c25b5b5c4d57759742b7bf2287a3eb56,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000105-ann-000-4-thumb.jpg?exp=10800,2026-06-24T22:41:30+09:00,2026-06-25T00:08:42+09:00,テレビ朝日系（ANN）,ann,テレビ朝日系（ANN）,475,"All Nippon NewsNetwork(ANN)
オランダとベルギーを公式訪問中の天皇陛下が王室との交流を振り返り、「私たちの世代の交流が深められたのと合わせて次の世代への橋渡しもできたのではないか」と述べられました。

天皇陛下
「今回は国王陛下王妃陛下のみならず、それぞれの国のお子様方ともお会いすることができまして、また親しく話をすることができましたことも大変うれしく思っております」

　同行している記者団から王室との交流について質問を受けた陛下は「私たちの世代でより交流が深められたのと合わせて次の世代への橋渡しもできたのではないか。そういう意味でも大変ありがたく思っている」と述べられました。

　また、オランダで第2次世界大戦の戦没者らに黙祷（もくとう）した際の気持ちを問われると、「過去の歴史から謙虚に学ぶという姿勢が私は非常に大切だと思いますし、そのようなことを行ったうえで未来の良い両国関係が築けていくのではないかと思います」としたうえで、「両親の思いを受け継ぐような形で私の心を込めて拝礼した」と話されました。
テレビ朝日",[],[]
台風7号でJALとANA欠航相次ぐ　山陽新幹線は一部区間に遅れの恐れ（テレビ朝日系（ANN））,https://news.yahoo.co.jp/articles/e949f378312307d0df44df98fb6c9e36648bbdc9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260624-00000106-ann-000-3-view.jpg?exp=10800,2026-06-24T22:41:29+09:00,2026-06-25T00:55:54+09:00,テレビ朝日系（ANN）,ann,テレビ朝日系（ANN）,405,"""台風7号でJALとANA欠航相次ぐ　山陽新幹線は一部区間に遅れの恐れ""
台風7号が沖縄県に接近することを受けて空の便では欠航が相次ぎ、すでに2万人以上の利用者に影響が出ています。

　24日午後8時半時点で、全日空は那覇空港や宮古空港を発着する便について25日は18便、26日は48便、合わせて62便が欠航になったことを発表しました。

　これにより、約1万人に影響が出るということです。

　一方、日本航空は24日午後7時半までに同じく那覇空港や宮古空港などを発着する合わせて62便の欠航を決めました。

　25日は54便、26日は8便が欠航となり、合わせて8123人に影響が出るということです。

　また、JR西日本によりますと、山陽新幹線は沿線での大雨の影響から25日に一部の区間で遅れが発生する恐れがあると発表しました。

　最新の運転状況をホームページで確認するように呼び掛けています。
テレビ朝日",[],[]
