headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【クマ目撃情報】福島市、会津若松市、須賀川市、南会津町で目撃　1日　福島（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/678b56a13752146d65a1ebad8a1c76427fe4b82d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260701-22773301-tuf-000-3-view.jpg?exp=10800,2026-07-01T20:05:24+09:00,2026-07-01T20:08:13+09:00,TUFテレビユー福島,tuf,テレビユー福島,411,テレビユー福島 1日、福島県内では福島市、会津若松市、須賀川市、南会津町でクマが目撃されました。 【会津若松市河東町八田字大野原】 1日午前4時ごろ、そば畑にいるクマ1頭（体長約1メートル）を目撃。 【会津若松市東山町字石山字院内】 1日午前11時10分ごろ、藪から道路に出て来たクマ1頭（体長約80センチメートル）を目撃。 【会津若松市一箕町松長五丁目】 1日午後6時20分ごろ、住宅近くの藪にいるクマ1頭（体長約1メートル）を目撃。 【須賀川市梅田字牛池】 1日午後1時半ごろ、道路上にいるクマ1頭（体長約1メートル）を目撃。 【福島市在庭坂字松原】 1日午後4時20分ごろ、庭塚大橋付近で市道を横断するクマ1頭（体長約1メートル）を目撃。 【南会津町糸沢字陣場】 1日午後4時ごろ、国道121号を横切るクマ1頭（体長約50センチメートル）を目撃。 いずれもこれまでに目立った被害は確認されていません。 テレビユー福島,[],[]
県南地方の「狛犬」が激かわカードに　全9種コンプを目指す夏のパワースポット巡り　福島（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/566cdb322a2d3455b544722d84cebd684d85fbd1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260701-22772480-tuf-000-1-view.jpg?exp=10800,2026-07-01T16:54:17+09:00,2026-07-01T16:54:17+09:00,TUFテレビユー福島,tuf,テレビユー福島,889,テレビユー福島 神社などの前に置かれている狛犬。珍しい狛犬が集まる福島県の県南地方では、これを地域の観光資源として盛り上げようと、カードにして集めるイベントが始まっています。 【写真を見る】県南地方の「狛犬」が激かわカードに 全9種コンプを目指す夏のパワースポット巡り 福島 ■狛犬がかわいいカードに! 空を駆けるような躍動感ある狛犬や、大きく口を開けた愛らしい狛犬。県南地方の神社には、こうした珍しい姿をした狛犬がたくさん残されています。個性豊かな狛犬たちをカードにして集めるイベントが始まり、6月30日、中島村の川田神社で披露されました。カードは全部で9種類あり、狛犬のイラストが描かれています。 30日から始まった第1弾の3枚を手がけたのは、人気クリエイターの「禺吾朗（ぐうごろう）」さんです。川田神社と鮫川村の熊野神社、白河市の鹿島神社の3つの狛犬がポップなイラストで描かれています。 ■歴史を学べる“おしゃべり”カード このカード、もう1つ、ユニークな特長が…。 針山莉奈アナウンサー「川田神社の狛犬カード、表面には可愛い狛犬のイラストが描かれていて、裏面には説明文とQRコードが記載されています」 裏面のQRコードを読み取ると、狛犬の歴史が音声と動画で紹介される「おしゃべり狛犬カード」なんです。県南地方の狛犬をめぐるイベントは今年で3回目となりますが、カードを集める取り組みは、今回が初めてです。 ふくしま県南観光推進協議会事務局・吉田祐人さん「まだまだ（狛犬を）見たことない方もいらっしゃると思うので、地域の方や市外の方、県外の方にも狛犬カードを求めて、9市町村を回って観光してもらえたらなと思う」 カードは対象施設で合計500円以上の買い物をするともらうことができます。この夏は、県南地方のパワースポットを巡って、狛犬を集めてみては、いかがでしょうか。 ▽イベントは第4弾まで予定されていて、それぞれイラストレーターが異なるそうです。さらに、9種類すべて集めると、コンプリートカードがもらえます。すべて出そろうのは、8月中旬ごろということです。 テレビユー福島,[],[]
クマの個体数把握へ、全国調査始まる　県は「特別注意報」継続　福島（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/98f79c0ce12728b3773f931f7fd926f12129d3d2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260701-22772342-tuf-000-2-view.jpg?exp=10800,2026-07-01T16:40:22+09:00,2026-07-01T16:42:18+09:00,TUFテレビユー福島,tuf,テレビユー福島,611,テレビユー福島 相次ぐ目撃や被害を受け、福島県は、中通りと会津に出されている「ツキノワグマ出没特別注意報」を、8月末まで延長することとしました。 県によりますと、今年4月から6月末までの県内のクマの目撃件数は580件で、去年の同じ時期と比べ280件あまり増加しています。けが人は8人に上っていて、福島市では7月2日、市街地で男女4人が相次いで襲われています。 こうした状況を受け、県は、中通りと会津に出されていた「特別注意報」を8月31日まで延長し、浜通りも「注意報」を継続しました。県は、朝と夕方がクマが最も活発に行動する時間帯として、注意を呼びかけています。 ■個体数把握へ 全国調査始まる 一方、環境省は、クマの個体数を把握するため、全国で統一した調査を始めました。調査では、東北と新潟の一部地域におよそ800台のカメラを設置します。カメラの近くにエサを仕かけ、クマが立ち上がった際の胸の模様を撮影して個体を識別し、生息状況を確認するということです。 環境省自然環境局保護管理室・高橋優室長補佐「何頭であればそれぞれの地域で許容できるというか、生息が可能かというところを、地域住民や地域のご意見も合わせて検討した上で、そのためには何頭捕獲しなくていけないのかというところを出していく」 調査は、9月末まで行われ、来年3月にデータを公表する予定で、環境省は、福島県内でも順次、調査を始めるとしています。 テレビユー福島,[],[]
「うちでしか見られない」水族館ならでは“海の生き物”七夕飾り展示　アクアマリンふくしま　福島・いわき市（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/21a50fd8b9e310c7013ab0cd2b50b300f76830d3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260701-22771804-tuf-000-1-view.jpg?exp=10800,2026-07-01T15:09:15+09:00,2026-07-01T15:09:15+09:00,TUFテレビユー福島,tuf,テレビユー福島,542,テレビユー福島 7月7日の七夕を前に、福島県いわき市のアクアマリンふくしまでは、毎年恒例のユニークな七夕飾りがお目見えしました。 【写真を見る】「うちでしか見られない」水族館ならでは“海の生き物”七夕飾り展示 アクアマリンふくしま 福島・いわき市 ゴマフアザラシにシーラカンス、そしてナメダンゴ。アクアマリンふくしまでおなじみの海の生き物たちが並んでいます。いわき市のアクアマリンふくしまでは、1日から水族館の生き物をモチーフにした七夕飾りの展示が始まりました。スタッフやボランティアが手作りしたもので、エントランスホールに高さ5メートルほどの飾り5つが展示されています。訪れた人たちは、水族館ならではのユニークな飾りの写真を撮るなどして楽しんでいました。 ミャンマーからの留学生「きれいでかわいいと思います。とてもかわいいです」 アクアマリンふくしま・西山綾乃さん「当館で研究しているシーラカンスのキャラクターのごんべえの七夕飾りなど、うちでしか見られない七夕飾りがございます。どういった形の生き物か想像しながら楽しんでいただけたらと思います」 アクアマリンふくしまでは、夏休みにあわせて15日から新しい企画展も始まる予定で、七夕飾りは8月2日まで展示されています。 テレビユー福島,[],[]
最高は「郡山駅前通り」路線価公表　県内平均は5年連続上昇も、上昇率は全国平均下回る　福島（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/0b9130c8166337d4e0d2b9c6afbc38b0a30eb478,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260701-22771779-tuf-000-2-thumb.jpg?exp=10800,2026-07-01T15:00:34+09:00,2026-07-01T15:05:24+09:00,TUFテレビユー福島,tuf,テレビユー福島,358,テレビユー福島 相続税などの計算をする際の基準となる土地の価格、いわゆる「路線価」が公表され、福島県内の平均は5年連続で上昇しました。 路線価は、相続税や贈与税の計算をする際の基準となる道路に面した土地1平方メートルあたりの評価額です。県内で最も高かったのは、郡山市駅前1丁目の郡山駅前通りで、1平方メートルあたり34万円と、前の年と比べて3％上昇しました。 また、福島市栄町の福島駅前通りは、1平方メートルあたり20万5000円で、2.5％上昇しました。いわき市平三町目のいわき駅前大通りは、前の年と比べて3.2％上昇した一方、会津若松市中町の神明通りは、前の年よりも1.9％下落しました。 県内の路線価の平均は前の年より1.1％上がり、5年連続で上昇しましたが、上昇率は全国平均を下回っています。 テレビユー福島,[],[]
地酒やうねめ牛も堪能…あさか野花火大会「送迎付き観覧席」がふるさと納税返礼品に　福島・郡山市（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/29da1817e604f1620d05323193fbb83b1767aeb4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260701-22771557-tuf-000-1-view.jpg?exp=10800,2026-07-01T14:27:17+09:00,2026-07-01T14:27:17+09:00,TUFテレビユー福島,tuf,テレビユー福島,399,テレビユー福島 8月14日に福島県郡山市で開かれる「あさか野夏まつり花火大会」で、ふるさと納税の返礼品として、送迎付きの特別観覧席が設けられることになりました。 【写真を見る】地酒やうねめ牛も堪能…あさか野花火大会「送迎付き観覧席」がふるさと納税返礼品に 福島・郡山市 この花火大会は、およそ7000発が打ち上げられ、去年は4万人近い人出がありました。実行委員会によりますと、通常の有料観覧席とは別に、郡山市へのふるさと納税21万円の体験型返礼品として、10組40人分の特別観覧席が設けられます。 この席では、郡山駅から会場までのマイクロバスの送迎、そして、地酒やうねめ牛など、郡山市の食材をふんだんに使ったオードブルがつくということです。ふるさと納税サイトですでに受け付けていて、実行委員会では、今年は須賀川市の釈迦堂川花火大会などがないため、人出が増えるのではと予想しています。 テレビユー福島,[],[]
「見るとやるでは大違い」ウメを収穫したあとは、力いっぱい赤シソ揉んで…郡山市で梅干し作り体験　福島（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/ea597b3888d7663c2a49a0d5295a110d6debf1ca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260701-22771535-tuf-000-2-thumb.jpg?exp=10800,2026-07-01T14:17:16+09:00,2026-07-01T14:38:12+09:00,TUFテレビユー福島,tuf,テレビユー福島,621,テレビユー福島 旬を迎えたウメで梅干しの作り方を学ぶ催しが、福島県郡山市で開かれ、参加者たちは農業への理解を深めました。 【写真を見る】「見るとやるでは大違い」ウメを収穫したあとは、力いっぱい赤シソ揉んで…郡山市で梅干し作り体験 福島 おにぎりの具やお弁当のお供の定番、梅干し。郡山市で6月30日、梅干しづくりを通して、農業への理解を深めてもらう催しが開かれました。集まったのはおよそ30人。漬けるウメも自分たちで収穫します。 参加者「結構大きいのいっぱいある、大きい」 参加者たちは、たわわに実ったウメを袋いっぱいに詰め込み、収穫の喜びを感じていました。 参加者「結構大変ですね。数集まると結構重いです」 Q.どんなウメを狙って取ったんですか? 参加者「きょうは大きなウメを狙って。たくさんウメ採れました」 ■「見るとやるでは大違い」 小枝佳祐記者「午後は会場を移して、梅干しづくりを学びます」 梅干しの味と色のポイントになるのが、赤シソの塩もみ。洗ったシソに塩を振りかけ、よく揉みます。 参加者「力が大変なんだから、これ。見てるのとやるのでは違うんだよね」 そして、ウメに塩をまぶし、10日ほど置いたものに、揉んだシソをのせてじっくり漬け込むと完成です。 参加者「若い方々にも幅広く分かっていただいて、農業の楽しさを分かってもらえればいいかと思います」 梅干しは、およそ3か月後の新米が出回る秋に出来上がるということです。 テレビユー福島,[],[]
「担当者任せにしない」部活動遠征中のバス事故で21人死傷　文科省・国交省が安全対策まとめる（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/977e37e0de628bffa2773242d039e378c73fae22,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260701-22771485-tuf-000-2-thumb.jpg?exp=10800,2026-07-01T13:48:17+09:00,2026-07-01T14:37:13+09:00,TUFテレビユー福島,tuf,テレビユー福島,929,テレビユー福島 今年5月、福島県郡山市の磐越道で、部活動で遠征中の高校生など21人が死傷した事故を受け、文部科学省と国土交通省は、移動時の安全確保対策をまとめました。 【写真を見る】「担当者任せにしない」部活動遠征中のバス事故で21人死傷 文科省・国交省が安全対策まとめる 5月6日、郡山市の磐越道で起きたバス事故では、部活動で新潟県から遠征中の高校生など21人が死傷し、逮捕された運転手・若山哲夫容疑者については、刑事責任能力の有無などを調べる鑑定留置が行われています。 この事故を受けて、文科省と国交省は、部活動の遠征などの安全確保対策をまとめました。対策では、「長距離の移動が必要な場合、地域の実情を踏まえて可能な範囲で公共交通機関の利用を検討すること」を求めています。また、「学校と事業者はそれぞれ契約内容を書面で確認するなど、担当者任せにせず組織として対応すること」などが盛り込まれました。 ■「書面で契約内容を明確化」 今回事故を起こしたバスは「白ナンバー」のレンタカーで、学校とバス会社は事前に見積書や契約書を交わしていなかったということです。文科省と国交省がまとめた安全確保対策では、「学校と事業者が見積書や契約書などの書面で契約内容を明確化し、その書面は保存すること」を求めています。 ■“直接”手配・依頼 適切に契約を また、今回の事故でレンタカーと運転手を手配したのはバス会社の営業担当で、この営業担当は、事故を起こした若山容疑者と面識はなかったということです。さらに、これまでの調べて、若山容疑者は事故の2か月前から自家用車などで5件以上の事故を起こしていたことが分かっています。 対策では「学校が自らの責任で運転手を直接手配するか、事業者などに直接依頼し、適切に契約すること」「運転手が適切な運転免許を持っているか、事故歴・交通違反歴などの懸念事項がないかを事前に確認すること」を求めています。 このほか「移動の車両には教職員や保護者などが同乗することが望ましいため、必要な教職員などを適切に配置すること」などが盛り込まれました。二度と悲惨な事故が起きないよう、今回まとめられた対策の現場への周知徹底が求められます。 テレビユー福島,[],[]
「イオンモール伊達」と市内つなぐ路線バス運行へ　17か所の停留所、1日10往復計画　福島・伊達市（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/268ef55afa433f6d20045cadd62b2d2addbbe9a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260701-22770778-tuf-000-2-thumb.jpg?exp=10800,2026-07-01T12:12:17+09:00,2026-07-01T14:30:34+09:00,TUFテレビユー福島,tuf,テレビユー福島,468,テレビユー福島 福島県伊達市などで作る協議会は、今年下期に開業する予定の大型商業施設へのアクセス向上や地域活性化を目指し、市内を走る新たな路線バスを10月から運行する計画を話し合いました。 ▼【画像を見る】計画されている主な停留所と建設中のイオンモール伊達 今年下期に開業予定の大型商業施設「イオンモール伊達」は、売り場面積が6万2000平方メートルで、イオンモールいわき小名浜を上回る東北最大規模となります。 ■17か所の停留所計画 伊達市などで作る地域公共交通活性化協議会は、新たな人の流れを見据え、イオンモール伊達を運行ルートに組み込むことも視野に、新たな路線バスの運行計画を進めています。路線は、JR伊達駅から保原総合公園までのおよそ12.8キロを結び、伊達駅や阿武隈急行保原駅など17か所に停留所を設ける計画です。 1日10往復の運行を予定していて、東北運輸局の認可を受けたうえで、今年10月1日に運行を開始する予定です。運賃については、福島交通のほかの路線とのバランスを考慮し、今後審議されるということです。 テレビユー福島,[],[]
「明日も来たい!」MEGA盛り、270円弁当で早くも虜に…福島市にMEGAドンキ　駅東西の街づくりはどうなる?（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/c685aec377e2a1d520024d9800eb00c393575211,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260701-22770735-tuf-000-3-thumb.jpg?exp=10800,2026-07-01T12:04:12+09:00,2026-07-01T14:30:34+09:00,TUFテレビユー福島,tuf,テレビユー福島,852,テレビユー福島 ずらっとできた長い列、その数およそ300人。6月30日にオープンした「MEGAドン・キホーテMAXふくしま店」です。JR福島駅近くの商業施設「MAXふくしま」の1階と2階部分で営業しています。 ▼【画像を見る】MEGA盛り、270円弁当…店内に並ぶ品々 地元の人「盛り上がっているなと思ってきた。生鮮食品がめっちゃ安くて、それを見てみようかな」 30日は、午前9時のオープン前から多くのお客さんが訪れ、にぎわいを見せていました。県内で3店舗目となるこちらの「MEGAドン・キホーテ」には、日用品や食料品など約6万点の商品を取り揃えています。1階部分を覗いてみると…。 平岡沙理アナウンサー「ヒラメに真ダイ、さらには大量の銀鮭。海鮮コーナーがかなり充実しています」 福島市は塩鮭の消費量が全国3位ということから、ラインナップを充実させているそうです。 ■売りは“地産地消” 270円弁当も 店の生鮮食品コーナーの売りは、「地産地消」。県産のモモやトマトなど、地元の農産物が勢揃いです。中にはMEGA盛りという大容量パックまで。およそ750グラムのピーマンが、なんと431円。お財布に優しい価格設定となっています。 そのほか、県内で飼育された福島のブランド牛「福来牛」や、ドン・キホーテオリジナルの「ニコプラ丼」。二コプラ丼のお値段は、衝撃価格の270円です。 地元の人「午前6時から（並んでいる）。だいぶ印象は前の店舗より変わった。これはこれでいいかなっていう。あとは活気も付くだろうし、この辺も」 地元の人「肉と魚と野菜とか（買った）。お買い得だったと思います」 また、2階には県内のドン・キホーテ初となる男性向けのコスメコーナーや、「キビタン」や「ももりん」との限定コラボグッズも販売されていて、お客さんの期待も高まります。 伊達市から来た人「お菓子も安くてびっくりしました。コスメコーナーとかいっぱいコスメがあって楽しかったので、これを買ったらもう1回行こうと思います。明日も来たい」,[],[]
