headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【エビアン選手権】岩井明愛、メジャー初優勝逃し涙も「諦めずに優勝を狙っていきたい」（スポニチアネックス）,https://news.yahoo.co.jp/articles/efcd80012b014a3f8d65c7d2d99d3c52a5ab3c9f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000414-spnannex-000-3-view.jpg?exp=10800,2026-07-12T23:46:51+09:00,2026-07-12T23:48:22+09:00,スポニチアネックス,spnannex,スポニチアネックス,775,"1番、ティーショットを放つ岩井明愛（AP）
◇米女子ゴルフツアー　エビアン選手権最終日（2026年7月12日　フランス　エビアン・リゾートGC＝6479ヤード、パー71）

　メジャー第4戦の最終ラウンドが行われ、3打差の2位から出た岩井明愛（24＝Honda）は5バーディー、1ボギー、1ダブルボギーの69で回り、通算18アンダーの3位だった。プレーオフ進出に1打及ばず、メジャー初優勝はならなかった。

　プレー後、インタビューに応じた岩井明は涙声でコメント。1問1答は以下の通り。

　――最後まで素晴らしい戦いだった。

　「本当にたくさんのゴルフファンのいる中でラウンドできて、しかもメジャー大会でいい雰囲気の中でラウンドできて、凄く楽しかった。同じ組のユ・ヘランブルック（ヘンダーソン）が凄くいいプレーをしていて勉強になった。諦めずに今シーズン優勝狙っていきたいと改めて思った」

　――終盤の戦いが素晴らしかった。

　「プレッシャーもありつつ、気持ちをコントロールできていた。今週は得たものが大きいなと思う」

　――得たものは？

　「秘密にします。教えたくないので。悔しかったけど、少しでも大会を盛り上げられたかなとは思う」

　――まだメジャーが続くし、スコットランド・オープンもある。来週はどう過ごす？

　「来週ロンドンに行くけど、みんなで楽しくラウンドする予定もあるし、観光する予定ある。気持ち途切れず、リフレッシュしながら練習したい」

　――最後にファンにメッセージを。

　「日本から応援してくれてる方は時間が違うと思うけど、オンタイムで見てくれてた方もいると思うので、ありがとうございます。少しでもチャンスあると思ってもらえたかな。楽しんでもらえたらいい。今シーズンまだ試合も残ってるので、また優勝目指して頑張る」",[],[]
【スターダム】沙弥様、渡辺、Sキッドがバチバチ！沙弥様「赤いベルトを取り戻す」渡辺「史上初の連覇だ」（スポニチアネックス）,https://news.yahoo.co.jp/articles/0bc723e5b1c927af750132f18b645a37e6be014a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000413-spnannex-000-3-view.jpg?exp=10800,2026-07-12T23:43:10+09:00,2026-07-12T23:45:16+09:00,スポニチアネックス,spnannex,スポニチアネックス,1410,"18日に開幕するスターダム「5★STAR　GP2026」の会見したBLUE　STARS―Bの上谷（右）はスターライト・キッドとの開幕戦を意識する
女子プロレスのスターダムは12日、都内で「STARDOM　5★STAR　GP2026」（18日、EBARA　WAVE　アリーナおおた）の会見を行った。

　BLUE　STARS―Bは5年連続5度目の羽南、3年連続3度目の水森由菜、2年連続4度目の壮麗亜美、7年連続7度目のスターライト・キッド、2年ぶり5度目のコグマ、昨年優勝者で9年連続10度目の渡辺桃、7年連続7度目の上谷沙弥、初出場の古沢稀杏が参加。

　ワンダー・オブ・スターダムの王者の羽南は「今年はシンデレラトーナメントで優勝している。今年2つ目のシングルのリーグ戦、5★STARを制覇してシングル制覇する羽南になりたい。このブロックにはこの白いベルトの歴代王者が3人もいる。現王者の私が一番強いことを証明したいと思います」と白い王者の意地を見せていた。

　水森はいきなり立ち上がると壇上で転ぶ。すると「私、真のスーパーガールになる」と映画が見たいのか、スーパーガールをアピール。続けて「初戦の相手は渡辺桃。一緒に行かない」と全員を誘う。6人に断られて、最後に羽南が「いいんですか。いきたいです」と行くことになった。

　壮麗は「ブロックを見ると私が長期欠場のメンバーがいる。リベンジになる。昨年はトーナメントで渡辺桃に負けてしまった。シングルを大事に戦ってベルトにつなげたい。頑張ります」と意気込む。

　Sキッドは「今年の5★STARは優勝した先に見える狙うべき明確な目標を持って挑みたい。私はスターダムの中心に立ちたい。強敵ぞろいの5★STAR　GPで絶対に一番に輝きたい。欲深きホワイトタイガー、今年こそは初優勝獲りにいきます」と優勝宣言。続けて「初戦は上谷。今回は絶対に私が勝つ」と28日の上谷との初戦を意識していた。

　コグマは「久しぶりに5★STARで（クマを）グループもやらない人ばかり。やらない人も多いけど優勝を狙っていくので」と控えめ。

　HATE軍で前年優勝の渡辺は「目標は2つ。史上初の2連覇、私以外2連覇できるやついないでしょ。そして、上谷沙弥に勝つこと。まあ、お前が赤いベルトを獲ったことのないやつだといったけど、5★STAR優勝してないだろ。5★STAR優勝してみろよ」と上谷への宣戦布告した。これに上谷は「赤いベルト、いや沙弥様のものである赤いベルトを落として、早3カ月。いまいったい赤いベルトのレンタル料金はいくらになっているのでしょうか。5★STAR　GPは私自身7度目の参加なので、今年こそは絶対に優勝してあの赤いベルトを沙弥様のもとに取り戻してやるよ。そして、渡辺桃、2連覇？笑わせんじゃないよ。この前もいろいろいってたけど、勝てばいいとか言ってたけど、当日、沙弥様に負けて、ここにいるやつらに笑われないように気をつけなね」と挑発。返す刀でSキッドに「開幕戦Sキッド、こんな早々、再戦ができるなんて思ってなかったけど、あの日、もう一度やりたいと言ったのは間違いなく私だから、楽しみにしてるよ」とSキッドをにらみつけた。

　予選から勝ち上がった古沢は「今、2回勝っています。1番の新人ですが、自信を持って5★STAR　GPを戦いたいと思います」と謙虚にあいさつした。",[],[]
【伊東競輪　F1ワールドシリーズ】太田海也が会心のV　連日の強豪外国人完封劇「自信になった」（スポニチアネックス）,https://news.yahoo.co.jp/articles/0b320a5f0ace49165e3cdeb3bd3ba8cf20bf2165,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000412-spnannex-000-3-view.jpg?exp=10800,2026-07-12T23:40:50+09:00,2026-07-12T23:45:13+09:00,スポニチアネックス,spnannex,スポニチアネックス,336,"太田海也
伊東競輪場のF1「競輪ワールドシリーズ」は最終日。12RでS級決勝が行われ、太田海也（26＝岡山）が快勝、Vをもぎ取った。

　西の4車をけん引した太田。勝負どころで深谷知広が迫ったが、太田の凄まじいスピードに根負けして深谷は後退。直線では番手から松浦悠士、リチャードソンも外から飛んできたが太田が逃げ切った。

　まさにワールドクラスの勝ちっぷり。太田は「外国人勢、そして地元の深谷さんに勝てて自信になった。（外国人相手に勝ったのは）日本の競輪で長く走っていることがいい方に出たのでは。もし、前を取れたら強気の策でいこうと考えていた」と明かした。

　強気の攻めで2日目はトゥルーマン、最終日はリチャードソンを完封した太田。世界に挑む男はお立ち台で胸を張った。",[],[]
小日向文世　北川景子から激怒されたのは“冤罪”　自身で確認、木村拓哉が「膨らましてるじゃん！」（スポニチアネックス）,https://news.yahoo.co.jp/articles/0c270c976b17c77257f76c51ce1991412da572e9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000411-spnannex-000-4-view.jpg?exp=10800,2026-07-12T23:14:47+09:00,2026-07-12T23:25:52+09:00,スポニチアネックス,spnannex,スポニチアネックス,613,"小日向文世
俳優の小日向文世（72）が12日放送のTBS系「日曜の初耳学」2時間SPに出演。共演の俳優・北川景子（39）から激怒されたのは“冤罪（えんざい）”だったと力説した。
【写真あり】「30代の頃から一緒」俳優と“激レア”2ショ
2人は2014年放送のフジテレビ系ドラマ「HERO」の第2シーズンで共演。小日向は「その時にDAIGOさんと付き合っていて、スクープされて、いよいよ結婚か!?みたいな情報が出たんですよね。ああっと思って、DAIGOちゃんの名前を出すのは悪いから、“景子ちゃん”」と言いながら、DAIGOのウィッシュポーズをしたという。

　小日向は「北川景子さんがムッとしたとは思っていないの。これっぽっちも」と言い訳し、主演の木村拓哉の話として「僕が入って来て“景子ちゃんウィッシュ、ウィッシュ”って言ったらしいんですよ。僕はそう言っていないと思う。そうしたら北川さんが“そうだよ”とかってムッとして言ったっていうんだけど。、僕は全然北川さんがムッとしたって印象はなかったけど、それから木村君はずっとそれを言い続けているわけですよ」と明かした。

　そのため先日、北川と朝ドラで共演した時に「聞いてみようと思って、確認したんですよ。“ムッとした？”って聞いたら“そんなことないよ”って言っていたから、だから木村君が膨らましてるじゃん！」と“冤罪だった”と力説。「ここではっきり言いたい」とうなずいていた。",[],[]
【下関ボート　ミッドナイトボートレース】尾上雅也　「今年はいいペースでこられている」（スポニチアネックス）,https://news.yahoo.co.jp/articles/b44ef5b2aee878fb6e67e55836d7cfc934418317,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000410-spnannex-000-3-view.jpg?exp=10800,2026-07-12T23:14:40+09:00,2026-07-12T23:16:32+09:00,スポニチアネックス,spnannex,スポニチアネックス,294,"尾上雅也
ボートレース下関の「ミッドナイトボートレース下関3rd」は3日目を終えた。

　準優勝戦9Rで鋭く差し抜けた尾上雅也（31＝埼玉）が優出一番乗りを果たした。コンビを組むのは低調な16号機だが、レース足は悪くなく予選を4位で突破。準優9Rでは1Mを鋭い差しハンドルで抜け出し、優勝戦の舞台に進むことになった。

　「回り足はギリギリ二重丸がつくかなくらいですね。でもこのエンジンで優出できたのでそこは褒めたい。今年はいいペースでこられています。優勝戦も頑張ります」

　低調機を手にしながらの優出に笑みがこぼれた。優勝戦は準優と同じく2号艇。展開を捉えて、今年3回目のVはなるか。",[],[]
堺雅人　自分の理想という俳優明かす　実は顔もそっくり　愛妻家＆家が好きという共通点も（スポニチアネックス）,https://news.yahoo.co.jp/articles/5eca0ddb31f6e4145cf3aac51ed61648a55485ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000409-spnannex-000-4-view.jpg?exp=10800,2026-07-12T23:13:30+09:00,2026-07-12T23:28:03+09:00,スポニチアネックス,spnannex,スポニチアネックス,654,"俳優の堺雅人
俳優の堺雅人（52）が12日放送のTBS系「日曜の初耳学」2時間SPにリモート出演。自分の理想であるという俳優を明かした。
【写真あり】疲労回復方法　「1日に何回も…」
この日のゲスト出演は俳優の小日向文世（72）。塾講師でタレントの林修が「生まれ変わったら、コヒさんのような役者になりたいっていう発言をされていますよね」と聞くと、堺は「コヒさんは僕の理想であり、他人とは思えないですね。コヒさんを見て、逆算しながら52歳の自分を設計しています」と明かした。

　小日向は「こんなふうに言ってくれるけど、絶対そんなことないなって」と笑いながらも、「冗談でもうれしい。今度芸名変えようかな、なんて言ってくれたことあったよね」と聞くと「はい」とうなずき、どんな名前か？と聞かれると「2代目小日向文世」と答え、笑いを誘っていた。

　また、小日向が「できるだけ家に帰りたい」と言うのを聞いた堺は「やっぱりコヒさん僕だわ、と思ったのはそこでした。“お家大好きなんだよね”っていうので」と、愛妻家＆家が好きという共通点も明かしていた。

　また、2人が初めて会ったのは2004年の大河ドラマ「新選組！」の打ち上げの時だったが、小日向は「堺君を見てて“似てるな”」と思ったという。番組では2人の若い頃の写真が紹介され、そっくりな姿に、林も「まさに他人とは思えないとはこのことなんですね」と驚いていた。

　堺も今度、小日向の長男の小日向星一と共演すると明かし「僕の方が似ていると思いました」と明かしていた。",[],[]
美大進学のナイツ土屋　ポテチの白黒袋に描いた絵がすごすぎる！「ピッタリな色」「芸術性高い」の声（スポニチアネックス）,https://news.yahoo.co.jp/articles/95782aae70265e5eb59ca0f243b9a8b499e7a776,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000408-spnannex-000-4-view.jpg?exp=10800,2026-07-12T23:06:35+09:00,2026-07-12T23:23:22+09:00,スポニチアネックス,spnannex,スポニチアネックス,411,"「ナイツ」土屋伸之のインスタグラム（@tsuchiyawosagase）から
お笑いコンビ「ナイツ」の土屋伸之（47）が12日、自身のインスタグラムを更新。ポテトチップスの白黒袋に描いた絵が話題となっている。
【写真あり】美大進学を決めたきっかけ
土屋は「ここに絵描くのが流行ってる、既にちょっと遅いけど…と聞いて急いで模写です。描きづらかったけど油性サインペンであってたのか…」とつづり、ポテトチップスの白黒袋にピカソの「ゲルニカ」を模写したものを投稿。

　土屋は今年4月に美大に進学することを報告。自身が出演するニッポン放送「高田文夫のラジオビバリー昼ズ」（月～金曜前11・30）で、進学先が日本大学芸術学部であることを公表していた。

　フォロワーからは「芸術性高いポテチ」「すごすぎます。土屋さんの絵の投稿、今インスタやっている中で一番の楽しみです！」「ピッタリな色みの模写ですね！」などの反響が寄せられていた。",[],[]
神尾楓珠　芸能界引退を考えた過去「心に限界がきた」　イメージとのギャップに悩み「神尾楓珠を演じてる」（スポニチアネックス）,https://news.yahoo.co.jp/articles/a3cd09e3e25ed1b00461fe17d79fc3039bfa137b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000407-spnannex-000-6-view.jpg?exp=10800,2026-07-12T23:04:40+09:00,2026-07-12T23:22:33+09:00,スポニチアネックス,spnannex,スポニチアネックス,910,"神尾楓珠
俳優の神尾楓珠（27）が12日放送の日本テレビ「おしゃれクリップ」（日曜後10・00）にゲスト出演し、芸能界引退を考えた過去を明かした。
【写真あり】結婚した平手友梨奈と神尾楓珠。スタイリッシュな2ショットが話題に
スカウトがきっかけで芸能界入りし、2015年放送の日本テレビ「母さん、俺は大丈夫」で俳優デビュー。同局ドラマ「3年A組－今から皆さんは、人質です－」など話題作に出演したが、23年に活動休止が報じられた。

　「いろいろお仕事をさせてもらえるようになってスケジュールも詰まっている状態の中で、何か息苦しくなっちゃって。自分ってなんだっけ？って考えてしまう時期があって。どの仕事も神尾楓珠を演じてるんじゃないか」と当時の苦悩を回顧。

　22年には劇団☆新感線の舞台に出演したが「ベテランの方々の舞台に立つ姿を見て、表に立つ人ってこういう人だよな、自分は表に立つ人間じゃなかったんだな、やっぱりって思っちゃったんです」と明かした。

　その後、カメラの前や人前に立つことが怖くなったという。

　「クールでカッコいい神尾楓珠」というイメージで人気だったが、「全然そんなことはないし、そうしなきゃいけない自分もしんどくて。違うんだよな、神尾楓珠ってそんな大した人間じゃないんだよな、みたいな」と葛藤を抱えて「心に限界がきた。正直辞めようかなぐらいの気持ちだった」と振り返った。

　所属事務所に「辞めたい」と申し出て活動休止することに。前を向くきっかけとなったのは父と過ごした時間だという。

　「実家に戻ってダラダラしている時に父親が“ほら行くぞ”ってスーツを持ってきた。父の仕事を手伝って、めちゃくちゃその時間に助けられたし、大人になって父親と2人で話すこともなかったからその時間も貴重だった。父親がどういう考え方で仕事に向き合っているのか、若い頃の話とか聞けたのも僕は凄い救われた」と明かす。

　そして当時のマネジャーが「辞めないでほしい」と熱心に説得してくれたことが復帰を考える契機になったと明かし、「こんな自分でもまだそう言ってくれる人がいるんだなと思ったことが一番のきっかけ」と話した。",[],[]
侍ジャパン大学日本代表が韓国に大勝　青学大・鈴木泰成が驚異の14K「野球人生で一番の数。出来過ぎ」（スポニチアネックス）,https://news.yahoo.co.jp/articles/a8ebca74bd164d5ee16e1bf2b23fde8e46e398c7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000406-spnannex-000-2-view.jpg?exp=10800,2026-07-12T23:00:00+09:00,2026-07-12T23:00:44+09:00,スポニチアネックス,spnannex,スポニチアネックス,718,"侍ジャパン大学日本代表の青学大・鈴木泰成
台湾で開幕したワールド・カレッジ・ベースボールチャンピオンシップに参加している侍ジャパン大学日本代表は韓国大学代表と対戦。10―0の7回コールドで開幕戦を飾った。今秋のドラフト1位候補の鈴木泰成（4年＝青学大）が6回を1安打、毎回の14奪三振。2回には振り逃げも含め1イニング4Kの珍記録を達成した。

　「14奪三振）野球人生で一番の数なので、今日は出来過ぎです。ストレートはもちろん、カーブでカウントが取れて、フォークも決め球としてバランス良く投げることができました。今日の結果は一旦忘れて、良い感覚は忘れず、もう1回完璧な投球ができるように、驕りのない調整をしていきたいです」

　打線は17安打の猛攻。中でも光ったのが3番中堅でスタメン出場した榊原七斗（4年＝明大）。1回、三塁打の岡田啓吾（同）を置いて右前に先制の適時打。明大コンビで打線に勢いをつけた。その後も三塁内野安打、右翼線三塁打、右翼線2点二塁打、最後は7回無死満塁から左翼越えにコールドを決める適時打と5打数5安打4打点と大爆発だ。

　「1打席1打席、役割を全うしようという思いだけでした。素直に嬉しいです。チャンスに強い自負があるので自信を持って打席に入ることができました。初見の投手にも恐れずに初球から向かっていくことを大事にしています。（米国戦に向けて）速くて強いボールに対してもセンターにシャープに打っていきたいです」

　鈴木英之監督は「接戦をイメージしていたので予想していない展開でした。泰成は文句のつけようがない素晴らしい投球をしてくれました」とチームのエースを称えた。13日の次戦は難敵・米国と対戦する。",[],[]
神尾楓珠　平手友梨奈と結婚の決め手「この人のために頑張りたい」　新婚生活を初告白「グラタンとか…」（スポニチアネックス）,https://news.yahoo.co.jp/articles/8c5faf4e9169716504cacf5c3bb203367f622cb5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260712-00000405-spnannex-000-8-view.jpg?exp=10800,2026-07-12T22:59:40+09:00,2026-07-12T23:24:48+09:00,スポニチアネックス,spnannex,スポニチアネックス,660,"神尾楓珠
俳優の神尾楓珠（27）が12日放送の日本テレビ「おしゃれクリップ」（日曜後10・00）にゲスト出演。今年2月に結婚した「欅坂46」の元エースで女優の平手友梨奈（25）との新婚生活を初告白した。
【写真あり】結婚した平手友梨奈と神尾楓珠。スタイリッシュな2ショットが話題に
共演歴がなく交際報道もなかった2人の結婚は大きな話題となった。神尾は「自分だけじゃないっていう意識がやっぱり…自分のしょうもない行動がもしあった時に迷惑かかるのは自分だけじゃないっていうふうに思った」と結婚後の意識の変化を明かす。

　「自分のために頑張るのに限界があるなってずっと思ってて。誰かのために頑張るって、なんか楽しいです」と笑った。

　生活にも変化があったそうで「1人の時は外食が多かったけど、ほぼなくなって。基本的には家で自炊して食べるように」と“おうちごはん”を楽しんでいるという。

　「それまで全然料理していなかったがやってみたら楽しいしおいしいのも作れるようになった」と言い、「かぼちゃのグラタンとか。ハロウィーンの時に。大人になって初めてハロウィーンを意識した」と“得意料理”も明かした。

　結婚を決断したきっかけを聞かれると「結婚をしたいって思うことなんて人生で1回あるかないかだなと思っていたので。そう思ったならすればいいじゃんっていう自分の中で」と告白。MCの山崎育三郎が「（平手が）そう思わせてくれた」と言うと「そうですね」とうなずき、「この人のために頑張りたいって思ったところはありますね」と話した。",[],[]
