headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
5年で16件事故多発の三沢市の交差点　0歳児死亡事故受け現場診断…信号機設置や木伐採を検討（青森放送）,https://news.yahoo.co.jp/articles/d2e2ceadb0b5a91022f39ac8d43c29678d7ebcc6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260717-07263452-rab-000-1-thumb.jpg?exp=10800,2026-07-17T21:35:59+09:00,2026-07-17T21:35:59+09:00,青森放送,rab,青森放送,502,RAB青森放送 三沢市の交差点で0歳の男の子が亡くなった交通事故を受けた現場診断が行われました。警察が「信号機の設置」を前向きに検討するとしました。 現場診断が行われたのは三沢市三沢の十字路交差点です。警察や市、それに地域住民など30人が現場の状況を確認しました。 交差点では今月8日、ワゴン車と大型トラックが出会い頭に衝突し、ワゴン車のチャイルドシートに乗っていた0歳の男の子が亡くなる事故が起きました。 現場は過去5年間で16件の人身事故が相次ぎ、県警が「事故多発交差点」の1つにも挙げています。このうち8割以上の13件を占めるのが、西側から進んできた車が絡む事故です。 西側からの曲がり角は木や草が伸びて見通しが悪くなっているため、住民からは伐採して見通しを良くすることや、信号機の設置を求める意見が出されていました。 ★浜三沢町内会 小比類巻義則 副会長 「きょう立ってみて交通量が多いね。個人的にも信号機はつけてもらいたい」 ★三沢警察署 白川隆康 署長 「信号機設置については前向きに検討していきたいと考えています」 三沢市は土地の所有者と協議しながら木を伐採することを検討するとしています。,[],[]
高山植物の研究施設「東北大学植物園八甲田山分園実験棟」有形文化財登録へ　青森市（青森放送）,https://news.yahoo.co.jp/articles/ece5582b353aead6e689ac6a8cfe038a29bb8dfc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260717-09333798-rab-000-1-view.jpg?exp=10800,2026-07-17T20:29:01+09:00,2026-07-17T20:29:01+09:00,青森放送,rab,青森放送,196,東北大学植物園八甲田山分園実験棟 国の文化審議会は青森市の「東北大学植物園八甲田山分園実験棟」を有形文化財に登録するよう文部科学大臣に答申しました。 東北大学植物園八甲田山分園実験棟は98年前の昭和3年、1928年に建てられた高山植物の研究施設です。 切妻造鉄板葺の建物は日本初の植物生態学講座が開講された歴史ある施設として評価されました。 登録されると県内の有形文化財は112件となります。,[],[]
津軽で大雨のおそれなくなる　大気の不安定な状態は解消（青森放送）,https://news.yahoo.co.jp/articles/18e29b4a5d9a288fcc109eff6c1351e743085751,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260717-07489277-rab-000-1-view.jpg?exp=10800,2026-07-17T20:02:00+09:00,2026-07-17T20:02:00+09:00,青森放送,rab,青森放送,114,RAB青森放送 ７月１７日１９時５９分、青森地方気象台は「青森県気象解説情報（大雨・落雷） 第２号」を発表しました。 地上付近の気温が低下し、大気の不安定な状態は解消したとして、津軽では、大雨のおそれはなくなったということです。,[],[]
「雪ミーティング」で厳しい指摘が相次ぐ　青森市は除雪と排雪の指令を分け出動増やす見直し案示す（青森放送）,https://news.yahoo.co.jp/articles/03753df343728b726bd30cd7f97d8bdd5270b1e2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260717-07852485-rab-000-1-thumb.jpg?exp=10800,2026-07-17T19:46:01+09:00,2026-07-17T19:46:01+09:00,青森放送,rab,青森放送,1001,RAB青森放送 青森市と町会長が除排雪について話し合う「雪ミーティング」で市民からは厳しい指摘が相次ぎました。青森市は次の冬から除雪と排雪の指令を分ける方法で除雪の出動回数を増やす見直し案を示しました。 青森市は今月4回に分けて地域ごとの実情を把握し適切な除排雪体制に反映させるため、浪岡地区を除く市内367の町会の会長と意見を交わす「雪ミーティング」を開きます。きょうはその1回目として東部89町会から参加した46人の会長から昨シーズンの除排雪の対応について厳しい指摘が相次ぎました。 ★町会長 「ホットラインの電話に出た方は私の話をただ聞いて『はいはい』という空返事。あとは（除雪）いつになるかは分かりませんというだけであって、これでは何を言っても時間の無駄であると」 ★町会長 「除雪車が入った雪を通りの空いている歩道の上にどっと置いていくわけです」 「子どもたちが、せっかく町会で除雪した歩道を通れない。車道を通らなきゃならない車道はもう1車線ですよ」 ★青森市都市整備部 土岐政温 理事 「危険な状況を作っているというところにつきましては、それぞれの路線ごとに、ここは業者に対してきちんと作業指示を出すように努めてまいります」 また意見交換会の中で、青森市は去年と同じような災害級の雪にも対応するための除排雪方法案を示しました。 新しい方法案では積雪15センチ以上となった時点で除雪のみの指令を出すことで排雪に必要なダンプや人員の手配を待たずに迅速性を重視して除雪を行います。 ★青森市 西秀記 市長 「今回は除雪作業が遅れたために、圧雪がどんどんどんどん積み重なって分厚い圧雪になってしまった」 「まずは除雪を確実にやって、アスファルトを出してしまうというところまですべての道路をやろうと」 一方、排雪は寄せ雪の状況を踏まえて行うため、一定量が道路に残ることもあるとしています。 ★佃第一町会の会長 「車が通っても普通の人が歩けるような、そういう幅というんですかね。下までといわなくても、横の幅を広げてもらえればと思いますけど」 ★本泉町会の会長 「除雪の回数をできるだけ増やすと言ってもですね、業者もこれだけ雪降ると精いっぱいだと思うんですよ。その中でどうやって増やすのかなというのは疑問はあります」 次回の雪ミーティングは今月22日に行われ、市民の声を吸い上げる雪対策の検討が続きます。,[],[]
制作費高騰や人員不足で歴史に幕…「パナソニックねぶた会」出陣50回目の節目に最後の大型ねぶた台上げ（青森放送）,https://news.yahoo.co.jp/articles/cc990922e7b67ef0265879882da4e29b34a4a0b1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260717-08576365-rab-000-1-thumb.jpg?exp=10800,2026-07-17T19:45:00+09:00,2026-07-17T19:45:00+09:00,青森放送,rab,青森放送,648,RAB青森放送 出陣50回目の節目のことしで歴史に幕を閉じる「パナソニックねぶた会」です。きのう最後の出陣に向けて大型ねぶたの台上げが行われました。 きのう台上げが行われたのは「パナソニックねぶた会」の大型ねぶたです。制作したねぶた師の北村蓮明さんが見守る中慎重に作業が進められました。 1961年の初めての参加から出陣50回目にあたることし、「パナソニックねぶた会」は制作費の高騰や人員不足の影響をうけ最後の運行と決めました。 ★パナソニックねぶた会 山崎孝之 会長 「人数も少なくなっているというのが一番の理由かなと思いますね。これからまた10年たつと人が増えるというのは考えられなくて、減る一方だなというのもありまして、維持、継続するのが難しいというのがいちばんかなと思います」 有終の美を飾ろうと、ねぶた師の北村蓮明さんが制作した題材は「三国志 鬼神 典韋」です。 ★ねぶた師 北村蓮明 さん 「今回で終わりになったのは残念というより悔しい思いです」 「この題材は10年前にも挑戦したんですよ。下絵だけ描いて納得いかなくて温めていたもので、今回新たに描きまして、すごい動きのある作品になったなと」 ★パナソニックねぶた会 山崎孝之 会長 「50回も連続して運行できたんだなという思いがありますので、それはすごく嬉しい」 「とにかくみなさんに楽しんでもらえるように一生懸命頑張るだけだなと思います」 出陣50回目の節目のことし、パナソニックねぶた会はこれまでの感謝を胸に歴史に幕を閉じます。,[],[]
週末も天気が崩れそう…詳しく解説【7月17日　青森県の天気予報】（青森放送）,https://news.yahoo.co.jp/articles/b4423c6825e4d620fea0a0c1db84a29aab5831e1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260717-07534747-rab-000-2-thumb.jpg?exp=10800,2026-07-17T19:33:00+09:00,2026-07-17T20:06:02+09:00,青森放送,rab,青森放送,52,RAB青森放送 7月17日の天気振り返りと18日以降の青森県内の天気予報です。詳しくは動画をご覧下さい。,[],[]
弘前大学が公設市場の卸売会社と初の連携協定！八戸中央青果が気象データなどのフィードバックに期待（青森放送）,https://news.yahoo.co.jp/articles/eaa6fef97fe6802c9105dfd26f50e266305d9d5a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260717-01891899-rab-000-1-thumb.jpg?exp=10800,2026-07-17T19:33:00+09:00,2026-07-17T19:33:00+09:00,青森放送,rab,青森放送,226,RAB青森放送 八戸市の八戸中央青果は農業の振興などで弘前大学と連携協力する協定を結びました。 気候変動対策では大学が持つデータや知見を生産者の栽培支援などに活用したいと期待を寄せていました。 ★八戸中央青果 春日慎一 社長 「気象に関するデータであったりとか今後の予測という部分は我々ではなかなかできない部分ですので、そういうところを農家さんにフィードバックしていければ」 弘前大学が公設市場の卸売業務を担う会社と連携協定を結ぶのは今回が初めてです。,[],[]
六ヶ所村からの搬出期限まで残り19年…高レベル廃棄物の最終処分地巡り宮下知事が全国の知事に「当事者意識を持って」と協力呼びかけ（青森放送）,https://news.yahoo.co.jp/articles/c29964147e4bd7158fe696ec560f122d9395d203,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260717-09521975-rab-000-1-thumb.jpg?exp=10800,2026-07-17T19:33:00+09:00,2026-07-17T19:33:00+09:00,青森放送,rab,青森放送,288,RAB青森放送 鳥取県で開かれた全国知事会議に出席した宮下知事は高レベル放射性廃棄物の最終処分地を巡り、各都道府県知事に「反対ありきでない対応をお願いしたい」と協力を呼びかけました。 ★青森県 宮下宗一郎 知事 「国が最終処分地にはしないと言っている青森県以外のすべての都道府県がこの対象となるので、ぜひ当事者意識を持ってこのことについて認識してほしい」 選定プロセスの第1段階の文献調査を受け入れたのは、東京都の小笠原村など全国4町村にとどまっています。 六ヶ所村に保管中の高レベル廃棄物の県外への搬出期限まで残り19年ですが、いまだ最終処分場の建設のめどは立っていません。,[],[]
「思ったよりたいへんで苦戦」弘前市役所の新人職員が鏡絵の紙貼り作業 来月1日に69団体出陣（青森放送）,https://news.yahoo.co.jp/articles/7d0b7664d869a8a737a339a40e820553c23a9ed9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260717-02484329-rab-000-1-thumb.jpg?exp=10800,2026-07-17T19:32:00+09:00,2026-07-17T19:32:00+09:00,青森放送,rab,青森放送,377,RAB青森放送 話題は弘前市から。 弘前ねぷたまつりまで2週間あまりとなり、市役所の新人職員が鏡絵の紙貼り作業を行いました。 紙貼り作業が行われたのは「弘前市役所ねぷた実行委員会」の作業小屋です。作業はねぷた文化への理解を深めるため、去年から市の新人職員が行っています。 鏡絵は絵師の三浦呑龍さんが描いた「鍾馗と鬼」で縦4.8メートル横6.6メートルの大きさです。 新人職員11人は鏡絵が曲がっていないか確かめながら、接着剤を骨組みに塗ったあと慎重に紙を貼り付けていました。 ★弘前市 新人職員 「たいへんです弘前市民ですけどこうやってねぷたを作ったことがなかったので貴重な体験だと思っています」 「作業が思ったよりたいへんで苦戦しています」「かっこいいと思ってもらえれば良い」 津軽の夏の夜を彩る弘前ねぷたまつりは来月1日に開幕し69団体が出陣します。,[],[]
りんご畑で草刈り機から転落か…71歳の男性死亡　作業事故とみて経緯調べる　弘前警察署（青森放送）,https://news.yahoo.co.jp/articles/1d5ffab78263e97c63785b15a1a13efdbb2d3f73,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260717-04666356-rab-000-2-view.jpg?exp=10800,2026-07-17T19:31:00+09:00,2026-07-17T20:13:07+09:00,青森放送,rab,青森放送,349,RAB青森放送 弘前市のりんご畑で草刈り作業をしていた男性が草刈り機の下敷きになっている状態で発見され、その場で死亡が確認されました。 亡くなったのは弘前市の農業 千葉昭憲さん71歳です。 警察によりますと千葉さんは17日午後3時すぎ、弘前市大沢にある自分のりんご畑ののり面で、草刈り機に上半身が挟まった状態になっているのを家族が見つけました。 家族が消防に通報し、千葉さんは駆けつけた消防隊員により、その場で死亡が確認されました。 千葉さんは家族の送迎で午前9時ごろにりんご畑を訪れ、1人で草刈りをしていたということです。 発見された時、草刈り機のエンジンは止まっていましたが鍵はかかっていました。 弘前警察署は何らかの原因で千葉さんが草刈り機から転落した作業事故とみて詳しい経緯を調べています。,[],[]
