headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
《点滴に大便混入・患者殺害》「東京拘置所近くの官舎で…」逮捕された51歳看護師の素顔と高校卒業から10年後、看護学校で見せていた“異変”（文春オンライン）,https://news.yahoo.co.jp/articles/5227142e293850ef950a146f180348f72eadf9c6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260718-00090478-bunshun-000-1-view.jpg?exp=10800,2026-07-18T21:42:15+09:00,2026-07-18T21:42:15+09:00,文春オンライン,bunshun,文春オンライン,844,「本人の履歴書を読ませていただきますと、『前職、現職では助産師として研鑽してまいりましたが、看護師としてさらに専門的なスキルを磨ける環境で働きたく、地域に密着型で総合病院である当院を希望した』と記載されております」 【写真入手】「三つ編みにネクタイを…」古川美由紀容疑者の高校の卒業アルバム写真を見る 東京拘置所近くの官舎住まい 古川美由紀容疑者 ©共同通信 千葉県柏市の病院で、看護師が入院患者の点滴に大便を混入させて殺害したとされる事件。殺人容疑で逮捕された古川美由紀容疑者（51）が同病院で看護師として働くに至った経緯について、病院側は16日の記者会見でこう説明した。 古川容疑者の半生は、東京・小菅から始まる。 「お父さんが東京拘置所近くの官舎住まいだったので、彼女は葛飾区の小中学校に通っていました。性格は真面目。頭も良かったと思います。生活班の班長をやっていたのは覚えています」 そう語るのは、小中学校の同級生だ。彼女はその後、私立の高校に進む。 「当時は中高一貫の女子高。彼女は高校からの入学でした。1学年1000人以上在籍していたはずで、大学進学を目指すクラスや特進クラスもありましたが、彼女は大学進学を選ばず就職の道を進むクラスに在籍していた。とても地味で、目立たない印象でした」（高校の同級生） 「週刊文春」は彼女の高校時代の卒業アルバムを独自に入手。少しずつその輪郭が浮かび上がってくるにつれて、影が濃くなっていく古川容疑者。彼女は高校を卒業後、10年以上の時を経て、千葉県内の看護学校に進んだ。 「看護学校時代は周囲と話がかみ合わず、『ちょっと考え方とか行動が変だった』という印象。卒業後に付き合いを続けていた人もほとんどいなかったのでは」（看護学校関係者） 51年の月日の中で、いったい何が彼女を凶行に突き動かしたのか――。 ◇◇◇ 「週刊文春」では、本事件に関する取材を続けています。情報提供は 文春リークス までお寄せください。 「週刊文春」編集部／週刊文春,[],[]
「都内でもドライブデート。結婚は…」川口春奈（31）＆板倉滉（29）が真剣交際 「川口さんはオランダまで会いに」（文春オンライン）,https://news.yahoo.co.jp/articles/1f6053efebc94be686d272bee75149bcc7ffb267,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260718-00090461-bunshun-000-5-view.jpg?exp=10800,2026-07-18T18:12:16+09:00,2026-07-18T18:36:17+09:00,文春オンライン,bunshun,文春オンライン,920,女優・川口春奈（31）とサッカー日本代表キャプテン・板倉滉（29）が交際していることが「 週刊文春 」の取材で分かった。 【衝撃写真】「東京都内でもドライブデート。結婚は…」車に乗り込む川口春奈と板倉滉 2024年春に破局した“令和のCM女王” 川口春奈 ©時事通信社 川口といえば、長崎県五島列島出身の人気女優。大河ドラマ『麒麟がくる』（NHK）への出演をきっかけにブレイクし、ドラマ『silent』（フジテレビ）など話題作に相次いで出演。“令和のCM女王”とも呼ばれ、22年から途絶えることなくCM起用社数ランキング1位を獲得し続けている。 「自然体のありのままの姿が視聴者に好感を持って迎えられている。熱愛が発覚してもイメージが損なわれないのが彼女の強みでしょう。19年に格闘家の矢地祐介との交際が週刊誌で報じられましたが、むしろ交際を応援する声も多かった」（スポーツ紙記者） 矢地との交際当時、2人は川口の地元である長崎の五島列島を訪れたことも報じられた。さらに、川口は周囲に矢地との結婚願望を打ち明けていたというが、 「5年の交際期間で、結婚間近と思われていた2人でしたが、24年春に破局となった」（芸能記者） 川口は交際開始からほどなくしてオランダへ 一方の板倉は先日のW杯で日本代表のキャプテンを任された日本守備の要。ブラジルに1-2で逆転負けを喫した際には「ここで終わるチームではなかった」と涙ながら取材に対応した。 2025年8月から板倉は、オランダの名門チーム『アヤックス・アムステルダム』でプレー。川口は、オランダに居住している板倉に付いていくように交際開始からほどなくしてオランダへ飛び立っていたのだ。 川口の知人が語る。 「川口さんは、板倉さんに会うために、オランダまで行っていました」 川口の所属事務所と板倉のマネジメント会社に事実確認を求めたが、期日までに回答はなかった。 現在配信中の 「週刊文春 電子版」 では、2人がオランダで過ごした日々の詳細や、東京都内での仲睦まじいドライブデートの様子やツーショット写真、結婚の計画など交際の舞台裏を詳しく報じている。 「週刊文春」編集部／週刊文春 電子版オリジナル,[],[]
「象徴天皇制を改変しようとする横暴」皇室典範改正を皇室研究の第一人者が憂う（文春オンライン）,https://news.yahoo.co.jp/articles/5e6edaca4818bf41b0b7b38176b3314a9cbdc115,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260718-00090477-bunshun-000-1-view.jpg?exp=10800,2026-07-18T18:12:16+09:00,2026-07-18T18:12:16+09:00,文春オンライン,bunshun,文春オンライン,1056,高市早苗首相（左）と保阪正康氏 ©︎時事通信社／文藝春秋 7月17日、改正皇室典範が参院本会議で賛成多数により可決され、成立した。現行の皇室典範が禁じてきた皇族の養子縁組を、戦後に皇籍を離れた旧宮家の男系男子に限り認め、養子のもとに生まれた男子は皇位継承資格を持つことになる。 【画像】現在発売中の月刊「文藝春秋」8月号に緊急寄稿 衆議院と参議院の両院正副議長が与野党との協議を経てまとめた「立法府の総意」にはなかった、養子の男子の皇位継承資格に一方的に踏み込む内容となったことに批判が集まっている。 今回の一連の経緯を「戦後の象徴天皇制を揺るがすような事態が加速している」と憂い、 月刊「文藝春秋 」8月号（発売中）に緊急寄稿したのが、昭和史研究家で皇室研究の第一人者として知られる保阪正康氏だ。保阪氏は「昭和天皇」（中央公論新社）、「明仁天皇と裕仁天皇」（講談社）など多数の評伝・ノンフィクションによって、天皇、皇族を近現代史のなかで描いてきた。今回の焦点となった男系男子の養子候補となり得る旧宮家も、かつて詳細に取材している。何より、平成の天皇と皇后と3年にわたり、懇談を重ねた経験をもつ。 その保阪氏は、男系養子は「国民の多くが支持する、直系である愛子内親王への継承の可能性をあらかじめ閉ざすことを意味する」と指摘し、こう続ける。 「天皇の地位は『国民の総意に基く』と記す憲法から乖離しているのだ」 また、今回の改正の進め方にも重大な問題があるとし、次のように憂慮する。 「天皇をはじめとする皇族の暮らしを左右する法改正であるのに、彼ら自身の意見にまともに耳を傾けることなく法案化が進められていることだ」 「生身の存在である皇族への敬意が感じられないのだ」 その上で、 「今般の皇室典範改正は、天皇と象徴天皇制への歴史的な理解に裏打ちされているようには思えず、一時的に多数を誇る政治権力が象徴天皇制を改変しようとする横暴であるようにすら見えてくる」 現在発売中の「 文藝春秋 」8月号では、「 皇室典範改正は象徴天皇制を揺るがす 」と題して、保阪氏が10ページにわたって緊急寄稿。長年の取材に基づき、平成の天皇と皇后がつくり上げてこられた国民との信頼関係のうえに成り立つ天皇像とはどのようなものか、2017年の生前退位を可能とする特例法の経緯、旧宮家に尋ねた養子問題への返答などを綴っている（「文藝春秋」のウェブメディア「 文藝春秋PLUS 」にも掲載）。 「文藝春秋」編集部／文藝春秋 2026年8月号,[],[]
「逮捕のきっかけは腐乱した男性遺体」わずか1ヶ月半で8人殺害…お金持ちの子供が「日本最悪の殺人犯」になった理由（昭和40年の事件）（文春オンライン）,https://news.yahoo.co.jp/articles/2c0d93b1060546d060509a2ac4586504ed508e81,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260718-00090296-bunshun-000-3-view.jpg?exp=10800,2026-07-18T17:12:15+09:00,2026-07-18T17:21:17+09:00,文春オンライン,bunshun,文春オンライン,1456,写真はイメージ ©getty 1965年、西日本を震撼させた日本初の広域重要指定事件。わずか1ヶ月半の間に50〜60代の男性8人が次々と惨殺された。逮捕されたのは、前科8犯の51歳男。 【写真】この記事の写真を見る（2枚） 裕福な実家に生まれながらも、母親の死をきっかけに暗転した壮絶な生い立ちと、出所後に始まった「最初の殺人」とは――。鉄人社の新刊『 高度経済成長期の日本で起きた37の怖い事件 』よりお届けする。（全2回の1回目/ 続きを読む ） ◆◆◆ 1ヵ月半で8人殺害 1965年（昭和40年）、西日本を中心にわずか1ヶ月半で50〜60代の男性8人が連続して殺害される戦慄すべき事件が起きた。犯人は当時51歳の古谷惣吉という、刑務所を出たばかりの前科8犯の男。古谷は金銭奪取目的で、廃品回収業者など社会的弱者を虫けらのように葬り、自身も死刑に処された。 古谷は1914年（大正3年）、長崎県上県郡仁田村志多留（現・対馬市上県町志多留）で、5人兄弟姉妹の長男として生まれた。家は農業と旅館業を営み比較的裕福だったが、古谷が4歳のとき母親が死亡。 その後、父親が再婚した継母に虐待をうける。また、父親も仕事で家を空けることが多く、そのうち妻子を残したまま材木商として朝鮮半島へ出稼ぎに。継母も家を出ていき、古谷は弟妹らと親戚をたらい回しにされる。 古谷は叔父の家に引き取られていたが、扱いは冷たく、家出を繰り返したり、学校でも物を盗むなど素行不良な面が現れ、10歳のとき、父親に会いたさに単身、朝鮮半島に渡る。が、父親の3度目の結婚相手とも馴染めず、12歳のときに帰国。 その後、祖母や叔母の家に身を寄せるも、中学2年のとき教師を殴り学校を中退。ほどなく半島から戻った父親と再び対馬で暮らし始めたが、結局1929年（昭和4年）、15歳のときに家を出て福岡の博多駅周辺で不良仲間とつるむようになる。 最初の殺人 1930年、広島県で窃盗事件を起こし岩国の少年刑務所に服役。以降、窃盗や詐欺、恐喝未遂などで塀の内外を行き来する日々を送り、1945年8月の終戦時も窃盗で懲役6年の刑を受け福岡の若松刑務所に収監されていた。福岡市内で知り合った坂本登という19歳の男と共謀し、小銭目当てに同市内の40歳の浮浪者男性を殺害するのは、出所まもない1951年5月。翌6月には福岡県八幡市（現・北九州市八幡西区）の民家に強盗に入り70歳の男性を亡き者にした。 7月に逮捕された坂本が普段「ソウさん」と呼んでいた男が首謀者で自分は見張りをしていただけであると主張したが、ソウさんこと古谷は逃亡中の身。裁判では坂本に死刑判決が下り、1953年に福岡拘置所で絞首刑が執行される。同年末、古谷も逮捕されたものの、取り調べで坂本にそそのかされ自分は見張りをしていただけに過ぎないと供述。 1956年3月の判決公判で懲役10年の刑を受け、福岡刑務所に収監後、熊本刑務所に移監される。刑期を1年残し仮出所したのが1964年11月でこのとき古谷は50歳。16歳の初逮捕以後の34年間のうち27年間を塀の中で過ごしていた。 大量殺人の幕が開くのは1965年10月30日だった。 ◆◆◆ その後、男は腐乱した遺体をきっかけに逮捕される。前科8犯の彼にくだされた罰とは……。 「遺体からズボンを剥ぎ取った理由は…」8人殺害しても“反省なし”…前科8犯男の末路（昭和40年の事件） へ続く 鉄人ノンフィクション編集部／Webオリジナル（外部転載）,[],[]
【スクール☆ウォーズ秘話】「1週間、俺に命を預けろ」不良高校生を変えた“伝説の教師”山口良治の「地獄の合宿」とは？《伏見工ラグビー部》（文春オンライン）,https://news.yahoo.co.jp/articles/6b6a5ccfe4a01c57330a0628a937ba8d752d4dab,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260718-00090452-bunshun-000-1-view.jpg?exp=10800,2026-07-18T17:12:15+09:00,2026-07-18T17:12:15+09:00,文春オンライン,bunshun,文春オンライン,901,1970年代に、 荒れていた京都の伏見工業高校 へ赴任し、ラグビー日本一に導いた山口良治が、5月29日に亡くなった。山口は、 ドラマ「スクール☆ウォーズ」のモデル になり、「熱血教師」「泣き虫先生」として、世に知られる。 【画像】初の全国大会優勝で選手を抱きしめる山口良治 現在、中小企業の代表を務める荒木邦彦は、中学生時代に山口と知り合い、その後、進学した伏見工業高校でラグビーを始めることになる。 ◆◆◆ 入学初日に無期停学 1970年代に、荒れていた京都の伏見工業高校のラグビー部を日本一に導いた山口良治 ©文藝春秋 入学式の日、ボンタンズボンに変形学ラン姿で校門をくぐると上級生数人が待ち構えていたように自分を取り囲んだ。 「お前が荒木か」 いきなりもみ合いになった。自分より身体の小さい相手は殴らないというのが流儀だったが、10人近くが相手では、やるしかなかった。 騒動の後、校長室に呼ばれた。その場で無期停学を言い渡された。 「こいつは自分から手を出していません! 停学はあんまりです」 山口が校長に食い下がってくれたが、大勢に囲まれる中で繰り出した一発が相手の頭に当たり、頭蓋骨骨折という怪我を負わせていたことから決定は覆らなかった。 停学中の荒木は折れ曲がった心のまま夜の街を遊び歩いた。中学時代の不良仲間とバイクに乗り、どこかの組に所属しているという強面の大人たちとも知り合いになった。自分はこのまま社会の裏側で生きていくのかもしれない、それならそれでいいと自暴自棄にもなっていた。 そんなある日、夜遅く家に帰ると玄関に家族のものではない大きな靴があった。居間を覗くと山口が父親と酒を飲んでいる。「煮るなり焼くなり、あいつを叩き直してください」という父親の声が聞こえた。 この教師は無期停学となった不良生徒をまだラグビー部の一員だと思っている。こっちはその気などまるでないのに、あの時の約束を馬鹿正直に信じている。怖いもの知らずの荒木が初めて恐ろしさを覚えた。 停学は1学期いっぱいで解除となった。そのとき山口が言った。 「一つだけ約束してくれ。1週間でいいから、俺に命を預けてみろ」,[],[]
「もう生きたくない」高校でクラス全員からイジメ→担任は見て見ぬふり…“生まれつき髪が少ない病気”の女性が語る、ツラい学校生活が変わった“きっかけ”（文春オンライン）,https://news.yahoo.co.jp/articles/429773951e883a25b0b376c9c2ab3e9a115dac16,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260718-00087117-bunshun-000-2-view.jpg?exp=10800,2026-07-18T17:00:36+09:00,2026-07-18T17:33:15+09:00,文春オンライン,bunshun,文春オンライン,1035,あまもあみさん ©深野未季／文藝春秋 〈「私の髪は何なの?」同級生から「ハゲ」とイジメられ、親戚から“最悪な言葉”も…“生まれつき髪が少ない病気”の女性が明かす、子ども時代の苦悩〉 から続く 【変わりすぎ!!】“生まれつき髪が少ない病気”の女性→ウィッグをかぶって“金髪ギャル”になった最新ショットを見る SNSで「おハゲ美容師」として発信している、あまもあみさん。Instagramではフォロワー数2万人超を誇り、インフルエンサーとしても活動している。 あみさんは約1万人に1人が発症すると言われる「先天性乏毛症（せんてんせいぼうもうしょう）」という病気の影響で、生まれつき髪が少ない。容姿に強いコンプレックスを抱え、高校時代にはクラス全体からいじめ被害に遭った。 「もう生きたくない」と思い悩んだ彼女だが、「ウィッグ」と出会ったことで変化のきっかけをつかんでいく。あみさんの“転機”に迫る。（全4回の2回目/ 3回目 に続く） ◆◆◆ 学校内でも帽子は極力脱がずに過ごした ――子どもの頃、外出するときは帽子をかぶっていたそうですね。 あまもあみさん（以下、あみ） 幼稚園のときは、園で決められたベレー帽のようなものをかぶっていたと思います。小学校のときは、通学用のキャップをかぶって、校内にいるときも極力脱がないようにしていました。 友だちと出かけるときも、自転車に乗るときにかぶるヘルメットを着けたまま、本屋さんとかお店の中まで入っていました。絶対に脱ぎたくなかったんです。 家族で旅行に行くときも、今思えばダサいんですけど、当時はおしゃれだと思ってかぶっていた帽子があって。中学生のとき、それをかぶって家族でディズニーランドに行ったら、アトラクションに並んでいるときに、スタッフの人に「男の子かな? どっちでもいっか」って言われたんです。 性別を確認したかったのかもしれないけど、「はぁ?」と思って。ディズニーって夢の国だと思っていたのに、「うわ、ディズニーでも見た目のこと言われるんだ」と思いました。 ――ご自身の容姿を気にして、避けていたことはありますか。 あみ フリフリの可愛い洋服は、自分には似合わないと思って着られませんでした。あとは、人がたくさん集まる場所に行くのが苦手でしたね。 高校生のとき、友だちから嵐のコンサートに誘われたことがあって。本当は行きたかったのに、「あの中に入ったら、私の頭の薄さがバレてしまう」と思って、断ったことがあります。,[],[]
「結婚という決断をしたのは…」29歳で共演俳優と結婚、1児の母に…山本美月（35）が夫との関係性を表した“一言”とは？（文春オンライン）,https://news.yahoo.co.jp/articles/fcdab9450ff1babdeeb133920fbc7aafd7687e30,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260718-00090463-bunshun-000-1-view.jpg?exp=10800,2026-07-18T17:00:36+09:00,2026-07-18T17:00:36+09:00,文春オンライン,bunshun,文春オンライン,1284,7月18日に誕生日を迎えた山本美月（2024年「The JIMMY CHOO Silver Garden」のオープニングセレモニーで） ©時事通信社 〈「イモでした。写真見たら…」もんじゃ屋でスカウト、明大農学部を4年で卒業、“初恋の相手”は…福岡から上京した山本美月（35）の転機〉 から続く 【画像】「美しすぎる…」ピンクへアでの“コスプレ姿”、話題になった俳優夫との“ウェディングショット”も…山本美月の写真をすべて見る 7月18日、俳優・モデルの山本美月が35歳の誕生日を迎えた。福岡に生まれ、高校3年生でモデルデビュー。俳優としても活躍の場を広げながら、明治大学農学部を4年で卒業、趣味のアニメやコスプレなど、プライベートも注目を集めていく。瀬戸康史（38）との結婚、出産も経た彼女の“現在地”は……。（全2回の2回目） ◆◆◆ 山本美月は、女性ファッション誌『CanCam』の専属モデルになった当初、自分の趣味が読者には響かないということもしばしば経験している。自分のお気に入りだったニット（ザリガニがデザインされていたらしい）を着て評判が悪かったときには、かなり落ち込んだという。そんなこともあったからなのか、モデルを始めてからしばらくはアニメ好きであることは公表していなかった。 アニメ好きを公言するように しかし、やがてアニメ好きだと公言し、出演した映画『桐島、部活やめるってよ』公開当時のインタビューでは、《私、まわりから“ギャップ女子”ってよく言われるんですよ! 見た目と違って性格は結構、サバサバしてるんです。虫が好きだし、大学は農学部だから解剖とかも平気でするし。あとコスプレも大好き。自宅にはアニメキャラのフィギュアもいっぱいありますよ》と熱っぽく語っていた（『ザテレビジョン臨増』2012年9月6日号）。 このころには『CanCam』誌面でも、初音ミクやアニメのキャラクターのコスプレを披露したり、人気声優と対談を行なったりして、注目されるようになっていた。時代の流れからしても、アニメ文化が社会にすっかり浸透し、アイドルやモデルが好きな作品やキャラクターを素直に語ることも増えたころだ。山本は俳優の仕事でも、役をもらうと、マンガやアニメのなかからそれと似たキャラクターを想起しては役作りのうえで参照したという。 2014年放送のドラマ『僕のいた時間』（フジテレビ系）では、素の山本と同じくアニメ好きで、かばんには『鋼の錬金術師』のエドワード・エルリックのキーホルダーをつけているという大学生を演じた。この設定は、山本がトーク番組で『鋼の錬金術師』の原作者・荒川弘からエドと彼女を描いた色紙をプレゼントされて感涙する姿をドラマのプロデューサーが見ていて、「素の要素を採り入れたい」と提案したものだった。 ただ、このときの役柄は、山本自身とは違って、深く考えないような明るい性格だったので、《こういう性格の子がアニメを好きというのはどういう気持ちなんだろうって想像するのが難しかった》という（『日経エンタテインメント!』2014年3月号）。,[],[]
「お便所に行ってくるわ」見つかったのは“口に下着をつめられた”小2女児の遺体…7歳少女はなぜ「学校のトイレ」で殺された（昭和29年の事件）（文春オンライン）,https://news.yahoo.co.jp/articles/333460bdfc62225391decad28360bdd79a27aae6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260718-00090332-bunshun-000-5-view.jpg?exp=10800,2026-07-18T16:42:16+09:00,2026-07-18T17:09:16+09:00,文春オンライン,bunshun,文春オンライン,750,写真はイメージ ©getty かつて日本の小学校のトイレは男女共用で、誰でも自由に出入りできる構造だった。そんな無防備な環境が招いた悲劇が、1954年（昭和29年）の東京で起きた。 7歳の女児が授業中に姿を消し、校内のトイレで変わり果てた姿となって発見された凄惨な事件である。 「お便所に行ってくるわ」——それが最後の言葉だった 1954年4月19日、文京区本郷の区立元町小学校。2年A組のA子ちゃん（当時7歳）は、休み時間に校庭で遊んでいたが、「お便所に行ってくるわ」と言い残して校舎へ戻った。しかし3時限目が始まっても、A子ちゃんは席に戻らなかった。 担任教師は、自宅が学校のすぐ目の前であったことから忘れ物を取りに行ったのだろうと考えていたが、2時間が経過しても姿を現さない。教職員と生徒が総出で捜索を開始した。 やがて、校舎入口そばのトイレで、1つだけ閉まり切ったままの個室が発見される。すりガラス越しにA子ちゃんの赤いカーディガンが確認できた。教師が内側から施錠された鍵を壊して戸を開けると、そこには暴行され、首を絞められて殺されたA子ちゃんの姿があった。口には本人が着用していた下着が詰め込まれていた。 娘を目の前にした母親は、半狂乱となって泣き崩れた。 捜査を進めた警察は、トイレの配管から「S・S」のイニシャル入りのハンカチを発見する。さらに近隣住民への聞き込みから、事件当日の午後に挙動不審な様子で友人宅を訪れ、洗面所でしきりに手を洗い続けていた「ある男性」の存在が浮上した。 ◆◆◆ トイレで見つかったのは「下着を口に詰め込まれた」小2女児の遺体…【学校のトイレを「男女別々」に変えた】ある殺人事件（昭和29年の事件）へ続く 「文春オンライン」編集部／Webオリジナル（外部転載）,[],[]
「僕が稼ぐので医者にならなくても大丈夫」医学部を出て芸人になることに大反対だったノムラフッソ（29）の両親を説得した、夫の“男気”すぎる一言（文春オンライン）,https://news.yahoo.co.jp/articles/17f8eebade788a08ba5d6a0d8f0065a1b0d144af,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260718-00090142-bunshun-000-1-view.jpg?exp=10800,2026-07-18T16:00:34+09:00,2026-07-18T16:00:34+09:00,文春オンライン,bunshun,文春オンライン,1128,ノムラフッソさんは大学在学中に結婚、相方の王坂さんも昨年結婚を発表し、忠犬立ハチ高は珍しい20代の既婚女性コンビに ©文藝春秋 撮影・三宅史郎 〈「どういうことですか」母からのLINEを半年無視…医学部5年生でサンドウィッチマン事務所と契約した女性芸人（29）が「医者を諦める」と親に伝えた“まさかの方法”〉 から続く 【貴重写真】セーラー服に雪駄姿の高校時代、大学時代の珍しい金髪＆水着姿、エモすぎる高校時代の忠犬立ハチ高の2人…写真をすべて見る 親からのLINEを半年間無視し、音信不通のまま大学6年の夏を迎えたノムラフッソ（29）が、岩手の実家に一人の男性を連れて帰る。同じ医学部の先輩で、すでに研修医として働いていた、のちの夫。こわばった両親の前で彼が放った一言が、凍りついていた家族の空気を変えた。 THE W3位の女芸人が語る、夫の決意と、いまも続く「別居婚」の暮らし。（全3回の3回目） ◆◆◆ ――山梨大学医学部5年生の冬にグレープカンパニーへの所属を年賀状でご両親に伝えた後、両親からのLINEを半年間無視し続けて、その音信不通状態のまま現役医学部生の芸人として活動していたわけですね。 ノムラ そうです。 ――学生としての生活は維持できたのでしょうか。 ノムラ 親のLINEは無視してたんですけど、「仕送りはいりますか?」というメッセージだけ「お願いします」と返信しました。その後のメッセージはまた無視で。それでも仕送りはずっと続けてくれて、おかげで生活はできてました。 ――直接話したのはいつだったんですか? ノムラ 当時付き合っていた彼氏と「結婚したいね」っていう話になって、その相手と一緒に岩手の実家に挨拶に行くことにしたんです。帰るからには芸人の話も避けられないなと。 ――このタイミングで結婚? 相手はどんな方ですか。 ノムラ 山梨大医学部の軽音楽部の先輩です。同い年なんですけど、向こうは現役で私が一浪だったので、学年は1つ上でした。物知りで、海外とか過去の音楽とかにもすごく詳しい。お笑いも大好きで、オードリーさんの深夜ラジオを崇拝してる人です。 ――軽音楽部にも入っていたのですね。 ノムラ はい。1個上の部長が彼で、その次の部長が私。部長同士でした。 ――プロポーズはどのようなものだったでしょうか。 ノムラ プロポーズというか、付き合う時に「結婚してください」って言ったんです。 ――付き合う時に、結婚までノムラさんから申し込んだ。 ノムラ それが大学4年生のころなんですけど、その前から私の話をよく聞いてくれていたし、すっごく心地いい人で。ずっとこのまま一緒にご飯を食べたいと思っていたので、それもそのまま伝えて。,[],[]
「生まれてきて良かった」両親が知的障害者で児童養護施設で育ったYouTuber（32）が語る、月2回会う母親への本音（文春オンライン）,https://news.yahoo.co.jp/articles/e3f59af18df6ff3ea3e53e8dbaa96725e4d0d5a2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260718-00089887-bunshun-000-1-view.jpg?exp=10800,2026-07-18T16:00:34+09:00,2026-07-18T16:00:34+09:00,文春オンライン,bunshun,文春オンライン,1159,NEXT-GOさんとお母さん 〈「子供に遺伝したらと考えると…」両親、祖母が知的障害の32歳YouTuberが語る、発達特性検査をずっと躊躇している「本当の理由」〉 から続く 【画像】「不安の中で生きてきました」.児童養護施設で育ったNEXT-GOさんの幼少期の写真を全て見る 両親に知的障害があることから、生まれてすぐに乳児院へ預けられ、児童養護施設で少年時代の多くを過ごしたNEXT-GOさん（32）。 YouTuberやラッパーとして活動する彼に、ラップによって表現する出自に対する苦悩、YouTubeで親のことを語るようになったきっかけ、自分が子供を持つことへの戸惑いなどについて、話を聞いた。 ◆◆◆ 結婚して自分の子どもを持つのは、経済的・精神的に自信がついた時だけ ――年齢的に周りが結婚したり子供を持つようになって、自分の家族についてさらに考える機会は増えましたか。 NEXT-GOさん（以下、GO） まさに。地元の友達の子供がもう小学生になったりして、運動会に呼ばれたりすると、その友達の父親としての振る舞いと、自分が経験してきた子ども時代を無意識に比べてしまうんです。遺伝の問題ももちろんありますし、経済的な安定、そして親として子どもに愛情を注ぎ続ける精神的な成熟度、どれをとっても、自分には無理だとはっきり思っています。俺自身がまだ、親に愛されたかった子供のままの部分を抱えていますから（笑）。まずは自分自身が満たされないと、誰かを満たすことなんてできないと思っています。 ただ、誰かと家庭を築きたい願望は強くあります。だから、もし子どもを持つなら、養子という選択肢を真剣に考えていますね。自分の遺伝子を持ち込まない、というのもありますし、何より自分と同じように家庭環境に恵まれなかった子供に、自分が手にできなかった温かい家庭を提供したい、という気持ちが強くあります。 もし、自分の実の子供をパートナーと一緒に、となるとしたら、それはもう、僕が日本一のYouTuberになって、経済的にも精神的にも絶対的な自信がついた時だけです。中途半端な状況では、絶対に考えられません。子どもを不幸にするリスクを冒すことは絶対にできないです。 ――GOさんの考える「普通の家族」とはどういうものでしょうか。 GO たぶん「無条件の安心感」なんだと思います。何があっても帰ってこれる場所がある。失敗しても、怒られても、見捨てられることはない。そういう絶対的なセーフティネットが家庭や家族愛なのかなって。僕にはそれがなかったから、ずっと不安の中で生きてきました。だからこそ、もし自分が家庭を持つなら、子どもには何よりもまずその安心感を与えてあげたい。それこそが、僕が人生をかけて成し遂げたいことかもしれないですね。,[],[]
