headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
真飛聖、具材たっぷり“塩そうめん”公開「夏バテも吹っ飛びそう」「アレンジ完璧で栄養満点」の声（モデルプレス）,https://news.yahoo.co.jp/articles/e6fdf443260be5d8f066eef95a70789e782b3f67,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260719-04815530-mdpr-000-3-view.jpg?exp=10800,2026-07-19T21:54:27+09:00,2026-07-19T21:54:27+09:00,モデルプレス,mdpr,モデルプレス,482,真飛聖 【モデルプレス＝2026/07/19】女優の真飛聖が7月16日、自身のInstagramストーリーズを更新。毎年恒例だという手作りの塩そうめんを公開し、反響を呼んでいる。 【写真】元宝塚トップ「彩りが綺麗」と話題の塩そうめん ◆真飛聖、毎年恒例の塩そうめん披露 真飛は「毎年恒例となりました・・・大好物の『塩そうめん』」とつづり、写真を投稿。豚バラ肉、大葉、みょうが、ブロッコリースプラウト、ミニトマト、ゆで卵、梅干しなど、彩り豊かな具材をたっぷりトッピングした一杯を披露している。 また「大葉とミニトマトは家庭菜園」「簡単なのに栄養たっぷりでほんと美味しい 体に良いといわれるものは全て取り入れたい今日この頃…」とコメント。具材ごとの栄養素や期待される効果も紹介している。 ◆真飛聖の投稿に反響 この投稿には「夏バテも吹っ飛びそう」「アレンジ完璧で栄養満点」「彩りが綺麗」「栄養満点で美味しそう」「真似して作りたい」「具だくさんで豪華」などの反響が寄せられている。（modelpress編集部） 【Not Sponsored 記事】 modelpress,[],[]
有村藍里、美肩際立つタンクトップコーデ公開「天使すぎて二度見」「美しさに惹きつけられる」と反響（モデルプレス）,https://news.yahoo.co.jp/articles/b80272f1131d02bc7fdeb8f961d7d42aa0a12b05,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260719-04815514-mdpr-000-2-view.jpg?exp=10800,2026-07-19T21:51:06+09:00,2026-07-19T21:51:06+09:00,モデルプレス,mdpr,モデルプレス,431,有村藍里 【モデルプレス＝2026/07/19】タレントの有村藍里が7月17日、自身のInstagramを更新。白いタンクトップを身につけた姿を公開し、話題を呼んでいる。 【写真】有村架純の姉「鎖骨が綺麗」と話題の露出コーデ ◆有村藍里、美肩際立つ肩だしスタイル公開 有村は「石川県金沢市に行ってきました」と笑顔の絵文字を添えてつづり、JR金沢駅前で撮影されたプライベートショットを複数枚投稿。白のタンクトップにグレーのパンツを合わせたコーディネートで、美しい肩のラインが際立っている。 また「もう一泊したかったくらい素敵なところだった また行きたい」と旅を楽しんだこともつづっている。 ◆有村藍里の投稿に反響 この投稿に、ファンからは「天使すぎて二度見」「美しさに惹きつけられる」「鎖骨が綺麗」「コーデ素敵で真似したい」「スタイル良くて羨ましい」などの声が上がっている。（modelpress編集部） 【Not Sponsored 記事】 modelpress,[],[]
窪塚愛流、ピンク髪×制服ショット公開にファン悶絶「ビジュ最強」「メロすぎて反則」の声（モデルプレス）,https://news.yahoo.co.jp/articles/9add3d3d1b10a54d222487d67575a885692c46e9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260719-04815493-mdpr-000-2-view.jpg?exp=10800,2026-07-19T21:47:23+09:00,2026-07-19T21:47:23+09:00,モデルプレス,mdpr,モデルプレス,358,窪塚愛流 【モデルプレス＝2026/07/19】俳優の窪塚愛流が7月17日、自身のInstagramストーリーズを更新。ピンク髪姿を公開した。 【写真】窪塚洋介の22歳息子「唯一無二の雰囲気」と話題のド派手ヘア ◆窪塚愛流、ピンク髪姿披露 窪塚は「ぴんく」と記し、ソロショットを投稿。透明感のあるピンク髪に、白のシャツ、えんじ色のネクタイ、チェック柄のパンツを合わせた制服風のスタイルで、伏し目がちにポーズをとるクールな姿を披露している。 ◆窪塚愛流の投稿に「ビジュ最強」の声 この投稿に、ファンからは「新たな魅力が引き出されてる」「ビジュ最強」「唯一無二の雰囲気」「オーラがすごい」「メロすぎて反則」などの声が上がっている。（modelpress編集部） 【Not Sponsored 記事】 modelpress,[],[]
元櫻坂46土生瑞穂、前髪ありの新ヘア公開「美人すぎてドキッとした」「破壊力すごい」と反響（モデルプレス）,https://news.yahoo.co.jp/articles/f455b0934a18a085123bdd87cfb4189e7f82dce6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260719-04815470-mdpr-000-2-view.jpg?exp=10800,2026-07-19T21:44:31+09:00,2026-07-19T21:44:31+09:00,モデルプレス,mdpr,モデルプレス,460,土生瑞穂 【モデルプレス＝2026/07/19】元櫻坂46の土生瑞穂が7月16日、自身のInstagramを更新。新しいヘアスタイルを公開した。 【写真】28歳元櫻坂46「圧倒的な存在感」と話題の雰囲気ガラリヘア ◆土生瑞穂「前髪作りました」新ヘア披露 土生は「そういえば前髪作りました パツっと感」と記し、ソロショットを投稿。これまでセンター分けにしていた前髪を目の下で切り揃えたスタイルでカメラを見つめる姿が収められており、洗練された雰囲気と大人の魅力が際立つ1枚となっている。 また、白のブラウスとデニムパンツを着用しポーズをとる姿やファッションブランドによる春夏コレクションのランウェイの様子を撮影した動画なども載せている。 ◆土生瑞穂の投稿に「美人すぎてドキッとした」と反響 この投稿は「破壊力すごい」「美人すぎてドキッとした」「圧倒的な存在感」「透明感がさらに増してる」「ファッションセンスも抜群」と反響を呼んでいる。（modelpress編集部） 【Not Sponsored 記事】 modelpress,[],[]
小沢仁志、ボリューム満点ステーキ朝食公開「朝から豪華すぎる」「スタミナ満点」と反響続々（モデルプレス）,https://news.yahoo.co.jp/articles/20d3390a1d0e57ae627732c130dca8fb79e8beac,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260719-04815468-mdpr-000-2-view.jpg?exp=10800,2026-07-19T21:33:36+09:00,2026-07-19T21:33:36+09:00,モデルプレス,mdpr,モデルプレス,392,小沢仁志 【モデルプレス＝2026/07/19】俳優の小沢仁志が7月17日、自身のInstagramを更新。白飯無しの朝食を公開した。 【写真】64歳ベテラン俳優「ボリュームすごい」と話題の豪華朝食 ◆小沢仁志「白飯無し」肉の朝食公開 小沢は「おはようさん！フライデーを乗り切るにはやはり肉 肉量多いいので白飯抜き」とコメントし、大きなステーキに、ブロッコリーやトマトが入った彩りの良いサラダに数種類のつけダレを添えた朝食を披露している。また、「さぁ、今日もファイティン！」ともつづっている。 ◆小沢仁志の投稿に反響 この投稿に、ファンからは「栄養満点で尊敬する」「これで夏も乗り越えられる」「ボリュームすごい」「朝から豪華すぎる」「スタミナ満点」「お腹すいてきた」などと反響が寄せられている。（modelpress編集部） 【Not Sponsored 記事】 modelpress,[],[]
＝LOVE大場花菜、国立でのヘソ出しクマ衣装姿にファン歓喜「出没大歓迎」「悶絶級の可愛さ」（モデルプレス）,https://news.yahoo.co.jp/articles/19e79ad81e14cc58fcc540ad0ec4a749d965aac0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260719-04815467-mdpr-000-2-view.jpg?exp=10800,2026-07-19T21:29:59+09:00,2026-07-19T21:30:02+09:00,モデルプレス,mdpr,モデルプレス,665,大場花菜 【モデルプレス＝2026/07/19】指原莉乃プロデュースのアイドルグループ＝LOVE（イコールラブ）の大場花菜が、7月17日までに自身のInstagramを更新。クマの衣装ショットを公開した。 【写真】イコラブメンバー「天使」と話題のミニ丈クマ衣装姿 ◆大場花菜、国立でのクマ衣装ショット公開 ＝LOVE は、6月20日と21日の2日間にわたり、東京・MUFGスタジアム（国立競技場）にて＝LOVE STADIUM LIVE「Beyond “KYUN”◆」（※◆はハートマーク）を開催した。大場は「ぼくは くま ぎゅーってハグするくま？国立の動物さんは私はくまさんでした〜」とコメントし、国立競技場で着用したクマの衣装ショットを複数枚投稿。 「このくまさんはおとこのこなんですよ〜 私の大好きなナポレオンっぽいデザインなんです ブラウン×オレンジでぴったりすぎました 後ろ姿の小さなしっぽもきゅーと 左のくまみみのピアスもやんちゃ感あって可愛いんです おてては爪ついてるんだよー！」と衣装のポイントをつづり、大きなクマ耳のカチューシャや後ろにクマのしっぽのついたナポレオン風ジャケット、ブラウンのバルーンショートパンツ姿でヘソ出しのショート丈のインナーから美しいウエストをチラリとのぞかせている。 ◆大場花菜の投稿に反響 この投稿に、ファンからは「悶絶級の可愛さ」「出没大歓迎」「似合いすぎ」「天使」などと反響が寄せられている。（modelpress編集部） 【Not Sponsored 記事】 modelpress,[],[]
山本彩、幼少期のお茶目な舌ペロショット公開「ベリベリプリチーすぎる」「既に仕上がってる」と反響（モデルプレス）,https://news.yahoo.co.jp/articles/e14265301701045c8c67f8b7fd4363d99b60f94a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260719-04815455-mdpr-000-2-view.jpg?exp=10800,2026-07-19T21:26:04+09:00,2026-07-19T21:26:04+09:00,モデルプレス,mdpr,モデルプレス,379,山本彩 【モデルプレス＝2026/07/19】アーティストの山本彩が7月16日、自身のInstagramを更新。幼少期の姿を公開し、反響が寄せられている。 【写真】32歳元NMBセンター「面影がある」と話題の幼少期 ◆山本彩、ジャケ写で幼少期の姿を公開 山本は新曲「ラズベリーサマー」が7月14日に配信リリースされたことを報告。「 ＃ジャケ写は 」「 ＃幼き頃のあたい 」「 ＃ベリベリプリチー 」とハッシュタグを添え、右手に植物を持ちペロリと舌を出す幼少期の姿を披露している。 ◆山本彩の投稿に反響 この投稿にファンからは「ベリベリプリチーすぎる」「面影がある」「この頃から既に仕上がってる」「めちゃくちゃ可愛い」「最高のジャケ写」といったコメントが寄せられている。（modelpress編集部） 【Not Sponsored 記事】 modelpress,[],[]
≠ME尾木波菜、美肩際立つタンクトップコーデ姿の空港コーデ公開「スタイル良くて憧れる」「ラフな姿も可愛すぎる」と反響（モデルプレス）,https://news.yahoo.co.jp/articles/d5bba1dbd0122ea3af874e4e8e1edea051660381,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260719-04815454-mdpr-000-2-view.jpg?exp=10800,2026-07-19T21:23:43+09:00,2026-07-19T21:23:43+09:00,モデルプレス,mdpr,モデルプレス,459,尾木波菜 【モデルプレス＝2026/07/19】指原莉乃プロデュースのアイドルグループ・≠ME（ノットイコールミー）の尾木波菜が7月16日、自身のInstagramを更新。グレーのタンクトップを身につけた姿を公開し、反響を呼んでる。 【写真】指原プロデュースアイドル「全身バランス神」と話題の空港コーデ ◆尾木波菜、タンクトップコーデ公開 尾木は「 ＃空港コーデ 」とハッシュタグを添え、空港で撮った写真を複数枚投稿。グレーのタンクトップにパーカー、スウェットパンツを合わせたコーディネートを公開し、美しい肩のラインをのぞかせている。 また、スーツケースを手にした空港での全身ショットや、ヘッドホンをつけてウィンクする姿も公開している。 ◆尾木波菜の投稿に反響 この投稿に、ファンからは「スタイル良くて憧れる」「ラフな姿も可愛すぎる」「天使」「全身バランス神」「ずっと見ていられる」「どこ行くのかな」などと反響が寄せられている。（modelpress編集部） 【Not Sponsored 記事】 modelpress,[],[]
大倉士門、妻・みちょぱへの愛あるメッセージ＆キス顔ショット公開に「理想の夫婦」「ラブラブで素敵」の声（モデルプレス）,https://news.yahoo.co.jp/articles/342b1ff7a269d632a083c2183c04a55411a87e89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260719-04815453-mdpr-000-2-view.jpg?exp=10800,2026-07-19T21:18:52+09:00,2026-07-19T21:18:52+09:00,モデルプレス,mdpr,モデルプレス,513,みちょぱ、大倉士門 【モデルプレス＝2026/07/19】タレントの大倉士門が7月16日、自身のInstagramを更新。妻でタレントの“みちょぱ”こと池田美優との夫婦ショットを公開し、反響を呼んでいる。 【写真】みちょぱ＆大倉士門「可愛すぎる」と話題のキス顔写真 ◆大倉士門、妻・みちょぱとの夫婦ショット公開 大倉は「もう何年も一緒にいるけど どこに行っても何してても誰といるよりも楽しいし 親友みたいな気持ちになれる」「これから先もずっとそんな感じでおれたらいいね」とコメントし、写真を複数枚投稿。砂浜を背景にした写真では、顔を寄せ合う姿や、お互いに唇を突き出したキス顔ショットなど、仲睦まじい姿を披露している。 ◆大倉士門の投稿に反響 この投稿には「仲良し感が伝わる」「キス顔が可愛すぎる」「ラブラブで素敵」「ずっと推しの夫婦」「理想の夫婦で憧れる」といった反響が寄せられている。 大倉は、みちょぱと2022年10月22日に結婚。みちょぱは2026年2月5日に妊娠を発表し、7月17日にそれぞれのSNSで第1子男児誕生を報告した。（modelpress編集部） 【Not Sponsored 記事】 modelpress,[],[]
“新婚”元乃木坂46北野日奈子、夫・クレイ勇輝との密着2ショット公開「幸せオーラすごい」「夫婦で同じ誕生日なんて運命感じる」と反響（モデルプレス）,https://news.yahoo.co.jp/articles/83fc38c32f586cd617a29f20ba3972e5aa677e0b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260719-04815451-mdpr-000-2-view.jpg?exp=10800,2026-07-19T21:16:20+09:00,2026-07-19T21:16:20+09:00,モデルプレス,mdpr,モデルプレス,881,北野日奈子、クレイ勇輝 【モデルプレス＝2026/07/19】元乃木坂46の北野日奈子が7月17日、自身のInstagramを更新。夫で2人組音楽ユニット・キマグレンのクレイ勇輝との2ショットを公開した。 【写真】29歳元乃木坂「運命感じる」と話題の夫との姿 ◆北野日奈子、夫・クレイ勇輝との密着ショット披露 北野は「今日30歳の誕生日をむかえました こうやって無事に健康に30歳になれたこと、幸せなことだと感じる年齢にもなってきました」と報告。「わたしの旦那さんも同じ誕生日で毎年同じ日に一緒に歳をとります」と明かし、野球場のスタンドで撮影したクレイとの写真を投稿している。プロ野球チームのマスコットキャラクターが描かれたお揃いのTシャツに身を包み、肩を寄せ合う仲睦まじい姿を披露。「旦那さんと誕生日を祝うのは今年で2回目 去年の今ごろはまだ探り合いながらな部分もあったけれど今年は夫婦として立派になれるように、みんなに応援されて可愛がってもらえるような夫婦になれるようにこの1年もまたよろしくね」と記している。 また、今後について「30代一歩目！本質を見失わないでいつまでも大切なものを守り抜ける自分であれるように！お仕事では好きなことや色々なことに挑戦させてもらっていますが、どんな時も正直に真摯に向き合いたいと思います！」と意気込みをつづっている。 ◆北野日奈子の投稿に「幸せオーラすごい」と反響 この投稿は「夫婦愛が溢れてる」「幸せオーラすごい」「お似合いすぎる」「夫婦で同じ誕生日なんて運命感じる」「お互いを大切にしてるのが伝わる」と反響を呼んでいる。 北野とクレイは2025年12月20日にSNSを通じて結婚を報告。「お互いの大切なわんこ達に導かれ、動物が好きという共通の活動を通じて出会い、人生において大事にしたいと思うものが同じであったこと、一緒に過ごしていく中で時間さえも超える運命というものに惹かれ信じたいと心から思いました」と出会いの流れを記した。（modelpress編集部） 【Not Sponsored 記事】 modelpress,[],[]
