headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
日銀鹿児島支店で親子見学会　銀行の仕組みや役割学ぶ（KKB鹿児島放送）,https://news.yahoo.co.jp/articles/6dc7946683e760345aebb812c80de23efb8d48c6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260729-00003870-kkbvc-000-1-thumb.jpg?exp=10800,2026-07-29T19:10:47+09:00,2026-07-29T19:10:47+09:00,KKB鹿児島放送,kkbv,KKB鹿児島放送,419,鹿児島放送 夏休みの子どもたちが銀行の仕組みや役割について楽しく学ぶイベントが日本銀行鹿児島支店で開かれました。 子どもたちが興味津々な様子で座るこちらのイス、実は要らなくなった５億円分のお札を裁断してつくられたものです。 およそ１０kgもある１億円の重さの体験もー お金に関する理解を深めてもらおうと日本銀行鹿児島支店で開かれた「夏休み親子見学会」には小・中学生とその保護者、２７人が参加しました。 日本銀行の仕事内容や役割について説明を受けた後はー 虫眼鏡を片手にお札をじっくり眺める子どもたちー肉眼では見えにくい小さな文字が印刷されていることなどお札の偽造を防ぐ技術も学びました。 【中学１年生】 「お金が入った袋をもってお金ってこんなに重いんだと思いました」 【小学４年生】 「偽造できないように細かくつくっているところが心に残りました。いつもお金を貯金しようと思っても使っちゃうことがあるので、ちゃんと貯めて使おうと思います。」,[],[]
次の地震にどう備える？対策は？　防災グッズに暑さ対策も　鹿児島（KKB鹿児島放送）,https://news.yahoo.co.jp/articles/b2162b0fb73131cefb317a0eed045942e3f54f8e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260729-00003869-kkbvc-000-1-thumb.jpg?exp=10800,2026-07-29T19:10:47+09:00,2026-07-29T19:10:47+09:00,KKB鹿児島放送,kkbv,KKB鹿児島放送,510,鹿児島放送 いつ起きてもおかしくないのが地震です。一方、鹿児島市内の店舗では、熊本地震をきっかけに防災グッズを見直す人も増えているようです。 【ハンズマン宇宿店 船津二郎 店長】 「地震のあった夜くらいから地震があったときに対策するような商品、今日も朝から結構お客さんが（来ている）。ちょうどこのコーナーなんですけど、一番多いのはタンスとか家具が倒れないようにする倒れ防止のものとか」 いわゆる「つっぱり棒」などすでに在庫が品薄の商品もあり、簡易トイレや保存食、飲料水など問い合わせが多いものは、特設コーナーを設置して販売しています。 さらに、連日の災害級とも呼ばれる暑さを受け、避難生活での熱中症対策としてファン付きの作業着や冷感ポンチョなどにも注目が集まっています。 【ハンズマン宇宿店 船津二郎 店長】 「こういう時期って注文はするんだけど全国で引き合いが多いと入ってこないという可能性もあるがそれでもなるべく商品揃えるようにしている」 熊本地震から一夜明け、県内ではさっそく被災地への支援の動きです。日置市の職員がけさ飲料水や扇風機などの支援物資を車に積み込み被災地へ出発しました。 ※続きは動画をご覧ください。,[],[]
鹿児島県内でも震度5強　専門家に聞く　見通しは？10年前との関連は？（KKB鹿児島放送）,https://news.yahoo.co.jp/articles/bc55f5315e0fea783a6f4d25cf979ca8020453bb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260729-00003868-kkbvc-000-1-thumb.jpg?exp=10800,2026-07-29T19:10:47+09:00,2026-07-29T19:10:47+09:00,KKB鹿児島放送,kkbv,KKB鹿児島放送,753,鹿児島放送 今回の地震について、同じ熊本で１０年前に起きた地震との関連性はあるのか、そして今後の見通しは？専門家に取材しました。 【鹿児島大学 井村隆介 准教授】 「この１日２日は日奈久断層が動くことに注力した方がいいと思う」 地震地質学などを専門とする鹿児島大学の井村隆介准教授。 １０年前の地震とは同じ断層でも違う部分が震源となっていることを強調した上で、熊本県から鹿児島の長島町・沖合にかけてまたがる日奈久断層の存在を気にかけます。 【鹿児島大学 井村隆介 准教授】 「今回、動いたのは日奈久区間の北部が動いただけ、南部と八代海区間は動いてない。それが動くと出水市や長島町は今回以上の強い揺れに見舞われる可能性がとても高い」 井村准教授は日奈久断層には、まだずれていない部分があることや八代海区間で地震が起きると数分以内で津波が襲ってくる可能性を示唆します。 【鹿児島大学 井村隆介 准教授】 「例えば能登半島で何が起こったのか、がけ崩れも起きたし津波もやってきた。自分のところでも起こるかもしれない」 また、いま地震が起きた時に想定される暑さの中での避難。トイレを気にせずに水分補給できる環境を行政が整えることや家でも暑さ対策グッズがすぐに持ち出せるかなど、できること・当たり前のことから徹底する必要性を語ります。 【鹿児島大学 井村隆介 准教授】 「鹿児島県内では大きな人的被害はでてない。これを機会に、地震への備えをいま一度確認してほしい。何か特別なことをするのではなく、いま自分の回りでやらなければいけないことを確認してほしい」 １０年前の地震では一度は助かった人の中でもエコノミークラス症候群などの災害関連死で２００人以上が命を落としました。 いまのうちからできる備えが大切になりそうです。,[],[]
流通　地震の影響　食卓にもじわり…？　鹿児島（KKB鹿児島放送）,https://news.yahoo.co.jp/articles/952f414d16e80fbf4462c0bc8211078c7047d809,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260729-00003867-kkbvc-000-1-thumb.jpg?exp=10800,2026-07-29T19:10:47+09:00,2026-07-29T19:10:47+09:00,KKB鹿児島放送,kkbv,KKB鹿児島放送,362,鹿児島放送 28日の地震で、鹿児島と熊本、そして北部九州をつなぐ大動脈ともいえる九州縦貫自動車道は一部で通行止めが続いています。そんな中、一部の店頭では生活に欠かせない食品の欠品も出始めているようです。 パンや、サラダ、納豆など日常に欠かせない食品ですが、いま、一部の店舗では流通ルートが、地震による交通事情の影響を受け、商品が届きにくかったり、大幅に遅れたりと、地震により流通に影響が出始めています。 日常的に口にするものだけに手に入りにくいとなるとないと困りますね。 九州自動車道は現在、益城熊本空港からえびのＩＣ間で通行止めが続いています。 この影響で、県内の一部の店舗では通常使用する容器が入手しづらくなっていたり、食品メーカーからの輸送ルートが確保できなかったりと、通常の流通体制が確保しづらい状況になっています。,[],[]
鹿児島市などから日本製紙八代工場へ　緊急援助隊が八代で救出活動（KKB鹿児島放送）,https://news.yahoo.co.jp/articles/dfe9046f7db0a4bc3790dca47a84cb8cfc89a1c1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260729-00003866-kkbvc-000-1-thumb.jpg?exp=10800,2026-07-29T18:30:59+09:00,2026-07-29T18:30:59+09:00,KKB鹿児島放送,kkbv,KKB鹿児島放送,213,鹿児島放送 熊本地震を受け、鹿児島市からも「緊急消防援助隊」が現地で活動しています。 【鹿児島市 下鶴市長】 「被災自治体への支援につきましても迅速かつ適切に、最大限の対応を行ってまいります」 鹿児島市によりますと、活動しているのは、複数の従業員が行方不明となっている熊本県八代市の日本製紙八代工場です。 市消防局から救急車など車両９台、３０人を派遣。県内のほかの自治体を含めて全体で４２隊１３６人が派遣されるということです。,[],[]
地震の後　霧島市で水道水に濁りも…　鹿児島（KKB鹿児島放送）,https://news.yahoo.co.jp/articles/3ae0ade0f430318ff2c357e5cce33aaa441ce6be,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260729-00003865-kkbvc-000-1-thumb.jpg?exp=10800,2026-07-29T18:30:59+09:00,2026-07-29T18:30:59+09:00,KKB鹿児島放送,kkbv,KKB鹿児島放送,350,鹿児島放送 28日の地震のあと、一部の地域で水道水に濁りが発生した霧島市では、けさ、市内３カ所に給水所を設置。 霧島市によると、水道水の濁りはこれまでにすべて解消したということです。 一方、こちらは、29日朝の枕崎市です。 「火の神公園プール」は、海を眺めながらプールで泳ぐことができるスポットとして、地域の子供たちにも観光客にも人気のスポットですが、28日、枕崎市で震度４の揺れが観測されたことを受けて、29日は、急きょ休園に。 でも、30日からは通常営業へ。園内に再び子どもたちの歓声が響き渡りそうです。 地震の発生を受けて、九州新幹線は、29日、全線で始発から運行取り止めとなりました。 この事態を受けて、ＪＡＬグループは、29日に続いて30日も鹿児島と福岡を結ぶ臨時便を運航するとしています。,[],[]
地震から一夜明け　震度5強を観測　薩摩川内市では　鹿児島（KKB鹿児島放送）,https://news.yahoo.co.jp/articles/747ec59b260af489ec3fd8161560c49341a948c5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260729-00003864-kkbvc-000-1-thumb.jpg?exp=10800,2026-07-29T18:30:59+09:00,2026-07-29T18:30:59+09:00,KKB鹿児島放送,kkbv,KKB鹿児島放送,785,鹿児島放送 県内でも震度５強を観測した地震から一夜明け、被害の全容が見えてきています。震度５強を観測しけが人も確認されている薩摩川内市です。 【北記者】 「こちら薩摩川内市役所では本館と別館を結ぶつなぎ目が外れてしまっていて、。隙間ができています。中の方も足の踏み場がないくらい物が散乱しています」 建物５階と６階には最大で２０センチ以上の隙間がー。外の日差しも差し込んでいました。 【発災時別館で業務にあたっていた職員】 「強い揺れだったので机の下に隠れることもできないくらい机がグラグラと動いた。しばらく立ち入り禁止なので片付けもできない状況。」 市は建物の安全を確保できていないとして、29日は会議室に場所を移して作業を進めていました。 汗だくになりながら崩れた棚を片付けているのは、同じ薩摩川内市のプラモデル店です。 【がらっぱ堂 神崎裕士 さん】 「軽いので棚の上から飛び降りるような動きをしてる。店自体は定休日だった。お客さんがいなかったのが不幸中の幸い」 また店の定点カメラは、発災当時、目の前の太平橋の様子を捉えていました。 大きく揺れる橋の下では、数人が足場の上で作業をしている最中でした。 【田島組大原隆さん】 「そこにある照明灯なんかがもう折れそうなぐらい揺れたんで職人の方々に地震が来るから身構えろと指示をだしまして（事なきを得た）（揺れがおさまったら）足場はすぐ点検して、作業員さんもすぐ地上にすぐ上げて点検をして異常がないかを点検したという経緯です」 また、薩摩川内市中村町では道路沿いの山の斜面が高さおよそ３０メートル、幅およそ２０メートルにわたって崩れました。けが人の情報は入っていません。 【近くの住民】 「６月２４日の大雨のときに一度そこの場所が崩れたんですね。また、今回の地震で同じ場所が崩れて、今回の方がちょっとひどかったですね」,[],[]
地震　県内で最大震度5強　発生直後は（KKB鹿児島放送）,https://news.yahoo.co.jp/articles/f0bd5627ea2d786841e4979020e0648244da01a4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260729-00003863-kkbvc-000-1-thumb.jpg?exp=10800,2026-07-29T18:30:59+09:00,2026-07-29T18:30:59+09:00,KKB鹿児島放送,kkbv,KKB鹿児島放送,731,鹿児島放送 発生直後の県内の様子を振り返ります。28日午後４時２７分に発生した熊本地震。 県内では最大震度５強の揺れが原発がある薩摩川内市やさつま町、長島町を襲いました市役所の庁舎内は資料や段ボールが散乱。 【薩摩川内市役所 秘書広報課 有馬眞次郎さん】 「スマートフォンから音が鳴ってまもなく横揺れがかなり強いのが来て、立っていられないような状況が続いて。みんな低い姿勢を取りながら地震がすぎるのを待ったという感じです」 川内川に架かる太平橋は波打つように揺れ、川の水面には波紋が広がるほど。 薩摩川内市では生後２カ月の女の子の顔に倒れてきたテレビがあたり軽いけがをしたほか、酒店では陳列棚から５０本余りの商品が落下し、酒や割れたガラス瓶が床に飛び散りました。 【宮城記者】 「中央駅に向かっています。今のところ街や移動中の車に大きな変化は見受けられません。大きな横揺れも感じましたが、落下物などもありません」 ただ、鹿児島中央駅に到着するとー。 【福岡の会社員】 「福岡から来ました。これから戻ろうかなと。（新幹線は29日動かない）29日は動かない？どうしよう。30日朝一で商談なんですよね」 一方、川内駅手前で緊急停止した九州新幹線。およそ２時間に渡って乗客１７２人が閉じ込められました。 【学生】 「アラートが携帯から鳴り出して揺れてるんだと思ったら急停止した」 【会社員】 「しばらくエアコンが効かなかった停電したんですよ。めちゃくちゃ暑かったです」 乗客を迎える駅構内のガラスも割れていました。 県内では住居への被害は確認されていませんが、これまでにさつま町にある県北部児童相談所で窓ガラスが割れたり、天井の一部が落ちたりする被害が確認されています。,[],[]
地震　熊本で震度７ 鹿児島県内でも震度５強　29日も余震相次ぐ（KKB鹿児島放送）,https://news.yahoo.co.jp/articles/f37085a575431cd5ef871519a640447e8ae312b6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260729-00003862-kkbvc-000-1-thumb.jpg?exp=10800,2026-07-29T18:30:59+09:00,2026-07-29T18:30:59+09:00,KKB鹿児島放送,kkbv,KKB鹿児島放送,342,鹿児島放送 28日午後、熊本県で震度７の揺れを観測する地震があり、県内でも最大震度５強を観測しました。今後一週間は最大震度７程度の地震に注意が必要です。 気象庁によりますと、28日午後４時２７分ごろ、熊本地方を震源とするマグニチュード７．１の地震が発生し、熊本県で震度７を観測しました。 鹿児島県内では、薩摩川内市、さつま町、長島町で震度５強を観測しました。地震を受けて、有明・八代海には一時、津波注意報が発表されました。 今回の地震は２０１６年に発生した熊本地震とメカニズムなどが共通しています。 １０年前の地震では最初に震度７を観測したあと、２８時間後に再び震度７の揺れが発生したことから、気象庁は今後１週間、特に２、３日の間は最大震度７程度の地震に注意するよう呼びかけています。,[],[]
熊本地震　鹿児島県内で最大震度５強　交通への影響続く（KKB鹿児島放送）,https://news.yahoo.co.jp/articles/030d1e905fc9b12f79461118557d48bf8236b46e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260729-00003861-kkbvc-000-1-thumb.jpg?exp=10800,2026-07-29T12:10:41+09:00,2026-07-29T12:10:41+09:00,KKB鹿児島放送,kkbv,KKB鹿児島放送,525,鹿児島放送 熊本県で最大震度７を観測した２８日の熊本地震。 鹿児島県内でも震度５強を観測し、被害が出ていて、交通への影響も続いています。 ２８日午後４時半ごろ、熊本地方を震源とする地震があり、熊本県で最大震度７を観測したほか、県内でも薩摩川内市やさつま町、長島町で震度５強を観測しています。 気象台によりますと、震度７の地震以降、県内では震度１以上の揺れが３９回観測されていて、そのうち、震度５強、震度４がそれぞれ１回、震度３が５回観測されています。 震度５強を観測した薩摩川内市では、生後２カ月の女の子の顔に倒れてきたテレビがあたり軽いけがをしました。 さつま町の県北部児童相談所では窓ガラスが割れたり、天井の一部が落ちたりする被害が確認されています。 川内原子力発電所はこれまでに異常は確認されておらず、１・２号機ともに運転を継続しています。 九州新幹線は全線で始発から運行を取り止めていて、鹿児島中央～熊本間は終日、運行を取り止めるということです。 ＪＡＬグループは、九州新幹線の運行取り止めに伴い、鹿児島と福岡を結ぶ臨時便を運航します。 気象庁は揺れの強かった地域では、地震発生から１週間は最大震度７程度の地震に注意するよう呼びかけています。,[],[]
