headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【ポケモン】フォッコやケロマツたちのイラストを使用した新作グッズがポケモンセンターで発売（GAME Watch）,https://news.yahoo.co.jp/articles/885e45d50baebc9b3d79e88815c3405773213e61,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260731-00000023-impgmw-000-1-view.jpg?exp=10800,2026-07-31T18:54:00+09:00,2026-07-31T18:54:00+09:00,GAME Watch,impgmw,GAME Watcg16,493,"写真：GAME Watch ポケモンは、ポケモンセンターにて新商品「Pokemon Timeless Adventure」を8月8日に発売する。価格は495円より。 【画像】A4クリアファイル Pokemon Timeless Adventure カロス 価格：495円 今回発売される「Pokemon Timeless Adventure」は、「ポケットモンスター」シリーズ30周年のピックアップテーマ「みる」をイメージしたイラストを描いたグッズ。ポフレに夢中なハリマロン、フォッコ、ケロマツの可愛らしいイラストで、こちらを使った商品が用意されている。 グッズとしてはA4クリアファイルやステッカーセット、アクリルブロックなどが販売される予定。ポケモンセンターオンラインでは、8月5日10時より販売をスタートする。 (C)2026 Pokemon. (C)1995-2026 Nintendo/Creatures Inc./GAME FREAK inc. ポケットモンスター・ポケモン・Pokemonは任天堂・クリーチャーズ・ゲームフリークの商標です。 GAME Watch,岩瀬賢斗",[],[]
マルチプレイ専用ゲームサーバー「ロリポップ！ for Gamers」の対応ゲーム数が国内最多の32タイトルに！（GAME Watch）,https://news.yahoo.co.jp/articles/2bfce1a05ff8b9fdaebb2911629205b37d4c176b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260731-00000022-impgmw-000-1-view.jpg?exp=10800,2026-07-31T17:42:00+09:00,2026-07-31T17:42:00+09:00,GAME Watch,impgmw,GAME Watcg16,664,"写真：GAME Watch GMOペパボは、専門知識がなくてもマルチプレイ専用ゲームサーバーを構築できる「ロリポップ！ for Gamers」において、7月21日より対応タイトル追加キャンペーン「対応ゲーム爆アンロックフェス」を実施している。 このキャンペーンにより、7月30日時点で対応タイトル数が30タイトルを超え、国内のマルチプレイ専用ゲームサーバーサービスにおける対応タイトル数が最多（※）となった。 さらに、7月31日にも対応タイトルが追加され、現在は計32タイトルとなっている。 （※）同社を除く国内マルチプレイ専用ゲームサーバー主要4サービスとの2026年7月30日時点の比較。GMOペパボ調べ。 ■ 「対応ゲーム爆アンロックフェス」概要 「対応ゲーム爆アンロックフェス」では7月21日から、期間中の各平日に対応ゲームタイトルを追加。追加タイトルには、「V Rising」、「Conan Exiles」、「Necesse」、「ICARUS」、「The Forest」、「Sons Of The Forest」など、世界各国でプレイされているゲームが含まれている。 また、国内の主要な競合サービスでは提供されていないタイトルにも対応し、「ロリポップ！ for Gamers」独自のラインナップを拡充。対応ゲームタイトルや料金プランなどの詳細は、対応ゲーム一覧ページで確認できる。 (C) 2026 GMO Pepabo, Inc. All Rights Reserved. GAME Watch,長岡 頼（クラフル）",[],[]
「ぽこポケ」新グッズにピカチュウ（うすいろ）のカラビナ付きマスコットなどが登場（GAME Watch）,https://news.yahoo.co.jp/articles/7c7e0191fa7f5e03b590c54d6200d1dcf4b80f8e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260731-00000021-impgmw-000-1-view.jpg?exp=10800,2026-07-31T15:47:00+09:00,2026-07-31T15:47:00+09:00,GAME Watch,impgmw,GAME Watcg16,654,"写真：GAME Watch ポケモンは、Nintendo Switch 2用スローライフ・サンドボックスゲーム「ぽこ あ ポケモン（ぽこポケ）」の新グッズを8月5日よりポケモンセンターにて販売開始する（ポケモンセンターオンラインでは8月5日10時より取り扱い開始）。価格は「ぷにぷにシール」が各440円など。 【画像】カラビナ付きマスコット ぽこ あ ポケモン ピカチュウ（うすいろ） 1,540円 ニンゲンのすがたにへんしんしたメタモンやポケモンたちとの、のんびり生活が楽しめるゲーム「ぽこ あ ポケモン」の新しいグッズがポケモンセンターに登場。ゲーム内で出会えるピカチュウ（うすいろ）のマスコットをはじめ、カビゴン（こけむし）・ヨクバリス（コック）・ロトム（ステレオロトム）などをイメージしたスクエアポーチがラインナップされる。 また、ニンゲンのすがたにへんしんしたメタモンのぬいぐるみがメタモンカラーで登場。カラビナ付きで、カバンなどにつけて楽しむことができる。 そのほか、ポケモンたちがデザインされたぷにぷにシールや、メタモンのようすが描かれたマスキングテープなどもそろっている。 (C)2026 Pokémon. (C)1995-2026 Nintendo/Creatures Inc./GAME FREAK inc. (C)2026 KOEI TECMO GAMES ポケットモンスター・ポケモン・Pokémonは任天堂・クリーチャーズ・ゲームフリークの商標です。 GAME Watch,徳永浩貴",[],[]
思わず目を引く！ 富士急「サンエックス パラダイス」で「すみっコ」ぺんぎん？のきゅうりドッグを食べてみた（GAME Watch）,https://news.yahoo.co.jp/articles/6c0d7f31546fe28bc53e26402cf049cbb96b3752,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260731-00000020-impgmw-000-2-view.jpg?exp=10800,2026-07-31T14:39:00+09:00,2026-07-31T14:45:17+09:00,GAME Watch,impgmw,GAME Watcg16,969,"写真：GAME Watch 8月1日、山梨県の遊園地「富士急ハイランド」に新たにオープンするエリア「サンエックス パラダイス」。本稿では、こちらで販売されるメニュー「ぺんぎん？のきゅうりドッグ」をレポートしたい。 【画像】レストラン「San-x Paradise Cafe & Diner」 「サンエックス パラダイス」の最奥にあるレストラン「San-x Paradise Cafe & Diner」では、様々なサンエックスキャラクターにちなんだメニューやフードが提供される。なかでも目を引くのは、ホットドッグのソーセージの代わりにきゅうりを挟んでいる、その名も「ぺんぎん？のきゅうりドッグ」（900円）だ。 ぺんぎん？は、「すみっコぐらし」に登場するキャラクターのひとり。きゅうりが好物ということまでは理解できるが、なぜパンに挟んだのだろうか？ 富士急ハイランドの担当者に聞いてみると、きっかけはサンエックスが描き下ろしたイラストにあったという。本レストランのオープンに向けて、「ダイナー」をテーマにイラストを依頼した際、ぺんぎん？が手にしていたものが“きゅうりドッグ”だった。 そこで富士急ハイランドの担当者が、「これをそのままメニュー化しては？」と思いついた。サンエックス側もまさかメニュー化するとは思っていなかったそうだが、「面白そう！」と乗り気だったため、実現に至ったという。イラストではケチャップやマヨネーズがかかっているようだが、実際にはタマゴのペーストがきゅうりと一緒に挟み込んである。 食べてみると、きゅうりは浅漬のように味がやんわりと染み込んでいて、まずきゅうりをかじった時点でおいしい。食べ進んでいくと、やわらかな酸味ときゅうりの香り、タマゴペーストがマッチして、歯ごたえバッチリのサンドイッチを食べているような気分になった。これはおいしい。 担当者にも味の仕上がりについて聞いてみると、「これが意外においしくて、評判です！ なので皆さんにオススメしているんですよ」とのこと。富士急ハイランドで「サンエックス パラダイス」を訪れたら、ぜひぺんぎん？の気分になって本メニューを食べていただきたい。 (C)2026 San-X Co., Ltd. All Rights Reserved. GAME Watch,安田俊亮",[],[]
推し探しが楽しい！ 富士急ハイランド「サンエックス パラダイス」内覧会レポート（GAME Watch）,https://news.yahoo.co.jp/articles/98e55053671319353e827b498ac25f6dca069a81,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260731-00000019-impgmw-000-1-view.jpg?exp=10800,2026-07-31T14:21:00+09:00,2026-07-31T14:21:00+09:00,GAME Watch,impgmw,GAME Watcg16,1251,"写真：GAME Watch 山梨県の遊園地「富士急ハイランド」にて、8月1日に新エリア「サンエックス パラダイス」がオープンする。本稿では、開業に先立って公開された内覧会の模様をお送りする。 【この記事に関する別の画像を見る】 「サンエックス パラダイス」は、サンエックスキャラクターの世界観を常設で楽しめる新エリア。サンエックスの多彩なキャラクターたちと、遊園地のどきどきワクワク感を掛け合わせることで、特別な没入感を味わえる。 エリア内には屋外アトラクション2機のほか、リラックマ、とかげと記念撮影ができるフォトスタジオ、グッズショプ、レストランなどが登場する。さらに、今秋には屋内アトラクション1機がオープン予定となっている。 エリア全体は歩いて5分ほどで一周できる広さで、そのなかにサンエックスのキャラクターたちが満遍なく散らばっている。施設としてはアトラクションが目立つが、もし乗らなくてもキャラクターたちとゆったりと時間を過ごすことができる。 キャラクターたちのお店をイメージした街並みにはフォトスポットが点在しており、ここには「こげぱん」や「いしよわちゃん」などと一緒に写真を撮れる。リラックマ、すみっコぐらし、たれぱんだ、アフロ犬といった人気者たちが集合したフォトスポットがあるのもここだ。 店のひとつはグッズショップになっており、ここに本エリアオリジナルグッズを含むサンエックスグッズが購入できる。内装もサンエックス一色となっているほか、店舗奥にはキャラクターたちをより深く知ることができるギャラリーもあるので、合わせて堪能するといいだろう。 なお、店舗外観の上には「すみっコぐらし」の「やま」がいる。「やま」は富士山に憧れているというすみっコで、ちょうど富士山の方向を見つめているような格好になっている。立地的に富士山がほど近いということで、「サンエックス パラダイス」では「やま」がところどころでフィーチャーされている。 エリアを奥へ進んでいくと、公園の施設のような巨大なたれぱんだが待っている。やわらかい素材でできており、上に寝そべったり、一緒に記念撮影しても楽しそうだ。子どもが上に乗って揺らせる遊具などもあり、親子で楽しめる。 また隣にはレストラン「San-x Paradise Cafe & Diner」がある。ここではサンエックスキャラクターにちなんだフードやデザート、ドリンクが楽しめる。ダイナー風の内装で、壁面や装飾にもたくさんのキャラクターたちがいる。休憩や食事をする際にはぴったりの施設だ。 エリア内はこのほかにも、自動販売機がサンエックスデザインになっていたり、ひっそりとしたところにキャラクターがいたり、歩き回るだけでもかわいさと癒しが待っている。様々なキャラクターがいるので、ぜひ隅々まで回って自分の推しを発見していただきたい場所だ。 (C)2026 San-X Co., Ltd. All Rights Reserved. GAME Watch,安田俊亮",[],[]
NCの新作「アストラエ・オラティオ」、クローズドβテスト参加者を8月19日より募集開始（GAME Watch）,https://news.yahoo.co.jp/articles/a9db96108595a346a984dec0c3a89faae7724508,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260731-00000018-impgmw-000-1-view.jpg?exp=10800,2026-07-31T14:15:00+09:00,2026-07-31T14:15:00+09:00,GAME Watch,impgmw,GAME Watcg16,342,"写真：GAME Watch NCは、新伝奇魔法RPG「アストラエ・オラティオ(Astrae Oratio)」においてクローズドβテスト（CBT）を開催する。参加者募集期間は8月19日から9月21日までの予定。開催日程および参加方法などの詳細は、後日公式Xを通じて順次案内される。 「アストラエ・オラティオ」は、「魔法」が存在するファンタジー世界を舞台とする新作タイトル。公式サイトや公式Xにて主要キャラクターや世界観が順次公開されており、7月28日には、クラン「アキナ怪談研究所」のキービジュアルが公開された。 (C) Dynamis One Licensed to NC Corporation. All Rights Reserved. GAME Watch,長岡 頼（クラフル）",[],[]
「ウマ娘のウマウマ！ケンタッキー！」フォトレビュー（GAME Watch）,https://news.yahoo.co.jp/articles/dcd2212f639fa18bcb9db87ad261722396f37c38,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260731-00000017-impgmw-000-1-view.jpg?exp=10800,2026-07-31T13:15:00+09:00,2026-07-31T13:15:00+09:00,GAME Watch,impgmw,GAME Watcg16,2834,"写真：GAME Watch 日本ケンタッキー・フライド・チキンは、Cygamesが展開する育成シミュレーションゲーム「ウマ娘 プリティーダービー」とのコラボレーションキャンペーン「ウマ娘のウマウマ！ケンタッキー！」を、8月12日から9月30日まで開催する。 【画像】今回のコラボレーションのキービジュアル 期間中は、「KFCネットオーダー」限定のオリジナルコラボセットを販売。作品の世界観をイメージしたオリジナル商品に加えて、第一弾では全18種類の描き下ろしトレーディングカード、第二弾では全8種類の描き下ろし缶バッジから、いずれか1点が付属する。第一弾は8月12日から、第二弾は9月9日から販売され、いずれも期間・数量限定となっている。 キャンペーンの開始に先駆けて、オリジナルコラボセットのサンプルをはじめ、描き下ろしイラストを使用したグッズや特別デザインのパッケージをひと足先に提供いただいた。本稿では、これらの内容をフォトレビュー形式で紹介していく。 ■ 作品の世界観を表現した、コラボ初のオリジナル商品が登場！ 今回のコラボで最大の目玉となるのが、チキンやポテトとの相性抜群なソース付きの「ウマ娘のウマウマ！コブマヨディップセット」と、ポテトやカーネルクリスピーと一緒に袋に入れて“フリフリ”したりと好みの方法で楽しめるスパイス付きの「ウマ娘のウマウマ！にんじんオッチャホイセット」だ。 いずれも「ウマ娘 プリティーダービー」の世界観をイメージして開発された商品で、ケンタッキー・フライド・チキンがコラボ作品をイメージしたオリジナル商品を展開するのは、今回が初めてとなる。 これらのオリジナル商品は、同時に発売されるというわけではなく、第一弾と第二弾に分かれて販売される。8月12日の第一弾で発売されるのが、「ウマ娘のウマウマ！コブマヨディップセット」に含まれている「ウマウマコブマヨディップソース」だ。こちらは、ウマ娘の好物でもあるにんじんをイメージして、オレンジ色に仕上げられたソースである。 実際に、サンプルとして提供してもらった「ウマウマコブマヨディップソース」をカーネルクリスピーにつけて味わってみたところ、想像以上にスパイスの辛さが感じられ、大人向けの味わいとなっていた。チキンだけではなく、ポテトにつけてもよく合いそうだ。 第二弾として9月9日より発売される「ウマ娘のウマウマ！にんじんオッチャホイセット」には、「にんじんオッチャホイフリフリスパイス」が含まれている。こちらは、劇場版「ウマ娘 プリティーダービー 新時代の扉」の劇中に登場する「にんじんオッチャホイ」をイメージした商品だ。 ポテトなどと一緒に袋へ入れて振ることで、普段とはひと味違った風味を楽しめるシーズニングとなっている。にんにくの香りにブラックペッパーの辛みを利かせた、これまでのシーズニングではあまり見られなかったパンチのある仕上がりだ。 ■ カーネル・ゴルシからのメッセージもあり！ 特別デザインのパッケージにも注目 今回のオリジナルコラボセットは、ウマ娘のイラストが施された「特別デザインパッケージ」で提供される。こちらには、ブエナビスタやレッドディザイア、ラッキーライラック、アグネスタキオン、ゴールドシップ、ステイゴールド、ダンツフレーム、マンハッタンカフェといった8人のウマ娘をデフォルメしたイラストがあしらわれている。 中でも注目なのは、ボックスの裏面に書かれているメッセージだ。こちらには、カーネル・サンダースに扮した「カーネル・ゴルシ」からの、超長文で暑苦しいメッセージがびっしりと書き込まれているのである。あまりにも長く、思わず成分表かと思ってしまったが、こちらも一見の価値ありだ。 第二弾の「ウマ娘のウマウマ！にんじんオッチャホイセット」に含まれる「にんじんオッチャホイフリフリスパイス」のパッケージにも、ウマ娘たちのイラストが描かれている。裏面には使い方が書かれているのだが、こちらもゴールドシップが「カーネル・ゴルシ」に扮した姿で描かれているのが面白い。 ■ 第一弾には全18種類の描き下ろしトレーディングカードが付属 オリジナルコラボセットには、描き下ろしイラストを使用した限定グッズが1点付属する。第一弾では、全18種類の「コラボ限定描き下ろしイラストトレーディングカード」から、ランダムで1枚が封入される。第二弾では、全8種類の「コラボ限定描き下ろしイラスト缶バッジ」が用意されている。 今回は、「コラボ限定描き下ろしイラストトレーディングカード」のサンプルを提供してもらった。さっそく開封してみたところ、登場したのはステイゴールド。KFCのボックスを抱えた、コラボならではのイラストが描かれている。裏面にもステイゴールドがデザインされており、両面で楽しめるカードとなっていた。 トレーディングカードは全18種類で、8人のウマ娘と全員集合をデザインしたノーマルカード9種類に加えて、各キャラクターを担当するキャストのプリントサイン入りレアカード8種類と、全員集合デザインのレアカード1種類が用意されている。今回出たのはノーマルカードだったが、どのカードが当たるかは開けてからのお楽しみで、キャンペーン期間中に何度も注文したくなりそうだ。 ■ キービジュアルをイメージしたラッピング店舗がKFC相模原大野台店に登場 今回のキャンペーンでは、ゲーム内で使用できるアイテムの配布をはじめ、スタンプを貯めるともらえるイラストストラップやアクリルスタンド、キャスト直筆サイン入りコラボビジュアルボードのプレゼントなど、さまざまな施策が用意されている。 そうした中で、実際に足を運んで楽しめるのが、「ウマ娘」の世界観を再現したラッピング店舗だ。会場となるのは、今年4月にリニューアルしたばかりのKFC相模原大野台店である。キャンペーン期間中は、店内に8人のウマ娘のパネルが展示される。 また、壁面や柱にも「ウマ娘」の装飾が施されており、ファンなら一度は訪れておきたいスポットとなりそうだ。今回のキャンペーンのキービジュアルは、このKFC相模原大野台店をモデルにしているということで、聖地巡礼のスポットとしても人気が出そうだ。 さらに、単なるラッピング店舗にとどまらず、「ウマ娘たちがKFCのお手伝いをするためにオープンした2号店」という設定になっているところも面白い。 ということで、ここまで「ウマ娘のウマウマ！ケンタッキー！」に登場する商品やパッケージなどを紹介してきた。キャンペーンは8月12日から9月30日まで開催され、オリジナルコラボセットの注文は「KFCネットオーダー」限定となっている。第一弾と第二弾でセット内容が異なるため、注文前にチェックしておくことをおすすめする。 (C) Cygames, Inc. GAME Watch,高島おしゃむ",[],[]
「タイトーステーション イオン春日井店」が8月1日グランドオープン（GAME Watch）,https://news.yahoo.co.jp/articles/0e49bbb32278ed3c11d03d23f71ba2ad65843102,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260731-00000016-impgmw-000-1-view.jpg?exp=10800,2026-07-31T12:57:00+09:00,2026-07-31T12:57:00+09:00,GAME Watch,impgmw,GAME Watcg16,544,"写真：GAME Watch タイトーは、全国展開するアミューズメント施設「タイトーステーション」の新店舗「タイトーステーション イオン春日井店」を8月1日にグランドオープンする。 【この記事に関する別の画像を見る】 「タイトーステーション イオン春日井店」には100台以上のクレーンゲームが設置されるほか、ゲームコーナーで遊んでポイントがたまるとお菓子がもらえる「キッズマート」など、ファミリーで楽しめるコンテンツが用意されている。 また、8月1日と2日にはグランドオープンを記念して、1人1個獲得するまで無料で遊べるクレーンゲーム機が登場する。ただし、各日、景品に限りがある。 ■ タイトーステーション イオン春日井店 オープン日：8月1日（土）グランドオープン 所在地：愛知県春日井市柏井町4丁目17番地 イオン春日井ショッピングセンター3F 営業時間：9時～21時 営業面積：約170坪 定休日：年中無休（母体に準ずる） ※「TAITO」、「TAITO ロゴ」および「タイトーステーション」は、日本およびその他の国における株式会社タイトーの商標または登録商標です。 ※その他、記載されている会社名・商品名は、各社の商標または登録商標です。 GAME Watch,長岡 頼（クラフル）",[],[]
「ゼンゼロ2周年イベント」が秋葉原で開催！ 大人気っぷりを感じる会場のフォトレポートをお届け（GAME Watch）,https://news.yahoo.co.jp/articles/4d524df13477913cf045bd9244e485fa66f33113,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260731-00000015-impgmw-000-1-view.jpg?exp=10800,2026-07-31T12:35:00+09:00,2026-07-31T12:35:00+09:00,GAME Watch,impgmw,GAME Watcg16,1526,"写真：GAME Watch 「原神」や「崩壊：スターレイル」などを手掛けるHoYoverseは、本日7月31日より8月2日にかけてアクションRPG「ゼンレスゾーンゼロ（ゼンゼロ）」のサービス開始2周年を記念したオフラインイベント「ゼンゼロ2周年イベント」を東京都のベルサール秋葉原にて開催した。 【画像】ステージでは、3日間共に10時半から12時、12時半から14時、14時半から16時、16時半から18時の4回、コスプレランウェイ、変調対決、要警戒狩りイベントが開催される。変調シーンの再現度も、なかなかのものとなっていた 取材日当日は、本作をプレイしている大勢のユーザーが会場を訪れ、展示物を見たりステージでのコスプレランウェイといったイベントを堪能していたほか、物販スペースでのグッズ購入なども楽しんでいた。今回、イベント開催初日に取材することができたので、その模様をお届けしよう。なお、入場に際してはLINEアプリにて配布されている整理券が必要となる。 ■ ステージイベントやコラボバイクの展示など見所が満載 オフラインイベント会場となったのは、さまざまな催し物が開催されるベルサール秋葉原。会場はブラックとゴールドを基調としたカラーリングで彩られており、その内部はステージエリアと物販エリアの2つに分かれて設営されていた。 ステージエリアには、一番奥にゲーム内の変調（ゲーム内のガチャ）シーンを再現したステージが設置されており、ここでは1日に4回、コスプレショーや変調対決、要警戒狩りといったイベントが行われる。 こちらで当日のMCを担当するのはフリーアナウンサー・声優の山口慧さん。コスプレショーでは中国出身のコスプレイヤー・菌烨takoさんがレミエール、同じくナツメさんがヴェリナ、日本からはコスプレイヤーのAguniさんがビリー・キッド、シスルさんがニコ・デマラ、やもはちこさんがアンビー・デマラのコスチュームでランウェイを披露する。なお、イベントの内容は3日間とも共通なので、都合の良い日程を選んで見に行きたい。 他にもステージエリアには、入場して右手となる壁スペースに「ボンプイン！」チャレンジが設置されている。ここでは、スペースの奥に見えるボンプを撃ち落とすことで作品に関連した各種アイテムを手に入れることができる。チャレンジ回数は3回あるものの、一度目で撃ち落とせれば勝ち（終了）なので、基本的にグッズをゲットできるだろう。 さらに、本作に登場するビリーとの親和性から実現したヤマハ「XSR900 GP」とのスペシャルコラボレーションバイクも展示されている。ビリーの等身大パネルと合わせて見ることができるだけでなく、コラボバイクや会場の写真をハッシュタグを付けてXに投稿すれば、ヤマハコラボグッズやボンプ紙袋といったノベルティを無料でもらうことも。 物販エリアでは限定グッズを多数用意しており、さらに購入金額に応じて限定ノベルティがもらえる購入特典キャンペーンも実施中だ。とにかく種類が豊富なので、参加する人はあらかじめそこで確認して、どれを買うかを先に考えておくのが良いだろう。なお、ステージエリアは再入場可能だが、物販エリアに関しては一度出てしまうと再入場することができない。出口の門をくぐる前に、買い忘れがないかしっかり確認しておこう。 ステージエリア・物販エリアのどちらも、来場者特典として限定のレンチキュラカードと限定のスクラッチカード、そして限定のミニうちわが貰えるので「ゼンゼロ」ユーザーで日程が合う人はこの週末、予約して足を運んでみてはいかがだろうか。 (C)COGNOSPHERE GAME Watch,音無欒",[],[]
WALLHACK、アルミ削り出しボディのキーボード「K-001」とマグネシウム合金製のマウス「M-001」を発表（GAME Watch）,https://news.yahoo.co.jp/articles/a88733e5ed9a9c91f2ca331349d1d48c8ca34a04,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260731-00000014-impgmw-000-1-view.jpg?exp=10800,2026-07-31T12:24:00+09:00,2026-07-31T12:24:00+09:00,GAME Watch,impgmw,GAME Watcg16,1131,"写真：GAME Watch WALLHACKは7月31日、同社初となるキーボードとマウスを発表した。アルミニウムの塊から削り出した65%レイアウトキーボード「K-001」は8月21日、マグネシウム合金シェルのワイヤレスマウス「M-001」は9月発売予定。 【画像】K-001 Natural 価格は、「K-001」は8月上旬、「M-001」は9月上旬に発表予定。両製品とも専用のデスクトップアプリやインストールは不要で、詳細設定はすべてブラウザ上で完結する。 ■ キーボード「K-001」 8月21日よりWALLHACK公式サイトにて販売開始 価格：8月上旬発表予定 K-001は、アルミニウムブロックから削り出したフレームにビーズブラストとアルマイト処理を施した、65%キーボード。カラーは、削り出しのアルミボディ本来の美しさを際立たせる「Natural」と、キーキャップと調和するダークグレーの「Slate」の2種類がラインナップする。 Gateronと共同開発した磁気式（ホール効果）のカスタムキースイッチ「WALLHACK KS-TR Linear Switch」に加え、8,000Hzポーリングレート対応、ラピッドトリガー機能、アクチュエーションポイント設定機能を搭載。 よく使う設定は、キーボード本体で直接調整可能。削り出しのダイヤルとLED インジケーターにより、設定のたびにソフトウェアを開くことなく、簡単に変更できる。 【「K-001」スペック】 ■ マウス「M-001」 9月にWALLHACK公式サイトにて販売開始 価格および発売日：9月上旬発表予定 M-001は、マグネシウム合金製のワイヤレスマウス。カラーは、マットな質感に繊細な光沢感を兼ね備えた「Slate」。クセが少なくニュートラルな形状、サイズ感にすることで、特定の持ち方に最適化しすぎず、さまざまなグリップスタイルに対応する。内部には PixArt PAW3950センサーを搭載し、最大30,000 DPI、8,000 Hz のポーリングレートに対応。 本体にUSBポートを持たない完全ワイヤレス仕様で、開放型の底面により軽量化を実現。ホットスワップ機能により予備バッテリーと差し替えることで、残量ゼロの状態から一瞬で100%へと戻すことができるため、プレイ中の充電切れの心配は不要。 レシーバーも、製品の一部としてデザインされている。モニターの裏に隠すドングルではなく、デスクの上に姿を見せて置かれ、予備バッテリーを充電機能に加え、削り出しのダイヤルが心地よい操作体験と直感的なわかりやすさをもたらす。 【「M-001」スペック】 GAME Watch,長岡 頼（クラフル）",[],[]
