headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
MLB、不良債権となった超大物選手（2）世界一から衝撃の”暗転”（ベースボールチャンネル）,https://news.yahoo.co.jp/articles/07ec41d01849925bdfa53eb851a29df9791381d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00010047-baseballc-000-1-view.jpg?exp=10800,2026-08-05T21:30:23+09:00,2026-08-05T21:30:23+09:00,ベースボールチャンネル,baseballc,ベースボールチャンネル,849,【写真：Getty Images】 メジャーリーグの世界では、球界屈指の活躍を見せる選手の超大型契約が度々話題となる。長期契約を結ぶことにより、主力の流出を防ぐメリットがある一方で、年俸に見合う活躍ができなければ、不良債権と化してしまうデメリットも存在する。ここでは、大型契約を結ぶも期待外れとなったメジャーリーガーを紹介していく。 パトリック・コービン 【写真：Getty Images】 ・ポジション：投手 ・投打：左投左打 ・身長／体重：193cm／102kg ・生年月日：1989年7月19日 ・契約：6年総額1億4000万ドル（2019～2024年） アリゾナ・ダイヤモンドバックス時代の2018年に33試合登板で11勝7敗、防御率3.15、246奪三振を記録。オフにワシントン・ナショナルズと6年総額1億4000万ドルの契約を結んだ。 移籍1年目の2019年は33試合登板、202回を投げて14勝7敗、防御率3.25、238奪三振をマーク。ポストシーズンでは先発と救援の両方を担い、球団初の世界一に大きく貢献した。 ところが、翌2020年以降は成績が急落。2022年は6勝19敗、防御率6.31と大きく負け越した。 2023年も10勝15敗、防御率5.20、契約最終年の2024年も6勝13敗、防御率5.62に終わった。 2019年の貢献度は極めて大きかった一方、その後の5シーズンは計137試合に先発して防御率5.62。先発ローテーションを守り続けた耐久性は評価できるが、契約額に見合った投球とは言い難かった。 契約満了後の2025年はテキサス・レンジャーズと契約し、31試合登板で7勝11敗、防御率4.40。2026年はブルージェイズと1年100万ドルで契約した。 今季は6月末に先発から救援へ配置転換され、7月下旬には左大円筋の張りで15日間の負傷者リストに入った。 大型契約はすでに終了したが、37歳となった現在もメジャーの舞台で現役を続けている。 ベースボールチャンネル編集部,[],[]
このまま出番なし…？ソフトバンク、いまだ1軍出場ゼロの選手（3）ファームで負けなしも“昇格ゼロ”…23歳の主力候補だが（ベースボールチャンネル）,https://news.yahoo.co.jp/articles/8ae4f18f53bd150e7b2dbd2a7e0ad787d144899e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00010046-baseballc-000-1-view.jpg?exp=10800,2026-08-05T21:01:09+09:00,2026-08-05T21:01:09+09:00,ベースボールチャンネル,baseballc,ベースボールチャンネル,653,【写真：産経新聞社】 後半戦に突入している2026年シーズンのプロ野球。今季も主力の故障や不調など、様々な要因で選手の入れ替えが行われ、多くの選手が一軍の舞台を経験している。一一方で、故障やチーム事情などにより、ここまで一軍出場がない選手も少なくない。ここでは、今季一軍出場がない福岡ソフトバンクホークスの選手を紹介したい。(※今季成績は8月1日時点) 岩崎峻典 【写真：産経新聞社】 ・投打：右投右打 ・身長／体重：177cm／85kg ・生年月日：2003年3月11日（23歳） ・経歴：履正社高 - 東洋大 ・ドラフト：2024年ドラフト6位（ソフトバンク） ・2025年成績：1試合登板（1回）、2奪三振、防御率18.00 ルーキーイヤーの昨季は、ほろ苦い一軍デビューを味わった岩崎峻典。今季はここまで一軍登板はないが、二軍ではアピールを続けている。 履正社高、東洋大を経て、2024年ドラフト6位で福岡ソフトバンクホークスに入団。ルーキーイヤーの昨季は、5月に一軍昇格を果たした。 しかし、デビュー戦では1回3失点と結果を残せず。同年の一軍登板は、この1試合のみに終わった。 今季はここまで一軍登板こそないが、5月下旬から二軍の先発ローテーションに定着すると、6試合（40回）を投じて5勝0敗、防御率2.02の好成績をマーク。 チームではエース格の大津亮介や高卒3年目の前田悠伍など、激しい競争を強いられているが、このまま好投を続け、一軍昇格を勝ち取りたいところだ。 ベースボールチャンネル編集部,[],[]
まさかの”初戦負け”…早期敗退となった昨夏の甲子園出場校（2）波乱だらけの地方大会…王者が初戦で姿を消す（ベースボールチャンネル）,https://news.yahoo.co.jp/articles/784482de7ae91a923a1e6ac8e987a50148283c77,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00010045-baseballc-000-1-view.jpg?exp=10800,2026-08-05T20:50:14+09:00,2026-08-05T20:50:14+09:00,ベースボールチャンネル,baseballc,ベースボールチャンネル,528,【写真：産経新聞社】 選手が毎年入れ替わる高校野球で、強いチームを継続して作り上げるのは容易ではない。その証拠として、前年夏の都道府県大会を制した学校が、翌年は初戦で姿を消すケースもある。そこで今回は、今年の都道府県大会において、初戦敗退を喫した昨夏の代表校を紹介したい。 金足農（秋田） 【写真：産経新聞社】 今夏は波乱の連続となった秋田大会。中でも、金足農の初戦敗退に驚いたファンは多かったはずだ。 2018年、吉田輝星（現：オリックス）がエースとして大活躍し、甲子園大会で準優勝。「金足旋風」を巻き起こし、多くの秋田県民の希望となった。 それ以降は甲子園から遠ざかっていたが、2024年に県大会を制覇。また、昨夏も吉田輝星の弟・吉田大輝を中心に県大会で優勝し、今年は3連覇を目指していた。 初戦の相手は甲子園から50年以上遠ざかっていた横手。これまでの実績でいえば金足農が有利と見られていたが、今年5月の春季大会では2-6で横手が勝利を収めていた。 試合は金足農が先制したものの中盤に逆転され、最後まで相手ピッチャーを打ち崩せず1-3で初戦敗退を喫した。 実力校であっても、初戦を勝ち抜く難しさを改めて示した一戦だった。 ベースボールチャンネル編集部,[],[]
もう二度と見られない…日本の“消えた名球場”（6）熱狂と哀愁を刻んだ”ヨーロッパのお城“（ベースボールチャンネル）,https://news.yahoo.co.jp/articles/508d4795fd562a6064b886aea6255ce61639c217,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00010044-baseballc-000-1-view.jpg?exp=10800,2026-08-05T20:30:02+09:00,2026-08-05T20:30:02+09:00,ベースボールチャンネル,baseballc,ベースボールチャンネル,860,"【写真：産経新聞社】 日本の野球文化を支え、多くの名勝負と記憶を生んだ球場たち。しかし時代の流れとともに姿を消し、今ではもう訪れることのできない場所も少なくない。そこで今回は、日本野球史に深く刻まれながらも、惜しまれつつ消えていった“名球場”を紹介する。 藤井寺球場 【写真：産経新聞社】 所在地：大阪府藤井寺市 廃止：2005年 最大収容人数：32,000人前後 ■この球場が愛された理由 藤井寺球場は、近鉄バファローズの歴史とともに歩んだ“浪花の野球文化”の象徴だった。 西洋風の巨大な「鉄傘（大屋根）」を持つ独特の景観は「ヨーロッパのお城のようだ」と近辺の人たちを驚かせた。 日本では珍しい直線的な外野フェンスを持つフィールド形状であったが、1953年にスタンドとの間に円弧状のラッキーゾーンを設けたために一般的な扇状となり、両翼は公称91mに縮小された。 また、周囲は住宅地のため、トランペットや太鼓といった鳴り物での応援は禁止。そのためスタンドで応援団が必死に手拍子で観客に応援を呼びかける姿もみられた。 一方で、照明設備を備えていない本球場ではナイター開催が不可能であり、近鉄は平日の公式戦を大阪球場、日生球場で開催。1997年に大阪ドームが完成し、チームの本拠地は移転となった。 ■名場面 藤井寺球場といえば、近鉄黄金期を支えた「いてまえ打線」の記憶が深い。同球団はチーム本塁打数200本以上を3度記録するなど、球界屈指の強力打線として名を残した。 1984年にエース・鈴木啓示が300勝を達成、1989年にはラルフ・ブライアントらの活躍によりリーグ優勝を飾るなど名勝負が繰り広げられた。 同球場唯一の開催となった1989年の日本シリーズでは、3連勝で王手をかけながらもその後4連敗を喫し、日本一を逃すという劇的な展開の舞台となった。 ■球場の現在 藤井寺球場の跡地には現在、私立小中学校などが建設。 学校の正門東側には藤井寺球場記念モニュメント「白球の夢」が設置されている。 ベースボールチャンネル編集部",[],[]
【速報】仙台育英、札幌日大との開幕戦に勝利し2回戦進出！　田山纏が大会第1号、3投手の継投で大接戦制す【夏の甲子園】（ベースボールチャンネル）,https://news.yahoo.co.jp/articles/205c8d4bef0e18d994956c0f7edfdc5a50b2bfce,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00010043-baseballc-000-1-view.jpg?exp=10800,2026-08-05T20:08:46+09:00,2026-08-05T20:08:46+09:00,ベースボールチャンネル,baseballc,ベースボールチャンネル,613,【写真：Getty Images】 第108回全国高等学校野球選手権大会が5日、阪神甲子園球場で開催され、開幕戦で札幌日大（南北海道）と仙台育英（宮城）が対戦。仙台育英が3-1で札幌日大を下し、2回戦進出を決めた。 【表】夏の甲子園2026 組み合わせトーナメント表 札幌日大はエースの石川瑛二朗、仙台育英は背番号10の古川諒弥が先発した。 札幌日大は初回と2回、四球などで得点圏に走者を進めたが、あと一本が出ず無得点。すると3回、仙台育英が試合を動かした。 2死走者なしから、1番・小久保颯弥が二塁打を放って好機をつくると、続く2番・斎藤駿多が中前適時打。仙台育英が先制に成功した。 さらに4回には、1死走者なしから4番・田山纏が右翼席へ大会第1号となるソロ本塁打を放ち、リードを2点に広げた。 反撃したい札幌日大は6回、1死二、三塁のチャンス。仙台育英は2番手の福井勇翔を投入した。その後、2死満塁となり、7番・小森桜暉が押し出し死球を受けて札幌日大が1点差に迫った。 札幌日大は7回にも3番手・梶井湊斗を攻め、2死二塁の好機をつくったが、3番・川合黎が二ゴロに倒れて無得点に終わった。 仙台育英は8回、2死二塁から5番・高岡龍一が適時打を放ち、貴重な追加点を奪った。 仙台育英の3番手・梶井は9回にもピンチを背負ったが、札幌日大の反撃を封じ、3-1で勝利。開幕戦を制し、2回戦へ駒を進めた。 ベースボールチャンネル編集部,[],[]
「どの球団にもチャンスはあった」ドジャースOBがサイヤング左腕獲得批判にため息！？　米メディア「29人の億万長者が」（ベースボールチャンネル）,https://news.yahoo.co.jp/articles/efc996f606bb8c9a2ec1ba81e2bda2bfa7f01823,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00010042-baseballc-000-1-view.jpg?exp=10800,2026-08-05T20:02:52+09:00,2026-08-05T20:02:52+09:00,ベースボールチャンネル,baseballc,ベースボールチャンネル,577,【写真：Getty Images】 大谷翔平選手が所属するロサンゼルス・ドジャースは、他球団ファンから「野球を台無しにしている」などと批判されることが少なくない。先日のタリック・スクーバル投手獲得により拍車がかかっているが、こうした風潮に球団OBのランス・リン氏がため息をついたという。米メディア『スポーツイラストレイテッド』が報じた。 【写真】ドジャース、高額年俸ランキング2026 同メディアは「スクーバル獲得後の動きを受け、ドジャースの球団運営は『野球を壊している』と一部のファンやオーナーから批判の声が上がっている。リン氏はポッドキャスト番組の中で、この見方を強く批判した」と言及。 続けて、「私からすれば、これは29人の億万長者が『別の億万長者のほうが自分たちよりうまくやっている』と文句を言っているだけだ。どの球団にもスクーバルを獲得するため、世間ではほとんど知られていない4、5人の選手を放出するチャンスはあった。でも、それをしなかった。やったのはドジャースだった」という同氏の見解を伝えている。 ドジャースはリバー・ライアン投手、ザイアー・ホープ外野手、ブレイディ・スミス投手の3名を引き換えにスクーバルを得た。ただ、見返りとしては安いという見方もあり、他球団ももう少し手を尽くす余地はあったのかもしれない。 ベースボールチャンネル編集部,[],[]
ロッテ、9月20日西武戦でTシャツ付きチケットを販売　藤原恭大らのサヨナラ勝利の瞬間をモチーフに　全3種類ランダムで配布（ベースボールチャンネル）,https://news.yahoo.co.jp/articles/8c76f08428ec36a729ef8254825093eef2e3d70e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00010041-baseballc-000-1-view.jpg?exp=10800,2026-08-05T18:32:12+09:00,2026-08-05T18:32:12+09:00,ベースボールチャンネル,baseballc,ベースボールチャンネル,709,"写真提供：千葉ロッテマリーンズ 千葉ロッテマリーンズは、9月20日にZOZOマリンスタジアムで行われる西武戦（18時00分試合開始）を対象に、「GRAB THE WIN - DRAMATIC PAINT TEE」がセットになったグッズ付きチケットを先着15,000枚限定で販売することを発表した。 本アイテムは、今シーズンに生まれた劇的なサヨナラ勝利の瞬間をモチーフにした半袖Tシャツ。 4月3日の福岡ソフトバンク戦で9回裏2死二、三塁から逆転サヨナラ2点適時二塁打を放った藤原恭大外野手、6月11日の中日戦で延長10回裏2死一、三塁からサヨナラ適時打を放った佐藤都志也捕手、6月12日の横浜DeNA戦で9回裏2死二、三塁からサヨナラ適時打を放った山本大斗外野手の劇的勝利のシーンをデザインした全3種類を展開。 グッズの有無は、ビジター外野応援指定席を除く全席種でチケット購入時に選択可能。なお、グッズの有無による金額差はありません。 また、シーズンシートオーナーおよびホーム外野応援指定席マイシートオーナーも対象となる。グッズ付きチケットをご購入のお客様は、対象チケット1枚につき「GRAB THE WIN - DRAMATIC PAINT TEE」1枚を受け取り可能。 デザインは全3種類の中からランダムでの配布となる。受け取り場所および注意事項の詳細は球団公式ホームページをご確認ください。 配布概要は下記をご確認ください。 ＜GRAB THE WIN - DRAMATIC PAINT TEE 概要＞ 素材： ポリエステル100%。サイズ：身丈71cm、身幅62cm、袖丈26cm ベースボールチャンネル編集部",[],[]
甲子園とは無縁でも…ドラフト上位指名を受けた天才野手（5）高卒1年目から大器の片鱗…広島の“中心選手”に（ベースボールチャンネル）,https://news.yahoo.co.jp/articles/e8105ec35232a59f27cce91ee04f2e10a4b617f0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00010040-baseballc-000-1-view.jpg?exp=10800,2026-08-05T18:02:55+09:00,2026-08-05T18:02:55+09:00,ベースボールチャンネル,baseballc,ベースボールチャンネル,709,【写真：Getty Images、産経新聞社】 高校球児が夢見る甲子園の舞台。過去には甲子園で大活躍し、プロ入りした選手が数多くいる。一方で、聖地への出場は叶わなかった選手でも、ドラフト上位指名を受けた例は少なくない。ここでは、甲子園に縁がなかったものの、高卒でドラフト上位指名を受けた現役野手を紹介したい。（※今季成績は8月4日時点） 坂倉将吾 【写真：産経新聞社】 ・投打：右投左打 ・身長／体重：177cm／91kg ・生年月日：1998年5月29日（28歳） ・経歴：日大三高 ・ドラフト：2016年ドラフト4位（広島） 日大三高時代から強打の捕手として存在感を示したのが、広島東洋カープの坂倉将吾だ。 坂倉は日大三高（西東京）で、1年秋から4番打者としてレギュラーに定着。2年秋から正捕手を務めた。 高校通算25本塁打を記録したが、在学中に甲子園の土を踏むことはできなかった。 その後、2016年ドラフト4位で広島から指名を受けて入団。高卒1年目に一軍デビューを果たし、初安打も記録した。 プロ4年目の2020年に81試合出場まで数字を伸ばすと、翌2021年には捕手と一塁手を兼任しながらレギュラーを獲得。同年は132試合出場で打率.315、12本塁打、68打点と大きく飛躍した。 2022年は三塁手へのコンバートもあり、全143試合に出場。その後も複数のポジションをこなしながら、広島打線を支えてきた。 昨季は104試合出場で打率.238、5本塁打、37打点と苦しんだが、今季はここまで89試合出場で打率.260、10本塁打、48打点。再び打線の中核として存在感を示している。 ベースボールチャンネル編集部,[],[]
17試合連続無失点も…ヤクルトの“新加入クローザー”が登録抹消　直近3試合連続で敗戦投手（ベースボールチャンネル）,https://news.yahoo.co.jp/articles/2b213dd54c744ae3949b6ebea4b643a9620b5203,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00010039-baseballc-000-1-view.jpg?exp=10800,2026-08-05T17:26:40+09:00,2026-08-05T17:26:40+09:00,ベースボールチャンネル,baseballc,ベースボールチャンネル,379,【写真：産経新聞社】 5日のプロ野球公示で、東京ヤクルトスワローズはJ.キハダ投手を一軍登録から抹消した。 【動画】痛恨…！村松開人に浴びたサヨナラタイムリーの場面 キハダはフランシスコデミランダ高、マーリンズ、エンゼルスを経て、今季からヤクルトに加入した来日1年目左腕。 来日初登板から17試合連続無失点を記録するなど、前半戦のチームの好調を支える活躍を見せていた。 しかし、交流戦から失点する場面が増え、直近では登板3試合連続で敗戦投手に。苦しいピッチングが続いていた。 今季はここまで38試合に登板し、2勝7敗、21セーブ、2ホールド、防御率3.89の成績となっていた。 抑えとしてセーブを積み重ねてきた助っ人左腕にとっては、悔しい一軍離脱となるが、ファームで調整し、再び前半戦のピッチングを取り戻すことが出来るだろうか。 ベースボールチャンネル編集部,[],[]
「その可能性はある」ドジャース、ローテ投手のクセがバレている！？　米メディア「2試合連続で」（ベースボールチャンネル）,https://news.yahoo.co.jp/articles/705f7cc0b085107f9591604958ed52e89cfc4fb4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00010038-baseballc-000-2-view.jpg?exp=10800,2026-08-05T17:01:52+09:00,2026-08-05T17:11:15+09:00,ベースボールチャンネル,baseballc,ベースボールチャンネル,650,【写真：Getty Images】 大谷翔平選手が所属するロサンゼルス・ドジャースは日本時間4日、シカゴ・カブスと戦い5-10で敗れた。先発のジャスティン・ロブレスキ投手が大量失点を喫したことが大きく響いたが、米メディア『ドジャーブルー』は、投球時のクセがバレている可能性について言及している。 【写真】ドジャース、高額年俸ランキング2026 同戦のロブレスキは初回に鈴木誠也外野手に2ランを被弾すると、2回にケビン・アルカンタラ外野手、3回にはカーソン・ケリー捕手にそれぞれ2ランを打たれる、その後、5回にマイケル・ブッシュ内野手にソロを浴びたところで降板となった。 同メディアは「ロブレスキは2試合連続で4本塁打を浴びたことから、球種や配球が相手に読まれているのではないかとの見方も出ている。本人は『その可能性はある。それはこれから確認していくことになると思う。今日は配球をかなり大きく変えたつもりだったけど、それでも相手は何球かしっかり対応してきた」と言及。 続けて、「彼がマウンド上で球種や配球のクセを見抜かれている可能性については、デーブ・ロバーツ監督も同じ見方を示した」としつつ、「ある程度しっかり投げ切れた球でも相手はいいスイングをしてきたし、良い球を投げても手を出さないか、あるいはファウルで粘られていた。そして、ミスをした球はことごとくスタンドまで運ばれてしまったように感じた。その原因を詳しく調べなければならない」という同監督のコメントを伝えている。 ベースボールチャンネル編集部,[],[]
