headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
限定ボトルが当たる「幸運の大還元みくじ」が特別企画で登場。1等「白州18年 LIMITED EDITION」2等「白州12年」（グルメ Watch）,https://news.yahoo.co.jp/articles/b8ce545feb082b0b3b7170530b27e3719fb78a33,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000010-impgrw-000-1-view.jpg?exp=10800,2026-08-05T20:43:00+09:00,2026-08-05T20:43:00+09:00,グルメ Watch,impgrw,グルメ Watch,558,"写真：グルメ Watch タチバナE酒販（アップライジング）はAmazon.co.jpや楽天市場などで「ウイスキーみくじ」の特別企画「幸運の大還元みくじ」を発売した。 【この記事に関する別の画像を見る】 1口3980円の抽選販売で、入手困難なサントリーの限定品「シングルモルトウイスキー白州18年 LIMITED EDITION」の1等（超大吉）や、「白州12年」（2等：大大吉）などが当たるチャンスとなっている。 ■ タチバナE酒販「幸運の大還元みくじ」 価格：1口3980円（送料990円） 内容： ・［超大吉×1］白州18年 LIMITED EDITION ・［大大吉×2］白州12年 ・［大吉×3］YUZA スプリング･イン･ジャパン ・［中吉×3]響 JAPANESE HARMONY ・［喜吉×3］イチローズモルトワインウッドリザーブ ピュア モルト ・［福吉×5］YUZA シグネチャーブレンド ・［緑吉×25］ブレンデッドウイスキー矢部 ・［幸吉×95］ブレンデッドウイスキー √（ルート） ・［宝吉155］ブレンデットウイスキー琥香 ・［栄×141］ライスブレンデッドウイスキー はなぐり ・［吉×133］グレーンウイスキー 巳乃霞 ※566口限定販売でなくなり次第終了 グルメ Watch,編集部",[],[]
サーモス、ハンドル付きで持ち運びラクラク「真空断熱ケータイマグ」と“こびりつきにくさ2倍”のフライパンを発売（グルメ Watch）,https://news.yahoo.co.jp/articles/947f316b04b1d2857bc075a062608da404eb2021,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000009-impgrw-000-1-view.jpg?exp=10800,2026-08-05T16:44:00+09:00,2026-08-05T16:44:00+09:00,グルメ Watch,impgrw,グルメ Watch,1855,"写真：グルメ Watch サーモスは汚れが落ちやすくスリムな高機能水筒「真空断熱ケータイマグ」3種と、サーモスフライパンシリーズから“こびりつきにくさ2倍”で長持ちする「デュラブルプレミアムシリーズ（KFPシリーズ）」を8月21日に発売する。 【画像】真空断熱ケータイマグ JOXシリーズ 「真空断熱ケータイマグ」は、持ち運びに便利なキャリーハンドル付きの「JOXシリーズ」、ボトル内面に汚れが付きにくく乾きやすい「JPJシリーズ」、食洗機対応でカラーをリニューアルした「JNL-Sシリーズ」を販売する。 また、フライパンの「デュラブルプレミアムシリーズ（KFPシリーズ）」は、新コーティング「耐摩耗性デュラブルプレミアムコート」を採用したことで、傷つきにくくし、コーティングの摩耗を抑制しており、これによりこびりつきにくさを実現しているという。 同社では発表会を開催し、最初に社長室 ブランド戦略課 マネジャー 簑島久男氏が背景などについて説明した。 簑島氏はステンレス製魔法びんの出荷推移として2025年は物価高の影響で出荷数は昨対比で減少したものの、持ち運びやすさを重視したキャリーハンドルやループ付きの売上本数が昨対比で150.3％になっていること、食洗機対応した製品が昨対比で130％伸長していると紹介。簑島氏は「持ち運びやすさとお手入れのしやすさがトレンドとなっている」と語った。 また、フライパンシリーズは発売7年で累計出荷数が1000万枚を突破したこと、2024年には極起毛の靴下や日傘などアパレル小物の販売を始めたことから、簑島氏は「水筒メーカーからライフスタイルブランドへ進化している」と述べた。 続いて、マーケティング部 商品戦略室 企画2課 企画第1グループ 田村和花氏が「真空断熱ケータイマグ」について説明した。 「真空断熱ケータイマグ」はいずれも持ち運びやすさ、お手入れのしやすさを重視して開発。なかでも「JOXシリーズ」はキャリーハンドル付きで学校やオフィス、ジムなどでの使いやすさを追求。キャリーハンドル付きは大きなサイズのものはあったが、小型ではなかったため、今回発売に至ったという。「荷物が多くても持ちやすく、オフィスでの移動に便利という声をいただいている」と田村氏は述べた。また、丸底形状にし優しい印象にしたほか、全パーツ食洗機対応で、お手入れがしやすくなっている。 容量は360mLと480mLとなっており、カラーリングはベビーピンク、クリーム、ベージュ、ペールミントの4色で、いずれも優しい色合いとなっている。 さらに、「真空断熱ケータイマグ JPJシリーズ」は水筒の内面にセラミック加工「セラクリーンコート」を採用し、汚れが落ちやすく、からっと乾くようにした。スリムサイズの水筒は、洗って乾かしても中に水滴が残ることがあるが、それを解消したという。またキャリーループ付きとなっており、持ち運びにも便利な仕様となっている。 そしてマーケティング部 商品戦略室 企画1課 竹田未来氏がフライパンの「デュラブルプレミアムシリーズ（KFPシリーズ）」について紹介。 竹田氏は「フライパンについて、こびりつきにくさのコーティング性能や軽さを求める声が多く、KFPシリーズではコーティング性能をさらに進化させた」と述べた。摩耗性の高いデュラブルプレミアムコートを採用し、従来品に比べ約2倍のこびりつきにくさを実現。より長く使えるようにしたという。 さらに、底面の厚さは保ちながら側面の厚さを薄くできる「ダイキャスト製法」を採用したことで、従来品に比べ20％軽量化にも成功。底面の「ステンレスプレート」をなくしたことでフラットになり、かつハンドル部分の留め具もなくしたことで、さらに洗いやすくなった。 会場では料理研究家のきゃらきゃらさんが、「デュラブルプレミアムシリーズ（KFPシリーズ）」を使用してフレンチトーストを実演で調理。きゃらきゃらさんは実際に使用してみて、「従来のものに比べて、すごくこびりつきにくくて、すごく薄くて軽い。熱伝導率もよいので、中火で調理できる」と話した。 このほか、運んでももれない「真空断熱ケータイタンブラー（JPI-320/420）」やスタイリッシュでシンプルな「ステンレスポット（TTH-1000）」、コンロやオーブンで加熱し、そのまま食卓に出せる「料理もできるお皿5点セット」なども8月21日に発売する。 グルメ Watch,編集部：友部珠枝",[],[]
セブン-イレブン「ブタメン超BIG」限定発売。通常よりも約4倍の麺でお腹も心もいっぱい！（グルメ Watch）,https://news.yahoo.co.jp/articles/0f344f70b4a2fca7a0b0d08bd0c42318d60facaa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000008-impgrw-000-1-view.jpg?exp=10800,2026-08-05T12:33:00+09:00,2026-08-05T12:33:00+09:00,グルメ Watch,impgrw,グルメ Watch,318,"写真：グルメ Watch セブン-イレブン・ジャパンは、ミニカップ麺「ブタメン」の麺を約4倍にした「ブタメン超BIG」を8月11日から順次発売する。価格は268円（税別）。 【画像】スープがよく絡む味付け麺が特徴 2016年から毎年限定販売していた「ブタメンBIG」の10周年を記念し、さらにボリュームアップした「ブタメン超BIG」が登場。豚をメインに、鶏肉や野菜、香辛料をバランスよくブレンドしたコクのあるスープと、それによく絡むしっかりと味付けした角刃の麺が特徴である。あの懐かしの味を、通常のブタメンの麺の約4倍という満足感たっぷりの内容で楽しめるという。 ※店舗によって価格が異なる場合がある グルメ Watch,編集部：河合悠",[],[]
ファミリーマート、札幌の名店「Japanese Ramen Noodle Lab Q」監修の醬油らぁ麺とチャーシューおむすび発売（グルメ Watch）,https://news.yahoo.co.jp/articles/c72dea7b793c7ac2ec7cbae73304bdee5c61617c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000007-impgrw-000-1-view.jpg?exp=10800,2026-08-05T10:00:00+09:00,2026-08-05T10:00:00+09:00,グルメ Watch,impgrw,グルメ Watch,609,"写真：グルメ Watch ファミリーマートは、プライベートブランド「ファミマルKITCHEN」から、北海道札幌市の名店「Japanese Ramen Noodle Lab Q」監修の「Lab Q監修 至高の一杯 冷製煮干し醤油らぁ麺」と「Lab Q監修 かつお香るコク旨チャーシューおむすび～爽快生姜煮入り～」を、北海道・東北地方・関東地方・東海地方のファミリーマート約7700店にて発売した。 【画像】北海道札幌市中央区に店舗を構え、究極の一杯を追求し続ける「Japanese Ramen Noodle Lab Q」 「Japanese Ramen Noodle Lab Q」は、北海道札幌市中央区に店舗を構え、究極の一杯を追求し続ける、食べログ百名店を獲得し全国の食通が注目する名店。 ■ Lab Q監修 至高の一杯 冷製煮干し醤油らぁ麺 価格：658円 コシと弾力のある専用麺に、醤油の旨みとキレに煮干しの風味を感じられるスープを合わせた。具材にはチャーシュー、ゆで卵、ネギ、メンマを入れ、レモンジュレを途中で混ぜることで味の変化も楽しめる。 ■ Lab Q監修 かつお香るコク旨チャーシューおむすび～爽快生姜煮入り～ 価格：225円 自社製造の針生姜を煮込んだ生姜煮を入れ、かつお節粉とかつお風味オイルでかつおの和風の香りを際立たせ、チャーシューのたれ和えをトッピングした。 グルメ Watch,編集部：宮内楓",[],[]
ほっともっと、沖縄県産黒糖使用の黒蜜と宇治抹茶使用の抹茶蜜から選べる「もっちりわらび餅（黒蜜/抹茶蜜）」発売（グルメ Watch）,https://news.yahoo.co.jp/articles/21a0081af05cda9cff72c2108d263464214092df,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000006-impgrw-000-1-view.jpg?exp=10800,2026-08-05T09:00:00+09:00,2026-08-05T09:00:00+09:00,グルメ Watch,impgrw,グルメ Watch,309,"写真：グルメ Watch 持ち帰り弁当の「Hotto Motto（ほっともっと）」（プレナス）は、こだわり蜜が自慢のやわらか和スイーツ「もっちりわらび餅（黒蜜）」と「もっちりわらび餅（抹茶蜜）」を8月5日に発売する。価格はいずれも170円。 【画像】「もっちりわらび餅（黒蜜）」（170円） なめらかな口あたりとほどよい歯切れのよさが特徴のもっちりとした食べ応えのある「わらび餅」6個に、風味豊かなきな粉をたっぷりとまぶした。別添の蜜は、コクのある甘さの沖縄県産黒糖を使用した「黒蜜」と、奥行きのある甘味とほのかな苦味のバランスがよい宇治抹茶を使用した「抹茶蜜」の2種類から選べる。 グルメ Watch,編集部：宮内楓",[],[]
焼きたてのかるび、8月8日に年に1度のアプリスタンプが4倍になる「超・焼きたての日」実施（グルメ Watch）,https://news.yahoo.co.jp/articles/f6f974542ce645b5b820d8d5d3d2cfa359f73fa0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000005-impgrw-000-1-view.jpg?exp=10800,2026-08-05T08:00:00+09:00,2026-08-05T08:00:00+09:00,グルメ Watch,impgrw,グルメ Watch,259,"写真：グルメ Watch 焼きたてのかるび（物語コーポレーション）は、日頃の愛顧への感謝の気持ちを込めて、年に1度のアプリスタンプが4倍になる「超・焼きたての日」を8月8日に実施する。 焼きたてのかるびは、毎月8日をアプリスタンプが2倍になる「焼きたての日」と定めているが、今年の8月8日は年に1度のアプリスタンプが4倍になる「超・焼きたての日」を実施するほか、8月3日〜7日の期間も、スタンプが2倍になる。 スタンプが10個貯まると、次回使える300円引きのアプリクーポンが届く。 グルメ Watch,編集部：宮内楓",[],[]
DEAN & DELUCAにメキシコ料理のデリが登場。ミシュラン2つ星「Pujol」元ヘッドシェフの料理を試食してきた（グルメ Watch）,https://news.yahoo.co.jp/articles/abfb52af3f300d89db10e1caa1b5a7995a59b1ab,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000004-impgrw-000-1-view.jpg?exp=10800,2026-08-05T06:00:00+09:00,2026-08-05T06:00:00+09:00,グルメ Watch,impgrw,グルメ Watch,4742,"写真：グルメ Watch DEAN & DELUCA（ウェルカム）は全国のマーケット店舗で「Taste of Mexico」を8月7日から9日まで実施し、メキシコ出身のシェフ、Jesús Durón（ヘスス・デュロン）氏が手掛けるデリ惣菜（プリペアードフード）を販売する。 【画像】DEAN & DELUCA「Taste of Mexico」の6品 ヘスス氏とDEAN & DELUCAのシェフが共同開発したメニューは、メキシコ各地で親しまれている家庭料理や郷土料理がベース。タコスやバルバッコアなど、現地の味わいや背景を残しながらデリに仕立てた6品がショーケースに並ぶ。 試食会ではヘスス氏本人からメニューの背景を聞くことができたので、感想も交えながらメニューを紹介していく。 ■ DEAN & DELUCA「Taste of Mexico」 販売期間：2026年8月7日～9日 販売店舗：マーケット店舗（六本木、品川、吉祥寺、恵比寿、横浜、広尾、名古屋、栄、京都、福岡） 価格： ・「牛頬肉のブレゼ バナナの葉包み焼き」（2052円） ・「鯛の紙包み焼き ベラクルスソース」（2052円） ・「タコと白インゲン豆のパプリカファルシ」（1296円） ・「ヴィスカイナサラダ」（100g 810円） ・「牛肉のオープンタコス」（1026円） ・「トリュフとモッツァレラのオープンタコス」（1026円） ※価格は変更になる場合がある ■ ミシュラン2つ星「Pujol」を支えたヘスス・デュロン氏 ヘスス氏はメキシコ・シティで料理人としてのキャリアをスタートし、スペイン・バスク地方や地中海沿岸、フランスのミシュラン3つ星レストラン「ラ・マリーヌ」などで研鑽を積んだシェフだ。23歳のころには、日本料理への造詣が深いアレクサンドル・クイヨン氏に師事し、食材の持ち味や季節を尊重する考え方を学んだという。 長年ヘッドシェフを務めたメキシコ・シティの名店「Pujol（プホル）」は、ミシュラン2つ星を獲得。「世界のベストレストラン50」における同店の第5位躍進を支えた。2026年には、その土地ならではの食材を活かした料理を追求する自身のプロジェクト「MASA」を始動させ、その表現・体験の場として日本での実店舗オープンを準備している。 修業してきた土地のなかでどこが一番自分の料理に影響を与えているかを問われると、ヘスス氏は「フランス」と即答した。バスクではサンセバスチャンとビルバオで働いていたという。好きな日本の食材を尋ねると、しばらく考えたうえで挙げたのは「土佐酢」だった。 日本に拠点を置きたいという思いは以前からあったといい、プレスリリースに寄せたメッセージでも「メキシコでは幼いころから日本人のクラスメイトがいたり、かかりつけの小児科医も日本人だったことで、日本を身近に感じていました」と振り返っている。試食会では、2025年夏に大阪のメキシコ料理店「milpa」でイベントを行なったときのことを、通訳を介して「来た瞬間に、ここがもしかしたらずっと住む場所になるんじゃないかと強く感じた」と語る場面もあった。 ■ メキシコに四季はない。だから日本の旬とスペインの影響を軸にした 6品のコンセプトについて、ヘスス氏はまずメキシコと日本の違いから説明した。「メキシコには日本のような季節ごとの食がほとんどない。一年の大半が夏だから」と。そのうえで、今回はメキシコのレシピを日本に合わせて組み替えたと話す。軸にしたのは、スペインがメキシコに渡ったことで生まれたヨーロッパ由来のレシピ群だ。「ある時点からヨーロッパの影響が入っている。今回はその影響を軸にしている」という。 もうひとつの軸が「日常の顔」だ。日本で知られているメキシコ料理の外側には、家庭で作られるものやストリートフードといったカジュアルな層が広がっている。「デリという形でコラボレーションできたのは、メキシコのそういう側面を見せられるいい機会になった」とヘスス氏は話した。 □牛頬肉のブレゼ バナナの葉包み焼き 価格：2052円 ヘスス氏が事前の打ち合わせから「一番のおすすめ」に挙げていた一品。ベースになっているのは、パチューカを州都にもつイダルゴ州の郷土料理「バルバッコア」だ。本来はアガベ（リュウゼツラン）の葉で包んだ羊肉を、土に掘った穴のなかでじっくり蒸し焼きにする。 バルバッコアの成り立ちについて、ヘスス氏は「中東にルーツがあると思う。基本的に羊を土のなかで調理するものだから」と話していた。 今回はその羊肉を、ヘスス氏も絶賛したという日本の牛肉に置き換えている。牛ほほ肉を特製のサルサアドボでやわらかく煮込み、バナナの葉で包んで焼き上げたもので、ソースは乾燥唐辛子と玉ねぎ、酢、スパイスで作る。タコス2枚とフレッシュサルサ「ピコ・デ・ガヨ」が付き、温めたバルバッコアをタコスに包み、好みでサルサを合わせて食べる。 □鯛の紙包み焼き ベラクルスソース 価格：2052円 メキシコ湾に面した港町ベラクルスは、スペインからの移民文化が深く根付いた土地。そこで親しまれているのが「ベラクルスソース」だ。トマトをベースに、スペイン由来のオリーブやケッパーを加えたもので、魚介との相性がよい。 今回は真鯛を紙包みでしっとりと焼き上げ、ソースの旨味と香りを閉じ込めている。合わせているのは万願寺唐辛子で、ほどよい青みと風味が加わる。日本の食材を通してメキシコ料理の魅力を感じてもらう狙いだ。 □タコと白インゲン豆のパプリカファルシ 価格：1296円 ファルシ（farcir）はフランス語で「詰める」の意味。メキシコには唐辛子にさまざまな具を詰める料理が数多くある。「魚介、チーズ、肉、野菜、なんでも詰める。ソースも、豆のソースやトマトのソースなどいろいろある」とヘスス氏。 本来は辛味の少ない大きな唐辛子「ポブラノ」を使うところ、今回は2人分にちょうどいいサイズのパプリカで代用している。中に詰めたのは、タコと、メキシコの唐辛子を使った黒豆のペースト、そしてアボカドの葉やメキシコのハーブで香りづけした白いんげん豆の煮込み。火を入れることでパプリカの甘みが増し、豆の味を引き立てる。仕上げに、メキシコの国旗の色を思わせるフレッシュトマトのサルサ「ピコ・デ・ガヨ」を合わせた。 □ヴィスカイナサラダ 価格：100g 810円 名前の「ヴィスカイナ（vizcaína）」は、スペイン北部の県ビスカヤに由来する。「ビスカヤはスペインの海沿いの土地。メキシコでは当時の主要な港のひとつで、そのレシピを魚を使った温かい料理に作り替えた。今回はそれをサラダとして仕上げている」とヘスス氏は説明する。 味の構成はギリシャの「グリークサラダ」がベース。アクセントに唐辛子を加え、味付けはオリーブオイルとホワイトバルサミコでシンプルにまとめた。カラマタオリーブやパールオニオンに加え、メキシコでも親しまれている塩味の強い羊乳のフェタチーズを合わせている。メキシコ国旗をイメージした彩りで、具材を単体で味わうよりも、サラダ全体を一緒に口に運んだほうが味と食感のバランスが分かる。 □牛肉のオープンタコス/トリュフとモッツァレラのオープンタコス 価格：各1026円 タコス生地を使ったオープンスタイルの2種。牛肉のオープンタコスは、メキシコで「美食の都」と呼ばれるオアハカ州の郷土料理「トラユーダ」がベースだ。現地ではトルティーヤにラードを塗り、ラードを作る際にできる豚肉の旨味をのせるのが定番だが、今回は牛カイノミを合わせてトラユーダのエッセンスを取り入れている。ヘスス氏自身も「大の気に入り」と話す一品だという。 もう1種は、モッツァレラチーズと香ばしくソテーした椎茸をタコス生地にのせ、たっぷり削ったトリュフとトリュフオイルで仕上げたもの。「日本で皆さんが頭に思い描くタコスとは違う体験になると思うので、ぜひお試しください」とヘスス氏はコメントしている。 ■ 売り場ではポップより人。スタッフの勉強会で味を伝える 今回のラインアップは、メキシコ料理の流れを汲むだけに、メニュー名と見た目から味を想像しづらいものが多い。「ヴィスカイナ」「ファルシ」「バルバッコア」といった言葉に、日本の客がすぐ反応できるとは限らない。 この点についてDEAN & DELUCA側は、売り場のスタッフが口頭で伝えることで補うと説明した。スタッフがシェフから直接作り方を習い、実際に食べる機会を設けたという。そこで得たポイントをほかのメンバーにも共有し、売り場の担当者が「どう食べたらおいしいか」を客に伝えていく。 「いろいろな言葉や地方の背景があるので、しっかり学んで自分たちのものにして、理解したうえで販売につなげる。今回はかなりハードルの高いチャレンジ」と担当者。販促用の小さなポップは用意するものの、基本は現場のスタッフが伝える方針だ。 ポップを並べないのはブランドの考え方によるものでもある。「食が主役なので、ポップが主役ではない。料理がすべてを語るという考えで、できるだけ物は置かない。皿が白いのも、そこに料理の色が映えるからです」という。1つずつ説明を書き並べるよりも、食べてもらい、その場で会話をするほうを選ぶ、というスタンスだ。 なお、持ち帰ってから温めないと食感が損なわれる商品もあるため、温め方はリーフレットを付けて案内する。店頭に書ききれない情報はWebサイトに掲載するという。 ■ スパイシーさは控えめ。素材の味が立つ日本向けのアレンジ 試食会では3品プラス、メニューにないチュロスをいただいた。全体を通じて感じたのは、メキシコ料理と聞いて身構えるスパイシーさが、かなり控えめに調整されていることだ。辛さで押すのではなく、素材の味が立つように組み立てられていて、日本人向けのアレンジがしっかりきいている。 ヴィスカイナサラダは、アクセントの唐辛子が入っているものの、辛さよりも先に野菜の爽やかさとおいしさが来る。そこにフェタチーズが加わることで、サラダながら食べ応えも出ていた。 タコと白インゲン豆のパプリカファルシは、唐辛子ではなくパプリカを使っているので辛くない。ここは安心してほしい。タコという日本人にも馴染みのある食材が入っていることもあって、ヘルシーな前菜という印象に仕上がっていた。 牛頬肉のブレゼは、タコスに包んで食べるという行為そのものにメキシコ料理らしさがあって、素直に楽しい。バルバッコアは本来羊肉のところを日本の牛肉に置き換えているため、味わいは優しく、旨味が深い。抵抗なくメキシコ気分を味わえる一品だった。 試食会では、メニューには入っていないチュロスもヘスス氏が用意してくれた。揚げたてに砂糖をまとわせたシンプルなもので、これも印象に残っている。 販売は8月7日から9日までの3日間のみ。世界のファインダイニングで腕を磨いたシェフの料理を、デリとして持ち帰れる機会はそう多くないのでぜひ試してみてもらいたい。 あわせて8月8日には、DEAN & DELUCA 品川店 THE WINE STOREで、ヘスス氏の料理とソムリエが選んだワインをペアリングするディナーイベント「- Taste of Mexico - Table & Wine by Jesús Durón」を開催する。16時～17時30分と19時～20時30分の2回制で、定員は各回8名、料金は8800円。 グルメ Watch,編集部：稲葉隆司",[],[]
丸源ラーメン×くまのがっこう「冷凍生餃子付き保冷ランチバッグ」発売（グルメ Watch）,https://news.yahoo.co.jp/articles/41dd326e8afe067b94db9ad3302e80b8d184a587,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000003-impgrw-000-1-view.jpg?exp=10800,2026-08-05T05:00:00+09:00,2026-08-05T05:00:00+09:00,グルメ Watch,impgrw,グルメ Watch,340,"写真：グルメ Watch 丸源ラーメン（物語コーポレーション）は、絵本シリーズ「くまのがっこう」とのコラボレーションし、「丸源冷凍生餃子（25個入り）」が付いた保冷ランチバッグを数量・期間限定で8月11日に発売する。 【画像】オリジナル保冷ランチバッグ（オレンジ） ■ 冷凍生餃子付き保冷ランチバッグ 販売期間：2026年8月11日～9月30日 ※なくなり次第終了 内容： ・「丸源冷凍生餃子（25個入り）」 ・「くまのがっこう」オリジナル保冷ランチバッグ（全2種類のいずれか1つ） 価格：1650円 なお「丸源ラーメン×くまのがっこう スペシャルコラボキャンペーン」は、今回の保冷バッグ発売を含めて5つの企画を実施する。 (c)BANDAI グルメ Watch,編集部：齋藤可歩",[],[]
セブン-イレブン「からあげ棒」「アメリカンドック」30円引き、いよいよ実施！（グルメ Watch）,https://news.yahoo.co.jp/articles/1eebe79c32e55ecf3419602eba47eb867cfe4296,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000002-impgrw-000-1-view.jpg?exp=10800,2026-08-05T00:00:00+09:00,2026-08-05T00:00:00+09:00,グルメ Watch,impgrw,グルメ Watch,353,"写真：グルメ Watch セブン-イレブン・ジャパンはからあげ棒とアメリカンドックを30円引きで8月6日～8日に販売する。 【画像】からあげ棒 サクサクとした衣の食感と、しょうが・醤油が香る味わいが特徴の「からあげ棒」が通常価格184円のところ154円（いずれも税別）、ほんのり甘い生地とソーセージの味のバランスが絶妙な「アメリカンドッグ」が通常価格139円のところ格109円（いずれも税別）となる。 ほかの値引きキャンペーンとの併用は不可となっており、クーポン券での値引きは併用可能となっている。 ※店舗で実施しているセール、キャンペーンは7NOWアプリ/Webサイトは一部対象外 ※7NOWアプリ/Webサイトで実施しているセール、キャンペーンは店頭では一部対象外 グルメ Watch,編集部：友部珠枝",[],[]
秋のマルエフ「アサヒ生ビール 秋のまろやか」限定発売。麦のうまみを引き出したまろやかな味わい（グルメ Watch）,https://news.yahoo.co.jp/articles/2d38128c556b0cde1bcec140445f7e46a20e5086,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260805-00000001-impgrw-000-1-view.jpg?exp=10800,2026-08-05T00:00:00+09:00,2026-08-05T00:00:00+09:00,グルメ Watch,impgrw,グルメ Watch,297,"写真：グルメ Watch アサヒビールは「アサヒ生ビール 秋のまろやか」を8月18日に数量限定で発売する。350mL缶、500mL缶、中瓶500mLで、アルコール度数は5％。 麦芽由来の深みのあるコクと、優しい後味が特徴の生ビール。通常の「マルエフ」よりも麦芽使用量を増やして麦のうまみを引き出し、ホップの配合を調整することで柔らかな飲み口を実現した。秋の味覚を引き立てるまろやかな味が楽しめるという。 パッケージは温かみのあるオレンジを基調とし、季節感と特別感を演出した。また、「限定醸造」「秋のまろやか」という文言で商品特徴を分かりやすく訴求している。 グルメ Watch,編集部：田中里実",[],[]
