headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「山の日」11日（火）は広く晴れ　天気の急変もない見込み　愛媛（あいテレビ）,https://news.yahoo.co.jp/articles/5060bb15609e45da8cd08e599ecc49970730d23c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260810-00008518-itv-000-1-thumb.jpg?exp=10800,2026-08-10T19:31:21+09:00,2026-08-10T19:31:21+09:00,あいテレビ,itv,あいテレビ,162,あいテレビ 気象予報士の竹之熊和也が徹底解説！”くま天” ＜１１日（火）の天気ポイント＞ 広く晴れ、天気の急変なし ＜１１日（火）の天気＞ 高気圧に覆われて概ね晴れる見込みです。 最低気温は、１０日（月）と同じかやや低く、平野部では２４度前後の予想です。最高気温は、３４度くらいで、日差しのもとでは厳しい暑さとなりそうです。,[],[]
動物たちの熱中症対策は？ミストシャワーにスプリンクラー、水遊びも　愛媛県立とべ動物園（あいテレビ）,https://news.yahoo.co.jp/articles/0b2fdf4806cbe0ec65702f58665f675a2857ea36,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260810-00008517-itv-000-2-thumb.jpg?exp=10800,2026-08-10T19:01:21+09:00,2026-08-10T19:31:21+09:00,あいテレビ,itv,あいテレビ,746,あいテレビ 熱中症に注意が必要なのは人間だけではありません。東京の動物園では猛暑の影響でライオン３頭が相次いで死ぬ事態に。 人も動物も暑さから守るためのさまざまな工夫を愛媛県立とべ動物園で取材しました。 【画像を見る】動物たちの様子は？とべ動物園の熱中症対策 お盆休みでにぎわう県立とべ動物園。県外からも多くの人が訪れています。 猛暑は動物たちにも影響を及ぼしています。 東京の多摩動物公園では、メスのライオン３頭が相次いで死にました。いずれも脱水や多臓器不全が確認され、熱中症が原因とみられています。 とべ動物園のライオンは問題なく過ごしていますが、なかには食欲が落ちるなど暑さが苦手で夏バテ気味の動物もいるそうです。 （連有吾副園長） 「寒冷紗という直射日光を遮るシートを上部に貼り付けて 暑さ対策をしていたり、ミストやスプリンクラーも使用しながら、 なんとか暑い夏を元気に暮らしてもらうようにしている」 こちらのアフリカゾウは、太陽の光を遮るシート「寒冷紗」でできた日陰とミストシャワーが出ている場所で食事タイム。さらに水浴びもして元気に過ごしています。また、プールの水をこまめに替えたり冷たさを保ったりすることで、夏ならではの光景が見られるといいます。オーストラリアに生息するエミューはプールで水遊び。ニホンザルは足湯ならぬ「足水」で涼んでいました。 一方、来園者のための対策も。園内の各所にはミストシャワーを設置しているほか、氷を触ってクールダウンできる場所もあります。 また、冷房が効いた場所を案内するなど、来園者も動物も快適に過ごせる環境づくりをしています。 （連有吾副園長） 「毎日暑い日が続いているが、涼しい場所を利用しながら、 暑いときの動物の生活の仕方を見てもらえたら」,[],[]
夏休みの自由研究に　科学捜査体験イベント（あいテレビ）,https://news.yahoo.co.jp/articles/c46a391f40cfd22d8de56c662fa6a44b508a566e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260810-00008516-itv-000-2-thumb.jpg?exp=10800,2026-08-10T19:01:21+09:00,2026-08-10T19:31:21+09:00,あいテレビ,itv,あいテレビ,330,あいテレビ 子どもたちに夏休みの自由研究に役立ててもらおうと、愛媛県警で10日、科学捜査を体験するイベントが開かれました。 イベントには愛媛県内の小中学生およそ20人が参加し、グループに分かれて実践的な捜査を体験しました。 このうち鑑識の仕事体験では、実際の捜査でも使用する石こうを水で溶いて型に流し込み、足跡の型取りに挑戦。くっきりと足跡が浮かび上がると、子どもたちは興味深そうに見入っていました。 さらに、自分の指紋を採取する体験も。ココアパウダーや重曹など身近なものを使って指紋が取れることに驚いていました。 子どもたちは、紙幣の偽造防止対策についても学びました。 拡大鏡で千円札を観察し、肉眼では分からない細かい加工を、真剣なまなざしで探していました。,[],[]
「熊本の力に」 愛媛オレンジバイキングスがチャリティーイベント 選手が企画 バスケ教室の参加費を全額寄付へ（あいテレビ）,https://news.yahoo.co.jp/articles/f3e24674aab0538b9ffc2784e83c6c05e6eee6fe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260810-00008515-itv-000-2-thumb.jpg?exp=10800,2026-08-10T19:01:21+09:00,2026-08-10T19:31:21+09:00,あいテレビ,itv,あいテレビ,347,あいテレビ 熊本地震の被災地を支援しようと、プロバスケットボール愛媛オレンジバイキングスの選手たちが企画したチャリティイベントが愛媛県伊予市で開かれました。 8日、愛媛オレンジバイキングスの選手たちが開いたチャリティーイベント。子どもたちを対象にバスケ教室を開き、その参加費を全額被災地に寄付するというもので、10年前の熊本地震を経験した古野拓巳選手をはじめ、熊本にゆかりのある選手たちが企画しました。 中では小中学生およそ20人が参加し、選手たちに教えてもらいながら、ドリブルやパス、シュートを練習。そして、試合も行われ、子どもたちが選手と対決。子どもたちは楽しみながらバスケットの魅力を感じている様子でした。 バイクスは、これまで募金活動なども行っていて、今後も支援を続けるということです。,[],[]
ハワイの伝統料理「ポキ」のソース誕生!宇和島とホノルルの絆（あいテレビ）,https://news.yahoo.co.jp/articles/581c580b8daaaf18f78047eb2dc64428922a785d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260810-00008514-itv-000-2-thumb.jpg?exp=10800,2026-08-10T19:01:21+09:00,2026-08-10T19:31:21+09:00,あいテレビ,itv,あいテレビ,347,あいテレビ ハワイのホノルルと姉妹都市提携を結んでいる愛媛県宇和島市で料理店を手がける会社が、ハワイの伝統料理「ポキ」のソースを開発しました。 「ポキ」は、マグロなどの魚の切り身をソースにつけて食べるハワイの伝統料理です。宇和島市内で多国籍料理の店を手がける楯枝穂さんと夫の陽平さんが開発しました。 2人はハワイでの滞在経験を活かし、これまでも宇和島市でハワイ料理の教室を開くなど、ホノルルとの姉妹都市交流に取り組んできました。開発した「ポキ」のソースは、西日本豪雨から復興した市内吉田町にあるしょうゆの醸造所で製造します。しょうゆに柑橘などを加えてハワイの味に仕上げました。 このソースは、楯さんが運営する多国籍料理の店で販売されているほか、地元の道の駅「きさいや広場」にも出荷する予定です。,[],[]
住宅１棟全焼 １人暮らしの女性(８７）は施設に入居中  愛媛・内子町（あいテレビ）,https://news.yahoo.co.jp/articles/9577a1d1a726d52d32b4fc5614f6dcb33a4bdb17,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260810-00008513-itv-000-1-view.jpg?exp=10800,2026-08-10T19:01:21+09:00,2026-08-10T19:01:21+09:00,あいテレビ,itv,あいテレビ,221,（写真：itv） １０日朝、内子町で住宅１棟が全焼する火事がありましたが、けが人はいませんでした。 火事があったのは、内子町五十崎の無職、川端惠美子さん８７歳の住宅で、１０日午前６時過ぎ、「隣の家から火が出ている」と消防に通報がありました。 火はおよそ２時間後に消し止められましたが、木造２階建ての住宅１棟を全焼しました。この家で１人暮らしをしている川端さんは、施設に入居していて、けが人はいませんでした。警察と消防が出火原因を調べています。,[],[]
「最後の夏」彩る1万発の花火 今治「おんまく」来年から10月開催へ（あいテレビ）,https://news.yahoo.co.jp/articles/0325979e285568d9321d4fc3b0b3478a73faf667,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260810-00008512-itv-000-2-thumb.jpg?exp=10800,2026-08-10T18:14:45+09:00,2026-08-10T19:31:21+09:00,あいテレビ,itv,あいテレビ,605,あいテレビ 愛媛県今治市の夏まつり「おんまく」が週末開かれ、多くの人で賑わいました。来年から開催時期が１０月に変更される「おんまく」。９日夜は、およそ１万発の花火が「最後の夏まつり」を彩りました。おととい土曜日、今治市中心部の広小路は夕方から歩行者天国となり、踊りが披露されました。 踊り子たちは今治地方の民謡、「木山音頭」などの音色に合わせ、熱気あふれる演舞を繰り広げました。 今治の夏の風物詩として親しまれてきた「おんまく」ですが、熱中症のリスクを避けるため来年から開催時期を１０月に変更することになりました。 さらに、物価高による運営経費の増加などを受け、これまで２日間に分かれていたイベントを１日に集約します。 （参加者） 「さみしい。悲しい」「夏祭りも楽しみだったが秋は秋で楽しみ」 「みなさんの体調を考えたら秋のほうがいい」 ９日夜には、クライマックスとなる「おんまく花火」が開催されました。 主催者によりますと、およそ２５万人が訪れ、今治城やしまなみ海道を背景に、およそ１万発の花火が夜空を鮮やかに彩りました。 特に、フィナーレを飾る尺玉１００連発は圧巻で、大輪の花火が次々と打ち上げられ、夜空を埋め尽くす光のシャワーが観客を圧倒しました。 まつりの事務局では、来年の「おんまく」は１０月２日土曜日の１日開催とする計画で、「安全で持続可能な祭りとして発展していけるよう努めていく」と話しています。,[],[]
秋の本番を一足早く！新居浜で“おんな太鼓台”がアーケード練り歩く（あいテレビ）,https://news.yahoo.co.jp/articles/201cfc1545a8c3bac80d937c7ecefe6f66217d49,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260810-00008511-itv-000-3-thumb.jpg?exp=10800,2026-08-10T18:06:54+09:00,2026-08-10T19:31:21+09:00,あいテレビ,itv,あいテレビ,352,あいテレビ 愛媛県新居浜市の登り道商店街で８日、「登り道サマー祭り」が開かれ、華やかな「おんな太鼓台」の運行などで賑わいました。 イベントは夏の商店街を活気づけようと、地元のＮＰＯ法人が毎年、開いています。 一番の目玉は「おんな太鼓台」の運行で、お揃いの白い衣装に身を包んだ女性たちが、太鼓の音と威勢のいい掛け声を響かせながら、アーケードを練り歩きました。重さおよそ３トンにもなる太鼓台。男性の力も借りて、頭上高く持ち上げる「差し上げ」に挑戦しましたが、上がりませんでした。 （太鼓台の担ぎ手） 「重かったです」 Q祭りの雰囲気は？ 「いいですね。年に１回はもったいない」 それでも会場からは、多くの声援が送られていました。訪れた人たちは、秋の本番を前に、一足早く新居浜太鼓祭りの熱気を味わっていました。,[],[]
元衆議院議員・宮沢博行氏が愛媛県知事選に出馬の意向「多選により閉塞感を抱かれる県政に問題意識を持っている」 １７日に記者会見を開き表明へ（あいテレビ）,https://news.yahoo.co.jp/articles/2db848fb3c6b9b3f4f672c30609b25a6a6d73c2a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260810-00008510-itv-000-2-thumb.jpg?exp=10800,2026-08-10T18:02:09+09:00,2026-08-10T19:31:21+09:00,あいテレビ,itv,あいテレビ,454,あいテレビ １１月１５日投開票の愛媛県知事選挙に、元衆議院議員の宮沢博行氏が出馬する意向を明らかにしました。 【画像を見る】現在４期目の中村知事は態度を明らかにせず 宮沢氏は静岡県出身の５１歳。東京大学法学部を卒業後、静岡県の磐田市議会議員を３期務めた後、２０１２年の衆院選に静岡３区から出馬し、初当選しました。 第２次岸田改造内閣では、防衛副大臣などを務めましたが、４期目の途中で女性問題が報じられ、おととし４月に自民党を離党し、議員辞職しています。 宮沢氏は、今年に入り愛媛を訪れた際に知り合った人から要請を受けて出馬の意向を固めたということで、あいテレビの取材に対し「多選により閉塞感を抱かれる県政に問題意識を持っている」と話しています。 １０月２９日告示、１１月１５日投開票の任期満了に伴う愛媛県知事選には無所属で出馬するということで宮沢氏は今月１７日に松山市内で会見を開く予定です。 現在、４期目の中村知事は次期知事選挙について態度を明らかにしておらず、出馬の意向を表明したのは宮沢氏が初めてです。,[],[]
【トリプル台風】台風15号は関東甲信を直撃か…接近・上陸のおそれ　警報級の大雨の可能性も　東北・関東甲信・北陸【気象庁・台風情報、雨風の予想シミュレーション】（あいテレビ）,https://news.yahoo.co.jp/articles/82094b897e8416ef510edf04768fe89daa96e5a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260810-22864085-itv-000-2-view.jpg?exp=10800,2026-08-10T14:17:14+09:00,2026-08-10T14:26:22+09:00,あいテレビ,itv,あいテレビ,1074,あいテレビ 日本周辺には台風13号、台風15号、台風16号の3つがありますが、このうち、台風15号については、関東甲信地方などへ接近・上陸のおそれがあります。 【詳しく見る】台風15号の進路予想、雨と風のシミュレーション 気象庁によりますと、台風15号は、10日12時には日本の東にあって、1時間におよそ25キロの速さで北西へ進んでいます。 中心の気圧は990ヘクトパスカル、中心付近の最大風速は20メートル、最大瞬間風速は30メートルとなっています。 台風は、今後発達しながら次第に西に進路を変え、11日午後には関東甲信地方にかなり接近し、上陸するおそれもあります。 関東甲信地方では、11日は台風の接近に伴い大雨となり、海上を中心に大荒れや大しけとなるでしょう。 また、台風に向かって流れ込む暖かく湿った空気や上空寒気の影響で、大気の状態が非常に不安定となる見込みです。 ■▼雨の予想（東北） 11日に予想される1時間降水量は多い所で、 東北日本海側 30ミリ 東北太平洋側 40ミリ 10日12時から11日12時までに予想される24時間降水量は多い所で、 東北日本海側 30ミリ 東北太平洋側 80ミリ その後、11日12時から12日12時までに予想される24時間降水量は多い所で、 東北日本海側 80ミリ 東北太平洋側 150ミリ ■▼雨の予想（関東甲信地方） 関東甲信地方では、11日夕方から12日にかけて、雷を伴った激しい雨の降る所があるでしょう。雨雲が予想以上に発達した場合や、発達した雨雲がかかり続けた場合には、警報級の大雨となる可能性があります。 11日に予想される1時間降水量は多い所で、 関東地方北部 40ミリ 関東地方南部 40ミリ 甲信地方 30ミリ 伊豆諸島 30ミリ 11日12時から12日12時までに予想される24時間降水量は多い所で、 関東地方北部 120ミリ 関東地方南部 100ミリ 甲信地方 80ミリ 伊豆諸島 80ミリ その後、12日12時から13日12時までに予想される24時間降水量は多い所で、 関東地方北部 50ミリ 関東地方南部 50ミリ 伊豆諸島 50ミリ ■▼雨の予想（北陸） 11日に予想される1時間降水量は多い所で、 新潟県 40ミリ 富山県 30ミリ 石川県 30ミリ 福井県 15ミリ 11日12時から12日12時までに予想される24時間降水量は多い所で、 新潟県 100ミリ 富山県 80ミリ 石川県 80ミリ 福井県 60ミリ 引き続き、最新の気象情報をご確認ください。 あいテレビ,[],[]
