headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
イタリアでは「隣の州に行くと食べるものから飲むワインまで変わる！」（フィガロジャポン）,https://news.yahoo.co.jp/articles/9f325d7f8852ad24db81076a24ce59e1ae70b304,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260818-00010009-figaro-000-1-view.jpg?exp=10800,2026-08-18T20:51:16+09:00,2026-08-18T20:51:16+09:00,フィガロジャポン,figaro,フィガロジャポン,3374,マッシのアモーレ♡イタリアワイン リグーリアにて、リヴィエラリグーレ（リグーリア海岸）を眺めてカプチーノとフォカッチャ。 日々の生活を彩るワインを自分らしく楽しむフィガロワインクラブ。イタリア人ライター／エッセイストのマッシが、イタリア人とワインや食事の切っても切り離せない関係性について教えてくれる連載「マッシのアモーレ♡イタリアワイン」。今回はピエモンテーゼのマッシが子どもの頃から出かけていたお隣の州・リグーリアについて！ 海が香るワインと、料理のペアリングとは？ 【マッシのアモーレ♡イタリアワイン】記事一覧へ イタリア人が自国の食文化を語る時、人々はよく“郷土愛の強さ”を口にする。自分の生まれた村のパスタがいちばんであり、隣町の料理すら邪道だと笑う。もちろん僕も例外ではない。ピエモンテ州で生まれ育った人間として、秋の白トリュフやじっくり煮込んだブラザート（牛肉のワイン煮込み）、そして燦然と輝くバローロやバルバレスコには並々ならぬ誇りを持っている。 しかし、そんな頑固なピエモンテ人にも、実は、秘められた逃避行の地がある。それが、南に隣接する「リグーリア州」だ。 山に囲まれたピエモンテに住む人たちにとって、緩やかな丘陵を越え、アペニン山脈を抜けた先に広がるリグーリアの海は特別な存在だ。僕も幼い頃から、週末には潮風の香る沿岸の町へとよく連れて行ってもらっていた。海が見えた瞬間の胸の高鳴りは、大人になったいまでも鮮明に覚えている。それに、僕以上にキラキラとした笑顔で永遠の憧れを見つめる、父と母のあの横顔も。ピエモンテには海がないからこそ、まるで地球の引力に導かれるかのように、リグーリアへ足を運ぶのだ。 リグーリアに関して、僕はどうしても忘れられないある出来事がある。いつもの週末にリグーリアに到着した日の朝、バールで朝食をしていたときのことだ。なんと、リグーリアの地元人が、あろうことか焼き立ての「フォカッチャ」を細長くちぎり、泡立つカプチーノにドボンと浸して食べているのだ！ 初めてそれを見た時の衝撃はいまでも忘れられない。フォカッチャといえば、表面にたっぷりのオリーブオイルと粗塩が振られた、しっかりと塩気のあるパン。それを、甘くミルキーなカプチーノに浸すなんて、ピエモンテ人の感覚からすれば正気の沙汰ではない。 イタリアの朝食といえば、甘いクロワッサンに温かいカプチーノを合わせるのが全国共通の黄金パターンである。ピエモンテでも当然そうだ。「いくらなんでも、それはやりすぎだろう」と、幼い僕は目を丸くした。 けれど、甘塩っぱいであろうフォカッチャを食べて、うっとりと目尻を下げているリグーリアのおじさんを見ていたら、なんだかソワソワしてきた。チラッと父の方を見ると、眉をひそめて口をへの字に曲げているものの、どことなく羨ましそうな、目が離せない様子だ。父のそのわずかに見えた羨望に付け入って、意を決し「僕もあれが食べてみたい！」と言った。母は珍しく、何も言わない。僕たち家族の食文化のシャッターが開くかどうかは、父にかかっていた。 「……まあ、品定めしてやるのも悪くないな」 僕は父に合わせて難しそうな顔で「そうだね……」と言いつつも、内心は喜びに満ちあふれていた。母もやっぱり珍しく、何も言わずにウキウキとした様子。注文し終えた僕たちは、いまからどんなことが待ち受けているのだろうと、興味半分、恐怖半分で、例のアレを待っていた。 フォカッチャとカプチーノがテーブルに並び、恐る恐るおじさんの真似をしてひと口食べてみると、思いがけない感動が訪れた。カプチーノの温かいミルクとコクのある甘みが、フォカッチャの表面にある岩塩の塩気とオリーブオイルの風味が持つ香ばしさを劇的に引き立てるのだ。甘みと塩味、そしてオイルのまろやかさが口の中で見事にフュージョンしている。イタリア版の「塩キャラメル」のような、悪魔的で癖になる味わいだった。 僕は、「Buono!!!!!」と叫びたい気持ちをグッと我慢し、目線だけを父と母に向ける。ふたりとも、幸福という名の雲に包まれたような顔で目を閉じていた。僕は安心して満面の笑みで、「やっぱりおいしいね！」とふたりに言ったのであった。 「食に頑固」と言われるイタリア人だけれど、こんな奇妙で愛すべきローカルルールが隣の州に存在する。これだからイタリアの旅はやめられないのだ。朝食の驚きを経て、ある日の昼食にはこんなことがあった。 僕たち家族が海辺のトラットリアに入った時のこと。「パスタ・アッレ・ボンゴレ（アサリのパスタ）」を注文した。リグーリアに慣れてきていた僕たちはよくこのパスタを注文していて、引き締まったアサリから出る濃厚な出汁と、白ワイン、ニンニク、パセリが絡み合うシンプルかつダイナミックな味わいの虜になっていた。ピエモンテの自宅では貝類を食べる習慣がなかった僕にとって、リグーリアのボンゴレは別格のごちそうだ。最後には、皿に残った旨味たっぷりのオイルを、朝にも食べたあのフォカッチャで綺麗に拭き取って食べるのがお決まりだ。 「こんなの、ピエモンテじゃ絶対食べられないよね」 数回のリグーリア訪問を経て、いくらか食へのこだわりが柔軟になった父が、満足そうにワイングラスを傾けながら呟く。いままでなら「ピエモンテの料理が世界一だ」と譲らない頑固な父すらも、リグーリアの海を前にすると文句なしにその食文化を受け入れ、脱帽するのだ。 また、ピエモンテでは絶対にない「ペーストジェノヴェーゼ」も、僕たち家族のお気に入りだった。ピエモンテの食卓は、バターやラードを贅沢に使い、牛肉や豚肉、ジビエを重厚なソースで味わうのが日常だ。野菜といえば根菜やキャベツが中心で、魚といえばアンチョビくらいだった。 ところが、リグーリアでは「鮮魚」と「フレッシュなハーブ」が食卓の主役になる。ペーストジェノヴェーゼの鮮やかな緑色のバジル、松の実、ニンニク、オリーブオイルを大理石の鉢ですり潰したソースは、ピエモンテの重厚な煮込み料理とは対極だ。爽やかな香味が鼻を抜け、口いっぱいに夏の風が吹くような清涼感をもたらしてくれる。 食が変われば、当然グラスの中身も変わる。ピエモンテのワインといえば、ネッビオーロ種から作られるバローロのように、重厚でタンニンがしっかりとした赤ワインが象徴的だ。これらは肉料理には完璧な相棒だけれど、繊細なアサリの出汁や、バジルのフレッシュな香りには主張が強すぎる。ここで、父がよく飲んでいたのが、リグーリア州が誇る白ワイン「ピガート」や「ヴェルメンティーノ」だ。 グラスに注ぐと、柑橘類や地中海の低木を思わせる爽やかなハーブの香りが立ち上る。ひと口飲むと、しっかりとした酸味のあとに、どこか「塩気」を感じるようなミネラル感が残るのだ。そう、リグーリアの白ワインには、すぐそばにある海の潮風が溶け込んでいる。 アサリの旨味が凝縮されたボンゴレを口に含み、すかさず冷えたピガートを流し込む。パスタの出汁とワインの持つ微かな塩分、そして酸味が調和し、口の中で波が打ち寄せるような心地よい余韻が生まれる。 「ピエモンテでは赤ワインをじっくりと嗜むのが流儀だけれど、リグーリアでは白ワインを海の恵みとともに心地よく飲み干すのが正しい作法なんだよ」 父の言葉である。まるで、リグーリアの専門家のような顔で、ワインについて楽しそうに母と会話していた父。その横で、僕はずっとパスタとフォカッチャを交互に食べては、うんうんと頷いていた。 イタリア人が自分の郷土料理を愛してやまないのは事実だ。しかし同時に、隣の州へ足を延ばし、自分たちの文化にはないものを手放しで楽しむ柔軟さも持ち合わせている。いまは亡き父の、あの少年のような横顔を引き出してくれたリグーリアは、僕にとってピエモンテと並ぶ故郷となっている。 マッシ フードエッセイスト Massimiliano Sgai 1983年、イタリア・ピエモンテ生まれ。トリノ大学大学院文学部日本語学科修士課程修了。2007年に日本へ渡り、現在は石川県金沢市に暮らす。著書に『イタリア人マッシがぶっとんだ、日本の神グルメ』（2022年、KADOKAWA 刊）,[],[]
トレンド再燃のシルエット！ グッチのスーパータイトパンツに注目（フィガロジャポン）,https://news.yahoo.co.jp/articles/8f66da8ddadd38f0bf3033dde6adb6abe69e0637,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260818-00010008-figaro-000-1-view.jpg?exp=10800,2026-08-18T19:30:56+09:00,2026-08-18T19:30:56+09:00,フィガロジャポン,figaro,フィガロジャポン,475,"身体を魅せるタイトフィット、再び。 ジャケット￥561,000、パンツ￥291,500、シューズ￥181,500／以上グッチ（グッチ クライアントサービス） “いつもの服”を、もっと自由に！ ジャケットやスカートなど定番アイテムをおしゃれに活用して、ありきたりではないスタイリングにトライ。グッチからはトレンドのタイトフィットなシルエットを。 >>細めが新基準、スキニー復活宣言！ スーパータイトなパンツにあらためて注目が集まる今シーズン。全身ピンクのクールで端正なセットアップにセンシュアルな空気が漂うのは、肌に沿うように構築されたストイックなシルエットだからこそ。凛とした佇まいの強い女性像を演出する。 photography: Local Artist, Takehiro Uochi (TENT／objects) styling: Saki Nakazawa hair: Nori Takabayashi (Yard) makeup: Yoko Minami edit: フィガロジャポン編集部 ＊「フィガロジャポン」2026年8月号より抜粋",[],[]
パリス・ヒルトン、リンジー・ローハン、ブリトニー・スピアーズ…ビキニが素敵すぎた、2000年代のセレブたちの水着姿を振り返る！（フィガロジャポン）,https://news.yahoo.co.jp/articles/aac224c2ba9830a2270e2af06c37fea16c2b07e2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260818-00010007-figaro-000-1-view.jpg?exp=10800,2026-08-18T19:30:02+09:00,2026-08-18T19:30:02+09:00,フィガロジャポン,figaro,フィガロジャポン,761,photography: Getty Images ブリトニー・スピアーズ、マット・デイモン、ジゼル・ブンチェン……。2000年代、世界で最も有名なスターたちは、夏を楽しみながら日頃の悩みを忘れていた。波の中ではしゃいだり、ビーチタオルの上で日差しを浴びながらのんびり過ごしたりと、思い思いに夏を満喫していた。 【写真】美しすぎる❤︎砂浜に集まった2000年代のセレブを振り返る 2001年、オーストラリアでの休暇中、太平洋の波間で見せる若きブリトニー・スピアーズの笑顔と無邪気な姿をもう一度目にすれば、ひとつの時代そのものが懐かしく思えてくる。まだ父親の後見下には置かれておらず、自分の思うままに人生を楽しんでいた頃だ。さらに、ブラッド・ピットとアンジェリーナ・ジョリーが世界で最も盤石な「パワーカップル」を形成し、家族そろってコート・ダジュールで夏を過ごしていた時代でもある。 パリス・ヒルトンやリンジー・ローハンといった「イットガール」たちがマイアミのビーチで肌を焼き、ドラマシリーズ「デスパレートな妻たち」の女優エヴァ・ロンゴリアが、バスケットボール選手トニー・パーカーとの結婚後に始まった新たな人生を謳歌していた時代でもある。地平線の彼方には何の暗雲もなく、そこにあったのは、ただ太陽と海、そして、すべてがいつまでも続いていくような錯覚だけだった。 From madameFIGARO.fr ※この記事は、フランスの新聞社「Le Figaro」グループが発行する「madame.lefigaro.fr」で掲載されたものの翻訳版です。データや研究結果はすべてオリジナル記事によるものです。 text: Solene Delinger (madame.lefigaro.fr) 翻訳: Hanae Yamaguchi,[],[]
ME:Iはじめ、豪華アーティストが札幌に集結。K-POPとJ-POPが交差する音楽フェス開催！（フィガロジャポン）,https://news.yahoo.co.jp/articles/5a9f320402975d55e15af31d4efad28b22b069fb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260818-00010006-figaro-000-1-view.jpg?exp=10800,2026-08-18T18:20:10+09:00,2026-08-18T18:20:10+09:00,フィガロジャポン,figaro,フィガロジャポン,1150,"SBI MUSIC CIRCUS HOKKAIDO -DAYBREAK K-POPとJ-POPがひとつのドームで交差する日韓ハイブリッドフェスが、9月26日（土）、北海道・大和ハウス プレミストドーム（旧・札幌ドーム）で開幕する。その名は「SBI MUSIC CIRCUS HOKKAIDO -DAYBREAK-」。14時の開演から21時の終演まで、アジアを代表する豪華アーティストが次々とステージに立つ、今年屈指の昼フェスだ。 >>フェスの詳細はこちら！ 注目はなんといっても、JAEJOONG。韓国を代表するレジェンドアーティストとして日韓の芸能界で活躍し続けながら、2025年にリリースした日本オリジナルアルバムがオリコン週間音楽ランキングで3冠を達成するなど、ソロアーティストとしても常に第一線に立ち続ける存在だ。 ガールズグループも粒揃いで、デビュー年に紅白歌合戦の舞台を踏んだME:I、グローバルオーディション「Girls Planet 999」発のKep1er、「I-LAND2」から生まれたiznaが顔を揃える。日本勢からは三代目J SOUL BROTHERSのELLY（CB）、EXILE TRIBEが誇る10人組THE JET BOY BANGERZも参戦し、熱量は一気に増す。 そして、開幕の瞬間にまず耳を傾けてほしいのが、オープニングアクトとして登場する花耶（KAYA）の歌声だ。2019年のテレビ朝日「音楽チャンプ〜歌うま日本一決定戦〜」で日本一に輝き、一青窈から“人の心に沁み入り浄化されていくような神聖な声（ホーリーボイス）”と称えられた実力派シンガー。近年はTVアニメの主題歌を次々と担当し、確かな存在感を放ち続けている。その澄んだ声がドームを最初に満たす瞬間は、きっと長く記憶に残るはずだ。なお本公演では全編にわたりスマートフォンでの撮影が解禁されており、推しのベストショットをその場で残せるのもうれしいポイント。 前夜の9月25日（金）には、東京・大阪・名古屋・札幌の全国4都市の人気クラブにてプレパーティも同時開催。DAYBREAK VVIP・GAチケット購入者は深夜からの第2部「AFTER DARK」（KSHMRらが出演）にも入場可能なので、昼の感動から夜明けの熱狂まで、一日まるごと楽しみ尽くして。 SBI MUSIC CIRCUS HOKKAIDO -DAYBREAK- 日程：2026年9月26日（土） 開場13：00・開演14：00 / 終演 21：00 会場：大和ハウス プレミストドーム 北海道札幌市豊平区羊ケ丘1番地 料金：VVIP ￥29,800、GA（通常）￥13,800、スタンド席（通常）￥7,700 edit: フィガロジャポン編集部",[],[]
映画『オデュッセイア』、マット・デイモンのスタントを務めたのは女性だった！撮影の裏側を本人がコメント（フィガロジャポン）,https://news.yahoo.co.jp/articles/5a419cd0deb7c757b059e0b206778038c1ccdb43,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260818-00010005-figaro-000-1-view.jpg?exp=10800,2026-08-18T18:05:35+09:00,2026-08-18T18:05:35+09:00,フィガロジャポン,figaro,フィガロジャポン,1100,ローマのIMAXシアターに設置された『オデュッセイア』の場面再現。（2026年7月22日）photography: Shutterstock 7月20日（月）配信のポッドキャスト番組「Happy Sad Confused」に出演した際、アメリカ人俳優のマッド・デイモンは、映画のいくつかの重要なシーンでは、自身の吹き替えを女性が担当していたことを明かした。 【動画】「これまで見た中で最も美しい腕だった」インタビューに答えるマット・デイモン 映画『オデュッセイア』でマット・デイモンが演じるのは、ホメロスが生み出したギリシャ神話の英雄オデュッセウス。しかし、映画のあるシーンでは、スクリーンに映っているのは完全に彼本人ではないという。7月20日（月）配信の俳優ジョシュ・ホロウィッツが司会を務めるポッドキャスト番組「Happy Sad Confused」に出演したマット・デイモンは、主人公が人食い巨人族「レストリュゴネス」と戦う場面では、スタントダブルが自身の代役を務めていたことを明かした。 カナダ・バンクーバー出身のデヴィン・ダルトンは、35歳の女優であり、スタントダブル、さらにモーションキャプチャーのスペシャリストでもある。その顔は一般にはあまり知られていないものの、これまで数多くのハリウッド作品に携わってきた実績を持つ。これまでに『The Last of Us』や『猿の惑星』シリーズなどに参加。ボクシングやムエタイ、フェンシング、サーベルの扱いに加え、複数のダンスを習得しており、アクションシーンのスタントダブルとして非常に高く評価される経歴の持ち主だ。 目を欺くために選ばれたシルエット デヴィン・ダルトンが起用された最大の理由は、技術的な制約にあった。CGではなく実写効果を優先するという自身の方針を貫くクリストファー・ノーラン監督は、レストリュゴネスを表現するために、「フォースド・パースペクティブ（強制遠近法）」という撮影技法を採用。この手法は、被写体までの距離や大きさの比率を巧みに利用することで、カメラの前で実際以上に大きな身長差があるような錯覚を生み出すことができる。 「巨人を演じたスタントマンたちは身長2メートルを超えていて、一方でギリシャ人側のスタントダブルは150センチ未満だった」と、アメリカ人俳優はポッドキャスト番組で説明した。こうした撮影方法の中で起用されたのが、カナダ出身のデヴィン・ダルトンだった。小柄な体格に加え、優れた身体能力を兼ね備えていた彼女は、敵である巨人たちを前にオデュッセウスがひときわ小さく見えるシーンで、理想的なスタントダブルだった。,[],[]
噂のバレエ公演の感動とポーラが追求する生命美の共鳴を、特別な展示で（フィガロジャポン）,https://news.yahoo.co.jp/articles/3b3d21e9d8c46e680360c758a8241520dcfe6e9f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260818-00010004-figaro-000-1-view.jpg?exp=10800,2026-08-18T17:50:01+09:00,2026-08-18T17:50:01+09:00,フィガロジャポン,figaro,フィガロジャポン,1638,photography: Fukuko Iiyama ポーラが協賛し、先日大好評のうちに公演を終えた「POLA presents BALLET TheNewClassic 2026（ポーラ プレゼンツ バレエ ザニュークラシック） 2026」。日本や世界で活躍するバレエダンサーたちがクラシックバレエに現代らしい革新的な解釈を加え、新たな息吹を吹き込んで話題となった。そのエスプリと、ポーラが誇る最高峰ブランドであるB.Aの世界観に共通点を見いだした特別企画が、2026年9月13日までポーラ ギンザにて開催中だ。 >>特別企画展の詳細はこちら！ 第一線で活躍するバレエダンサーたちが東京へ集結し、大勢の観客を魅了した本公演。モダンな洗練を携えて“クラシックとは何か”を問い直す、壮大な試みが繰り広げられた。そのクリエイションの中心にいたのが、バレエダンサー、振付家、舞台プロデューサーの堀内將平と、写真家、クリエイティブディレクターの井上ユミコ。ポーラ ギンザの展示では、ふたりがB.Aのプロダクトデザインの過程や“生命美を追求する”という理念に共感して生み出された、この企画だけの作品が楽しめる。 シンプルでありながら有機的で、美しいのにどこか歪な佇まいすらも感じさせる、B.Aの最新スキンケアアイテム。そのデザインは、“生命の美しさとは何か”をひたむきに考えてきたブランドの理念や、アートとの親和性が高い企業としての歴史があってこそ実現できたものだ。 展示コンセプトの誕生について、堀内は次のように語る。「人間の身体の形をイメージしたというボトルのデザインサンプルを目にした時、“すごく綺麗だな”と思ったんです。それで、その姿をバレエダンサーが模した作品をつくってみたらどうだろう、と。展示では、井上さんに撮り下ろしていただいたデザインサンプルのボトルとバレエダンサーの写真を交互に並べて飾っています。人間の身体の形をイメージしてできたボトルと、無機物的な姿を目指してポーズをとったダンサーの姿が隣り合って……どこか不思議で、特別な存在感が生まれたなと思っています」 撮影を担当した井上は、バレエダンサーの美しさに魅せられ、長年被写体として撮影してきたキャリアを持つ。この展示に向けた作品づくりの思い出を、次のように話してくれた。 「バレエダンサーの美しさと力強さに惹きつけられて写真を撮り続けてきましたが、B.Aのボトルのデザインサンプルたちからは、まさにそんな“生命が持つ形”を感じて。実際にダンサーを撮影する際は、ボトルの印象に近づけるために、手や足といった要素を隠すようなポージングを探りました。そうして納得のいく作品ができあがったわけですが、完成した写真を見ていたら改めて“人間って、この造形に加えてさらに手も足も、髪も瞳もある。なんて可能性豊かなんだろう”と感じたんです。それは、ここまで完成された美しさを放つボトルの佇まいと、何度も深く向き合ったからこそ気がつけたこと。そんな感動や興奮が、作品から少しでも伝わればよいなと思います」 静かな佇まいの中に生命のエネルギーを感じさせる写真作品とボトルのデザインサンプルは、建築家の妹島和世が手がけたフラッグシップショップのモダンな店舗空間とも絶妙にマッチ。さらに会場内では、バレエ公演とB.Aのクリエイティブストーリーを収めたインタビュー映像や、ブランドを象徴する「B.A ローション」のテクスチャーを体感できるタッチアップが体験できる。バレエ、アート、スキンケアが融合して感性を拓く、前代未聞の企画をお見逃しなく。 特別企画展「生命のかたち」 東京都中央区銀座1-7-7 ポーラ ギンザ1F ※企画展中、ブランドのLINEアカウント登録やアンケートへの回答にて、B.Aのサンプルを数量限定でプレゼント。 photography: Courtesy of Pola text: Misaki Yamashita,[],[]
ハリー・ウィンストンがブライダルフェア開催、名古屋店限定特典も。（フィガロジャポン）,https://news.yahoo.co.jp/articles/e862eea50a58435fc9d126cc5f3b23b95cb18043,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260818-00010003-figaro-000-1-view.jpg?exp=10800,2026-08-18T17:38:19+09:00,2026-08-18T17:38:19+09:00,フィガロジャポン,figaro,フィガロジャポン,372,ハリー・ウィンストン “キング・オブ・ダイヤモンド”と称されるハリー・ウィンストンが、国内全サロンにて2026年9月4日（金）から9月13日（日）までブライダルフェアを開催。 世界最高峰のダイヤモンドが配されたハリー・ウィンストンのエンゲージメントリングとウェディングバンドは、一生に一度の約束にふさわしい至高の輝き。ブランダルフェアでは、そんな永遠の愛の証としてふさわしい最高品質のリングを直接手に取って選ぶことができる。 また、フェア期間中は、名古屋店にてソリテールダイヤモンド・リングを購入すると、コンラッド名古屋にて2026年11月2日（月）から12月27日（日）まで開催予定のアフタヌーンティーご招待チケットのプレゼントも。 店舗への来店予約は、クライアントインフォメーションまで問い合わせを。 text: Yuki Kimijima,[],[]
旅のおしゃれはスーツケースから。スケートボードカルチャー発「Floyd」の新色を先取り！（フィガロジャポン）,https://news.yahoo.co.jp/articles/2479f349e6bf608ca8194540f99d43d55c369f17,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260818-00010002-figaro-000-1-view.jpg?exp=10800,2026-08-18T17:06:03+09:00,2026-08-18T17:06:03+09:00,フィガロジャポン,figaro,フィガロジャポン,936,洒落感はもちろん機能性も抜かりなし。 Floyd（フロイド） 旅の最大の相棒となるスーツケースは、空港でもホテルでもひと目で自分のものとわかる個性を求めたい。そんな旅好きの心を掴んでいるのが、ドイツ・ミュンヘン発の「Floyd（フロイド）」。遊び心あるルックスで、ファッション感度の高いビジネスパーソンや世界中を飛び回る旅行者を魅了し、人気が急速に拡大中。そして今季は、気分を高揚させる4つの新色が登場。次の旅を計画する前に、まずは要チェックだ。 >>ラインナップ＆価格詳細はこちら！ そんなFloydを代表するトラベルケースが「BOLD」。縦長のフォルムが特徴で、容量は87L。衣類はもちろん、シューズや箱物などかさばる荷物も収納しやすい設計で、長めのバカンスにも頼もしいサイズ感だ。もちろん軽快な走行性も約束。その「BOLD」に、9月2日から新しく4色が仲間入り！ 単なる機能的な旅道具ではない、Floydならではのデザインとカラーを通して、自由で自分らしい旅のスタイルを探したい。 争奪必至の限定コレクションも。 実際に見て選ぶなら、8月26日から9月8日に銀座三越にて開催される、ポップアップストアをのぞいてみよう。会場にはトラベルケースだけでなく、限定サマー・カプセルコレクション「24HRS」も登場する。 朝、街歩きの時間、夕暮れ、ナイトタイムと、一日をとことん楽しむことをイメージしたコレクション「24HRS」。24ozのヘビーウェイトプレミアムキャンバスを使ったビーチバッグやポーチ、キャップがラインナップする。そのほか「WEEKENDER」や「WASH KIT」といったトラベルアクセサリーも登場。 お気に入りのトラベルグッズをひとつ迎えれば、早くも次の旅先へと出かけたくなりそう。パッキングの時間から、気分が上がること間違いなし！ Floyd POP UP STORE at GINZA MITSUKOSHI 「Style in Color.」 期間：2026年8月26日（水）～9月8日（火） 会場：銀座三越 本館5階 GINZAステージ 住所：東京都中央区銀座4-6-16 ※「BOLD」新色は9月2日（水）発売 edit: フィガロジャポン編集部,[],[]
ネクタイをスカーフ風に。セリーヌ、視点を変えた現代のフェミニニティ（フィガロジャポン）,https://news.yahoo.co.jp/articles/7c8c626dc8903af2a651df9497a5d55433eb0a00,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260818-00010001-figaro-000-1-view.jpg?exp=10800,2026-08-18T16:55:31+09:00,2026-08-18T16:55:31+09:00,フィガロジャポン,figaro,フィガロジャポン,450,"静かな色気を感じさせる、心地いい日常着。 トップ￥118,800、スカート￥302,500、ネクタイ￥41,800（すべて予定価格）／以上セリーヌ（セリーヌ ジャパン） “いつもの服”を、もっと自由に！ ジャケットやスカートなど定番アイテムをおしゃれに活用して、ありきたりではないスタイリングにトライ。セリーヌからはスタイリングの楽しさ感じるコーディネートを。 90年代ヴィンテージ風のタイトなTシャツに流麗なマーメイドスカートを合わせて、肩の力の抜けた現代のフェミニニティを体現。ネクタイをスカーフ風に垂らして、シンプルなIラインシルエットにスパイスを。 photography: Local Artist, Takehiro Uochi (TENT／objects) styling: Saki Nakazawa hair: Nori Takabayashi (Yard) makeup: Yoko Minami edit: フィガロジャポン編集部 ＊「フィガロジャポン」2026年8月号より抜粋",[],[]
カルヴェンが日本初のポップアップストアを開催！（フィガロジャポン）,https://news.yahoo.co.jp/articles/33298513d68e492bdbca80a23e2b66fc1f13757e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260818-00010000-figaro-000-1-view.jpg?exp=10800,2026-08-18T07:50:23+09:00,2026-08-18T07:50:23+09:00,フィガロジャポン,figaro,フィガロジャポン,838,カルヴェン ポップアップショップ パリ発メゾン、カルヴェンが、日本初となるポップアップストアをビオトープ 東京で8月21日（金）〜9月6日（日）までの期間限定で開催！ パリのアトリエから着想を得た空間の中で、最新コレクションを楽しんで。 >>ポップアップの詳細はこちら！ 1945年にマリー＝ルイーズ・カルヴェン・ドゥ・トマソによって創設されたカルヴェン。クチュールの伝統を受け継ぎながら、動きやすさを追求したプロポーションや立体的なシルエットを特徴とし、日常に寄り添うエレガントなワードローブを提案し続けている。精緻なテーラリングと職人技が息づく”Everyday precious pieces”は、ブランドを象徴する哲学のひとつだ。 今回のポップアップでは、2026年秋冬コレクションを一部ラインナップで展開。今季は「画一性と親密さ」をテーマに、構築的なテーラリングと繊細な官能性が交差するコレクションを展開。ミリタリーから着想を得た端正なシルエットは、シアー素材やレースを組み合わせ、緊張感とやわらかさが共存するメゾンらしい美学を表現。ナッパレザーやムートンなど上質な素材使いに加え、キモノスリーブや服と一体化するマフラーなど、クチュールの技術を感じさせるディテールが、コレクションにさらなる奥行きを添える。 会場では、パリを拠点に活動する陶芸家ジュリエット・テストの作品も展示。古代のフレスコ画やポップカルチャーから着想を得た色彩豊かな作品が並び、ファッションとアートが響き合う空間を演出する。 構造としなやかさ、伝統と革新。その美しいコントラストを描く2026年秋冬コレクションとともに、カルヴェンの新たな章を体感できるポップアップ。この秋、パリの空気をぜひ白金台で感じてみて。 カルヴェン ポップアップショップ 期間：2026年8月21日 （金）〜9月6日（日） 場所：ビオトープ 東京 東京都港区白金台 4-6-44 text: Akiko Mizuguchi,[],[]
