headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
佐賀市平和展の「佐賀空襲」写真に誤り 別の地域と判明し展示取りやめ【佐賀県】（佐賀ニュース サガテレビ）,https://news.yahoo.co.jp/articles/f99415c65ee71f92f6cbda63f326f7ededfb2047,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260819-90024188-sagatv-000-1-view.jpg?exp=10800,2026-08-19T19:35:01+09:00,2026-08-19T19:35:01+09:00,佐賀ニュース サガテレビ,sagatv,佐賀ニュース サガテレビ,488,佐賀市平和展で展示された写真 ８月１４日から１８日までの５日間に佐賀市が市立図書館で開催していた佐賀市平和展で、「佐賀空襲」として展示されていた写真が佐賀の写真ではなかったことがわかりました。 この展示会は戦争の悲惨さや平和の尊さを知るきっかけにしてもらおうと毎年開かれていて、今年は県遺族会から提供された遺品や市民団体によるパネルなど１００点以上が展示されました。このうち、歴史の継承に取り組む市民団体が制作し今年から展示したパネルに誤りがあったということです。 パネルは佐賀市南部を中心に爆撃された「佐賀空襲」について写真を交え紹介していましたが、このうち１枚の写真が地形などから佐賀ではない別の地域だと判明しました。報道機関からの指摘を受け市民団体に確認したところ、写真はＸ（旧ツイッター）から引用したもので出典元が明らかでないことがわかり、市は１４日の夕方からこの写真の展示を取りやめたということです。 市と展示を委託された会社はいずれも内容の確認が不十分だったとして、今後は入手元や内容を確認し協力団体と情報共有しながら適切な展示に努めたいとしています。 サガテレビ,[],[]
ゴッホの手紙に「雲がうごめき渦巻く」作家たちが“一筆一筆”動かす【佐賀県】（佐賀ニュース サガテレビ）,https://news.yahoo.co.jp/articles/81d887f657c0858b8c498f5b312d7b676a37b736,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260819-90024181-sagatv-000-1-view.jpg?exp=10800,2026-08-19T18:58:02+09:00,2026-08-19T18:58:02+09:00,佐賀ニュース サガテレビ,sagatv,佐賀ニュース サガテレビ,362,サガテレビ 佐賀市の県立美術館で開催中の「動くゴッホ展」の魅力を紹介するシリーズ。19日はゴッホの手紙をもとに作家たちがデザインした作品を紹介します。 【総合プロデューサー 樋口光仁さん】 「ゴッホが書いた手紙の中に“雲がうごめきながら渦巻いて”とか“星が瞬きながら回転して”というふうな表現がある。その表現に反応したハリウッドの作家たちがこの動画を作った。筆のタッチ、一筆一筆を動かして動画を作っているのがよくわかると思う。ゴッホはこの作品を描いたときは、サン＝レミの療養所の中に入っていた時代。大変、精神的にもつらい状況の中で描いているわけだが、そんな心情が雲の流れというか、うごめきに表現されている。デジタルでありながら、究極の手作業によってこの作品を作っているというところにぜひ着目して見ていただければ」 サガテレビ,[],[]
「俺はやっていない」32年前の強盗致傷事件で57歳男を起訴　フィリピンに潜伏【佐賀県】（佐賀ニュース サガテレビ）,https://news.yahoo.co.jp/articles/cf0b536acf691bcdd5df44c9cde35192c693935b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260819-90024187-sagatv-000-1-thumb.jpg?exp=10800,2026-08-19T18:51:01+09:00,2026-08-19T18:51:01+09:00,佐賀ニュース サガテレビ,sagatv,佐賀ニュース サガテレビ,494,サガテレビ 32年前、福岡県久留米市で強盗傷害事件を起こしたあとフィリピンに潜伏し7月逮捕された男について、佐賀地検は19日付けで佐賀地裁に起訴しました。 起訴されたのは住居・職業不詳の竹内一雄被告57歳です。 起訴状によりますと竹内被告は32年前の1994年11月、福岡県久留米市のマンションで、40代男性の頭を鉄パイプで殴ってけがをさせ、現金60万円あまりを奪ったとして強盗致傷の罪に問われています。 竹内被告は事件後、フィリピン・マニラに潜伏していたため時効が成立しておらず、7月、佐賀県警に逮捕されていました。 この事件では、共犯として佐賀市の暴力団組員の男が1996年に逮捕されていて、竹内被告は「2人で一緒に行ったけど、俺はやっていない。お金は2人で分けた」と容疑を否認しています。 一方、県警は19日32年前に中型バイク1台を盗んだとして、竹内被告を窃盗の疑いで再逮捕しました。 共犯者と協力し、佐賀市鍋島のマンションで犯行に及んだとみられ、警察の調べに対し「間違いない」と容疑を認めています。 警察は、盗んだバイクを32年前の強盗で使ったとみて捜査しています。 サガテレビ,[],[]
新たに台風18号が発生　残暑続く...来週も体温並みの暑さか【佐賀県】（佐賀ニュース サガテレビ）,https://news.yahoo.co.jp/articles/8748f5c25456c9eac7fd125863c64a1c825e0e9f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260819-90024186-sagatv-000-1-thumb.jpg?exp=10800,2026-08-19T18:51:01+09:00,2026-08-19T18:51:01+09:00,佐賀ニュース サガテレビ,sagatv,佐賀ニュース サガテレビ,1216,サガテレビ 【原竹】 早速ですが、20日のポイントは？ 【菅野】 20日のポイントがこちら。 「天気の急変に注意」 20日も晴れますが、午後・山沿いを中心に、雨雲が発生・発達しやすい状態となりそうです。天気の急変にご注意ください。 まずは台風情報です。 19日、新たに台風18号が発生しました。 日本の南東の海上にあって、この先、北よりの進路をとる予想です。 来週には、沖縄方面に近づく可能性があります。 夏休み後半、旅行を計画されている方など、この先の台風の動きにご注意ください。 現在の雲の様子です。 朝鮮半島から日本海、そして北海道付近には、帯状の雲があります。 また、南西諸島にも発達した雲がありますが、西日本や東日本は広く晴れています。 20日朝9時の予想天気図です。 九州北部は20日も、高気圧に覆われる見込みです。 高気圧の縁を回る暖かく湿った空気が流れ込みやすく、午後は大気の状態が不安定となりそうです。 山沿いを中心に急な雷雨の可能性があります。 20日の詳しい天気、まずは鳥栖から多久です。 午前は強い日差しが届きそうです。 正午ごろの気温は各地35℃と、猛烈な暑さとなるでしょう。 20日も県内には、熱中症警戒アラートが発表されています。 適切に冷房を使い、なるべく涼しいところでお過ごしください。 午後は雲が広がりやすく、山沿いの地域を中心に、天気の急変にご注意ください。 続いて、唐津から鹿島です。 こちらも、午前は強い日差しが届きますが、次第に雲が増えそうです。 午後は傘マークのついていない場所・時間でも、にわか雨の可能性があります。 お出かけには、雨具があると良いでしょう。 週間予報です。 この先、雲は多いものの、日差しの届く日が続きそうです。 この期間を通して、最高気温は36℃前後、最低気温も27℃前後と、いずれも平年に比べて3度くらい高い状態が続く予想です。 8月も下旬に入りますが、猛烈な暑さが続きそうです。 残暑に負けないよう、改めて、睡眠・食事をしっかりとるなど体調管理を意識していきましょう。 【原竹】 さて、ここからは「知っとかんの」のコーナーです。 【菅野】 早速、こちらの空の写真をご覧ください。 先日、私が佐賀市内で撮影した写真です。 この時期は、空の低いところに、もくもくとした夏の雲、そして空の高いところに、刷毛でかいたような秋の雲など、夏と秋の雲が両方見られることがあります。 そうした空のことを、「○○○○の空」といいます。 どんな言葉が入るでしょうか。 正解は、「行き合いの空」。 行き合いとは出会いのことです。 夏の雲（積雲・積乱雲）と秋の雲（筋雲・うろこ雲など）が一緒に見られる空のことで、まさに、夏と秋が出会うということで「行き合いの空」と呼ばれています。 少しずつではありますが、夏から秋へ、季節の移ろいを感じますね。 以上、かちっと天気でした。 サガテレビ,[],[]
2日連続の猛暑日　サガン鳥栖も“朝練”で対策　20日も最高37℃予想【佐賀県】（佐賀ニュース サガテレビ）,https://news.yahoo.co.jp/articles/cb9722da7f73a879fdf35e680ca37b5d7e0dc783,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260819-90024184-sagatv-000-1-thumb.jpg?exp=10800,2026-08-19T18:51:01+09:00,2026-08-19T18:51:01+09:00,佐賀ニュース サガテレビ,sagatv,佐賀ニュース サガテレビ,505,サガテレビ 県内は2日連続の猛暑日となりました。鳥栖市ではサガン鳥栖が涼しい朝の時間帯に練習するなど暑さ対策をしていました。 県内の最高気温は嬉野で37.6℃白石で37.4℃と猛暑日になったところもありました。 また、最高気温37℃を観測した久留米に近い鳥栖市の北部グラウンドでは午前8時半からサッカー・J2サガン鳥栖の公開練習が行われました。 途中には水をまいて周辺の温度を下げる工夫も。 サガン鳥栖によりますと暑さ対策のため6月末から練習時間を2時間繰り上げているということです。 今週土曜日にホームで栃木シティと対戦するサガン鳥栖。 サポーターも日傘をさすなど暑さ対策をしながら見守っていました。 【佐賀市から】 「子供たちにも日傘を持たせたり、クールネックと扇風機、帽子もかぶるようにして暑さ対策をしている」 【伊万里市から】 「選手たちも熱い練習をしていて、この暑さのなかでも楽しく、対策をしながら見ることができて本当によかった」 県内は20日も猛暑日となり、最高気温は南部で37℃、北部で34℃と予想されています。 一方、午後は雲が広がり雷を伴った激しい雨が降るところもある見込みです。 サガテレビ,[],[]
「道のいたる所に血痕」住宅街騒然　19歳男性刺した疑いで18歳男逮捕【佐賀県】（佐賀ニュース サガテレビ）,https://news.yahoo.co.jp/articles/7028f3bf1ad7f5fccd75ca75366148ce1c4008d5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260819-90024183-sagatv-000-1-thumb.jpg?exp=10800,2026-08-19T18:51:01+09:00,2026-08-19T18:51:01+09:00,佐賀ニュース サガテレビ,sagatv,佐賀ニュース サガテレビ,510,サガテレビ 18日夜、佐賀市大和町の路上で面識がある10代の男性の腹や太ももを刃物で複数回、刺したとして18歳の男が殺人未遂の疑いで逮捕されました。 道路沿いに止まる複数のパトカー。夜の住宅街が騒然としています。 18日夜、佐賀市大和町の現場周辺で撮影された映像です。 【リポーター】 「佐賀市大和町の事件現場です。道のいたる所に血痕が残っています」 逮捕されたのは佐賀市の自称・土建業の18歳の男です。 男は、18日夜10時前、佐賀市大和町の路上で面識がある19歳の男性の腹や太ももを刃渡り約10センチのナイフで複数回、突き刺したなどとして、殺人未遂の疑いが持たれています。 刺された男性は、病院に搬送されましたが、意識はあるということです。 男は凶器のナイフを現場に残して立ち去っていましたが、近くにいたところを駆け付けた警察に見つかり、緊急逮捕されました。 警察によりますと男と男性は、知人の家を訪れ何らかの理由でもめごとになっていて、男も顔が腫れるなどけがをしているということです。 警察の調べに対し、男は「ナイフで刺したことは間違いありません」と容疑を認めていて警察が動機などを詳しく調べています。 サガテレビ,[],[]
伊万里市が来月にも減圧給水へ 予備のダムも貯水率57％で節水呼びかけ【佐賀県】（佐賀ニュース サガテレビ）,https://news.yahoo.co.jp/articles/24ed4faf97112f3b71b58f4c14e051604ed932bf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260819-90024185-sagatv-000-1-thumb.jpg?exp=10800,2026-08-19T18:47:02+09:00,2026-08-19T18:47:02+09:00,佐賀ニュース サガテレビ,sagatv,佐賀ニュース サガテレビ,442,サガテレビ 猛暑と雨不足の影響で伊万里市では予備用のダム貯水率も6割を下回る水不足に陥っています。市は、9月はじめごろに、給水を制限する可能性もあるとして節水を呼びかけています。 こちらは有田町の竜門ダムの19日の様子です。 現在、伊万里市の約9割の世帯に水道水を供給していますが、通常は使わない予備の水源です。 連日の猛暑や雨不足で、本来の水源である有田川の水量が減少したことで十分な水をくみ上げられなくなり、伊万里市は7月22日から、竜門ダムの水を市民に供給しています。 こうした状況が続いたことで、貯水率は、例年の同じ時期より30ポイント低い57.3％まで低下しています。 市の担当者によると来週には貯水率が5割を下回る見込みで、9月はじめごろから、水圧を下げ蛇口から出る水の量を減らす「減圧給水」を実施する予定ということです。 市は、貯水率がさらに下がれば夜間断水も視野に入れていて、洗車を控えるほか、風呂の残り湯を有効利用するなど節水への協力を呼びかけています。 サガテレビ,[],[]
「全身の力でもピクリとしか…」冠水した車からどう脱出？JAFが注意呼びかけ【佐賀県】（佐賀ニュース サガテレビ）,https://news.yahoo.co.jp/articles/2aae9aac478806ea82add56733a0b9f24b07b80f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260819-90024182-sagatv-000-1-thumb.jpg?exp=10800,2026-08-19T18:47:02+09:00,2026-08-19T18:47:02+09:00,佐賀ニュース サガテレビ,sagatv,佐賀ニュース サガテレビ,617,サガテレビ 千葉県で13人が犠牲となった豪雨災害から20日で1週間です。この豪雨では多くの車が水に浸かり、車内に閉じ込められ亡くなった人もいます。自分が車内に閉じ込められた場合どう対処すべきかJAFに話を聞きました。 8月13日から14日にかけて千葉県で発生した豪雨。 これまでに13人の死亡が確認され、中には道路が冠水して車内に閉じ込められ亡くなった人もいます。 冠水した道路で車内に閉じ込められた場合、ドアを開けるのがどれだけ難しいのか体験しました。 【リポーター】 「1度開いてもまた押し返されてしまいます。全身の力を使ってもピクリとしか動かないです」 JAFは車内の手の届く場所にハンマーを準備するよう呼びかけています。 ガラスを割って水圧を下げドアを開けやすくするためです。 【日本自動車連盟佐賀支部・山さき敬介さん】 「座ってる状態で重たいドアを開けるのは体勢的にも無理がある。万が一のときは真っ先にガラスを割るのを家族のルールとして決めていただきたい」 県内でも市街地の道路が冠水する豪雨に見舞われていて2019年の豪雨では4人が死亡しました。 安全を確保するためまずは冠水した道路に入らないことが重要だと話します。 【日本自動車連盟佐賀支部・山さき敬介さん】 「自身の車が空気を吸い込むところに水が入ってしまえばどんなに浅くても止まってしまう。少しでも冠水しているところは迂回してもらうようにお願いします」 サガテレビ,[],[]
「毎日使いたい」小学生がヒノキの時計作り　世界に一つの作品完成【佐賀県】（佐賀ニュース サガテレビ）,https://news.yahoo.co.jp/articles/a44e179fe2a780e2ab09a165392d5c7c56aaa27d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260819-90024180-sagatv-000-1-thumb.jpg?exp=10800,2026-08-19T18:44:01+09:00,2026-08-19T18:44:01+09:00,佐賀ニュース サガテレビ,sagatv,佐賀ニュース サガテレビ,340,サガテレビ 伊万里市で夏休み中の小学生が木材を使った時計作りに挑戦しました。 この体験講座は子供たちの学びの場にしてもらおうと伊万里市立花地区の協議会が毎年夏休みに合わせて開いているものです。 19日は、市内の製材所から講師が招かれ、小学3年生から6年生までの15人がヒノキを使った時計作りに挑戦しました。 子供たちは、文字盤や数字などのパーツを選び接着剤で貼り付けたあと時計のキットを使い針を取り付けたり工具でナットを締めたりして組み立てました。 【児童】 「初めてやったのでちょっと難しいところもあったけどいい作品ができてうれしかった」 「出来はいいと思います。フィギュアと一緒に飾りたいです」 「自分で考えて作れるところがたのしかった。毎日使っていきたいと思う」 サガテレビ,[],[]
11日ぶり熱中症警戒アラート　最高気温 南部38℃・北部36℃予想「危険な暑さ」に警戒【佐賀県】（佐賀ニュース サガテレビ）,https://news.yahoo.co.jp/articles/4d08a6868186e571ae598f735e35bda189dd578b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260819-90024178-sagatv-000-1-thumb.jpg?exp=10800,2026-08-19T12:22:01+09:00,2026-08-19T12:22:01+09:00,佐賀ニュース サガテレビ,sagatv,佐賀ニュース サガテレビ,430,サガテレビ 県内はすでに気温が上がり猛暑日に迫る暑さとなっています。最高気温は南部で38℃となる見込みで、11日ぶりに熱中症警戒アラートが発表されています。 県内の最高気温は午前11時までに、伊万里で34.1℃唐津で34℃佐賀で33.9℃猛暑日に迫る厳しい暑さとなっています。 鳥栖市の北部グラウンドでは午前8時半からサッカー・J2サガン鳥栖の公開練習が行われていました。 サガン鳥栖によりますと暑さ対策のため6月末から練習時間を通常より2時間繰り上げて実施しているということです。 また、練習を見に来たサポーターも日傘をさすなどしっかり暑さ対策をしていました。 19日日中の予想最高気温は南部で38℃北部で36℃となっていて、猛暑日になると予想されています。 県内では11日ぶりに熱中症警戒アラートが発表されていて、気象庁と環境省は屋内ではエアコンなどを適切に使用し涼しい環境で過ごし、こまめな休憩や水分補給・塩分補給をするよう呼びかけています。 サガテレビ,[],[]
