headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
熊本・益城町の住宅に強盗　2人組押し入り逃走　御船署捜査（熊本日日新聞）,https://news.yahoo.co.jp/articles/f651b6a6041ab8e6d24d7fdd5dc4644b2844cab0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260824-00000036-kumanichi-000-1-view.jpg?exp=10800,2026-08-24T22:45:23+09:00,2026-08-24T22:45:23+09:00,熊本日日新聞,kumanichi,熊本日日新聞,492,（写真：熊本日日新聞） 24日午後4時40分ごろ、熊本県益城町広崎の60代男性から「自宅の室内が荒らされ、ぐちゃぐちゃです。泥棒に入られている」と110番通報があった。熊本県警御船署によると、男性宅に黒ずくめの服装で顔を隠した2人組が押し入り、ハンマーのような物でたんすをたたいて、「金を出せ」などと男性の20代の娘を脅した後、逃走した。けが人はいない。署は強盗事件として捜査している。 署によると、2人組は同日午後3時半～4時40分ごろ、男性宅に侵入。当時、娘が1人でおり、2人組から居場所を指示され、2人組はその間に室内を物色した可能性がある。男性が帰宅した際、2人組は既に逃走していた。署は被害品の有無を調べている。 2人組は20代くらい。いずれも黒色の布で顔の鼻から下を隠し、黒色の帽子、長袖長ズボン姿で、1人は白色の靴を履き、ハンマーのような物を持っていた。 現場は閑静な住宅街。同日夜、玄関先には警察の規制線が張られ、捜査員10人ほどが警戒していた。 近くに住む40代女性は「夏休み中で子どもが家にいたので、もし強盗に入られたらと思うと怖い。早く捕まってほしい」と話した。,[],[]
【速報】八代市で震度1（熊本日日新聞）,https://news.yahoo.co.jp/articles/505373c614d7745c562f807d42b3f377b08113b4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260824-00000035-kumanichi-000-1-view.jpg?exp=10800,2026-08-24T21:39:22+09:00,2026-08-24T21:39:22+09:00,熊本日日新聞,kumanichi,熊本日日新聞,97,（写真：熊本日日新聞） 24日午後9時28分ごろ、八代市で震度1の地震があった。熊本地方気象台によると、震源地は熊本地方で、震源の深さは約10キロ。地震の規模はマグニチュード2.6と推定される。,[],[]
＜2026年熊本地震＞甲佐町の建設型仮設、26日から申し込み　9月11日まで（熊本日日新聞）,https://news.yahoo.co.jp/articles/5a461ca052bbbf111497ed964fe001151d3c8f6c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260824-00000034-kumanichi-000-1-view.jpg?exp=10800,2026-08-24T21:05:22+09:00,2026-08-24T21:05:22+09:00,熊本日日新聞,kumanichi,熊本日日新聞,374,（写真：熊本日日新聞） 甲佐町は26日から、熊本県が2026年熊本地震を受け、同町田口に整備中の建設型仮設住宅20戸の入居申し込みを始める。9月11日まで。 1～2人向けの2K14戸、3～4人向けの3K6戸を建設中。対象は自宅が半壊以上で、家屋を解体する世帯。町役場1階の研修室で相談や申請を受け付ける。罹災［りさい］証明書や解体することが分かる証明が必要。 希望者が多い場合は抽選する。9月中旬に入居者を決定し、10月上旬に入居開始の予定。空室の町営住宅など数戸への入居も募集する。 町は24日までに1095件の罹災証明書を発送した。内訳は全壊10棟、大規模半壊5棟、中規模半壊17棟、半壊64棟、準半壊229棟、一部損壊770棟。住家被害の調査は、23日時点で1320件の申請を受け付けており、1次調査分の発送は月内に終える見込み。（横川千夏）,[],[]
熊日学童五輪バドミントン　6年男子単は秦（おぐにジュニア）、女子は林（KARAKAL）がV（熊本日日新聞）,https://news.yahoo.co.jp/articles/6550e0ff166cdd6654067395c9fe6d800608642b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260824-00000033-kumanichi-000-2-view.jpg?exp=10800,2026-08-24T20:49:22+09:00,2026-08-24T21:21:57+09:00,熊本日日新聞,kumanichi,熊本日日新聞,1040,（上段左から）5年単を制した男子の二宮葵思（砂取ジュニア）と女子の跡上智月（Dream Bear）。（下段左から）4年以下単を制した男子の橋本逸平（おぐにジュニア）と女子の堀口祈莉（植柳ジュニア）＝玉名市総合体育館（岩崎皓太） 第52回熊日学童五輪のバドミントン個人戦は22、24日、玉名市総合体育館などで6年、5年、4年以下の男女シングルスとダブルスの決勝まで行った。6年の男子シングルスは秦想（はた・こころ）＝おぐにジュニア＝、女子は林えれな（KARAKAL.JBT）が優勝した。男子ダブルスは時松志優、緒方碧組（おぐにジュニア）、女子は藤田真矢、増山美沙希組（マシバド）が栄冠を手にした。 5年の男子シングルスは二宮葵思（砂取ジュニア）、女子は跡上智月（DreamBear）、男子ダブルスは二宮、土肥隼組（砂取ジュニア）、女子は寺川千陽、竹下音花組（VICRESSED）が頂点に立った。 4年以下の男子シングルスは橋本逸平（おぐにジュニア）、女子は堀口祈莉（植柳ジュニア）、男子ダブルスは片山柊、脇田汰夏組（チームW）、女子は山下涼梛、島田すず組（北部ジュニア）が制した。 試合は21点先取の1ゲーム制。準々決勝からは15点先取の3ゲーム制で実施した。 （上段左から）5年複を制した男子の砂取ジュニアと女子のVICRESSED。（下段左から）4年以下複を制した男子のチームWと女子の北部ジュニア＝玉名市総合体育館（岩崎皓太） 熊本県バドミントン協会・熊日主催、県協会主管、県教委・県PTA連合会後援、JA熊本果実連協賛。（丸山宗一郎） ＝上位記録＝ 【男子】◇6年シングルス▽準決勝 秦（おぐにJ）2－0髙畠（WINNER）、時松（おぐにJ）2－1片山（チームW） ▽3位決定戦 片山2－1髙畠 ◇5年シングルス ▽準決勝 二宮（砂取J）2－1大塚（北部J）、髙畠（玉陵J）2－1亀山（VICRESSED） ▽3位決定戦 亀山2－0大塚 ◇4年以下シングルス▽準決勝 橋本（おぐにJ）2－1脇田（チームW）、清田（WINNER）2－0片山（チームW） ▽3位決定戦 脇田2－0片山 【女子】◇6年シングルス▽準決勝 林（KARAKAL.JBT）2－0先成（WINNER）、緒方（ほくぶ総合）2－0古閑（WINNER） ▽3位決定戦 古閑2－0先成 ◇5年シングルス▽準決勝 跡上（DreamBear）2－0坂本（宇土J）、寺川（VICRESSED）2－1曽山（WINNER）,[],[]
【速報】八代市で震度1（熊本日日新聞）,https://news.yahoo.co.jp/articles/2b8fa303460b32b88beacfdbeeb1cc6565c8ddc6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260824-00000032-kumanichi-000-1-view.jpg?exp=10800,2026-08-24T20:45:34+09:00,2026-08-24T20:45:34+09:00,熊本日日新聞,kumanichi,熊本日日新聞,97,（写真：熊本日日新聞） 24日午後8時33分ごろ、八代市で震度1の地震があった。熊本地方気象台によると、震源地は熊本地方で、震源の深さは約10キロ。地震の規模はマグニチュード2.9と推定される。,[],[]
【速報】八代市など震度2（熊本日日新聞）,https://news.yahoo.co.jp/articles/db6fc149de323e7adeaf7a289908b64c419e00ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260824-00000031-kumanichi-000-1-view.jpg?exp=10800,2026-08-24T20:45:33+09:00,2026-08-24T20:45:33+09:00,熊本日日新聞,kumanichi,熊本日日新聞,184,（写真：熊本日日新聞） 24日午後8時32分ごろ、八代市、宇城市、上天草市で震度2の地震があった。熊本地方気象台によると、震源地は熊本地方で、震源の深さは約10キロ。地震の規模はマグニチュード3.8と推定される。ほかの震度は次の通り。 震度1＝熊本市西区・南区・北区、宇土市、美里町、嘉島町、甲佐町、山都町、氷川町、芦北町、高森町、多良木町、あさぎり町、五木村、球磨村,[],[]
＜2026年熊本地震＞熊本の経済6団体「地域限定しない本激指定を」　熊本県に要望　（熊本日日新聞）,https://news.yahoo.co.jp/articles/83473307b3f96f1a379fd495ba60827448cdb8ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260824-00000030-kumanichi-000-1-view.jpg?exp=10800,2026-08-24T20:45:29+09:00,2026-08-24T20:45:29+09:00,熊本日日新聞,kumanichi,熊本日日新聞,361,2026年熊本地震で被災した県内事業者の復興に向けた要望書を木村敬知事（左から4人目）に提出した県内6経済団体の代表ら＝24日、県庁 熊本県内の経済6団体は24日、2026年熊本地震の激甚災害指定に伴い、被災した中小企業の復旧支援について、地域を限定しない「本激」に指定するよう、政府に対する働きかけを木村敬知事に要望した。 20年熊本豪雨で適用された被災企業向けの「なりわい再建支援補助金」や雇用調整助成金の特例拡充、税・社会保険料の負担軽減なども求めた。 6団体は県商工会議所連合会、県商工会連合会、県中小企業団体中央会、県経営者協会、県工業連合会、熊本経済同友会。 県商工会議所連合会の久我彰登会長は「建物の倒壊が目立たない地域でも、地盤が傾くなどの被害が出ている。政府は柔軟に対応してほしい」と述べた。（長濱星悟）,[],[]
【速報】熊本・益城町の住宅に強盗か　2人組が押し入り逃走　御船署捜査（熊本日日新聞）,https://news.yahoo.co.jp/articles/7b964ee7166685fbf338bc3ba50b4e9f3ec063d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260824-00000029-kumanichi-000-3-view.jpg?exp=10800,2026-08-24T20:39:22+09:00,2026-08-24T22:40:55+09:00,熊本日日新聞,kumanichi,熊本日日新聞,167,（写真：熊本日日新聞） 熊本県警御船署によると、24日午後3時半～4時40分ごろ、益城町広崎の住宅に、黒色の布で鼻から下を隠した20代くらいの2人組が「金を出せ」などと言って押し入った。その後2人は逃走した。けが人はいない。2人は黒ずくめの帽子、長袖長ズボン姿で、1人はハンマーのような物を持っていた。署は強盗事件として捜査している。,[],[]
大西・熊本市長「災害復旧に全力」　市長選、態度明言せず（熊本日日新聞）,https://news.yahoo.co.jp/articles/ac9684c3ad39878dc9b18771a37407847f08709d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260824-00000028-kumanichi-000-2-view.jpg?exp=10800,2026-08-24T20:35:22+09:00,2026-08-24T21:14:05+09:00,熊本日日新聞,kumanichi,熊本日日新聞,409,記者会見で次期市長選に関する質問に答える熊本市の大西一史市長＝24日、市役所 熊本市の大西一史市長は24日の記者会見で、任期満了に伴う市長選（11月1日告示、15日投開票）について「災害からの復旧に全力を傾注したい」と述べ、4選出馬への態度を明らかにしなかった。 大西市長は、被災者の生活再建や復旧・復興を進める上で重要な局面にあると説明。「私自身がどう責任を果たすべきか、しっかり考えた上で判断したい」と語った。時期については「あと2カ月という中できちんと表明したい」とした。 5選不出馬を表明した福岡市の高島宗一郎市長からは、23日に電話で不出馬の意向を伝えられたと明かした。「九州全体のリーダー都市として、国全体に影響を与えてきた功績は非常に大きい。次の世代にたすきを渡すという判断を尊重したい」とねぎらった。 大西市長は2014年に初当選し、現在3期目。これまで市長選に立候補を表明した人はいない。（臼杵大介）,[],[]
熊日の若手IT人材育成「IPPO」、26年度は9個人・団体が挑戦　　（熊本日日新聞）,https://news.yahoo.co.jp/articles/dfe967c7a4c8d5c2b0ad69bab35efdb7dd4b1ba2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260824-00000027-kumanichi-000-1-view.jpg?exp=10800,2026-08-24T20:25:29+09:00,2026-08-24T20:25:29+09:00,熊本日日新聞,kumanichi,熊本日日新聞,457,「熊本版未踏的プロジェクトIPPO」の合宿で発表する採択者＝22日、山鹿市 熊本日日新聞社は22、23日、ITで技術革新を実現する人材育成プログラム「熊本版未踏的プロジェクトIPPO（一歩）」の2026年度事業を開始し、今回採択した9個人・団体のプランを共有した。来年1月の報告会に向け、大学教員や起業家ら専門家とプランの完成度を高める。 IPPOは経済産業省の補助事業で23年度スタート。26年度は40組の応募があった。 両日は山鹿市の複合施設「YAMAGA BASE」で合宿を開き、助言する専門家や修了生ら約40人が参加。採択者9者は、生成人工知能（AI）に惑わされないすべを学ぶ高校生向け教材、献血を促すゲームアプリ開発などのプランを説明し、議論を深めた。 熊本大1年の平田奏さん（19）は、地図上に投稿を掲示する交流サイト（SNS）を発案し、「場所が起点の新たなコミュニティーをつくる。実現に向けて足りない部分を見つけていきたい」と語った。9者は今後、専門家と定期的に面談し、開発支援を受ける。（岩崎健示）,[],[]
