headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
日本ハム・北山亘基、プロ5年目で初の10勝「すごく助けてもらった」中継ぎに感謝　新庄監督「もっと勝てるピッチャー」（中日スポーツ）,https://news.yahoo.co.jp/articles/37b5215e653f322d966cf40aed1f132555e47ee6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000127-chuspo-000-2-view.jpg?exp=10800,2026-08-28T22:57:54+09:00,2026-08-28T23:14:06+09:00,中日スポーツ,chuspo,中日スポーツ,587,日本ハム・北山亘基 ◇２８日 日本ハム６―４ロッテ（エスコンフィールド北海道） 日本ハムの北山亘基投手がプロ５年目で初のシーズン１０勝目をマークした。６イニング２／３を６安打４失点にしのいで球宴前の７月２３日に行われた西武戦以来、４試合ぶりの白星を手にした。 ◆侍ジャパン新ポーズ、大谷翔平も北山亘基の解説に笑顔【実際の動画】 「今日も中継ぎに頼りっぱなしでしたけど、すごく助けてもらった。皆に変なプレッシャーかけてたのがやっと終わったんで、それが一番よかった」と振り返った、２０２４年、昨季と９勝で終わり、２桁勝利まであと一歩。新庄剛志監督からここまで２桁がなかったことに「遅い遅い。もっと勝てるピッチャーですし、今後ね、最多勝争いに加わってくる投手になるためには、やっぱりインコースの使い方をもっと覚えてもらって」とハッパを掛けた。 防御率２・４０はリーグ２位の好成績で、あと１勝すればリーグ最多の１１勝に並ぶ。北山も「ドラ８（ドラフト８位）から、最初はすごい底辺みたいな順位で入って、チャンスも普通だったら少ないようなところから考えると遅いですけど、よくやってる方かなと思うんで、そこは自信にして。監督が５年間しっかり目をかけてくれたおかげ。そこは感謝して、ここからもっともっと上積みしていけるように、しっかりレベルアップしていきたい」と気を引き締めた。 中日スポーツ,[],[]
ヤクルト・奥川恭伸、8イニング1失点でまたまた連敗ストッパー　2点リードも「意気に感じて」8回続投「残り試合も気持ちですね」（中日スポーツ）,https://news.yahoo.co.jp/articles/3886cd011b61722c42820b892532a873dc282b03,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000126-chuspo-000-3-view.jpg?exp=10800,2026-08-28T22:47:12+09:00,2026-08-28T22:50:29+09:00,中日スポーツ,chuspo,中日スポーツ,511,広島に勝利し、ポーズをとるヤクルト・奥川恭伸 ◇28日 広島1―3ヤクルト（マツダ） たくましくなったヤクルトの奥川恭伸投手が、広島を8回まで5安打1失点に抑え7勝目。チームの連敗を「6」で止めた。既に今季は2度、連敗を「7」で止めている。連敗ストッパーの面目躍如だ。 「少しでも長いイニングを投げ、チームに貢献したいと思っていたので意気に感じていきました」。2点リードの8回2死一塁でも打席に立った。投手陣が苦しいチーム事情。自身の役割が分かっていた。序盤からスライダーやフォークがさえた。「同じ球種でも緩急をつけられた」。4回には中前適時打を放ち、自らを助けた。 気温は30度で、瀬戸内海沿岸に特有の蒸し暑さ。試合開始の3時間前から、スポーツドリンクを飲みながらベンチで暑さに慣れた。「気持ちです。夜になっても蒸しっとしているので。残り試合も気持ちですね」と満面の笑みだ。 池山監督は「素晴らしい投球。試合の入りも非常に安心して見ていられる投球だった」と絶賛した。混戦のAクラス争い。「われわれが混戦をつくった原因。上からダダダーッと落ちたけど、ここからいかに我慢して上げるか」。固い決意で終盤戦を戦う。 中日スポーツ,[],[]
「8番出口のおじさんが…」超個性派俳優、まさかの裏かぶりにネット沸く！「金ローとテレ東で」「さすがに笑うんですが」（中日スポーツ）,https://news.yahoo.co.jp/articles/3b7b3fecd669ac43243c7b367d3e80429771d98c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000125-chuspo-000-2-view.jpg?exp=10800,2026-08-28T22:41:53+09:00,2026-08-28T22:42:42+09:00,中日スポーツ,chuspo,中日スポーツ,572,河内大和 独特な風貌が特徴の超個性派俳優が、28日放送のテレビ東京系ドラマ「リーガルビート―逆転の法廷―」第6話に出演した。ただ、同時刻に放送の日本テレビ系金曜ロードショー「8番出口」でも主要キャストを務めており、まさかの裏かぶりに。ネット上でも話題となった。 その俳優は河内大和。TBS系ドラマ「VIVANT」でバルカ共和国の外務大臣・ワニズを演じたことで知名度が上がった。「8番出口」では、「迷う男」（二宮和也）が何度もすれ違う「歩く男」を不気味に演じきり、大いに話題となった。 「リーガルビート」は、吃音（きつおん）がある新米弁護士・泰地空（鈴鹿央士）が、得意のラップを武器に、先輩弁護士らと難案件を解決していく法廷ドラマ。河内は第1話に続く出演で、泰地の事務所と敵対する嫌みな弁護士役を演じた。 X（旧ツイッター）には放送時から、「河内さん裏かぶりしてる！！！」「河内さん、まさか金ローとテレ東で両面出演で草」「8番出口のおじさんがリーガルビートにもいるのさすがに笑うんですが まさかの裏」などの声が相次いだ。 見事な”悪役ぶり”も注目が集まったようで、「河内大和の反対尋問イラついて見てられなかった」「中年だと オバサンだと‼ 8番出口の人‼」「この氏家弁護士マジで言い方何とかならんのか？」といった書き込みも上がった。 中日スポーツ,[],[]
DeNA・牧秀悟「上を目指す中で、きっかけになる勝ち方だった」7回まで無安打から8回一挙4得点逆転勝利、「本当に執念」相川監督も粘りたたえる（中日スポーツ）,https://news.yahoo.co.jp/articles/198045b93962bb9b9e372bb22f8d5c328df6e7fa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000124-chuspo-000-2-view.jpg?exp=10800,2026-08-28T22:36:43+09:00,2026-08-28T22:38:43+09:00,中日スポーツ,chuspo,中日スポーツ,466,8回裏2死一、二塁、牧が中越えに勝ち越しの2点二塁打を放つ ◇28日 DeNA4―2中日（横浜） Aクラス死守へ、大きな1勝をもぎ取った。DeNAは中日・高橋宏に7回まで無安打に封じられるも、8回に集中打で4点を奪って逆転勝ち。相川監督も「本当に執念でした」とナインの粘りをたたえた。 【実際の動画】泳ぎながらもフェンス越え！DeNA・牧秀悟、19号同点ソロ 値千金の一打で大台を飾った。2点を追う8回2死満塁で、度会は「先輩たちがつないだチャンス。何が何でも（走者を）かえす」。斎藤が外角ボールゾーンに投じたスライダーに執念で食らい付き、右前への同点打に。この安打で、プロ3年目で初のシーズン100安打を達成した。 実力者たちも奮起した。8回、先頭の佐野が高橋宏から”ノーノー回避”の中前打を放ち、球場のムードを一変。同点として迎えた2死一、二塁では、牧が中堅フェンス直撃の2点二塁打で試合を決めた。 試合後、ベンチ裏では男たちの雄たけびが響き渡った。牧は「上を目指す中で、きっかけになる勝ち方だった」と胸を張った。 中日スポーツ,[],[]
中日・井上監督「3点目、4点目を取れたらこうではなかったよなと」追加点を奪えなかった打線に「それぞれ反省はあると思う」（中日スポーツ）,https://news.yahoo.co.jp/articles/d91117d002ddf3f172f113ee7fad3ca7977603ab,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000123-chuspo-000-1-view.jpg?exp=10800,2026-08-28T22:34:53+09:00,2026-08-28T22:34:53+09:00,中日スポーツ,chuspo,中日スポーツ,609,８回裏無死一塁、高橋宏の交代を告げた井上監督 ◇２８日 ＤｅＮＡ４―２中日（横浜） 中日は７回まで無安打投球を見せていた先発・高橋宏斗投手が８回に初安打を許すと右手のアクシデントにより、緊急降板。直後に救援陣がつかまり、２点差を一気にひっくり返された。３位まで３・５差に広げられ、クライマックスシリーズを争う敵地・横浜での３連戦初戦に敗れた。 【実際の動画】中日・花田旭 、先制3号ソロ！152キロを捉え左中間スタンドへ 高橋宏は７回に筒香に四球を与えてのみで７回を終えて無安打投球。大記録達成の期待が高まったが、８回先頭の佐野に中前打された。その際、右手に異変を訴え、緊急降板した。 バトンを受けた２番手・吉田が１死満塁を招き、井上監督は斎藤にスイッチ。しかし、度会に右前に同点の２点適時打を浴び、続く牧に中堅フェンス直撃の２点適時二塁打を打たれ勝ち越しを許した。 打線は４回にドラフト６位新人・花田の３号ソロ、６回に石川昂の犠飛で２点を奪ったが、追加点がなかったことも響いた。１～３回は得点圏に走者を進めたものの無得点。６回は無死満塁から石川昂の中犠飛がフェンス近くまで飛んだが、二塁走者の細川はタッチアップできず。８回も１死一、三塁と攻めたが、花田、山本が連続三振に倒れた。 井上監督は「２点ではなく、３点目、４点目を取れていたら、こうではなかったよなとか、それぞれ反省はあると思う」と振り返った。 中日スポーツ,[],[]
中日・高橋宏斗の緊急降板は「指がつった、ということだった」井上監督が明かす「それにしても、最高級の宏斗だった」（中日スポーツ）,https://news.yahoo.co.jp/articles/250c547bfee3edf99fcd7155dec2e037ddf62ad8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000122-chuspo-000-1-view.jpg?exp=10800,2026-08-28T22:23:05+09:00,2026-08-28T22:23:05+09:00,中日スポーツ,chuspo,中日スポーツ,683,９回表、試合を見つめる井上監督 ◇２８日 ＤｅＮＡ４―２中日（横浜） 中日は７回まで無安打投球を見せていた先発・高橋宏斗投手が８回に初安打を許すと右手のアクシデントにより、緊急降板。直後に救援陣がつかまり、２点差を一気にひっくり返された。３位まで３・５差に広げられ、クライマックスシリーズを争う敵地・横浜での３連戦初戦に敗れた。 【実際の動画】めちゃ広い守備範囲！中日・福永裕基、好投・高橋宏斗を救う美技 高橋宏は７回に筒香に四球を与えてのみで７回を終えて無安打投球。大記録達成の期待が高まったが、８回先頭の佐野に中前打された。その際、右手に異変を訴え、緊急降板した。 バトンを受けた２番手・吉田が１死満塁を招き、井上監督は斎藤にスイッチ。しかし、度会に右前に同点の２点適時打を浴び、続く牧に中堅フェンス直撃の２点適時二塁打を打たれ勝ち越しを許した。 井上監督は高橋宏の状態について「指がつった、ということだった」と説明。「展開が展開だけに、ブルペン陣への重圧はあったと思う。宏斗は６回まで完全投球、７回に（筒香へ）四球を出しても、まだノーヒットピッチング。８回、佐野くんに中前へ運ばれても『この試合は宏斗に任せる』と決めていた」というが、まさかのアクシデントが起きた。「じめっとしていたし、大量の汗をかいた。言うことを聞かなくなった手で投げろ、というわけにもいかなかった」と振り返った。 さらに「それにしても、最高級の宏斗だった。いいピッチング。勝たなきゃいけない試合だった」と語り、高橋宏の次回登板については「状態を見て、になる」と話すにとどめた。 中日スポーツ,[],[]
日本ハム・新庄監督「レイエスさまさま」試合前にワンポイントアドバイス「トップに入るときに背中を真っすぐ気味で」効果てきめん2打席連続本塁打（中日スポーツ）,https://news.yahoo.co.jp/articles/561b10915e2e18dd7d61a71ceb9441ababbffede,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000121-chuspo-000-2-view.jpg?exp=10800,2026-08-28T22:21:54+09:00,2026-08-28T22:23:35+09:00,中日スポーツ,chuspo,中日スポーツ,739,日本ハム・新庄監督 ◇28日 日本ハム6―4ロッテ（エスコンフィールド北海道） 日本ハムが主砲フランミル・レイエス外野手から2打席連続本塁打が飛び出すなど6点を挙げて逃げ切り、前カードから2連勝をマークした。 【実際の動画】どこまで飛ぶんだ..日本ハム・レイエス、圧巻の2打席連続ホームラン 新庄剛志監督は「もう今日はレイエスさまさまでしょ。（髪形は昨季まで所属した）ザバラに見えるけど」と試合後は上機嫌。試合前の練習では監督専用展望やぐら「SHIJO STAGE」に久々に上がって選手の動きを見守り、レイエスへもワンポイントアドバイス。「完璧でしたね。1打席目のフォアボールから（アドバイスした）ポイントができてたんで、今日打つなと。まあ彼の実力です」と称賛した。 具体的な助言の内容について「（体の）姿勢のをちょっと言って…。構えた時は真っすぐなってるんだけど、トップをつくるときにちょっとだけ（背中が）くの字になってるから、真っ直ぐ気味で。小島くんだったんで、低めのボールを遠く見せようやっていう話はして。そしたらものの見事に綺麗な姿勢で」と語った。 レイエスは1―1の3回の第2打席でバックスクリーンに突き刺さる特大の28号3ランを放つと5回にも左翼上段席にダメ押しの29号2ランをたたき込んだ。いずれもロッテの先発左腕・小島のカットボールを捉えた。1試合2発は3月31日のロッテ戦（エスコンフィールド北海道）以来、今季2度目で、2打席連続アーチは昨年8月以来。1人で5打点を稼ぎ、2年連続30本塁打に王手をかけた。 レイエスも「ボス（監督）からのアドバイスと実践していたことが同じ方向性だったので自信がついた。良いイメージで打席に立てた」と笑顔をみせた。 中日スポーツ,[],[]
巨人・ハワード、移籍後最短KOで首位攻防3連戦の初戦に敗戦　「何とか五分にして」橋上監督代行、約2か月ぶり先発の田中将大で2戦目の必勝誓う（中日スポーツ）,https://news.yahoo.co.jp/articles/721ed2e658ab4c4e60a33a37d39a4a199f4d4129,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000120-chuspo-000-2-view.jpg?exp=10800,2026-08-28T22:18:53+09:00,2026-08-28T22:23:04+09:00,中日スポーツ,chuspo,中日スポーツ,549,１回、阪神・近本光司に先制ソロを打たれる巨人・ハワード ◇２８日 阪神４―１巨人（甲子園） ゲーム差１・５で迎えた首位攻防３連戦の初戦。２位・巨人は出ばなをくじかれた。先発のハワードが移籍後最短の３イニングＫＯで、打線は阪神の村上に４回まで完全投球を許した。橋上監督代行は「ロースコアでいけば、もう少し足を絡めるとか…。そういう展開にならなかった」と悔やんだ。 ◆ 朝ドラ出演の19歳女優、“黒ユニ”始球式で「かわいさ」爆発【写真】 ハワードは１回、近本に先制ソロを被弾。３回は森下、佐藤、大山の３連打で２点を失った。今季最少だった前回の７３球を下回る６４球で降板。杉内投手チーフコーチも「本来とは程遠い。球速も出ていない」と首をかしげた。 打線は村上を攻略できずに４連敗。この日もカットボールに苦しみ、７回に泉口の左犠飛で零封を免れるのが精いっぱいだった。橋上代行は「対応できていないのは事実。何かきっかけを見つけられれば」と具体的な解決策を言えなかった。 ２７日までの前カードでヤクルトに３連勝。勢いを失いかねない負け方だっただけに、連敗は何としても避けたい。「アタマは取れなかったが、あと２つある。何とか明日、五分にして」。約２カ月半ぶりに田中将が先発する２戦目の必勝を誓った。 中日スポーツ,[],[]
サンド・伊達みきお、脳梗塞で休養 事務所「健康を最優先に担当医と相談しながら活動再開に向けて努めてまいります」（中日スポーツ）,https://news.yahoo.co.jp/articles/ff7ff688d87e6f1dbfa863be94c741e9b8c17ea3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000119-chuspo-000-3-view.jpg?exp=10800,2026-08-28T21:49:37+09:00,2026-08-28T22:25:00+09:00,中日スポーツ,chuspo,中日スポーツ,445,伊達みきお お笑いコンビ「サンドウィッチマン」の伊達みきお（51）が脳梗塞のため当面の間、活動を休止して治療に専念することが分かった。所属事務所「グレープカンパニー」が28日、公式ホームページで発表した。10月16日から予定していたライブツアーは全公演が中止となり、「楽しみに待っていてくださった皆さまには大変ご迷惑をお掛けしますことを深くお詫び申し上げます」としている。 【実際の投稿】サンド伊達が脳梗塞「回復に向けて日々リハビリに励んでおります」所属事務所が公表 サンドウィッチマンは伊達と富澤たけし（52）のコンビで、2007年のM－1グランプリ優勝、09年のキングオブコント準優勝。テレビ、ラジオ合わせて10本以上のレギュラー番組を持っている。 同事務所では「伊達みきおの健康を最優先に、担当医と相談しながら、活動再開に向けて努めてまいります」と報告。当面は富澤個人での活動となるものの、「引き続きサンドウィッチマンを温かく見守っていただけますと幸いです」としている。 中日スポーツ,[],[]
9・2ダブル世界戦で吉良大弥と対戦のカニサレスが来日　外交問題絡み35時間の長旅も王座返り咲きへ「集中」【ボクシング】（中日スポーツ）,https://news.yahoo.co.jp/articles/f3cf82cd387cba0fb8a4e4cfbb8b0e4e05fc2479,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260828-00000118-chuspo-000-2-view.jpg?exp=10800,2026-08-28T21:46:53+09:00,2026-08-28T21:48:18+09:00,中日スポーツ,chuspo,中日スポーツ,795,来日したカニサレス ボクシングのダブル世界戦（９月２日、横浜ＢＵＮＴＡＩ）メインイベントのＷＢＡライトフライ級王座決定戦で同級１位・吉良大弥（２３）＝志成＝と対戦する元ＷＢＡ・ＷＢＣ同級王者カルロス・カニサレス（３３）＝ベネズエラ＝が２８日、羽田空港着の航空機で来日した。ベネズエラと米国の外交問題のためコロンビア・ボゴタとパリを経由し、合計約３５時間もの長旅となったが疲れを見せず「日本は４回目。移動にも慣れている。日本は大好きだ。このチャンスをもらえたことを感謝したい」と力強く話した。 国内最速タイ５戦目（４戦全勝３ＫＯ）での世界奪取を狙う吉良に対し、カニサレスはすでに３３戦（２８勝２０ＫＯ３敗１分け）を経験。日本勢とも元ＷＢＯフライ級王者・木村翔に勝利、元世界２階級制覇王者・田口良一にドロー、現ＷＢＯスーパーフライ級王者・寺地拳四朗（ＢＭＢ）に激戦の末小差判定負けなど、超一流の選手たちと互角以上に戦ってきた。「吉良には敬意を持っているし、日本の選手はいつも規律を持って真剣に戦ってくれる。ただ、私もトップレベルの選手たちと対戦し、寺地のようなハードな戦いも乗り切ってきた。大丈夫だ」と、ベテランは自信を見せた。 昨年８月にパンヤ・プラダブシー（タイ）をＫＯしてＷＢＣ王座を獲得したが、外交問題のため防衛戦ができず、そのまま休養王者とされて後に王座を失った。「私は選手なので政治のことはどうすることもできない。国を出ることができずタイトルを手放さなければならなかった」という。 それだけに王座返り咲きへの思いは強い。「私はプロ。いつ声がかかってもいいように準備していた。政治の問題も練習には影響しなかった。ＷＢＡのタイトルを取ることに集中している」。約１０年にわたってライトフライ級の世界トップレベルであり続けるカニサレスは最強の相手として吉良の前に立ちはだかる。 中日スポーツ,[],[]
