headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
マラソン大会のポスターが“AIっぽい”と波紋　「説明に不適切な部分があった」と事務局声明（ITmedia NEWS）,https://news.yahoo.co.jp/articles/900dc8554635a1d4dfb75b43f1bac744cfb606b5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260908-00000067-zdn_n-000-1-view.jpg?exp=10800,2026-09-08T20:46:06+09:00,2026-09-08T20:46:06+09:00,ITmedia NEWS,zdn_n,ITmedia NEWS,788,（写真：ITmedia AI＋） 鹿児島県指宿市のマラソン大会を告知するポスターに、「生成AIで描かれているようだ」などの指摘が相次ぎ、同事務局が9月8日に声明を発表した。制作過程には生成AIを活用したことを明らかにした他、当初「イラストレーター制作」と表記していた部分について「正確にはグラフィックデザイナーが適切」として訂正した。 【画像3枚】波紋を広げたポスターを見る いぶすき菜の花マラソン大会は、鹿児島県指宿市で実施されるマラソン大会で、第44回は2027年1月に開催を予定している。公式サイトでは、大会名にも含まれる菜の花や指宿市の名物などをあしらったポスターを26年7月24日から公開していた。 一方X上では、9月7日ごろから、菜の花のビジュアルが実物と異なるなど、AIで制作しているように見えるにもかかわらず、公式サイトでは「鹿児島県内でイベントポスターなど多数の作品を描かれているイラストレーターの方に制作いただきました」と紹介されているとの指摘が出ていた。 これを受け、同事務局は声明を出し、「今回のポスターは、イベントポスターなどを多数手掛けているデザイナーに制作を依頼し、生成AIを活用しながら、デザイナーが構成・デザイン・画像の加工や修正などを行い、最終的なビジュアルとして仕上げている」と補足。ポスターの紹介文も「グラフィックデザイナーの方に制作いただいた」と訂正した。 また、菜の花のビジュアルについては「本来の菜の花の形状とは異なって見える部分があり、制作・校正段階での確認不足だった」と謝罪した。 なお、同ポスターについては「指宿のさまざまな景観や観光素材が盛り込まれており、いぶすき菜の花マラソンの魅力や、指宿らしさを感じていただける他、イエローとブルーが映える爽やかなポスターに仕上がった」（同事務局）としている。 ITmedia AI＋,[],[]
「ペンギンを返して」　Suica新キャラ候補3案公開でSNSに戸惑いの声　一般投票は8日から（ITmedia NEWS）,https://news.yahoo.co.jp/articles/f3a25c32a119419f3316082e01cf1c055f858271,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260908-00000061-zdn_n-000-1-view.jpg?exp=10800,2026-09-08T19:25:08+09:00,2026-09-08T19:25:08+09:00,ITmedia NEWS,zdn_n,ITmedia NEWS,967,A、B、Cの3案（出典：公式サイト） JR東日本が9月8日に公開したSuicaの新イメージキャラクター候補3案のデザインが、XなどのSNSで波紋を広げている。公開直後から「期待を下回った」「これなら今のままでよかった」といった落胆の声が相次ぎ、2027年3月末で卒業する「Suicaのペンギン」のデザインを惜しむ声も上がっている。同社は同日午後3時から、後継キャラクターを決めるユーザー投票の受け付けを開始した。 【実際の画像】「ペンギンを返して」――Suica新キャラ候補3案へのXユーザーの声 候補はA、B、Cの3案。A案は、線路になぞらえて頭から尻尾までつながる模様が入ったオレンジ色のリス。B案は「未来へ跳び進む」という意味を込めた紫色のうさぎ、C案はポシェットにモグラを入れた「オレンジの子」で、モチーフについては語られていない。 JR東日本の公式Xアカウントが3案を紹介すると、「ペンギンを返して」「いっそ無地の方が良い」といった否定的な反応が相次いだ。一方で、「最初は衝撃だけど、数年経てば慣れるのかも」「違和感は今だけ」などの意見もみられた。 評価は候補ごとに分かれる。リスをモチーフにしたA案には、「デザインが古い」「無難だけどチープすぎる」とする反応がある一方、「一番しっくりくる」「JRのイメージに合う」と支持する声もみられた。 うさぎをモチーフにするB案には「デザインが不気味すぎる」「うさぎに見えない」といった声が多くみられたが、「キモ可愛ければ可愛いほど売れる」「大阪・関西万博のミャクミャクみたいで好き」と、独特のデザインを好意的に受け止める意見も目立った。その他、実際にICカードのデザインに重ねてみると、案外B案がしっくりくるという反応もあった。 C案には、「やる気がなさそう」「何を考えているのか分からない」と、否定的に捉える声が上がる一方、「よく見たら可愛い」「モグラのモチーフが斬新で良い」と支持する意見もみられた。また、「ポシェットの中がモグラなら、このオレンジの子は何なのか」と、キャラクター本体の正体を気にする反応も出ている。 投票は23日まで。最も票を集めた候補を新イメージキャラクターとして採用し、Suica誕生25周年に当たる11月18日に結果を発表する。 ITmedia NEWS,[],[]
幻の「ちいかわ」コラボ第3弾皿、捨てちゃうの？　くら寿司に聞いてみた（ITmedia NEWS）,https://news.yahoo.co.jp/articles/60e68adfe6648e6e3ccdb20332c72386b4d25990,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260908-00000060-zdn_n-000-1-view.jpg?exp=10800,2026-09-08T18:46:20+09:00,2026-09-08T18:46:20+09:00,ITmedia NEWS,zdn_n,ITmedia NEWS,591,（写真：ITmedia NEWS） くら寿司は9月8日、中止した「ちいかわ」コラボキャンペーンの第3弾で配布予定だったオリジナルすし皿について「厳重に管理しており、今後の対応については協議中」とITmedia NEWSの取材に回答した。 【画像】第3弾で配布予定だったオリジナルすし皿。くら寿司限定イラストの全4種 コラボは8月21日にスタート。湯呑みなどのオリジナルグッズをプレゼントしたり、食事中に引けるくじ「ビッくらポン！」の景品としてフィギュアなどを提供していたが、景品が全く手に入らない、開始前にもかかわらずフリマアプリに出品されているといった声がSNSで拡散。従業員による抜き取り・転売を疑う声が相次いだ。 同社は2日に謝罪し、調査を進めていたが、従業員による不正が発覚したとして5日にキャンペーンの中止を発表。すし皿は18日から配布予定だったが、配られないまま中止となった。 こうした経緯を受け、X上では「第3弾用の皿はすでに製造済みで、処分されてしまうのではないか」との投稿が拡散。「処分するのはもったいない」といった声も出ていた。 ITmedia NEWS編集部は、廃棄・保管・販売など今後の取り扱いについて質問したが、回答は冒頭の内容にとどまった。同社は7日、今回の不正行為について「警察当局に相談の上で厳正に対処する」と発表している。 ITmedia NEWS,[],[]
「空飛ぶジンバルカメラ」日本上陸　手持ち撮影＋ドローンに装着して空中撮影もできる“合体メカ”だった（ITmedia NEWS）,https://news.yahoo.co.jp/articles/c10b0bfca9d0bcd2a587b0eab02b8b938a0f4881,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260908-00000043-zdn_n-000-1-view.jpg?exp=10800,2026-09-08T18:20:09+09:00,2026-09-08T18:20:09+09:00,ITmedia NEWS,zdn_n,ITmedia NEWS,1728,四角いボディのVERSAポケット。ボディが四角いのはフライトキットときっちり合体するためだ 超ユニークで、なおかつ実用度がけっこう高そうな合体メカ、「空飛ぶジンバルカメラ」がいよいよ日本上陸である。 【画像10枚あり】合体完了。ディスプレイ上のボタンを長押しすると飛行が始まる 2024年に「空飛ぶカメラ」ことカメラ搭載のミニドローン「HOVERAir X1」を発売した中国ZERO ZERO ROBOTICSが、満を持して投入する「HOVERAir VERSA」である。 今回、発表に合わせて来日した創業者兼CEOのMQ Wang氏は、HOVERAir VERSAのことを「ドローン」ではなく「空飛ぶカメラ（Flying Camera）」だと強調していた。自在に飛ばすこともより、通常のカメラでは不可能な自由なアングルで撮ることを重視してラインアップを用意したからだ。 思えば、24年のHOVERAir X1 smartは正にそういう製品だった。日本では100g以上の無人飛行機（ドローンもそうだ）は国交省に機体登録をしなければいけないのだが、それが不要になるよう99gに抑え、誰でも空中からの撮影を気軽に楽しめる製品にした。 そして、今回登場したのが、ローターを4つ持つ“フライトキット”をガシッと装着することで、空飛ぶカメラに変身するジンバルカメラ、HOVERAir VERSAなのだ。 これが面白い。 見方によっては、カメラドローンから飛行ユニットを分離可能にして液晶モニターを装着した製品（もともとカメラドローンのカメラはジンバル付き）にも見えるし、ジンバルカメラのオプションに空を飛ぶためのキットを用意した製品にもみえる。 MQ Wang氏は「ドローンとポケットカメラ（ジンバルカメラをポケットカメラと呼んでいた）の合体は以前からずっとやりたかった」という。確かにカメラドローンとジンバルカメラの技術は非常に相性がよく、両者を分離・合体できても無理は感じない。 VERSA本体は3軸の極めてオーソドックスなジンバルカメラで、17.5段のダイナミックレンジを持つという1/1.3型センサーを搭載。動画は4K/60fpsでオープンゲート記録にも対応する。オープンゲート記録対応はうれしい。 背面に1.64型の回転式ディスプレイを搭載し、ディスプレイを回転させるとすぐオンになる。このあたりは典型的なジンバルカメラだ。 そしてこのカメラをフライトキットに合体させると、ドローン化し「空飛ぶカメラ」に変身する。 フライトキットは67gの軽量で、普段は折り畳まれている。これを開き、VERSAをマグネットとラッチでカチッと装着（MagLatchシステム）すれば両者が一体化し、空飛ぶカメラに変身するのだ。 試してみたが、マグネットで正しい位置にかちっとハマり、さらにラッチで固定するので、脱着は驚くほど簡単なのにしっかりしている。 ドローン時の操作は同社の「HOVERAir X1」と基本的に同じようだ。複数の飛行モード（ホバリングや追従など）がプリセットされており、それをを選んでボタンを押すと手のひらから自動的に離陸し、設定した時間飛行したら手のひらに着陸する（もちろんマニュアル飛行もできる）。 飛んでいるときは動画を撮ってもいいし、静止画を撮ってもいい。 VERSAでがあらたに4nmプロセスのAIチップを搭載し、AIフレーミングやAI自動編集、空間の3Dデータを構築する機能も搭載されている。 これは「空を飛ぶこともできるジンバルカメラ」か「カメラ部を切り離して単体でも使えるカメラドローンか」……どっちとも取れるユニークな存在だ。 VERSAなら、普段は単体でジンバルカメラとして歩きながら録ったり自撮りしたりしつつ、バッグの片隅にフライトキットを忍ばせておき、空中から撮りたいときに空飛ぶカメラに変身させられるという、1台で2つの用途に使える「2 in 1」な製品だ。 わたしはHOVERAir X1 Smartを使っているが、小さい割に画質はかなりよく、今回のVERSAはセンサーサイズも大きく4K動画に対応しているのでさらにイケそうだ。,[],[]
Suica、ついに“JR東日本全駅”で利用可能に　26年度末に6エリアを統合（ITmedia NEWS）,https://news.yahoo.co.jp/articles/223dfac2f4e7819e2028856320596aed42b00362,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260908-00000057-zdn_n-000-2-view.jpg?exp=10800,2026-09-08T17:55:37+09:00,2026-09-08T17:57:38+09:00,ITmedia NEWS,zdn_n,ITmedia NEWS,955,（写真：ITmedia NEWS） 東日本旅客鉄道（JR東日本）は9月8日、Suicaの利用エリアを2026年度末に1つに統合すると発表した。統合後はSuica対応駅の相互間でエリアを気にせず乗車できるようになる。 【画像】エリア統合の概要。2027年春以降は6エリアが「東日本エリア」に一本化する 現在、Suicaの利用エリアは首都圏・仙台・新潟・青森・盛岡・秋田の6つに分かれており、エリアをまたいでSuicaで乗車することはできない。エリア統合は、23年5月から順次進めてきた「新しいSuica改札システム」の導入完了に伴うもの。運賃計算を個々の改札機ではなくセンターサーバで処理する方式で、導入完了により管内全駅の乗降に対応できるようになる。サービス開始日などの詳細は決まり次第知らせるとしている。 センターサーバ化で改札機改修が不要になることから、26年度末には東北本線の新白河や奥羽本線の横手・大曲、上越線の越後湯沢など32駅で新たにSuicaが使えるようになる。 タブレットが改札に、「どこでも改札」を30年度から導入 また、同社は新たな改札方式「どこでも改札（仮称）」を30年度から順次導入する。エリア統合時点でSuicaを使える駅は管内の約60％にとどまるが、30年代初めにはこれを100％に引き上げ、JR東日本の全駅でSuicaを利用できるようにする。 どこでも改札は、SuicaカードやモバイルSuicaのタッチ処理をタブレット端末などで行う方式。従来の改札機と違って車両や駅に柔軟に設置できるため、Suica非対応駅にもサービスを広げやすくなる。運転本数の少ない線区では列車への搭載も検討しており、その場合はGPSで駅を判定し、1台で複数駅の改札処理を担うという。 従来は、「スマホ改札（仮称）」によって全駅をカバーする計画だった。スマホ改札は乗客のスマートフォンのGPSなどで入出場を判定する方式で、駅に改札機を置かずに済む利点がある一方、モバイルSuica限定でSuicaカードを使えない課題があった。Suicaカードにも対応するどこでも改札を先行導入することで、全駅対応の時期を前倒しする。なお、スマホ改札自体は30年代中頃の実現を目指して開発を続ける。 ITmedia NEWS,[],[]
「人型ロボット向け救急車」登場、国内初うたう　世界の救急車両を参考にデザイン　GMO傘下（ITmedia NEWS）,https://news.yahoo.co.jp/articles/9f15c90ef3d6df5d12cc038421451369c751b551,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260908-00000056-zdn_n-000-1-view.jpg?exp=10800,2026-09-08T16:59:30+09:00,2026-09-08T16:59:30+09:00,ITmedia NEWS,zdn_n,ITmedia NEWS,396,サービスロゴ GMO AI&ロボティクス商事（GMO AIR）は9月8日、人型ロボットの故障・トラブル時に診断や修理、代替機の提供などを行う「GMOヒューマノイド救急車」を導入すると発表した。同社が導入を手掛けた機体の保守に活用する。 【画像】救急車の実機 GMOヒューマノイド救急車は人型ロボットの診断や修理を想定した、「国内初」の専門車両だという。人型ロボット向けのエンジニアが同乗し、駆け付けた現場での修理が難しい場合は代替機と交換する。同車両はGMO AIRの自社設備で、出動の可否は機体の状況や運用体制に応じて個別に判断する。 車両のデザインは世界の救急車両を参考に、視認性と機能性を両立したとうたう。 GMO AIRは、AI・ロボット事業を担う商社として2024年に設立。同社は今後も「人型ロボットの導入後の運用を支えるサービスを順次拡充」するとしている。 ITmedia AI＋,[],[]
「2026年はフィジカルAI元年」　日立、AIサービス群全体で売上5000億円へ　ミュトス利用の知見を基にした新サービスも（ITmedia NEWS）,https://news.yahoo.co.jp/articles/2ecab5db52b39fb75bf3d8c7e2a8aed6d5e0d603,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260908-00000052-zdn_n-000-1-view.jpg?exp=10800,2026-09-08T16:08:42+09:00,2026-09-08T16:08:42+09:00,ITmedia NEWS,zdn_n,ITmedia NEWS,1666,（写真：ITmedia AI＋） 2026年は「フィジカルAI元年」――日立製作所（以下、日立）の徳永俊昭社長は同社が開催した「Hitachi Social Innovation Forum 2026 JAPAN」の基調講演でこう切り出した。 【画像】「フィジカルAI元年」を掲げる日立の徳永社長 同日、日立はAIソリューション群「HMAX」の拡充を発表。米Anthropicの「Claude Mythos Preview」（以下、Mythos Preview）を活用した知見を盛り込んだセキュリティ支援などを追加し、社会インフラを支える「フィジカルAIサービス」として売り出す。HMAX事業は26年度末時点で売上高5000億円、利益率22％を見込む。 「守るべきものは増える。しかし、人は増えない」 徳永氏はフィジカルAIを、人が決めた通りに機械を動かす「自動化」ではなく、現場の機器やシステムが状況に応じて自ら判断し動作する「自律化」を実現するものと定義する。日本では2040年に1100万人の労働力が不足するとの推計がある一方、社会インフラの運用現場では今も人が24時間365日監視に当たっている。「守るべきものは増える。しかし、現場を支える人は増えない」（徳永氏） 徳永氏は、フィジカルAIの実装段階を物理法則の学習からデジタルツインでの試行、業務固有のルールの学習、現場での実践までの4つに分け、米NVIDIAが前半に注力するのに対し、日立はITやOT（制御・運用技術）、プロダクトの蓄積を生かして後半で価値を出すと説明した。 その中核がHMAXだ。24年9月の鉄道向けを皮切りにエネルギー、産業、金融へと広げてきた。徳永氏は、フィジカルAIで現場を革新するデジタルサービスは「社会インフラを動かすOSといえる存在になる」と語る。 「ミュトス」で人間が見つけられなかった脆弱性を発見 日立はフィジカルAIの実装を支えるデータセンターやセキュリティなどの分野でソリューション群の拡充を進めている。イベント同日に発表されたセキュリティ分野の新ソリューション「HMAX Cyber」は脆弱（ぜいじゃく）性の可視化や、24時間365日の監視・運用、有事の復旧支援などを組み合わせたサービス。 その背景にあるのが、日立が26年6月に参画した米Anthropicのサイバーセキュリティプロジェクト「Project Glasswing」だ。HMAX Cyberの筆頭ホワイトハッカーを務める青山桃子氏によると、一般非公開のMythos Previewで社会インフラ向けの大規模ソフトウェアを検証したところ、「人間が到底見つけられなかった脆弱性」を発見し、検証を高度化・高速化できると分かったという。一方で「止まることを許されないシステムでは、重要な判断はまだ人間が行う必要がある」（青山氏）ため、日立ではサイバーセキュリティ分野の専門組織を今後も拡大する見込みとした。 HMAX Cyberの責任者を務める小岩博明氏によれば、Mythos Previewのような先進モデルによる脆弱性スキャンを顧客システムに適用するのではなく、日立社内での検証で得た知見を顧客に還元することを目指すという。Mythos Previewに限らず米OpenAIや米Googleなどのフロンティアモデルがセキュリティ分野で広く使われるようになった際に、AIが見つけた大量の脆弱性候補をどうトリアージし、修正するか。その判断を支援する狙いだ。 小岩氏はこのサービスの需要が特に大きいのは金融機関だと述べた上で、サイバー攻撃がOT分野にも広がっている現状を指摘。OT分野での日立の強みが生かして支援するとした。 HMAXの戦略を統括する黒川亮氏は、「日立自身はロボットもLLMも作っていない」一方で、米NVIDIAやAnthropic、OpenAIなど世界のパートナー企業と組み、「世界一のフィジカルAIの使い手」を目指すと抱負を述べた。 ITmedia AI＋,[],[]
“ヒト型ロボット用救急車”爆誕　メカ用担架や予備パーツ積載　GMO系（ITmedia NEWS）,https://news.yahoo.co.jp/articles/f3e7365f8c547c6f09d7100167565d94525317ec,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260908-00000051-zdn_n-000-1-view.jpg?exp=10800,2026-09-08T16:03:31+09:00,2026-09-08T16:03:31+09:00,ITmedia NEWS,zdn_n,ITmedia NEWS,1124,（写真：ITmedia NEWS） 人型ロボット開発などを手掛けるGMO AI＆ロボティクス商事（GMO AIR）は9月8日、人型ロボットの故障やトラブル時に現場へ駆けつけ、その場で診断・修理する専用車両「GMOヒューマノイド救急車」を発表した。同社によると、人型ロボットの保守に特化した車両は国内初という。 【実際の写真】ヒューマノイド救急車の内観。人型ロボットを横たわらせる担架が置いてある。（撮影：編集部） 車両には、代替用のヒューマノイド本体のほか、主要部品や消耗品、交換パーツ、診断機器などを積載。同社で普段からヒューマノイドのチューニングに携わっているエンジニアが同乗し、故障したロボットを現場で診断・修理する。その場で直せない場合は、同社のAI開発拠点「GMOヒューマノイド・ラボ」（東京都渋谷区）などに搬送して修理する。 デザインは、白基調の車体に赤いラインを引いた一般的な救急車を思わせる外観で、プロダクトデザインなどを手掛けるグランマナス（東京都港区）の森田恭通代表取締役が担当した。世界の緊急車両などを参考に、視認性や機能性を意識して設計したという。車内には人型ロボット用の担架や修理用の機材を積み込めるようにしている。 修理に時間がかかる場合は、同社がすでに提供している月額7万円のサブスクリプションサービスを利用することで、その場で代替機と交換できる。同サービスは、年に1.5カ月分まで追加料金なしで機体をレンタルできる。 ヒューマノイド救急車のアイデアは、現場から生まれた サービスを考案するきっかけの1つになったのが、同社が8月に中国・北京で参加した「世界ヒューマノイドロボット運動会」だ。同社はUnitree製「G1」のカスタム機で、100m、400m、1500m走に出場。400mの予選では転倒によってロボットの頭部が破損したが、準決勝まで約20分しかない中、現場のエンジニアが予備部品を使って約10分で復旧させ、準決勝に出場できたという。 同社の滝澤照太氏（シニアリサーチエンジニア）によれば、用途や使い方によって詳細は異なるものの「体感としては、3カ月くらい使っていると、3～4割くらいは何かしらパーツが壊れる」という。激しい動作を検証した結果、ほとんどの人型ロボットが故障したこともあった。 こうした経験から同社は、人型ロボットの社会実装には、故障した際にすぐ復旧できる保守体制が欠かせないとみる。内田朋宏代表取締役社長も発表会見の場で「今後人型ロボットの社会実装が進み、より過酷な環境や用途で使われるようになれば、故障する機会も増え、保守・運用の需要も高まる」との見立てを示した。 ITmedia NEWS,[],[]
大雨で「首都圏外郭放水路」稼働　濁流が“地下神殿”を満たすまでの動画公開　国交省（ITmedia NEWS）,https://news.yahoo.co.jp/articles/4fc81946f22f0f4d47afad33b637abeaff6b8aca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260908-00000049-zdn_n-000-1-view.jpg?exp=10800,2026-09-08T15:35:08+09:00,2026-09-08T15:35:08+09:00,ITmedia NEWS,zdn_n,ITmedia NEWS,594,倉松川の水が流れ落ちる第3立坑の流入部（出典：江戸川河川事務所の投稿より、以下同） 国土交通省江戸川河川事務所は9月7日、同日の大雨に伴い「首都圏外郭放水路」（埼玉県春日部市）に雨水が流れ込む様子を撮影した動画を公式Xに投稿した。 【画像】“地下神殿”が水で満ちていく様子（1/5） 首都圏外郭放水路は、地下約50mを通る世界最大級の地下放水路。周辺の中小河川が増水した際に複数の立坑（縦穴）から水を取り込み、地下トンネルを通じて巨大な調圧水槽に集め、流量に余裕のある江戸川へ流すことで浸水被害を防ぐ。柱が立ち並ぶ調圧水槽の景観は“地下神殿”の愛称で知られる。 公開した46秒の動画は、施設内の監視カメラの映像をつないだもの。冒頭に映るのは、7日午前5時42分時点の第3立坑の映像。春日部市内を流れる倉松川から取り込んだ濁流が、渦を巻きながら流れ落ちていく。第1立坑から調圧水槽への流入部でも、灰色に濁った水が次第に水位を上げていく様子が映る。 終盤には、“地下神殿”が徐々に水で満たされていく様子も確認できる。乾いた床を伝って水が広がり始め、柱の根元を波打ちながら覆っていく。最後には床一面が水没し、立ち並ぶ柱だけが映る光景に変わる。 X上では動画の公開を受け、「神殿が機能している……！」「これ作ろうって言った人ほんますごいわ」などのコメントが上がっている。 ITmedia NEWS,[],[]
Suica、3つの新キャラ候補を発表　ネット投票で決定へ　ペンギンは27年3月末で卒業（ITmedia NEWS）,https://news.yahoo.co.jp/articles/ccc18a730b705598b75d3aaf390af8b1d57b40f4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260908-00000048-zdn_n-000-2-view.jpg?exp=10800,2026-09-08T15:20:08+09:00,2026-09-08T15:46:03+09:00,ITmedia NEWS,zdn_n,ITmedia NEWS,418,（写真：ITmedia NEWS） JR東日本は9月8日、2027年3月末で卒業する「Suicaのペンギン」の後継となる、新たなイメージキャラクターの候補3案を公開した。同日午後3時から23日までユーザー投票を受け付け、最多票の候補を採用する。 ▼「次期Suicaペンギンはどのキャラ？」――3候補の詳細を見る（別ポーズもあり） 候補はA、B、Cの3案。A案は、頭から尻尾までを1本の線でつないだオレンジ色の「リス」のキャラクター。B案は、未来へ跳び進む「うさぎ」をモチーフにした紫色のキャラクター、C案は、ポシェットにモグラを入れたオレンジ色のキャラクターだ。いずれも選考委員が推薦した若手クリエイターが原案を制作し、選考委員会が8月末に3案まで絞り込んだ。 結果はSuica誕生25周年の11月18日に発表する。採用キャラクターの愛称も募集し、2027年4月1日から「Suicaのペンギン」の後任を務める。 ITmedia NEWS,[],[]
