headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「働く社員が撮る姿が一番かっこいい」現役運転士が撮影した高速バス「九州号」の写真展が開幕　ことしで運行開始から60周年（NBC長崎放送）,https://news.yahoo.co.jp/articles/d2a22e44370ec467dbe53e8d35d351158dec0262,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-22944057-nbcv-000-1-thumb.jpg?exp=10800,2026-09-14T19:37:12+09:00,2026-09-14T19:37:12+09:00,NBC長崎放送,nbcv,NBC長崎放送,527,長崎放送 長崎と福岡を結ぶ高速バス「九州号」の現役の運転士が、沿線の美しい景色などを撮影した「写真展」が9月14日から長崎市で開かれています。 【写真を見る】「働く社員が撮る姿が一番かっこいい」現役運転士が撮影した高速バス「九州号」の写真展が開幕 ことしで運行開始から60周年 四季を感じる1枚や街並みに溶け込む1枚など、「九州号」の魅力を写真で映し出しています。 九州号が長崎や福岡を走る姿をバスの運転士ならではの視点で映した「写真展」は、九州号の運行開始60周年を記念し開かれています。 会場には、「九州号」の現役運転士で写真が趣味の愛谷理徳さんが撮影した31作品を展示。長崎港と「九州号」の組み合わせなど、運行ダイヤを熟知する運転士だからこそ撮れる写真も楽しめます。 愛谷理徳さんは「九州号を題材にした写真となると、やっぱり働いている社員が撮るのが一番かっこいい姿とかアングルとか場所を知っていると思う。乗ったことのないお客様も、これを見て乗ってみようかなときっかけをもってもらいたいし、九州号はこういう風に街中を走っているんだと新たな発見を持ってもらいたい」と話しています。 写真展は、長崎市の光画舎Mで、9月22日まで開かれています。 長崎放送,[],[]
離島で暮らす子供たちに教職の魅力と大学生活を伝える「出前型教職セミナー」長崎・五島市で初開催（NBC長崎放送）,https://news.yahoo.co.jp/articles/cfdbb428b26d7f4dd0c00767e833066dc09c9938,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-22943965-nbcv-000-1-thumb.jpg?exp=10800,2026-09-14T19:29:13+09:00,2026-09-14T19:29:13+09:00,NBC長崎放送,nbcv,NBC長崎放送,524,長崎放送 離島の子どもたちに教職員の魅力を伝えようと、長崎県五島市で初めて「教職セミナー」が開かれました。 【写真を見る】離島で暮らす子供たちに教職の魅力と大学生活を伝える「出前型教職セミナー」長崎・五島市で初開催 教職の魅力を伝え、「教育学部」での大学生活をイメージしてもらおうと、長崎大学教育学部が開いた「教職セミナー」には、島内の小中高校生約60人が参加。 現役教師による「教師の魅力」についての講話や、教育学部生による大学生活の紹介などが行われました。 長崎大学教育学部の木村国広コーディネーターは「特にこの離島では高校生だけではなくて小中学生に対象を広げてます。小中学生の反応もとてもいいです」と話しています。 参加者らは、デッサンなど教育学部の授業を体験しました。 またグループディスカッションでは、参加者らが受験勉強の仕方や教員を目指したきっかけなどを質問し教職への関心を深めました。 五島高校3年生の出口健誠さんは「大学での生活を実際に聞いて楽しみになりましたし、自分の来年度の生活もイメージ出来ました」と話しました。 長崎大学によりますと、「出前型教職セミナー」は2027年も、県内の離島で開催する予定だということです。 長崎放送,[],[]
洋上風力作業員を運ぶ船「CTV」が佐世保で起工 長崎県内初建造で2027年秋に訓練開始へ（NBC長崎放送）,https://news.yahoo.co.jp/articles/d2f09941143f9c539156cbcbafee8a0f43ee3694,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-22944248-nbcv-000-1-thumb.jpg?exp=10800,2026-09-14T19:23:13+09:00,2026-09-14T19:23:13+09:00,NBC長崎放送,nbcv,NBC長崎放送,496,長崎放送 「洋上風力発電」の風車に作業員を運ぶ「船」の起工式が、9月14日に佐世保市の造船所で行われました。 【写真を見る】洋上風力作業員を運ぶ船「CTV」が佐世保で起工 長崎県内初建造で2027年秋に訓練開始へ アルミ船を建造する佐世保市の沖新船舶工業で行われた起工式には、洋上風力発電事業の関係者約25人が参加しました。 建造が始まるのは、洋上風力発電の作業員を風車まで運ぶ「洋上風力アクセス船」通称「CTV」で、長崎県内で造られるのはこれが初めてです。 CTVは高島沖で建造が進む「洋上タワー」とともに、国内初の訓練専用設備として使われます。 長崎海洋産業クラスター形成推進協議会の松尾博志理事長は「訓練用の船で、訓練用の環境で、でも実際の海でしっかりと訓練をしたうえで、より安全に現場に出ていただく」と話しました。 また、沖新船舶工業の津志田正和常務は「日本で走る船（CTV）というところでは長崎では初めてなので、慎重にかつ、大胆に新しいところを取り組んでいければと思ってます」と話しています。 訓練専用のCTVは2027年3月頃完成し、秋から洋上での訓練が始まる予定です。 長崎放送,[],[]
【長崎天気】今週は朝晩 長袖が活躍する気温に あす朝は一時雨（NBC長崎放送）,https://news.yahoo.co.jp/articles/c63f15567173b3d7c39cc5a72c6e6658fc133681,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-22944046-nbcv-000-3-thumb.jpg?exp=10800,2026-09-14T18:30:34+09:00,2026-09-14T18:37:14+09:00,NBC長崎放送,nbcv,NBC長崎放送,510,長崎放送 きょう9月14日（月）の最低気温は20度前半、南部を中心に24度でした。 最高気温はすべての地点で30度に届いていません。 【写真を見る】【長崎天気】今週は朝晩 長袖が活躍する気温に あす朝は一時雨 雲が多く、風が吹くと涼しく感じる時間帯がある一方、日差しが届くと「むっと暑い」と感じる時間もありました。 15日（火）は午前9時頃までに局地的な雨が降るかもしれません。 その後はゆっくりと天気が回復し、厚い雲の合間から青空が顔をのぞかせる時間も出てきそうです。 最低気温は22度から23度、最高気温は27度から29度の予想となっています。 週末は再び32度、シルバーウィークは台風に注意 今週後半にかけて気温は再び上昇し、土・日曜日の最高気温は32度の予想です。 朝晩は23度から24度と長袖が目安の気温になるため、1日の気温差への備えが必要となりそうです。 さらにシルバーウィーク後半（火・水曜日頃）には、熱帯低気圧からかわった台風の長崎への影響が懸念されます。 まだ進路の予想がばらばらな状況のため、最新の情報を確認してください。 進路によっては飛行機など交通機関への影響も出る可能性があります。 長崎放送,[],[]
「潜水探査中に不発弾らしきものを発見」と工事業者が通報　長崎県佐世保港内崎辺沖（NBC長崎放送）,https://news.yahoo.co.jp/articles/636a17e3effc0c75d68bf1c73423a6a67f49473b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-22944130-nbcv-000-4-view.jpg?exp=10800,2026-09-14T18:27:18+09:00,2026-09-14T19:07:13+09:00,NBC長崎放送,nbcv,NBC長崎放送,514,長崎放送 9月14日午後、長崎県佐世保市の「佐世保港内の海中で不発弾らしきものを発見した」と通報がありました。 【地図を見る】発見位置 佐世保港弁天島灯台から 真方位145 度 約3000 メートルの海上 不発弾らしきものが見つかったのは、佐世保市にある佐世保港内崎辺沖の海上工事区域内です。 佐世保海上保安部によりますと、工事区域内を潜水探査していた工事業者から「14日午後2時50分ごろ、佐世保港内崎辺沖の海上区域内で潜水探査中に不発弾らしきものを1個発見した」と通報がありました。 不発弾らしきものの大きさは、長さ約75センチメートル、直径約45センチメートルだということです。 不発弾らしきものが見つかった区域は、防衛省が防波堤の設置などのために工事を行っている場所で、委託業者が海底調査を行っていました。 不発弾らしきものが発見された付近には、赤旗点滅等付きのブイ（黄色4秒1せん光）が設置されているということです。 海上自衛隊が、9月15日に危険性を判断するための調査を行う予定で、佐世保海上保安部は調査に合わせ、付近の警戒に当たるということです。 （14日午後7時に情報を追加し、内容を詳しくしました。） 長崎放送,[],[]
宿泊費が最大最大1万円割引「GO TO 五島」キャンペーン! 宿泊予約サイトでクーポン約1万枚を段階的に発行（NBC長崎放送）,https://news.yahoo.co.jp/articles/1a2b1db5e3de18fd64e5e9d5e8300cefce9cdeba,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-22943862-nbcv-000-1-thumb.jpg?exp=10800,2026-09-14T17:29:13+09:00,2026-09-14T17:29:13+09:00,NBC長崎放送,nbcv,NBC長崎放送,515,長崎放送 長崎県五島市は、観光客を誘致するため、宿泊料金が最大1万円引きとなるキャンペーンを2027年2月28日まで実施しています。 【写真を見る】宿泊費が最大最大1万円割引「GO TO 五島」キャンペーン! 宿泊予約サイトでクーポン約1万枚を段階的に発行 「GO TO 五島宿泊割引キャンペーン」は、五島市が、国の臨時交付金7千万円を活用し9月から2027年2月28日まで行うもので、宿泊費が最大1万円引きとなります。 五島市では、2025年、観光客数が20万人を割り、過去最高だった2019年の8割に落ち込みました。 五島市地域振興部文化観光課観光物産班の中島安法係長は「物価高騰の影響もありまして、今後さらに冷え込んでいくということが懸念されておりましたので、このキャンペーンを通じて即効性ある誘客促進を図りました」と話しています。 五島市の観光サイト「五島の島たび」に掲載されている宿泊予約サイトから、割引クーポンを獲得し対象の宿泊施設を予約します。クーポンは宿泊費に応じて発行され、6千円以上で3千円引き、1万円以上で5千円引き、2万円以上で1万円引きの3種類があります。約1万枚が段階的に発行される予定です。 長崎放送,[],[]
【気象情報】9月20日ごろ〜この時期「10年に1度程度しか起きないような著しい高温」の可能性　北海道から九州にかけて平均気温（5日間）が平年より2.5度〜1.8度以上高い予想　シルバーウィークの天気（9月14日気象庁発表）（NBC長崎放送）,https://news.yahoo.co.jp/articles/f2be74420e853fb92aa8ae458468a70e7b092c4c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-22943175-nbcv-000-6-view.jpg?exp=10800,2026-09-14T15:11:14+09:00,2026-09-14T16:32:12+09:00,NBC長崎放送,nbcv,NBC長崎放送,981,長崎放送 9月20日から9月28日までの間に、この時期としては「10年に1度程度しか起きないような著しい高温となる可能性が高まっている」として、気象庁は【早期天候情報】を発表し、注意を呼びかけています。5日間平均気温が平年より2.5度〜1.8度以上高くなる予測です（9月14日午後2時30分気象庁発表） 【写真を見る】【気象情報】9月20日ごろ〜この時期「10年に1度程度しか起きないような著しい高温」の可能性 北海道から九州にかけて平均気温（5日間）が平年より2.5度〜1.8度以上高い予想 シルバーウィークの天気（9月14日気象庁発表） 発表された地域は、北海道（太平洋側）・東北・関東甲信・北陸・東海・近畿・中国・四国・九州北部・九州南部です。（※沖縄地方を除く全国） 熱中症の危険性が高い状態が続きます。屋外での活動等では飲料水や日陰を十分確保するなど熱中症対策を行い、健康管理に注意してください。また、農作物や家畜の管理等にも注意してください。 ■北海道太平洋側 9月20日頃から かなりの高温 かなりの高温の基準: 5日間平均気温平年差 +1.8℃以上 ▶北海道太平洋側の気温は、向こう5日間程度は平年並の日が多いですが、その後は暖かい空気が流れ込みやすいため高く、20日頃からはかなり高くなる可能性があります。（札幌管区気象台発表） ■東北地方 9月20日頃から かなりの高温 かなりの高温の基準: 5日間平均気温平年差 +2.1℃以上 ▶東北地方の気温は、向こう4日間程度は平年並の日が多いですが、その後は暖かい空気が流れ込みやすいため高い日が多く、20日頃からはかなり高くなる見込みです。（仙台管区気象台発表） ■関東甲信地方 9月20日頃から かなりの高温 かなりの高温の基準: 5日間平均気温平年差 +2.5℃以上 ▶関東甲信地方の気温は、向こう4日間程度は平年並ですが、その後は暖かい空気が流れ込みやすいため高く、20日頃からはかなり高くなる見込みです。（気象庁発表） ■北陸地方 9月20日頃から かなりの高温 かなりの高温の基準: 5日間平均気温平年差 +2.4℃以上 ▶北陸地方の気温は、向こう2日間程度は平年並ですが、その後は暖かい空気が流れ込みやすいため高く、20日頃からはかなり高くなる可能性があります。（新潟地方気象台発表）,[],[]
【速報・更新】諫早市小長井町古場で火災「機械が燃えている」（午後4時10分鎮火）（NBC長崎放送）,https://news.yahoo.co.jp/articles/c6804bfa1d8faef05cd5eb67ecc9785990dbd330,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-22942988-nbcv-000-2-view.jpg?exp=10800,2026-09-14T14:33:16+09:00,2026-09-14T17:48:17+09:00,NBC長崎放送,nbcv,NBC長崎放送,296,長崎放送 14日午後、長崎県諫早市小長井町でたい肥を焼く火事がありました。 火事があったのは、長崎県諫早市小長井町のさざんか農場です。 【写真を見る】【速報・更新】諫早市小長井町古場で火災「機械が燃えている」（午後4時10分鎮火） 警察と消防によりますと、14日、午後2時20分頃、関係者から「屋外にある機械が燃えている」と119番通報がありました。 火は、たい肥を焼き、約2時間後に消し止められました。 この火事によるけが人はいないということです。 警察によりますと火が出たのはたい肥を保管している簡易的な倉庫で、たい肥の自然発火が原因とみられています。（9月14日午後5時更新） 長崎放送,[],[]
【シルバーウィーク台風直撃のおそれ】20日（日）〜24日（木）日本列島に影響の可能性…「台風のたまご」24時間以内に発生へ（NBC長崎放送）,https://news.yahoo.co.jp/articles/68ed85098a4f42e853c82734aa2b23b479b0f984,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-22941949-nbcv-000-4-view.jpg?exp=10800,2026-09-14T11:15:32+09:00,2026-09-14T13:02:13+09:00,NBC長崎放送,nbcv,NBC長崎放送,817,長崎放送 トラック諸島近海で発生した熱帯低気圧（台風のたまご）は、あす15日（火）までに台風へ発達し、今週末にかけて「強い」勢力へと急発達する見込みです。 ▶▶【シルバーウィーク列島直撃のおそれ】雨風シミュレーション長期予報を見る（14日〜24日） 最新のシミュレーションでは、シルバーウィーク後半にかけて日本列島へ接近するシナリオが計算されています。予想進路はまだ確定しておらず変わることがあります。最新の情報に注意してください。 ■あす15日（火）にも「台風」へ発達予想 14日午前9時現在、トラック諸島近海にある熱帯低気圧は、ゆっくりとした速さで西へ進んでいます。 現在の中心気圧: 1004 hPa 現在の最大風速: 15 m/s 気象庁の予想では、あす15日（火）午前9時までには最大風速が18m/s（35ノット）に達し、「台風」に変わる見込みです。 ■17日（木）以降は「強い台風」へ急発達 今回の熱帯低気圧で特に警戒が必要なのが、発生後の急激な発達です。北西へ進みながら急速に勢力を強める予想となっています。 17日（木）: 「強い」勢力となり、中心気圧970hPa、最大風速35m/sへ発達 18日（金）: 強い勢力を保ったまま、小笠原近海へ接近 19日（土）: 日本の南の海上へ到達し、暴風警戒域が大きく広がる見込み ■シルバーウィーク後半を直撃? 最新シミュレーション 気象庁などのスーパーコンピューターによる最新の気象予測モデル（シミュレーション）では、連休中に本州に影響を及ぼすデータが示されています。 18日（金）〜20日（日）: 強い勢力を保ったまま日本の南海上を北上。小笠原諸島などで大しけのおそれ。 22日（火）〜24日（木）: 発達した状態で、西日本から東日本に接近・上陸するシナリオが計算されています。 ※今後の推移によって進路が変わる可能性があります。今後は最新の予測をご確認ください。 長崎放送,[],[]
【台風情報】新たな「台風のたまご」発生、あす15日にも台風へ…週末は「強い台風」として日本列島へ接近か（NBC長崎放送）,https://news.yahoo.co.jp/articles/19934eb1528932ca8ac61c0542267925640e1a83,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260914-22941926-nbcv-000-4-view.jpg?exp=10800,2026-09-14T10:53:13+09:00,2026-09-14T13:02:13+09:00,NBC長崎放送,nbcv,NBC長崎放送,759,長崎放送 気象庁によりますと、トラック諸島近海の熱帯低気圧（台風のたまご）があす15日（火）には「台風」へと発達し、その後「強い」勢力へと急発達しながら週末にかけて日本列島の南へ進む見込みです。 ▶▶【シルバーウィーク列島直撃か…】雨風シミュレーション長期予報（14日〜24日） ■あす15日（火）にも「台風」へ発達予想 14日午前9時現在、トラック諸島近海にある熱帯低気圧は、ゆっくりとした速さで西へ進んでいます。 現在の中心気圧: 1004 hPa 現在の最大風速: 15 m/s 気象庁の予想では、あす15日（火）午前9時までには最大風速が18m/s（35ノット）に達し、「台風」に変わる見込みです。 ■17日（木）以降は「強い台風」へ急発達 今回の熱帯低気圧で特に警戒が必要なのが、発生後の急激な発達です。北西へ進みながら急速に勢力を強める予想となっています。 17日（木）: 「強い」勢力となり、中心気圧970hPa、最大風速35m/sへ発達 18日（金）: 強い勢力を保ったまま、小笠原近海へ接近 19日（土）: 日本の南の海上へ到達し、暴風警戒域が大きく広がる見込み ■シルバーウィーク後半を直撃? 最新シミュレーション 気象庁などのスーパーコンピューターによる最新の気象予測モデル（シミュレーション）では、連休中に本州に影響を及ぼすデータが示されています。 18日（金）〜20日（日）: 強い勢力を保ったまま日本の南海上を北上。小笠原諸島などで大しけのおそれ。 22日（火）〜23日（水）: 非常に発達した状態で、西日本から東日本に接近・上陸するシナリオが計算されています。 本州付近に停滞する「秋雨前線」を刺激して大雨をもたらす要因になる可能性もあります。最新の台風情報に注意してください。 長崎放送,[],[]
