headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
昼＝ライダーズカフェ、夜＝洋風居酒屋、元焼肉屋店の本気チキン南蛮がすごい「KEYSTONE九州」（TOSテレビ大分）,https://news.yahoo.co.jp/articles/cd01dc97aa19664d43ea7669b87105e1d6771cf7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260915-90019017-tos-000-1-view.jpg?exp=10800,2026-09-15T21:30:01+09:00,2026-09-15T21:30:01+09:00,TOSテレビ大分,tos,TOSテレビ大分,979,「KEYSTONE九州」 豊後大野市、恵藤建設総合グランドのすぐ目の前に、2026年7月、新しいお店がオープンしました。 【写真を見る】昼＝ライダーズカフェ、夜＝洋風居酒屋、元焼肉屋店の本気チキン南蛮がすごい「KEYSTONE九州」 その名も「KEYSTONE九州」。 昼はバイク好きが集まるライダーズカフェ、そして夜は洋風居酒屋として楽しめる、二つの顔を持つお店です。自家製にこだわったおいしいご飯がいただけると、すでに地元で評判になっています。 バイクに詳しくなくても大歓迎 迎えてくれたのは、店長の美文さんと、居酒屋を担当する祐基さんです。 「バイクに詳しくなくても大丈夫ですか？」という質問に、店長の美文さんは笑顔で答えてくれました。 「結構聞かれるんですよ。でも、バイクに詳しくなくても、ふらっと立ち寄れるようなアットホームなお店にしたいなと思ってます」 家族総出で作り上げた手作りの店 想いが引き継がれたお店 この場所でお店を始めたのには、素敵な理由がありました。もともと美文さんのご両親が焼肉屋さんを営んでおり、その場所と想いを引き継いで、新しいお店をオープンすることにしたそうです。 店長は娘の美文さん、そして居酒屋の担当は義理の弟である祐基さん。家族の温かさがお店の雰囲気にもにじみ出ています。 家族総出で作り上げた店内 黒と白を基調にした開放感あふれる店内は、なんと家族総出で作り上げたというから驚きです。塗装から床の貼り替え、さらにはカウンターまで、すべて手作り。愛情のこもった空間が広がっています。 地元で評判の人気メニュー 牛100%のハンバーグ そして、評判なのが料理です。 一番人気はランチの「チキン南蛮」、夜は「ホルモン鉄板」が人気だそう。 元焼肉屋さんということもあり、お肉へのこだわりは格別です。ハンバーグもおすすめで、「飲めるハンバーグ」とメニューに書かれているほど柔らかく、おじいちゃんおばあちゃんでも食べられると好評です。 一番人気の「チキン南蛮定食」 中でも人気ナンバーワンの「チキン南蛮」は、こだわりが詰まった一品。 国産の新鮮な鶏もも肉を使い、ふっくらジューシーに仕上げるために二度揚げしています。自家製の甘酢をじゅわっと染み込ませ、仕上げには手作りのタルタルソースをこれでもかというほど豪快にかけて完成です。,[],[]
高校教育改革 スマート農業やITの人材育成　大分の拠点に3施設が選定　国から最大45億円の補助金交付（TOSテレビ大分）,https://news.yahoo.co.jp/articles/1c539be0247b6e2d0a714d1b688fb11846bc380f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260915-90019036-tos-000-1-thumb.jpg?exp=10800,2026-09-15T19:13:01+09:00,2026-09-15T19:13:01+09:00,TOSテレビ大分,tos,TOSテレビ大分,368,テレビ大分 国が進める高校教育改革の一環として人材育成の拠点に大分県内3つの施設が新たに選ばれました。 合わせて最大45億円の補助金が交付されます。 国は2026年2月、2040年に向けた高校教育改革に関する基本方針を公表し改革を先導する拠点校に補助金を交付することにしています。 その拠点校に今回、県内から高校など3つの施設が新たに選ばれました。 三重総合高校はドローンなど先端機械を使って効率化を図るスマート農業の従事者の育成拠点を目指します。 情報科学高校には専門学校と連携して履修科目を先取りしIT人材の育成を強化するコースなどが設けられます。 また、遠隔教育配信センターはデジタルを活用し地域格差のない、質の高い学びの実現に取り組みます。 この3校には国からの補助金が合わせて最大45億円交付されるということです。 テレビ大分,[],[]
最新の地価公表　大分の商業地4年連続・住宅地9年連続で上昇　商業地の最高は「大分市東大道1丁目」（TOSテレビ大分）,https://news.yahoo.co.jp/articles/8a1cc3892b34f3bb95317b2932dd36e8925f8b6e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260915-90019032-tos-000-1-view.jpg?exp=10800,2026-09-15T19:04:01+09:00,2026-09-15T19:04:01+09:00,TOSテレビ大分,tos,TOSテレビ大分,472,大分市東大道 土地取引などの指標となる大分県内の最新の地価が公表されました。 商業地は4年連続、住宅地は9年連続で上昇しています。 【写真を見る】最新の地価公表 大分の商業地4年連続・住宅地9年連続で上昇 商業地の最高は「大分市東大道1丁目」 県は毎年、県内のおよそ300か所について7月1日時点の土地の価格を公表しています。 2026年の県内の商業地の平均価格は1平方メートル当たり5万9300円で4年連続で上昇しました。 最高価格は大分市東大道1丁目で、1平方メートルあたり、43万5000円でした。最高価格となるのは11年連続です。 別府市 また、2025年の価格と比べた変動率の平均を市町村別にみると最も高かったのが別府市でプラス6％でした。 インバウンドを中心とした観光需要の増加が要因とみられるということです。 一方、住宅地の平均価格は2万8900円でした。9年連続の上昇となります。 このうち最も高かったのは大分市金池南1丁目で1平方メートルあたり17万4000円でした。最高価格となるのは10年連続だということです。 テレビ大分,[],[]
体育館や食堂など「ネーミングライツ」学校施設にも導入　学生は企業を知るきっかけにも　大分高専（TOSテレビ大分）,https://news.yahoo.co.jp/articles/1ec582ca8da6ab5b0f76877a217ff5fda37fdc28,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260915-90019030-tos-000-1-thumb.jpg?exp=10800,2026-09-15T19:00:01+09:00,2026-09-15T19:00:01+09:00,TOSテレビ大分,tos,TOSテレビ大分,1067,テレビ大分 ネーミングライツとは公共施設などに企業名やブランド名などの愛称を付ける権利のことで、企業側は対価として命名権料を所有者に支払います。 このネーミングライツの契約がいま、大分県内の学校施設でも進められているんです。 【写真を見る】体育館や食堂など「ネーミングライツ」学校施設にも導入 学生は企業を知るきっかけにも 大分高専 「クラサスケミカル」がスポンサーとなっているクラサスドーム大分。 「トヨタカローラ大分」がスポンサーの「トヨタカローラ大分祝祭の広場」。 いずれもネーミングライツで愛称が決まっています。 そして、学校現場でも…。 大分高専の学生食堂 ◆TOS山路謙成記者 「大分高専の体育館。元々は第一体育館という施設名だったが、ことしから県内の企業が命名権を取得しSTKホールと名付けられた」 大分市の大分高専です。2025年から県内外の企業とネーミングライツの契約を進めています。 第一体育館は半導体の検査装置などを開発している大分市の企業「エスティケイテクノロジー」が命名権を取得。 学生食堂は東京の建設会社がスポンサーとなっています。 グラウンドや実験室、図書館など校内13の施設でネーミングライツの相手を募集し現在、4つの施設で契約が結ばれています。 契約金は施設ごとに異なり、合計金額はおよそ200万円に上っています。 ◆大分高専 世利政則総務課長 「国立大学をはじめ本校においてもかなり施設の老朽化が進んでいる。いろんな設備の補修や研究の一助にしたりという形で活用している」 校舎の建設から60年以上が経過している大分高専では様々な改修工事が行われていて新たな財源の確保が必要となっています。また、学生からは就職先の候補として企業を知るきっかけになるという声も。 ◆ネーミングライツを取得した企業に就職する学生 「西日本電線が西電ホールという命名を大分高専にしてもらいそこから興味を持って調べた学生と企業の距離が縮まるきっかけになると思う」 エスティケイテクノロジー 第一体育館の命名権を得たエスティケイテクノロジー。人材確保の競争が激しくなる中学生へのPRになるほか教育現場を支援することも目的だと話します。 ◆STK 人事総務部緒方大弥さん 「毎年、大分高専の卒業生から当社に入社してもらえる学生はいて、少しずつではあるが（会社の）認知度や半導体業界への興味が学生たちにも湧いてきたのかなと実感が湧き始めたところ」 学校施設へのネーミングライツ。今後、県内で広がっていくかもしれません。 テレビ大分,[],[]
がん検診 放射線をピンポイント当て腫瘍を消失　最新医療機器の導入進む 早期発見・治療を　大分（TOSテレビ大分）,https://news.yahoo.co.jp/articles/1ff298081c2c4f32b8c471b2afb9646fef69ef25,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260915-90019034-tos-000-1-thumb.jpg?exp=10800,2026-09-15T18:57:01+09:00,2026-09-15T18:57:01+09:00,TOSテレビ大分,tos,TOSテレビ大分,1163,テレビ大分 9月はがん征圧月間です。2人に1人が生涯に1度はかかると言われているがん。 大分県内でも検診の呼びかけのほか、最新機器の導入が進んでいます。 【写真を見る】がん検診 放射線をピンポイント当て腫瘍を消失 最新医療機器の導入進む 早期発見・治療を 大分 取材しました。 県立病院 日本人の死因で最も多い「がん」。 部位別では大腸がんで亡くなった人の数が女性で1位、男性で2位となっています。 しかし、早期の段階では自覚症状はほとんどなく専門家は検診の大切さを訴えます。 ◆大分大学医学部 猪股雅史 部長 「早期発見が一番重要です。大腸がんは比較的治りやすいがんなので早く見つけて、早く治療をすることが大事だ」 仮に進行していた場合でも程度によっては体への負担が少ないロボットを使った手術などが可能だということです。 ◆大分大学医学部 猪股雅史 部長 「大分県は大腸がんの検診受診率が必ずしも高くなくて、大腸がんの検診を皆さんに受けてもらいたい」 がんの早期発見に向けては各自治体が検診を呼びかけています。こちらは大分市が市民を対象に行っているがん検診の様子です。地域の公民館などに出向いていて500円のワンコインで受けることができます。 ◆がん検診の受診者（女性） 「悪くなってしまう前に、念のために検診をしておくのがいいかなと思ってきた」 ◆大分市健康課 河野祥さん 「こういったがん検診等を公民館で行っているので、そちらを受けてもらって、早期発見をしてもらいたい」 一方、がんの治療に向け県内でも最新の医療機器の導入が進んでいます。 ◆県立病院 放射線科副部長 清田貴茂 医師 「こちらが新しく入ったトゥルービームと呼ばれる治療の機械になる」 県立病院で2026年6月に導入された最新の放射線治療装置、「トゥルービーム」です。従来のものと比べて位置を細かく指定でき腫瘍に、よりピンポイントに当てることが出来ます。これにより、患者の負担が軽減できるということです。 県立病院 ◆県立病院 放射線科副部長 清田貴茂 医師 「腫瘍だけに高い放射線を当てて腫瘍を消失させる効果が上がるだけでなく、周囲の臓器の副作用や有害事象が軽減される効果がある」 導入以降、連日40件以上の治療に使われていて患者からのニーズも高いといいます。ただ、がんの制圧に向けて大事なことは最新技術だけではないと清田医師は強調します。 ◆県立病院 放射線科副部長 清田貴茂 医師 「皆さんが健康に対する意識を持ち国とか行政とか自治体とかも変化していくことが全体の皆さんの健康をよくすることにつながるのではないかと思う」 9月はがん征圧月間。 医療が進歩する中ですが、早期発見に繋がる検診についてはこれまで通り、受診を心掛けたいものです。 テレビ大分,[],[]
サドル付き電動キックボードと車衝突　78歳男性死亡　男を逮捕　特定小型原付での人身事故は大分県で初（TOSテレビ大分）,https://news.yahoo.co.jp/articles/d860edfccd99a1570634d639f90676d76858aeab,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260915-90019033-tos-000-1-thumb.jpg?exp=10800,2026-09-15T18:46:01+09:00,2026-09-15T18:46:01+09:00,TOSテレビ大分,tos,TOSテレビ大分,471,テレビ大分 15日午前、大分県宇佐市の交差点でサドルがついた電動キックボードと車が衝突し1人が死亡しました。警察は車を運転していた男を現行犯逮捕しています。 【写真を見る】サドル付き電動キックボードと車衝突 78歳男性死亡 男を逮捕 特定小型原付での人身事故は大分県で初 電動キックボードが分類される特定小型原付の人身事故は県内で初めてだということです。 事故があった宇佐市 警察によりますと15日午前10時20分頃、宇佐市北宇佐の国道10号でサドル付きの電動キックボードが交差点に進入したところ左側から来た車と衝突しました。 電動キックボードを運転していたのは78歳の男性で搬送先の病院で亡くなりました。 現場は信号機のある交差点で車側が赤信号だったということです。 事故があった宇佐市 警察は車を運転していた豊後高田市西真玉に住む谷林繁容疑者を過失運転致傷の疑いで現行犯逮捕しました。 県警によりますと電動キックボードが分類される特定小型原付は2023年に新たな車両区分として規定され県内での人身事故は初めてだということです。 テレビ大分,[],[]
「ふっこう応援割」大分は9月25日から予約販売開始へ　熊本の販売始まるも早速売り切れとなるサイトも（TOSテレビ大分）,https://news.yahoo.co.jp/articles/86239c8c44348f13fefd93e220ba84890bc014d6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260915-90019031-tos-000-2-thumb.jpg?exp=10800,2026-09-15T15:08:01+09:00,2026-09-15T18:37:01+09:00,TOSテレビ大分,tos,TOSテレビ大分,1066,テレビ大分 熊本地震で打撃を受けた観光業を支援する「九州ふっこう応援割」について、大分県は、15日大分への旅行の予約販売を9月25日の正午から始めると発表しました。 【写真を見る】「ふっこう応援割」大分は9月25日から予約販売開始へ 熊本の販売始まるも早速売り切れとなるサイトも 熊本と長崎は、15日から受け付けが始まりましたが対象の一部の旅行サイトでは早くも売り切れとなっています。 テレビ大分 ◆県 観光政策課河室雄士課長 「予約開始日については来週の金曜日、9月の25日から」 九州ふっこう応援割は熊本地震の影響でキャンセルが相次いだ観光業を支援するもので政府の補助金を使い九州全域で宿泊料金などが割り引かれます。 県は、15日県内の予約販売の開始日を発表しました。 いち早く始まるのが楽天トラベル、じゃらんネットなどオンラインの旅行サイトで9月25日の正午からとなっています。また、県内に店舗がある旅行代理店が10月9日。宿泊施設では10月16日からとなっています。 宿泊の対象期間は旅行サイトでの予約が10月1日から。その他が、予約販売の開始日からでいずれも12月25日までとなっています。 ふっこう応援割の取り扱いを希望する旅行代理店や宿泊施設については18日から募集するということです。 テレビ大分 一方、熊本と長崎の応援割についてはきょうから旅行サイトなどで販売が始まりましたが… ◆TOS甲斐菜々子アナウンサー 「午前11時こちら旅行会社のサイトで九州復興応援割の熊本県のクーポンを見てみますとすでにすべて売り切れてしまっている」 こちらのサイトでは販売開始1時間ほどで全て利用上限に達してしまっていました。 また、別のサイトでは販売開始早々に繋がりにくくなっていてこちらも、その後上限に達していました。 街の人は… 「(売り切れは)びっくりみんな関心があるんだなと思った」 「早めにネットで探してみようかなと思った」 「別府や湯布院、もちろん大分市もいいところばかりなのでいろんな人が(九州ふっこう割で)来てくれたらうれしい」 改めて「九州ふっこう応援割」割り引き率です。熊本と鹿児島が60％。 大分を含むほかの九州各県は50％となっています。 販売スケジュールです。15日から販売が始まったのが熊本と長崎です。 また、佐賀への旅行は9月24日から。宮崎が25日からとなっています。 福岡と鹿児島の販売開始日はまだ決まっていませんが鹿児島では県独自の「かごしま観光応援割」が14日から始まっています。 テレビ大分,[],[]
医療的ケア児　病院は体制強化を目指すも人材確保や機器価格高騰が障壁に　在宅支援拡充求める声も　大分（TOSテレビ大分）,https://news.yahoo.co.jp/articles/48e676f522fcb6e56bf08d2f16b424202df8c24e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260915-90018976-tos-000-1-thumb.jpg?exp=10800,2026-09-15T13:56:01+09:00,2026-09-15T13:56:01+09:00,TOSテレビ大分,tos,TOSテレビ大分,983,テレビ大分 日常的に医療のサポートが必要な子供たちに関する特集です。 こうした子供たちは「医療的ケア児」と呼ばれ、支援を拡充させるための法律の整備などが進められています。 【写真を見る】医療的ケア児 病院は体制強化を目指すも人材確保や機器価格高騰が障壁に 在宅支援拡充求める声も 大分 医療的ケア児を社会でどう支えていくか、病院や家族を取材しました。 西別府病院 別府市にある国立病院機構 西別府病院です。こちらには人工呼吸器やたんの吸引など日常的にケアが必要な子供である「医療的ケア児」や成人となった「医療的ケア者」が100人以上入院しています。このうちの半数ほどが脈拍など体の状態を24時間監視するモニターを常に付ける必要がある症状の重い人たちだということです。 こうした医療的ケア児の支援を目的とした法律の改正案が2026年7月に国会で成立しました。支援の対象者の拡大などが盛り込まれていて、改正法は2027年4月に施行されます。 西別府病院 こうした法律の整備が進められる一方、現状では医療的ケア児を長期もしくは一時的な受け入れをする施設は県内には8か所しかありません。 そのうちの1つである西別府病院ではさらに多くの受け入れをしようと、一般病棟の一部を医療的ケア児専用に改修する計画を進めています。 ただ、課題もあるといいます。 ◆西別府病院今井一秀統括診療部長 「いろんな医療スタッフがいないと僕らも仕事ができないし、そこが一番重要。マンパワーの部分でも充実させていく必要がある」 様々な業界で人材不足が叫ばれる中、病院でも看護師など医療スタッフの確保に苦労しています。 さらに物価高で機器の価格も高騰していて、環境の整備を進めることが難しい状況にあるといいます。 ◆西別府病院 末延聡一院長 「そこをなんとかこのクラウドファンディングで購入できないかというのが一番のきっかけ」 病院では機器の購入費を調達するため、2026年6月からインターネットを通じて寄付を募るクラウドファンディングを始めました。9月18日の金曜日まで受け付けていて、集まった寄付をもとに、早期の体制整備を目指します。 ◆西別府病院 末延聡一院長 「機材（の充実）だけでは不十分なので、 そこに働く職員がスキルアップをしてよりよい医療を医療的ケア児者に提供できるようになればと思う」,[],[]
世界選手権で金　バトントワリング阿南友理選手　難易度高い大技披露「自分らしく頑張っていく」大分（TOSテレビ大分）,https://news.yahoo.co.jp/articles/c3a2d6487716956364c1b5fac9a720371cb06d05,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260915-90019029-tos-000-1-thumb.jpg?exp=10800,2026-09-15T13:49:01+09:00,2026-09-15T13:49:01+09:00,TOSテレビ大分,tos,TOSテレビ大分,878,テレビ大分 バトントワリングに打ち込む大分県由布市の高校生、阿南友理選手を紹介します。 8月、フランスのパリで行われたバトントワリングの世界大会で見事優勝を果たしました。 【写真を見る】世界選手権で金 バトントワリング阿南友理選手 難易度高い大技披露「自分らしく頑張っていく」大分 阿南友理選手 音楽に乗って軽快にバトンを操るバトントワリング。 その世界大会で偉業を成し遂げたのが大分雄城台高校2年の阿南友理選手です。 8月、フランスのパリで行われた世界選手権の女子ジュニア部門に日本代表として出場。見事な演技を披露し、金メダルに輝きました。 ◆阿南友理選手 「素直にとっても嬉しかったし小さいころから夢見ていた金メダルだったのでとても嬉しかったし達成感があった」 阿南選手は由布市などで練習を行う「E・STAR BATONTEAM」に所属しています。 バトンを始めたのは4歳のとき。姉の教室についていったことがきっかけでした。 ◆阿南友理選手 「キラキラした衣装を着てお客さんの前で演技して手拍子や歓声をもらえるところが魅力だと思う」 以来、練習に打ち込んできた阿南選手。 幼いころから指導している佐藤恵津子会長は、阿南選手について次のように話します。 ◆佐藤恵津子コーチ 「素直でスポンジのように吸収するそういう生徒。小さい時は泣き虫だったが今は心も体も成長してコツコツやってきたことが世界チャンピオンに繋がった」 阿南友理選手 そんな阿南選手が得意としているのが世界選手権で見せたこちらの技。 バトンを上に高く投げ体を4回転させてキャッチする「カトル」という大技です。 2026年の世界選手権の女子ジュニア部門で披露された技の中でも最も難度が高く成功させたのは阿南選手だけです。 そんな阿南選手、18歳を迎える2027年以降はジュニアを巣立ち一般が参加するシニア部門に移ります。 ◆阿南友理選手 「次からは1つ上のシニア部門に上がって今までよりも熱い戦いになるのでそこでも結果が出せるように自分らしくチャレンジャーとして頑張っていきたい」 テレビ大分,[],[]
大規模火災の被災地大分市佐賀関の復興住宅　工事業者との契約を可決　2027年12月の完成目指す（TOSテレビ大分）,https://news.yahoo.co.jp/articles/7206e8ac5fcc9d293283b01a5023183b8d6a8014,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260915-90019028-tos-000-1-thumb.jpg?exp=10800,2026-09-15T13:26:01+09:00,2026-09-15T13:26:01+09:00,TOSテレビ大分,tos,TOSテレビ大分,386,テレビ大分 大規模な火災に見舞われた大分市佐賀関の復興住宅について、市議会は15日、工事を落札した業者と市との間で請負契約を締結する議案を全会一致で可決しました。 大分市は佐賀関で2025年11月に起きた火災の被災者が入居する復興住宅の整備を進めています。 被災者の希望を聞くなどした結果、3階建てで34戸が入る集合住宅を建設することを決め8月、入札を行いました。その結果、大分市の梅林建設など3つの会社で構成するグループがおよそ9億2600万円で落札しました。 この工事の請負契約を結ぶための議案が現在開かれている大分市議会の定例会に提案されていて15日、採決が行われました。その結果、議案は全会一致で可決されました。これを受け市は、15日付で正式に契約を結ぶということです。 工事は2027年2月に始まる予定で2027年12月の完成を目指すということです。 テレビ大分,[],[]
