headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
一度「クビ」も経験　阪神・元山が攻守に躍動、存在感増す元気印（毎日新聞）,https://news.yahoo.co.jp/articles/990ca3184b4a153966a1e3cdd4c04ff0d48ff0fd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000038-mai-000-1-view.jpg?exp=10800,2026-09-20T23:45:55+09:00,2026-09-20T23:45:55+09:00,毎日新聞,mai,毎日新聞,576,"プロ野球・阪神
◇○阪神8―1DeNA●（20日・甲子園）

　負ければマジック消滅、しかも相手は9月好調のDeNAという正念場で、阪神が快勝した。7番・遊撃で先発出場した元山飛優が打線のつながりを生み出した。
【写真】あの球団マークの生みの親は？　日本のデザイン史上「虎」高の傑作
三回、相手の暴投で1点先行。さらに2死満塁となったところで元山が打席に入った。追い込まれてからの4球目、内角の直球を引っ張った。打球は一塁手を強襲する内野安打。ボールはファウルグラウンドに転がり2人が生還。一気に試合の主導権を握った。

　六、八回には軽快な守備を披露。二塁近くに転がるゴロに追いつき、素早い送球でアウトにした。攻守にわたる活躍に「（直近）3日間はベンチスタートで、疲れも取れていたのでより集中できた」と納得の表情だ。

　昨年オフ、西武から戦力外通告を受けた。拾われる形で今季からは縦じまのユニホームに身を包んでいる。

　遊撃を固定できないチーム事情の中、7月ごろから出番が増加。今では最もレギュラーに近い存在だ。

　たとえ、先発を外れてもベンチで声を出し、雰囲気作りに一役買っている。「黙っていろと言われる方が難しい」と元気者は語る。

　一度は「クビ」を告げられたプロの世界で、優勝争いで苦闘するチームの大切なピースとなっている。【吉川雄飛】",[],[]
東京・杉並の善福寺川に「レベル4氾濫危険警報」　浸水に警戒を（毎日新聞）,https://news.yahoo.co.jp/articles/b57dc207162a29f8146e497043f8f356e106764c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000037-mai-000-2-view.jpg?exp=10800,2026-09-20T23:38:02+09:00,2026-09-21T00:13:40+09:00,毎日新聞,mai,毎日新聞,332,"増水した善福寺川＝国土交通省の河川ライブカメラよりスクリーンショット（2026年9月20日23時40分時点）
気象庁と東京都は20日夜、主に杉並区内を流れる善福寺川に「レベル4氾濫危険警報」を出した。
【写真】集まって朝食をとる家族ら　台風19号で被災、避難所生活
レベル4は5段階ある危険情報のうち、2番目に危険度が高く、自治体が避難指示を出すレベルに相当する。対象地域では危険な場所から避難する必要がある。

　善福寺川に設置された都の水位計が基準を超え、気象庁のレーダー観測などでも流域に雨が降り続けることが予想されたため、20日午後9時50分に発表された。

　東京都は、建物の2階以上への避難や、地下施設への浸水に対する警戒を呼びかけている。【木村敦彦】",[],[]
フィギュア浦松千聖選手、五輪目指しシンクロ9挑戦へ（毎日新聞）,https://news.yahoo.co.jp/articles/e89833cefcbc840bdd5e0a97cf800e7ef42281d7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000036-mai-000-1-view.jpg?exp=10800,2026-09-20T20:47:39+09:00,2026-09-20T20:47:39+09:00,毎日新聞,mai,毎日新聞,694,"東京夏季大会のアドバンスド・ノービス・ソロで演技する浦松千聖選手＝東京都江東区の田中貴金属アイスアリーナで2026年9月12日、吉田航太撮影
フィギュアスケートで昨季はアイスダンスに取り組んだ浦松千聖選手（中京大）が、新たにシンクロナイズドスケーティングの9人制「シンクロ9（ナイン）」に挑戦する。20日、東京を拠点とするシンクロチーム「Team　Sisteria」のインスタグラムで発表された。
【写真で見る】JOCの会長に決まった際の橋本聖子氏
シンクロ9は、フランス・アルプス地域で開催される2030年の冬季オリンピックで実施される新種目。五輪では女子種目として実施され、9チームがノックアウト方式でメダルを争う。

　浦松選手はジュニアグランプリ（GP）シリーズへの出場経験もある元シングル選手。25年春の大学卒業のタイミングで一度は引退を決めたが、スケートへの情熱は消えず、25年からはアイスダンスに挑戦した。昨季は田村篤彦選手とカップルを組み、五輪メダリストらが集う世界最高峰の「アイス・アカデミー・オブ・モントリオール」を拠点に活動。全日本選手権にも出場した。

　今季はパートナーが見つからず、1人で滑る「ソロダンス」に取り組んでいたが、シンクロ9の五輪採用が決定した後、以前に名古屋で一緒に滑っていたスケート仲間から熱烈なオファーを受け、挑戦を決めたという。

　現在は、日本スケート連盟が実施する国際大会派遣のための選考会に向け、チームで練習を重ねている。浦松選手は「五輪を目指して取り組みたい。まずは選考会に向けてしっかりと頑張ります」と意気込んでいる。【玉井滉大】",[],[]
福岡市で飲酒運転事故　男児が意識不明　容疑者「酒の影響で」（毎日新聞）,https://news.yahoo.co.jp/articles/452de86f899a0b937d6b01492333895606925768,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000035-mai-000-4-view.jpg?exp=10800,2026-09-20T20:38:21+09:00,2026-09-20T22:41:58+09:00,毎日新聞,mai,毎日新聞,429,"福岡市西区
20日午前11時10分ごろ、福岡市西区小田の県道で、同区宮浦の無職、大神正治容疑者（68）運転の軽乗用車がバイク3台に追突した。事故の弾みで、このうち1台が道路のそばに両親と一緒にいた3歳くらいの男児に衝突。男児は病院に運ばれたが意識不明の重体となった。この他、男児の両親やバイク運転手ら計5人も病院に搬送されたが命に別条はないという。
【図解】飲酒、高速度…危険運転どう変わる
福岡県警西署によると、現場で大神容疑者からアルコール臭がしたため、飲酒検知したところ、呼気から基準値の6倍超となる1リットルあたり0・99ミリグラムのアルコールを検出。その場で、自動車運転処罰法違反（危険運転致傷）容疑で現行犯逮捕した。大神容疑者は「お酒の影響でアクセルとブレーキを踏み間違えた」と容疑を認めているという。

　福岡市では2006年に同市東区の「海の中道大橋」で幼いきょうだい3人が犠牲になった飲酒運転事故から8月で20年を迎えたばかり。【川畑岳志】",[],[]
J1神戸、最終盤の集中力でガンバ大阪に辛勝　過密日程もぶれず（毎日新聞）,https://news.yahoo.co.jp/articles/770f2cc59765f8a0190ec2bde34daef9cbb4c3ba,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000034-mai-000-1-view.jpg?exp=10800,2026-09-20T20:34:37+09:00,2026-09-20T20:34:37+09:00,毎日新聞,mai,毎日新聞,486,"Jリーグ
◇○ヴィッセル神戸1―0ガンバ大阪●（20日・パナソニックスタジアム吹田）

　呼吸は浅く、足は自分のものと思えないほど重い。疲労が思考を奪う最終盤。神戸の勝負強さが物を言った。

　両チーム無得点で迎えた後半45分。何気ないロングボールが起点だった。武藤嘉紀、大迫勇也が競り合いを制し、展開。ジェアンパトリッキからのクロスを今月9日に町田から再加入したばかりのエリキが合わせて得点を挙げた。

　試合は終始、ガ大阪が出足の鋭さで上回っていた。無理もない。神戸は16日にアジア・チャンピオンズリーグ・エリートで遠くタイに遠征したばかり。長時間移動を経て相手の本拠地に乗り込んできたのだ。

　何度もガ大阪に決定機を作られたがGK権田修一の好セーブでしのいだ。決勝点の少し前、相手のカウンターでピンチとなった際には、ジェアンパトリッキが全速力で帰陣し、防いだ。結果的に勝利につながったビッグプレーに権田も激しくほえてたたえた。

　過密日程でも、ぶれない姿勢と集中力。ここ数年、神戸の選手が口にする「勝者のメンタリティー」を体現し、リーグ首位に立った。【生野貴紀】",[],[]
台風25号、21日昼前から夜遅くに関東甲信に接近　交通の乱れも（毎日新聞）,https://news.yahoo.co.jp/articles/e1e57397ebd29e9652c35faaec99262b1d9d7683,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000033-mai-000-5-view.jpg?exp=10800,2026-09-20T20:33:22+09:00,2026-09-20T22:43:35+09:00,毎日新聞,mai,毎日新聞,742,"大型で強い台風25号は20日、日本の南の海上を北寄りに進んだ。21日昼前から夜遅くにかけて関東甲信地方に接近する見通し。東北、関東甲信、東海、伊豆諸島では21日を中心に警報級の大雨となるとして、気象庁は土砂災害や低い土地の浸水などに警戒するよう呼びかけている。
【写真】集まって朝食をとる家族ら　台風19号で被災、避難所生活
◇電柱倒壊レベルの風吹くおそれ

　台風25号は20日午後9時時点で、日本の南を時速10キロで北に進んだ。中心気圧は970ヘクトパスカル、中心付近の最大風速は35メートルで、最大瞬間風速は50メートル。伊豆諸島では、一部の電柱が倒壊する猛烈な風が吹くおそれもある。

　◇伊豆諸島350ミリ予想

　21日午後6時までの24時間の予想雨量は多い所で、伊豆諸島350ミリ、関東・東海300ミリ、東北200ミリ。その後の24時間は関東・東海150ミリ、東北・伊豆諸島100ミリ。

　線状降水帯が発生した場合は局地的にさらに雨量が増えるおそれがある。気象庁は、伊豆諸島と東海では21日に線状降水帯が発生して災害が発生する危険度が急激に高まる可能性があるとしている。

　◇イベント中止相次ぐ

　台風の影響で、国内最大級の野外音楽イベント「ロック・イン・ジャパン・フェスティバル」は千葉市での21日の公演を中止すると発表。千葉市でのゲームの祭典「東京ゲームショウ」や日本中央競馬会（JRA）の中山競馬（千葉県船橋市）も21日の開催が中止になった。

　◇列車運休や欠航にも注意を

　JR東日本は、首都圏で22日早朝にかけて、遅れや運休が発生する場合があるとしている。全日空は20日夜、羽田空港を発着する便を中心に21日は53便を欠航すると発表した。【木村敦彦】",[],[]
バスケ韓国代表、手配した車両来ず決勝前の練習断念　アジア大会（毎日新聞）,https://news.yahoo.co.jp/articles/90cf64eadd74a2db70334606a010af45ac370364,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000032-mai-000-1-view.jpg?exp=10800,2026-09-20T20:31:22+09:00,2026-09-20T20:31:22+09:00,毎日新聞,mai,毎日新聞,661,"愛知・名古屋アジア大会のメイン会場のパロマ瑞穂スタジアム＝名古屋市瑞穂区で2026年9月18日午後0時39分、本社ヘリから北村隆夫撮影
愛知・名古屋アジア大会で20日、男子バスケットボールの韓国代表が日本との決勝を前に予定していた練習を、大会側が手配した車両が来なかったため中止するトラブルがあった。聯合ニュースなどが報じた。韓国選手団は大会組織委員会とアジア・オリンピック評議会（OCA）に抗議文を送り、組織委幹部との面会を求める方針。
【写真】中村勘九郎さん、戸田恵子さん、INI…開会式を彩ったパフォーマンス
報道によると、韓国代表は20日午前、体育館に移動し、シュート練習などを行う予定だった。しかし、午前10時台に宿舎に来る予定だった車両が現れず、練習を取りやめた。

　韓国は2014年仁川大会以来、12年ぶりに決勝に進出。20日午後7時40分から日本と対戦する。

　今大会では、韓国代表の移動を巡るトラブルが相次いでいる。男子サッカーのU23（23歳以下）では15日のカタール戦で、会場に向かうバスの運転手が別の競技場に向かったため、両チームの到着が予定より約30分遅れた。14日には記者会見に向かうための車両が宿舎に来ず、開始時間に遅れて到着。16日には練習場への車両が手配されないトラブルもあったという。

　大韓体育会はこれまでに、選手村の歓迎行事で豊臣秀吉が登場する公演が行われたことや、男子ホッケーで韓国の国歌と間違えて北朝鮮の国歌が流れたことについて、組織委に抗議している。【ソウル日下部元美】",[],[]
巨人が逆転勝ち　首位肉薄の原動力、田中瑛斗は最優秀中継ぎ確定（毎日新聞）,https://news.yahoo.co.jp/articles/d5d5b7dcd0b013ff1b3d8990c6aaafa7ec01b8a9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000031-mai-000-2-view.jpg?exp=10800,2026-09-20T20:27:35+09:00,2026-09-20T21:25:02+09:00,毎日新聞,mai,毎日新聞,729,"【巨人－ヤクルト】八回に登板して39ホールド目を挙げ、最優秀中継ぎ投手のタイトルを確定させた巨人の田中瑛斗＝東京ドームで2026年9月20日、藤井達也撮影
◇○巨3―2ヤ●（20日・東京ドーム）

　首位阪神に肉薄する巨人の原動力となっているのが、安定感のあるリリーフとして活躍を続ける右腕・田中瑛斗だ。この日も3―2の八回をゼロで抑えて、救援勝利数を合わせたホールドポイントを42に伸ばし、今季の最優秀中継ぎ投手を確定させた。現役ドラフト経験者としては史上初のタイトル獲得で「何でも1番が好きなので、最初で良かったです」と笑顔を見せた。
【写真で振り返る】巨人の竹丸和幸が球団史上初の新人開幕戦勝利
七回に泉口友汰の2点適時二塁打で逆転すると、八回のマウンドに田中が上がった。「点を取った後に追いつかれたら流れが悪くなるので死ぬ気で抑えようと思った」と先頭打者に中前打を許しながら、得意のシュートを駆使して後続を断つと、九回は2人で「勝利の方程式」を形成しているマルティネスが締めた。

　現役ドラフトで日本ハムから移籍して2年目の今季は、7月に右肘の張りを訴え登録を抹消された大勢に代わり、主に八回を任される。打たれれば勝敗を左右する場面で力を発揮してきた。「毎回しびれるんすけど、（優勝を争う）この状況になってくると、幸せだなと思って毎試合、投げています」と頼もしく語る。移籍時には「全く想像していなかった」というタイトル獲得で、「一つ一つ積み重ねた結果でうれしいです」と喜ぶ。

　橋上秀樹監督代行も「まだシーズンが残っている。めいっぱいやってもらいたい」と語る。ペナントレースも残り9試合。田中がフル回転すれば、逆転優勝が近づいてくる。【村社拓信】",[],[]
自民・小野寺税調会長の続投決定　高市首相が重視する政策を主導（毎日新聞）,https://news.yahoo.co.jp/articles/72ffbd9ffcbc0dd7862abd68f93861c8eb928e72,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000030-mai-000-1-view.jpg?exp=10800,2026-09-20T19:59:45+09:00,2026-09-20T19:59:45+09:00,毎日新聞,mai,毎日新聞,242,"自民党の「税制調査会正副・顧問・幹事会議」で発言する小野寺五典税調会長（中央）。左は山際大志郎小委員長、右は後藤茂之小委員長代理＝同党本部で2026年9月8日午後3時、平田明浩撮影
自民党は20日、小野寺五典税制調査会長を続投させることを決めた。小林鷹之政調会長が同日、報道各社に明らかにした。

　小野寺氏は2025年10月の就任以来、高市早苗首相が重視する「年収の壁」引き上げや飲食料品の消費減税で、首相の意向に沿う形での議論を主導。そうした姿勢が評価されたとみられる。【井口彩】",[],[]
台風25号、記録的大雨の可能性　7年前関東を襲った二つの台風（毎日新聞）,https://news.yahoo.co.jp/articles/35dad0260494f630593eee3af306840bc7b6d527,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260920-00000029-mai-000-3-view.jpg?exp=10800,2026-09-20T19:40:56+09:00,2026-09-20T20:22:10+09:00,毎日新聞,mai,毎日新聞,797,"台風19号の影響で増水した多摩川＝川崎市高津区で2019年10月12日午後4時35分、小川昌宏撮影
大型の台風25号は、21日昼ごろから関東甲信地方に接近する見込みだ。中でも、伊豆諸島では21日午後6時までに予想される24時間雨量は多いところで350ミリ、関東では300ミリとなり、9月の平年1カ月の雨量を超える記録的な大雨となる可能性もある。
【写真】集まって朝食をとる家族ら　台風19号で被災、避難所生活
◇停電、氾濫、死者100人超

　近年、関東に大きな被害をもたらした台風では、「令和元年房総半島台風」と名付けられた2019年9月の台風15号と、同年10月の台風19号「令和元年東日本台風」がある。

　台風15号は、千葉市付近に上陸。暴風の影響で大規模な停電が発生し、影響が長期間続いた。

　台風19号は強い勢力のまま伊豆半島に上陸し、関東地方を通過した。東日本の各地で記録的な大雨となり、関東や東北地方で多くの河川が氾濫。死者は13都県で災害関連死も含めて100人超に上った。高齢者を中心に避難が遅れ、移動中に河川の氾濫や土砂災害に巻き込まれた人もいた。

　19年に相次いだこの台風被害は、21年に国が災害対策基本法を改正し、災害時の市区町村による「避難勧告」を廃止して「避難指示」に一本化するきっかけの一つとなった。

　◇数分から数十分で危険な状態に

　東京消防庁によると、短時間にまとまって強い雨が降ると、河川や下水道、用水路は数分から数十分で危険な状態に達することがある。自分のいる場所で雨が降っていなくても、上流など離れた場所で降った雨によって急に増水する場合があり、注意が必要だ。

　また、激しい雨の際には、高架下のアンダーパスや地下室、冠水した道路のマンホール周辺では避難が困難になる恐れがあるとして、特に注意するよう呼びかけている。【肥沼直寛、宮川佐知子】",[],[]
